my bare face in the wind
Basic
0.8 0.8
575.9999 518.4
Moved 74.827 401.4833 232.5167 0.07201962 -0.2999292
Ended 74.8429 402 232 0.07291666 -0.3009259
Began 75.05716 354 547 -0.01041666 0.3067129
Stationary 75.07495 354 547 -0.01041666 0.3067129
Stationary 75.0889 354 547 -0.01041666 0.3067129
Stationary 75.10419 354 547 -0.01041666 0.3067129
Stationary 75.12427 354 547 -0.01041666 0.3067129
Stationary 75.13623 354 547 -0.01041666 0.3067129
Stationary 75.15213 354 547 -0.01041666 0.3067129
Stationary 75.16574 354 547 -0.01041666 0.3067129
Stationary 75.18069 354 547 -0.01041666 0.3067129
Stationary 75.19662 354 547 -0.01041666 0.3067129
Moved 75.21225 371.126 534.1732 0.01931593 0.2819699
Moved 75.22852 378.177 530.6859 0.03155731 0.2752427
Moved 75.24399 385.4935 526.1039 0.04425958 0.266404
Moved 75.25867 392.6834 518.0533 0.05674205 0.2508743
Moved 75.27338 398.6932 512.3068 0.0671757 0.2397893
Moved 75.28912 402.6971 508.3029 0.07412694 0.2320657
Moved 75.30521 408.6802 500.6497 0.08451432 0.2173026
Moved 75.32031 413.3235 494.5687 0.09257548 0.2055723
Moved 75.33499 417.0874 488.8251 0.09911016 0.1944929
Moved 75.3508 420.9388 483.0815 0.1057966 0.1834134
Moved 75.36832 425.4772 472.5533 0.1136757 0.1631043
Moved 75.38647 427.8681 464.3958 0.1178265 0.1473684
Moved 75.39847 429.0428 459.8287 0.1198661 0.1385584
Moved 75.41293 432 452.5 0.125 0.1244212
Moved 75.42868 432.9314 444.4802 0.126617 0.1089509
Moved 75.44363 434.3767 437.1163 0.1291263 0.09474586
Moved 75.45996 435 424.2796 0.1302084 0.06998371
Moved 75.47388 435 415.4035 0.1302084 0.05286169
Moved 75.48969 435 407.4268 0.1302084 0.03747442
Moved 75.50522 435 402.6039 0.1302084 0.02817098
Moved 75.52002 435 398.2601 0.1302084 0.01979174
Moved 75.53564 435 393.9415 0.1302084 0.01146107
Moved 75.55197 435 390.7573 0.1302084 0.005318853
Moved 75.56702 427.4363 388.4363 0.1170769 0.0008416764
Moved 75.58191 424.1585 387.0529 0.1113863 -0.00182711
Moved 75.59766 418.4596 385.6149 0.1014923 -0.004601007
Moved 75.61261 409.5 386 0.08593753 -0.003858083
Moved 75.62891 392.3928 386 0.0562375 -0.003858083
Moved 75.65024 362.6189 403.0286 0.004546716 0.02899037
Stationary 75.66104 362.6189 403.0286 0.004546716 0.02899037
Moved 75.67511 350.7855 407.8304 -0.01599737 0.03825311
Moved 75.69067 338.5483 414.5843 -0.03724258 0.05128133
Moved 75.70663 327.8996 420.6288 -0.05572986 0.06294126
Moved 75.72156 320 424.5 -0.06944444 0.07040892
Moved 75.73669 310.4575 432.1569 -0.08601125 0.08517909
Moved 75.75348 298.9214 441.9438 -0.1060392 0.1040582
Moved 75.76822 290.1282 448.2975 -0.1213052 0.1163146
Moved 75.78259 282.9403 454.0477 -0.1337841 0.1274069
Moved 75.79901 275.7678 461.2322 -0.1462365 0.1412658
Moved 75.81424 271.3252 466.5665 -0.1539494 0.1515556
Moved 75.83002 267.0072 473.6547 -0.1614458 0.1652289
Moved 75.84406 265.4117 477.1765 -0.1642157 0.1720225
Moved 75.86252 263.1642 483.343 -0.1681176 0.1839178
Moved 75.88116 260.452 490.37 -0.1728264 0.1974729
Moved 75.89288 260 494.4328 -0.1736111 0.2053101
Moved 75.90753 258.8456 498.4632 -0.1756153 0.2130848
Moved 75.92245 258.4081 502.1838 -0.1763749 0.220262
Moved 75.93817 258 506.1134 -0.1770833 0.2278421
Moved 75.95364 256.8975 508.205 -0.1789974 0.2318768
Moved 75.96875 256.4269 511.1462 -0.1798144 0.2375505
Moved 75.98355 254.9881 515.0358 -0.1823124 0.2450535
Moved 75.99866 255 516.4548 -0.1822917 0.2477909
Moved 76.0159 254 517.8922 -0.1840278 0.2505637
Moved 76.03036 252.6728 519.3272 -0.1863319 0.2533317
Moved 76.04413 252.2331 520.7669 -0.1870953 0.2561089
Moved 76.06055 252 521.8928 -0.1875 0.2582808
Moved 76.07611 250.706 523.294 -0.1897465 0.2609837
Moved 76.0918 250.2602 525 -0.1905204 0.2642746
Moved 76.10736 250 527.34 -0.1909722 0.2687885
Stationary 76.12231 250 527.34 -0.1909722 0.2687885
Moved 76.14191 249 529.0462 -0.1927083 0.2720798
Moved 76.15482 248 530.4836 -0.1944444 0.2748525
Moved 76.16846 248 531.7065 -0.1944444 0.2772116
Stationary 76.18372 248 532 -0.1944444 0.2777777
Moved 76.19992 248 533.4878 -0.1944444 0.2806476
Ended 76.21582 248 537 -0.1944444 0.2874228
Began 76.42676 146 520 -0.3715277 0.2546296
Stationary 76.4462 146 520 -0.3715277 0.2546296
Stationary 76.46097 146 520 -0.3715277 0.2546296
Stationary 76.4762 146 520 -0.3715277 0.2546296
Stationary 76.49115 146 520 -0.3715277 0.2546296
Moved 76.50839 158.8961 520 -0.3491387 0.2546296
Moved 76.52249 173.556 520 -0.3236874 0.2546296
Moved 76.53845 188 532 -0.2986111 0.2777777
Moved 76.55505 209.7106 533.7025 -0.260919 0.2810618
Moved 76.57578 251.4779 544.8994 -0.1884064 0.3026608
Stationary 76.58661 251.4779 544.8994 -0.1884064 0.3026608
Moved 76.60043 272.0299 549.6492 -0.1527259 0.3118233
Moved 76.61618 298.538 553.3173 -0.1067049 0.3188989
Moved 76.63107 320.4599 555.0974 -0.06864607 0.3223327
Moved 76.64676 341.5 555 -0.03211803 0.322145
Moved 76.66473 356.2749 557.6063 -0.006467141 0.3271725
Moved 76.67807 373.5168 558 0.02346672 0.327932
Moved 76.69403 387.8619 558 0.0483714 0.327932
Moved 76.70874 401.261 558 0.07163368 0.327932
Moved 76.72266 415.5659 558 0.09646862 0.327932
Moved 76.73813 425.4087 558 0.1135567 0.327932
Moved 76.75354 433.1989 558 0.1270814 0.327932
Moved 76.76941 439.5859 558 0.13817 0.327932
Moved 76.78879 446.1676 550 0.1495965 0.3124999
Moved 76.80072 450.6524 548.7825 0.1573825 0.3101514
Moved 76.81613 454.9902 547.3366 0.1649134 0.3073622
Moved 76.83093 458.2004 544.7996 0.1704868 0.3024682
Moved 76.84711 460.5361 543.4639 0.1745418 0.2998917
Moved 76.86429 461.9832 542.0167 0.1770542 0.2971001
Moved 76.87717 463.0487 539.9026 0.178904 0.2930219
Moved 76.89227 463 529.9525 0.1788194 0.273828
Moved 76.90842 463 515.4837 0.1788194 0.2459175
Moved 76.92371 446.4974 495.747 0.1501691 0.2078452
