did you have a good time
Basic
0.8 0.8
575.9999 172.8
Moved 324.5103 535.5424 455 0.3047611 0.3877315
Moved 324.5341 538.7932 456.7932 0.3104047 0.3981085
Stationary 324.5457 538.7932 456.7932 0.3104047 0.3981085
Moved 324.5563 541.4625 457 0.3150391 0.3993056
Moved 324.5721 543.6719 458 0.3188748 0.4050925
Moved 324.5877 545.1053 458 0.3213634 0.4050925
Moved 324.6018 547.0867 458.5433 0.3248032 0.4082368
Moved 324.6184 548.9862 459 0.328101 0.4108797
Moved 324.6376 550.0945 459 0.3300251 0.4108797
Moved 324.6483 551 459.5618 0.3315972 0.4141306
Moved 324.6641 551.9977 460 0.3333293 0.4166667
Moved 324.6826 553.4405 460 0.3358342 0.4166667
Moved 324.6951 554 460 0.3368056 0.4166667
Moved 324.7114 555.3129 460 0.3390849 0.4166667
Moved 324.7266 556 460.7534 0.3402778 0.4210264
Moved 324.742 556.8916 461 0.3418257 0.4224536
Stationary 324.7564 557 461 0.3420139 0.4224536
Moved 324.7736 558.5 461 0.344618 0.4224536
Stationary 324.7889 558.5 461 0.344618 0.4224536
Moved 324.8022 559.2034 461 0.3458392 0.4224536
Stationary 324.8184 559 461 0.3454861 0.4224536
Stationary 324.8336 559 461 0.3454861 0.4224536
Stationary 324.8484 559 461 0.3454861 0.4224536
Moved 324.8643 559 462.3159 0.3454861 0.4300687
Stationary 324.881 559 462 0.3454861 0.4282408
Stationary 324.895 559 462 0.3454861 0.4282408
Moved 324.9116 548.3899 462 0.3270658 0.4282408
Moved 324.9271 542.1833 462 0.3162904 0.4282408
Moved 324.9419 535.0032 462 0.303825 0.4282408
Moved 324.9572 527 462 0.2899306 0.4282408
Moved 324.9734 519.5015 452.5005 0.2769123 0.3732668
Moved 324.9945 504.8493 448.7397 0.2514744 0.3515029
Stationary 325.0051 504.8493 448.7397 0.2514744 0.3515029
Moved 325.0185 498.6876 446.9219 0.240777 0.3409832
Moved 325.0339 493 444 0.2309028 0.3240742
Moved 325.0491 488.1818 443.0455 0.2225379 0.3185502
Moved 325.065 485.2127 443 0.2173832 0.318287
Moved 325.0813 483.2975 441.6487 0.2140582 0.3104673
Moved 325.0961 479.1819 441 0.206913 0.3067129
