coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Moved 153.575 404.0119 376.9763 0.1018793 -0.02835332
Stationary 153.587 404.0119 376.9763 0.1018793 -0.02835332
Moved 153.5986 405.4507 374.0986 0.1052099 -0.03575462
Moved 153.6138 406 373.1077 0.1064815 -0.03830325
Moved 153.6298 407.3309 371.6691 0.1095624 -0.04200342
Ended 153.6435 407 372 0.1087963 -0.04115226
Began 154.3034 481 405 0.2800926 0.04372424
Stationary 154.3233 481 405 0.2800926 0.04372424
Stationary 154.3385 481 405 0.2800926 0.04372424
Stationary 154.3538 481 405 0.2800926 0.04372424
Stationary 154.3675 481 405 0.2800926 0.04372424
Stationary 154.3851 481 405 0.2800926 0.04372424
Moved 154.3989 470.5965 405 0.2560104 0.04372424
Moved 154.4151 466.5934 418.8132 0.2467441 0.0792519
Moved 154.4312 461.0264 431.1905 0.2338574 0.1110866
Moved 154.4463 454.919 445.243 0.2197199 0.1472298
Moved 154.4614 452.8717 453.6416 0.2149807 0.1688312
Moved 154.4796 448.8708 468.6458 0.2057196 0.2074223
Moved 154.4927 444.9814 484.0681 0.1967162 0.2470887
Moved 154.5083 443.9412 491.4116 0.1943084 0.2659763
Moved 154.5235 442.4711 502.1733 0.1909053 0.2936557
Moved 154.5387 441.0419 510.7485 0.187597 0.3157111
Moved 154.5605 441 515.2015 0.1875 0.3271643
Moved 154.5723 440 519.6819 0.1851852 0.3386879
Moved 154.5861 440 523.85 0.1851852 0.3494084
Moved 154.5993 440 526.4467 0.1851852 0.356087
Moved 154.6152 439.1222 528.7556 0.1831533 0.3620256
Moved 154.6314 439 531.5609 0.1828703 0.3692408
Moved 154.6466 439 532.7233 0.1828703 0.3722306
Moved 154.6613 439 534.1628 0.1828703 0.3759331
Stationary 154.6783 439 534.1628 0.1828703 0.3759331
Moved 154.6923 439 535.3751 0.1828703 0.379051
Stationary 154.7073 439 535.3751 0.1828703 0.379051
Stationary 154.724 439 535.3751 0.1828703 0.379051
Moved 154.7387 456.2995 525.8414 0.2229155 0.3545304
Moved 154.7538 470.522 512.9302 0.2558379 0.3213224
Moved 154.7705 483.2747 504.5439 0.2853581 0.2997529
Moved 154.7847 497.4805 493.2156 0.3182419 0.2706163
Moved 154.8003 506.4389 486.3381 0.3389789 0.2529271
Moved 154.8149 516.5195 476.4805 0.3623136 0.2275733
Moved 154.8317 522.5 470.5 0.3761573 0.2121912
Moved 154.847 527.4272 460.9546 0.3875631 0.1876403
Moved 154.8616 531.7346 453.7758 0.3975337 0.1691762
Moved 154.8858 537.1588 441.6029 0.4100899 0.1378674
Moved 154.8987 538.5 434.5 0.4131944 0.1195987
Stationary 154.911 538.5 434.5 0.4131944 0.1195987
Moved 154.923 539.9661 425.1694 0.4165883 0.09560035
Moved 154.9398 540 416.4728 0.4166667 0.07323257
Moved 154.9542 541.3885 412.0576 0.4198807 0.06187651
Moved 154.9694 541 405.157 0.4189815 0.04412812
Moved 154.9848 541 399.4183 0.4189815 0.0293681
Moved 155.0003 541 396.4857 0.4189815 0.02182521
Moved 155.0166 541 393.4535 0.4189815 0.01402643
Moved 155.0323 541 391.2816 0.4189815 0.008440135
Moved 155.0473 532.8994 388.6855 0.40023 0.001763159
Moved 155.0624 531.666 389 0.3973749 0.002572016
Moved 155.0795 527.369 388 0.3874283 -3.924585E-08
Moved 155.0938 519.3954 388 0.3689709 -3.924585E-08
Moved 155.1106 507.1239 391.7925 0.3405645 0.009754361
Moved 155.1246 493.1667 398.9333 0.3082562 0.02812067
Moved 155.1395 478.7379 404.7048 0.2748562 0.04296499
Moved 155.1539 464.1749 411.4778 0.2411456 0.06038532
Moved 155.1701 453.0609 416.9695 0.2154187 0.07451002
Moved 155.1901 437.4397 424.0729 0.1792585 0.09277994
Moved 155.202 423.2295 431.317 0.1463645 0.1114118
Moved 155.2168 407.714 442.3898 0.110449 0.1398915
Moved 155.2322 396.7616 447.9934 0.08509625 0.1543039
Moved 155.2478 386.6565 453.7677 0.06170481 0.1691555
Moved 155.2619 376.5454 459.5455 0.03829966 0.1840161
Moved 155.2787 368.4121 463.3948 0.01947244 0.1939167
Moved 155.2941 355.4741 468.6104 -0.01047656 0.2073311
Moved 155.3094 345.8286 472.1918 -0.03280426 0.2165427
Moved 155.3245 336.7561 476.1219 -0.05380531 0.226651
Moved 155.3411 328.1253 478.9583 -0.07378399 0.233946
Moved 155.3554 320.3864 481.8455 -0.09169812 0.241372
Moved 155.3704 311.8261 483.3623 -0.1115136 0.2452734
Moved 155.3875 305.3005 487.2332 -0.1266193 0.2552292
Moved 155.4015 297.34 489.8867 -0.1450464 0.2620541
Moved 155.4165 288.6827 492.7725 -0.1650863 0.2694764
