just in time for the party
Basic
0.4 0.4
288 259.2
Moved 187.9892 382.0081 317.0404 0.07641703 -0.273764
Moved 188.005 380.5636 311.2545 0.07140144 -0.2960863
Moved 188.0207 379.1249 305.4996 0.06640598 -0.3182884
Moved 188.0425 377.2387 295.716 0.05985647 -0.3560339
Stationary 188.055 377.2387 295.716 0.05985647 -0.3560339
Moved 188.0729 375.7029 288.1088 0.05452394 -0.3853829
Stationary 188.0848 375.7029 288.1088 0.05452394 -0.3853829
Moved 188.0963 375.2588 284.5176 0.05298197 -0.3992377
Moved 188.1134 375 280.46 0.05208329 -0.4148921
Moved 188.1279 373.3795 277.759 0.0464566 -0.4253124
Moved 188.1454 373 274.8794 0.0451389 -0.4364221
Moved 188.1583 372.5009 272.501 0.04340604 -0.445598
Moved 188.1741 372 270.6285 0.04166662 -0.4528223
Moved 188.1902 372 268.9881 0.04166662 -0.4591508
Moved 188.2055 370.5493 267.5493 0.03662958 -0.4647017
Stationary 188.22 370.5493 267.5493 0.03662958 -0.4647017
Moved 188.2356 371 265.6691 0.0381945 -0.4719558
Moved 188.2516 370.2274 264.2275 0.035512 -0.4775174
Moved 188.2661 370 262.7886 0.03472224 -0.4830686
Stationary 188.2815 370 262.7886 0.03472224 -0.4830686
Ended 188.2965 370 263 0.03472224 -0.4822531
Began 189.1837 326 463 -0.1180556 0.2893517
Stationary 189.1972 326 463 -0.1180556 0.2893517
Stationary 189.2084 326 463 -0.1180556 0.2893517
Stationary 189.221 326 463 -0.1180556 0.2893517
Stationary 189.2413 326 463 -0.1180556 0.2893517
Stationary 189.2531 326 463 -0.1180556 0.2893517
Stationary 189.2679 326 463 -0.1180556 0.2893517
Stationary 189.2825 326 463 -0.1180556 0.2893517
Stationary 189.2989 326 463 -0.1180556 0.2893517
Stationary 189.3145 326 463 -0.1180556 0.2893517
Stationary 189.3291 326 463 -0.1180556 0.2893517
Stationary 189.345 326 463 -0.1180556 0.2893517
Stationary 189.3611 326 463 -0.1180556 0.2893517
Stationary 189.3754 326 463 -0.1180556 0.2893517
Stationary 189.3915 326 463 -0.1180556 0.2893517
Stationary 189.406 326 463 -0.1180556 0.2893517
Stationary 189.4215 326 463 -0.1180556 0.2893517
Stationary 189.4422 326 463 -0.1180556 0.2893517
Stationary 189.4564 326 463 -0.1180556 0.2893517
Stationary 189.4671 326 463 -0.1180556 0.2893517
Stationary 189.4827 326 463 -0.1180556 0.2893517
Stationary 189.498 326 463 -0.1180556 0.2893517
Stationary 189.513 326 463 -0.1180556 0.2893517
Stationary 189.5285 326 463 -0.1180556 0.2893517
Moved 189.5464 336.718 463 -0.08084043 0.2893517
Moved 189.5616 338.2964 463 -0.07535987 0.2893517
Moved 189.5803 340.7365 463 -0.06688714 0.2893517
Moved 189.5921 343.3544 463 -0.05779721 0.2893517
Moved 189.6073 346.2223 463 -0.04783913 0.2893517
Moved 189.6235 348.0515 463 -0.04148788 0.2893517
Moved 189.6382 350.1771 463 -0.03410734 0.2893517
Moved 189.6541 353.1111 463 -0.02391971 0.2893517
Moved 189.6687 355.9801 463 -0.01395784 0.2893517
Moved 189.6839 358.8712 463 -0.003919303 0.2893517
Moved 189.6994 361.7366 463 0.006029903 0.2893517
Moved 189.7155 365.937 463 0.02061456 0.2893517
Moved 189.7299 369.2437 463 0.03209606 0.2893517
Moved 189.7473 371.7893 463 0.04093498 0.2893517
Moved 189.761 375.8822 463 0.05514666 0.2893517
Moved 189.7771 379.22 463 0.06673619 0.2893517
Moved 189.7927 382.3427 463 0.07757901 0.2893517
Moved 189.8083 386.2308 463 0.09107932 0.2893517
Moved 189.8236 389.0995 463 0.10104 0.2893517
Moved 189.839 391.9743 463 0.111022 0.2893517
Moved 189.8527 395.3705 463 0.1228143 0.2893517
Moved 189.8686 398.0229 463 0.132024 0.2893517
Moved 189.8913 404.7678 463 0.1554435 0.2893517
Stationary 189.9018 404.7678 463 0.1554435 0.2893517
Moved 189.9144 408.9615 463 0.1700051 0.2893517
Moved 189.9298 412.5201 463 0.1823616 0.2893517
Moved 189.9465 415.3961 463 0.1923474 0.2893517
Moved 189.9608 416.5 473.5 0.1961805 0.3298609
Moved 189.9774 419.5459 470 0.2067564 0.3163579
Moved 189.9922 422.408 471.204 0.2166945 0.3210029
Moved 190.0076 423.6414 471 0.2209772 0.3202158
Moved 190.0243 425.0798 471 0.2259716 0.3202158
Moved 190.0396 426.5786 471 0.2311756 0.3202158
Moved 190.054 428.0185 471 0.2361753 0.3202158
Moved 190.0701 429.4574 471 0.2411714 0.3202158
