parking lot is full of trucks
Basic
0.6 0.6
432 388.8
Stationary 283.033 206 400 -0.3564815 0.03086416
Moved 283.0478 205.0677 399 -0.3586396 0.02829214
Ended 283.0642 205 399 -0.3587963 0.02829214
Began 283.5998 266 385 -0.2175926 -0.007716127
Stationary 283.6182 266 385 -0.2175926 -0.007716127
Stationary 283.6327 266 385 -0.2175926 -0.007716127
Stationary 283.648 266 385 -0.2175926 -0.007716127
Stationary 283.6655 266 385 -0.2175926 -0.007716127
Stationary 283.6796 266 385 -0.2175926 -0.007716127
Moved 283.6995 278.5384 395.2587 -0.1885685 0.01866949
Moved 283.7136 289 403 -0.1643519 0.03858017
Moved 283.7264 299.4086 412.6075 -0.1402579 0.06329092
Moved 283.7422 310.9523 422.7083 -0.1135363 0.08927011
Moved 283.7581 322.1327 432.4513 -0.08765572 0.1143294
Moved 283.7739 331.7021 440.5851 -0.06550436 0.1352497
Moved 283.7889 342.346 449.2307 -0.04086579 0.1574862
Moved 283.8037 350.9691 455.9743 -0.02090474 0.174831
Moved 283.8192 358.2503 460.3502 -0.004050235 0.1860857
Moved 283.8357 363.8821 463.7293 0.008986394 0.194777
Moved 283.8507 371.0594 468.0356 0.02560039 0.205853
Moved 283.866 375.8139 471.3605 0.03660629 0.2144044
Moved 283.8805 381.5389 475.6542 0.04985849 0.2254479
Moved 283.8965 385.9559 478.6373 0.06008308 0.2331205
Moved 283.9108 392.0361 482.277 0.07415762 0.242482
Moved 283.9266 397.7882 487.7882 0.0874726 0.2566568
Moved 283.9434 403.1215 491.8972 0.09981831 0.2672252
Moved 283.9586 408.9565 498.2173 0.1133251 0.2834808
Moved 283.9804 420.4707 507.853 0.1399784 0.3082638
Stationary 283.9912 420.4707 507.853 0.1399784 0.3082638
Moved 284.0033 426.2541 512.1906 0.153366 0.3194202
Moved 284.0268 433.822 517.8813 0.1708842 0.3340569
Moved 284.0414 436.0132 520.0132 0.1759565 0.3395401
Stationary 284.0522 436.0132 520.0132 0.1759565 0.3395401
Moved 284.0645 438.8955 522.8954 0.1826284 0.3469532
Moved 284.0806 442.6296 525.6296 0.1912723 0.3539856
Moved 284.0969 445.6505 527.3253 0.1982649 0.3583468
Moved 284.113 447.7583 528.7584 0.2031443 0.3620327
Moved 284.1273 449.1937 530.1937 0.2064669 0.3657245
Moved 284.1423 450.633 530.633 0.2097986 0.3668544
Moved 284.1583 451.8072 531 0.2125167 0.3677982
Moved 284.1738 453.1795 531 0.2156932 0.3677982
Moved 284.1894 453.6198 532 0.2167125 0.3703703
Stationary 284.205 454 532 0.2175926 0.3703703
Moved 284.221 455.492 532 0.2210462 0.3703703
Moved 284.2417 460.7245 532 0.2331587 0.3703703
Stationary 284.2525 460.7245 532 0.2331587 0.3703703
Moved 284.2664 466 512.5 0.2453704 0.3202159
Moved 284.2822 473.1581 499.804 0.2619402 0.2875616
Moved 284.2971 478.1447 484.1842 0.2734832 0.2473872
Moved 284.3137 483.4475 471.6576 0.2857581 0.2151687
Moved 284.3287 490.2525 457.4949 0.3015105 0.178742
Moved 284.3437 495.7835 446.4329 0.3143138 0.1502904
Moved 284.359 500.3829 434.9791 0.3249603 0.1208308
Moved 284.3745 507.5 419.5 0.3414352 0.08101848
Moved 284.3895 510.1468 413.9908 0.347562 0.06684884
Moved 284.4063 513.3021 408.5468 0.354866 0.05284674
