the dow jones index has risen
Basic
0.8 0.8
575.9999 518.4
Moved 575.4369 123.7026 530.7026 -0.4102386 0.275275
Moved 575.4526 122.34 530 -0.4126041 0.2739197
Moved 575.4684 120.9748 530 -0.4149743 0.2739197
Moved 575.483 119.6085 530 -0.4173463 0.2739197
Stationary 575.4998 119.6085 530 -0.4173463 0.2739197
Moved 575.5145 120 528.6467 -0.4166666 0.2713092
Stationary 575.5295 120 529 -0.4166666 0.2719907
Ended 575.5467 120 529 -0.4166666 0.2719907
Began 576.4863 438 401 0.1354167 0.02507707
Stationary 576.5041 438 401 0.1354167 0.02507707
Stationary 576.5182 438 401 0.1354167 0.02507707
Stationary 576.5336 438 401 0.1354167 0.02507707
Stationary 576.5503 438 401 0.1354167 0.02507707
Stationary 576.566 438 401 0.1354167 0.02507707
Stationary 576.579 438 401 0.1354167 0.02507707
Stationary 576.5955 438 401 0.1354167 0.02507707
Stationary 576.6105 438 401 0.1354167 0.02507707
Stationary 576.6259 438 401 0.1354167 0.02507707
Stationary 576.6412 438 401 0.1354167 0.02507707
Stationary 576.6567 438 401 0.1354167 0.02507707
Stationary 576.672 438 401 0.1354167 0.02507707
Stationary 576.6879 438 401 0.1354167 0.02507707
Stationary 576.7025 438 401 0.1354167 0.02507707
Stationary 576.7184 438 401 0.1354167 0.02507707
Stationary 576.7339 438 401 0.1354167 0.02507707
Stationary 576.7496 438 401 0.1354167 0.02507707
Stationary 576.7644 438 401 0.1354167 0.02507707
Stationary 576.7849 438 401 0.1354167 0.02507707
Stationary 576.7969 438 401 0.1354167 0.02507707
Stationary 576.8121 438 401 0.1354167 0.02507707
Moved 576.8257 428.9775 409.02 0.1197526 0.04054772
Stationary 576.843 428.9775 409.02 0.1197526 0.04054772
Stationary 576.8571 428.9775 409.02 0.1197526 0.04054772
Moved 576.8724 427.8517 411.1483 0.1177981 0.04465323
Moved 576.8896 428 412.5144 0.1180556 0.04728856
Moved 576.9044 428 414.7424 0.1180556 0.05158645
Moved 576.9193 428 418.6884 0.1180556 0.05919818
Moved 576.934 438.5 424 0.1362847 0.06944441
Moved 576.9495 439.5736 429.5038 0.1381487 0.08006139
Moved 576.9658 443.9907 435.9876 0.1458172 0.09256868
Moved 576.9818 450.7971 446.8753 0.1576338 0.1135711
Moved 576.997 455.1394 450.8525 0.1651725 0.1212431
Moved 577.0121 460.3407 459.5962 0.1742025 0.1381098
Moved 577.0281 467.1963 466.1964 0.1861047 0.1508417
Moved 577.0431 475.9966 473.9966 0.2013829 0.1658884
Moved 577.0585 481.3346 479.3345 0.2106503 0.1761854
Moved 577.0739 491.474 490.6583 0.2282534 0.198029
Moved 577.0889 500.5 501 0.2439236 0.2179783
Moved 577.104 509.2917 508.3929 0.2591869 0.2322393
Moved 577.1202 516.3221 514.0577 0.2713926 0.2431668
Moved 577.1348 525.796 523.1633 0.2878402 0.2607317
Moved 577.1528 532.918 529.918 0.3002048 0.2737615
Moved 577.1658 538.3838 534.0378 0.3096941 0.2817087
Moved 577.1818 543.6163 538.2931 0.3187784 0.2899171
Moved 577.2062 554.5171 550.5171 0.3377033 0.3134974
Moved 577.219 559.9501 554.4626 0.3471357 0.3211083
Stationary 577.2302 559.9501 554.4626 0.3471357 0.3211083
Moved 577.2427 563.5703 558.7135 0.3534206 0.3293084
Moved 577.2585 567.6675 562.6675 0.3605339 0.3369357
Moved 577.2737 570.7429 565.1619 0.365873 0.3417473
Moved 577.2909 574.1459 568.1459 0.3717812 0.3475037
Moved 577.3052 577.9269 571.9269 0.3783454 0.3547973
Moved 577.3214 580.683 576.0246 0.3831303 0.3627017
Moved 577.3352 585.1091 578.4061 0.3908145 0.3672956
Moved 577.3537 589.1627 582.1627 0.3978518 0.3745421
Moved 577.3657 591.8579 586.2869 0.4025311 0.3824977
Moved 577.3816 594.7906 586.7906 0.4076227 0.3834695
Moved 577.3968 597.3003 590.4504 0.4119797 0.3905293
Moved 577.4124 598.1182 591.1182 0.4133997 0.3918175
Moved 577.4285 599.5225 592.045 0.4158376 0.3936052
Moved 577.4434 600.8803 593.8803 0.4181949 0.3971455
Moved 577.4598 601.5 594.5 0.4192708 0.398341
Moved 577.4752 602 594.6101 0.4201389 0.3985534
Moved 577.4902 602 595.5 0.4201389 0.40027
Moved 577.5062 602 595 0.4201389 0.3993055
Stationary 577.5212 602 595 0.4201389 0.3993055
Stationary 577.5345 602 595 0.4201389 0.3993055
Moved 577.5519 587.5761 579.1238 0.3950974 0.36868
Moved 577.5671 580.3046 566.9569 0.3824733 0.34521
Moved 577.587 567.54 550.0534 0.3603125 0.3126029
Moved 577.5985 557.6984 533.7686 0.3432263 0.2811892
Moved 577.6125 549.7418 516.3975 0.3294127 0.2476802
Moved 577.6282 543.4016 501.004 0.3184055 0.2179861
Moved 577.6444 541.102 487.6631 0.3144132 0.1922512
Moved 577.6595 537.1775 471.7101 0.3075998 0.1614777
Moved 577.6748 537 460.1575 0.3072917 0.1391926
Moved 577.6896 535.9855 449.8986 0.3055304 0.1194031
Moved 577.7051 536 432.0518 0.3055555 0.08497635
Moved 577.7216 536 421.3022 0.3055555 0.06424029
Moved 577.7371 536 411.1425 0.3055555 0.04464205
Moved 577.7536 536 403.0996 0.3055555 0.02912724
Moved 577.7667 536 395.5852 0.3055555 0.01463189
Moved 577.7823 536 383.8798 0.3055555 -0.007947992
Moved 577.7996 536 376.6471 0.3055555 -0.02189989
Moved 577.8128 536 364.6041 0.3055555 -0.04513104
Moved 577.8291 536 355.0782 0.3055555 -0.06350658
Moved 577.8457 536 345.5406 0.3055555 -0.08190466
Moved 577.8599 536 338.7239 0.3055555 -0.0950543
Moved 577.8755 536 329.6386 0.3055555 -0.1125799
Moved 577.8918 536 322.3823 0.3055555 -0.1265774
Moved 577.9066 536 309.5886 0.3055555 -0.1512567
Moved 577.9221 536 301.9083 0.3055555 -0.1660721
Moved 577.9373 536 296.1421 0.3055555 -0.1771951
Moved 577.959 536 284.2126 0.3055555 -0.2002072
Stationary 577.9698 536 284.2126 0.3055555 -0.2002072
Moved 577.9827 536 278.7618 0.3055555 -0.2107219
Moved 577.9997 536 273.8335 0.3055555 -0.2202286
Moved 578.0135 536 267.9771 0.3055555 -0.2315257
Moved 578.03 536 264.9391 0.3055555 -0.237386
Moved 578.0457 536 260.843 0.3055555 -0.2452875
Moved 578.0607 536 257.5236 0.3055555 -0.2516906
Moved 578.0759 536 255.9006 0.3055555 -0.2548213
Moved 578.0912 536 254.5421 0.3055555 -0.2574419
Moved 578.1071 536 253.5 0.3055555 -0.2594522
Stationary 578.1229 536 253.5 0.3055555 -0.2594522
Moved 578.1381 528.0261 253 0.2917119 -0.2604167
Moved 578.1547 518.7557 253 0.2756176 -0.2604167
Moved 578.1693 508.2195 253 0.2573255 -0.2604167
Moved 578.1844 498.6793 262.3207 0.2407627 -0.2424369
Moved 578.2012 490.8187 262.6969 0.2271158 -0.2417112
Moved 578.2156 483.6988 263 0.2147548 -0.2411266
Moved 578.2307 478.6575 265.137 0.2060025 -0.2370043
Moved 578.2464 468.8237 266.4537 0.1889301 -0.2344642
Moved 578.2624 454.8147 267.8185 0.1646089 -0.2318316
Moved 578.2771 442.3377 269.1847 0.1429474 -0.2291962
Moved 578.2991 416.8304 273.7509 0.09866378 -0.220388
Stationary 578.3099 416.8304 273.7509 0.09866378 -0.220388
Moved 578.3231 404.5119 276.5529 0.07727756 -0.2149829
Moved 578.3391 392 280.5 0.05555555 -0.2073689
Moved 578.3538 380.8148 285.8741 0.03613673 -0.1970021
Moved 578.3694 366.0354 293.5261 0.01047812 -0.1822413
Moved 578.3849 352.4639 298.8145 -0.01308344 -0.17204
Moved 578.4009 345.2798 302.2687 -0.02555597 -0.1653767
Moved 578.4161 338.0989 306.5406 -0.03802273 -0.1571361
Moved 578.4313 328.5 313.5 -0.05468748 -0.1437115
Moved 578.4459 320.6859 323.2162 -0.06825373 -0.1249688
Moved 578.4616 315.2109 330.7048 -0.07775887 -0.1105232
Moved 578.4767 308.3947 338.9264 -0.08959259 -0.09466359
Moved 578.4925 302.6131 351.7737 -0.09962998 -0.06988089
Moved 578.509 294.7592 366.4415 -0.1132654 -0.04158656
Moved 578.524 286.5623 385.6881 -0.1274961 -0.004459722
Moved 578.5396 280.9131 397.7172 -0.1373036 0.01874458
Moved 578.5546 274.3198 413.6324 -0.1487503 0.04944521
Moved 578.5706 269.0071 428.4803 -0.1579737 0.07808699
Moved 578.5848 266.8496 435.4512 -0.1617194 0.09153383
Moved 578.6014 260.5179 450.4463 -0.1727119 0.1204596
Moved 578.6154 256.2917 459.4165 -0.180049 0.1377632
Moved 578.6385 248.1185 481.8026 -0.1942388 0.1809462
Stationary 578.6506 248.1185 481.8026 -0.1942388 0.1809462
Moved 578.662 246.677 491.2614 -0.1967414 0.1991924
Moved 578.6771 241.9594 501.0812 -0.2049316 0.2181349
Moved 578.6935 239.4047 506.9882 -0.2093668 0.2295296
Moved 578.7092 235.7237 515.6448 -0.2157575 0.2462282
Moved 578.7232 234.5488 520.8047 -0.2177971 0.2561818
Moved 578.7393 231.3754 527.0615 -0.2233066 0.2682512
Moved 578.756 228.6568 533.8581 -0.2280264 0.281362
Moved 578.7712 227.4668 538.0663 -0.2300923 0.2894797
Moved 578.7855 226.1031 541.6906 -0.2324599 0.296471
Moved 578.8046 224.7403 545.7791 -0.2348258 0.3043578
Moved 578.8166 223.7817 548.6548 -0.2364901 0.3099051
Moved 578.8325 222.3432 551.6569 -0.2389876 0.3156961
Moved 578.8481 222 555.0554 -0.2395833 0.3222519
Moved 578.8641 220.6264 559.1208 -0.2419681 0.3300942
Moved 578.8782 219.2653 563.2042 -0.2443311 0.3379709
Moved 578.8941 217.9108 568.3568 -0.2466827 0.3479104
Moved 578.9091 216.5515 572.3455 -0.2490425 0.3556046
Moved 578.9251 215.3709 576.5165 -0.2510922 0.3636506
Moved 578.947 212.7598 582.4803 -0.2556253 0.3751549
Stationary 578.9586 212.7598 582.4803 -0.2556253 0.3751549
Moved 578.971 212.402 585.196 -0.2562464 0.3803934
Moved 578.9869 211.0523 586.9477 -0.2585897 0.3837725
Moved 579.0019 211 589.6263 -0.2586805 0.3889395
Moved 579.017 210 590.3352 -0.2604167 0.390307
Moved 579.0328 208.979 591 -0.2621892 0.3915894
Stationary 579.0479 208.979 591 -0.2621892 0.3915894
Stationary 579.0629 209 591 -0.2621528 0.3915894
Moved 579.0789 208.2553 591 -0.2634456 0.3915894
Stationary 579.0942 208 591 -0.2638888 0.3915894
Moved 579.1094 206.5321 591 -0.2664373 0.3915894
Stationary 579.1248 206.5321 591 -0.2664373 0.3915894
Moved 579.1401 206 581.3396 -0.2673611 0.3729544
Moved 579.1558 204.5 578.5 -0.2699653 0.3674767
Moved 579.1711 204.4236 572.5416 -0.2700979 0.355983
Moved 579.187 204 563.4786 -0.2708333 0.3385002
Moved 579.201 204 555.2578 -0.2708333 0.3226422
Moved 579.2165 203 547.3931 -0.2725694 0.3074711
Moved 579.2332 203 539.892 -0.2725694 0.2930014
Moved 579.2556 203 520.0916 -0.2725694 0.2548062
Stationary 579.2657 203 520.0916 -0.2725694 0.2548062
Moved 579.2794 203 513.7971 -0.2725694 0.2426641
Moved 579.2952 203 504.9026 -0.2725694 0.2255066
Moved 579.3103 203 492.5 -0.2725694 0.2015817
Moved 579.326 203 482.0672 -0.2725694 0.1814567
Moved 579.3408 203 474.7966 -0.2725694 0.1674317
Moved 579.3566 203 466.0027 -0.2725694 0.1504681
Moved 579.3728 203 459.2212 -0.2725694 0.1373865
Moved 579.3887 203 453.6992 -0.2725694 0.1267346
Moved 579.4022 203 447.4181 -0.2725694 0.1146182
Moved 579.4176 203 441.8571 -0.2725694 0.103891
Moved 579.4335 203 434.5561 -0.2725694 0.0898072
Moved 579.4518 203 427.7775 -0.2725694 0.07673118
Moved 579.4645 203 423.775 -0.2725694 0.06901025
Moved 579.4799 203 417.1508 -0.2725694 0.0562322
Moved 579.4963 203 413.5 -0.2725694 0.04918975
Moved 579.5104 203 410.9142 -0.2725694 0.0442018
Moved 579.5302 203 406.1343 -0.2725694 0.03498133
Moved 579.5424 203 403.3493 -0.2725694 0.02960896
Moved 579.5576 203 399.9476 -0.2725694 0.02304698
Moved 579.5734 201.9427 395.8281 -0.274405 0.01510055
Moved 579.5884 200.5885 393.1771 -0.276756 0.009986588
Moved 579.6035 201 390.442 -0.2760417 0.004710562
Moved 579.6189 199.8585 388.8585 -0.2780235 0.00165592
Moved 579.6346 200 386.7225 -0.2777778 -0.002464365
Moved 579.6494 198.5 385.5 -0.2803819 -0.004822589
Moved 579.665 198.086 384.086 -0.2811007 -0.007550215
Moved 579.6808 197.5 383.5 -0.2821181 -0.008680614
Moved 579.6982 197.3567 382.3568 -0.2823668 -0.0108859
Moved 579.7113 197 380.9987 -0.2829861 -0.01350573
Stationary 579.7269 197 380.9987 -0.2829861 -0.01350573
Moved 579.7417 195.6443 379.6443 -0.2853398 -0.01611833
Moved 579.759 195 380 -0.2864583 -0.0154321
Ended 579.7742 195 380 -0.2864583 -0.0154321
Began 580.6661 467 545 0.1857639 0.3028549
Stationary 580.6828 467 545 0.1857639 0.3028549
Stationary 580.701 467 545 0.1857639 0.3028549
Stationary 580.7132 467 545 0.1857639 0.3028549
Stationary 580.7282 467 545 0.1857639 0.3028549
Stationary 580.7455 467 545 0.1857639 0.3028549
Stationary 580.7611 467 545 0.1857639 0.3028549
Stationary 580.7764 467 545 0.1857639 0.3028549
Stationary 580.7909 467 545 0.1857639 0.3028549
Stationary 580.8076 467 545 0.1857639 0.3028549
Stationary 580.8226 467 545 0.1857639 0.3028549
Stationary 580.8361 467 545 0.1857639 0.3028549
Moved 580.8531 456.4233 545 0.1674015 0.3028549
Moved 580.8687 457.4535 545 0.1691902 0.3028549
Moved 580.8846 456.0873 545 0.1668183 0.3028549
Moved 580.9012 454.725 545 0.1644531 0.3028549
Moved 580.9148 452.5453 536.4087 0.160669 0.2862821
Moved 580.9305 451.3396 536.3396 0.1585757 0.2861488
Moved 580.9523 446.2472 530.8708 0.1497347 0.2755994
Stationary 580.9625 446.2472 530.8708 0.1497347 0.2755994
Moved 580.9764 444.5295 529.5295 0.1467526 0.2730121
Moved 580.991 442.9059 526.8118 0.1439339 0.2677696
Moved 581.0079 440.0862 524.0862 0.1390386 0.2625119
Moved 581.0231 436.728 518.456 0.1332083 0.2516512
Moved 581.0382 434.2319 512.5798 0.1288748 0.2403158
Moved 581.0533 430.2233 504.4466 0.1219154 0.2246268
Moved 581.0683 426.134 495.024 0.114816 0.2064506
Moved 581.0849 422.0484 482.1612 0.1077229 0.181638
Moved 581.1011 417.9498 468.4993 0.1006073 0.1552842
Moved 581.1154 415.5783 460.024 0.09649008 0.1389352
Moved 581.1304 411.7775 451.5549 0.0898914 0.1225982
Moved 581.1466 409.8199 444.3698 0.08649297 0.108738
Moved 581.1616 407.0457 430.2285 0.08167654 0.08145917
Moved 581.1771 403.4621 418.6942 0.075455 0.05920948
