the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 1065.99 185 409.5621 -0.3038194 0.1247805
Moved 1066.005 185 407 -0.3038194 0.1099538
Moved 1066.021 185 405 -0.3038194 0.09837972
Moved 1066.036 185 402.2242 -0.3038194 0.08231631
Moved 1066.051 185 399.4919 -0.3038194 0.06650404
Moved 1066.069 185 397.3824 -0.3038194 0.0542963
Moved 1066.083 185 395.0324 -0.3038194 0.04069699
Moved 1066.099 185 393.6536 -0.3038194 0.03271783
Moved 1066.113 185 392.5 -0.3038194 0.02604176
Moved 1066.134 185 390.9545 -0.3038194 0.01709797
Stationary 1066.146 185 391 -0.3038194 0.01736111
Moved 1066.159 185 389.5329 -0.3038194 0.008870937
Moved 1066.178 185 388.1667 -0.3038194 0.0009648005
Moved 1066.191 185 386.8037 -0.3038194 -0.006922881
Stationary 1066.206 185 386.8037 -0.3038194 -0.006922881
Moved 1066.224 185 385.6458 -0.3038194 -0.01362403
Moved 1066.236 185 384.8538 -0.3038194 -0.01820741
Stationary 1066.252 185 384.8538 -0.3038194 -0.01820741
Moved 1066.268 185 383.7045 -0.3038194 -0.0248584
Stationary 1066.283 185 383.7045 -0.3038194 -0.0248584
Ended 1066.297 185 382.8581 -0.3038194 -0.0297564
Began 1066.99 544 528 0.3194444 0.8101852
Stationary 1067.008 544 528 0.3194444 0.8101852
Stationary 1067.026 544 528 0.3194444 0.8101852
Stationary 1067.037 544 528 0.3194444 0.8101852
Stationary 1067.052 544 528 0.3194444 0.8101852
Stationary 1067.069 544 528 0.3194444 0.8101852
Stationary 1067.085 544 528 0.3194444 0.8101852
Stationary 1067.099 544 528 0.3194444 0.8101852
Moved 1067.116 534.9625 517.8328 0.3037544 0.7513474
Moved 1067.131 532.4042 513.8723 0.2993129 0.7284276
Moved 1067.146 527.3929 507.4911 0.2906126 0.6914994
Moved 1067.162 522.0576 502.0576 0.28135 0.6600556
Moved 1067.178 517.6369 495.6369 0.2736751 0.6228988
Moved 1067.193 513.1441 489.2402 0.2658752 0.585881
Moved 1067.208 509.0497 483.733 0.2587669 0.5540103
