parking lot is full of trucks
Basic
0.6 0.6
432 129.6
Moved 298.2623 173 382.0807 -0.4328704 -0.04567299
Moved 298.2794 172 383.4721 -0.4351852 -0.03493745
Moved 298.2946 172 384.5 -0.4351852 -0.02700594
Stationary 298.3088 172 384.5 -0.4351852 -0.02700594
Moved 298.324 172 386.4238 -0.4351852 -0.01216182
Moved 298.3405 172 387.8629 -0.4351852 -0.001057637
Moved 298.3558 172 390.5976 -0.4351852 0.02004341
Moved 298.3716 177.154 392.4726 -0.4232546 0.03451088
Moved 298.3871 181.3354 394.1677 -0.4135755 0.04759
Moved 298.402 184.2146 395.6073 -0.4069105 0.05869842
Moved 298.4168 186.6069 397.6069 -0.4013729 0.07412769
Moved 298.4333 189.3792 399.1896 -0.3949555 0.08633932
Moved 298.4488 192.8575 399.6191 -0.386904 0.08965386
Moved 298.4633 197.182 401.0607 -0.3768935 0.1007769
Moved 298.4791 199.998 402.499 -0.3703749 0.1118752
Moved 298.4935 203.8056 403.9352 -0.361561 0.1229566
Moved 298.5096 206.7395 404 -0.3547696 0.123457
Moved 298.5246 210.5 405.5 -0.3460648 0.1350308
Moved 298.542 213.7281 406.9094 -0.3385925 0.1459057
Moved 298.5632 221.3605 407.7869 -0.3209247 0.1526766
Stationary 298.5744 221.3605 407.7869 -0.3209247 0.1526766
Moved 298.5866 225.6767 409.2256 -0.3109336 0.1637777
Moved 298.6026 229.3325 409.6662 -0.3024712 0.1671776
Moved 298.6184 233.3092 410 -0.2932658 0.1697531
Moved 298.6334 237.5 411.5 -0.2835648 0.1813273
Moved 298.6486 240.8372 412 -0.2758399 0.1851853
Moved 298.6642 244.092 413.046 -0.2683056 0.1932566
Moved 298.6804 248.467 414.489 -0.2581783 0.2043907
Moved 298.6944 252.7793 415 -0.2481961 0.2083334
Moved 298.7106 255.7303 416.3651 -0.2413651 0.2188667
Moved 298.7263 259.6158 416.8079 -0.2323709 0.2222829
Moved 298.7415 262.491 417 -0.2257152 0.2237654
Moved 298.7563 263.2823 417 -0.2238834 0.2237654
Moved 298.7719 266.5999 418 -0.216204 0.2314815
Moved 298.7874 270.743 419.2477 -0.2066135 0.2411085
Moved 298.803 273.3742 420 -0.2005226 0.2469136
Moved 298.8174 276.2516 421.1259 -0.1938619 0.2556009
Moved 298.8344 280.1217 421.5609 -0.1849034 0.2589572
Moved 298.8485 284.0016 423.0005 -0.1759223 0.2700661
Moved 298.8643 287.1972 423 -0.168525 0.2700617
Moved 298.8795 290 424.5 -0.162037 0.2816359
Moved 298.8954 294.8821 424.9607 -0.1507359 0.2851907
Moved 298.9111 297.7988 426.3994 -0.1439842 0.2962918
Moved 298.9268 301.6819 426.8409 -0.1349955 0.2996987
Moved 298.9417 304.5594 427 -0.1283348 0.3009261
Moved 298.9568 306.5585 428 -0.1237071 0.308642
Moved 298.9735 307.9367 428 -0.1205169 0.308642
Moved 298.9883 309.3604 429.3604 -0.1172213 0.3191391
Moved 299.0154 312.2501 429 -0.1105322 0.3163581
Moved 299.0275 314.373 430 -0.1056181 0.3240741
Stationary 299.0385 314.373 430 -0.1056181 0.3240741
Moved 299.0491 316.1301 430 -0.1015508 0.3240741
Moved 299.0657 317.5698 430 -0.09821802 0.3240741
Moved 299.0812 318.7564 430.7564 -0.09547119 0.3299107
Moved 299.0951 320.1329 431 -0.09228488 0.33179
Moved 299.1101 321.5 431 -0.08912037 0.33179
Moved 299.1259 322.0028 431 -0.08795638 0.33179
Moved 299.1422 323.4005 431 -0.0847211 0.33179
Moved 299.1564 324.5 432.5 -0.08217593 0.3433642
Stationary 299.1734 324.5 432.5 -0.08217593 0.3433642
Moved 299.1913 325.2444 432 -0.08045266 0.3395063
Stationary 299.203 325.2444 432 -0.08045266 0.3395063
Moved 299.2184 326.3139 432 -0.07797698 0.3395063
Stationary 299.234 326.3139 432 -0.07797698 0.3395063
Stationary 299.2494 326.3139 432 -0.07797698 0.3395063
Moved 299.2644 327.1115 432 -0.07613082 0.3395063
Stationary 299.2802 327.1115 432 -0.07613082 0.3395063
Stationary 299.2967 327.1115 432 -0.07613082 0.3395063
Moved 299.3114 328.1266 432 -0.07378106 0.3395063
Stationary 299.3263 328.1266 432 -0.07378106 0.3395063
Stationary 299.3415 328.1266 432 -0.07378106 0.3395063
Moved 299.3575 329.1869 432 -0.07132669 0.3395063
Moved 299.3734 330.1526 432 -0.06909107 0.3395063
Moved 299.3903 332.4896 432 -0.0636815 0.3395063
Moved 299.4036 335.3447 432 -0.05707254 0.3395063
Moved 299.424 336.192 432 -0.0551112 0.3395063
Moved 299.4356 341.0981 424.3006 -0.04375428 0.2800973
Moved 299.4501 345.4216 422.8594 -0.03374621 0.268977
Moved 299.4653 351.3154 419.8423 -0.02010331 0.2456969
Moved 299.4806 357.0475 417.9881 -0.006834467 0.2313897
Moved 299.497 362.8523 416.5369 0.006602506 0.2201925
Moved 299.513 367.5805 414.2098 0.01754751 0.2022361
Moved 299.5287 373.1223 412.9755 0.03037562 0.1927125
Moved 299.5422 380.3527 411.5295 0.0471128 0.1815545
Moved 299.5586 386.6374 410.0906 0.06166051 0.1704526
Moved 299.5743 392.4078 410 0.07501811 0.1697531
Moved 299.5912 398.1319 408.217 0.08826832 0.1559958
Moved 299.6045 401.4608 406.7696 0.0959741 0.1448272
Moved 299.6194 406.3343 407 0.1072552 0.1466051
Moved 299.6357 409.4777 406.1741 0.1145316 0.1402325
Moved 299.6513 414.8088 406 0.1268723 0.1388888
Moved 299.6666 418.585 405.3538 0.1356134 0.1339026
Moved 299.6818 422.1719 405 0.1439165 0.131173
Moved 299.6981 426.5742 404.4753 0.1541068 0.1271243
Moved 299.7133 429.9269 404 0.1618678 0.123457
Moved 299.7277 433.8044 404 0.1708435 0.123457
Moved 299.7425 436.2274 403.3863 0.1764523 0.1187216
Moved 299.7584 438.8083 403 0.1824268 0.1157407
Moved 299.7754 441.7 403 0.1891205 0.1157407
Moved 299.7902 444.5782 402 0.1957829 0.1080247
Moved 299.812 448.6672 402 0.2052481 0.1080247
Stationary 299.8235 448.6672 402 0.2052481 0.1080247
Moved 299.8357 451.2054 402 0.2111237 0.1080247
Moved 299.8516 454 402 0.2175926 0.1080247
Moved 299.8667 456.3115 402 0.2229432 0.1080247
Moved 299.8821 459.1891 402 0.2296045 0.1080247
Moved 299.8969 462.0665 402 0.2362651 0.1080247
Moved 299.9133 464.9385 402 0.2429132 0.1080247
Moved 299.9279 466.4119 402 0.2463239 0.1080247
Moved 299.9439 467.8423 402 0.2496349 0.1080247
Moved 299.9594 469.2945 402 0.2529966 0.1080247
Moved 299.9753 470.2783 402 0.2552738 0.1080247
Moved 299.9905 471.8153 402 0.2588317 0.1080247
Moved 300.0058 473.2505 402 0.262154 0.1080247
Moved 300.0217 474.5 402 0.2650462 0.1080247
Moved 300.0367 475.0642 402 0.2663524 0.1080247
Moved 300.0526 476.567 402 0.2698311 0.1080247
Moved 300.0673 478.0034 402 0.273156 0.1080247
Moved 300.0825 479.1076 400.8924 0.275712 0.09947848
Moved 300.0977 480.58 400.4199 0.2791205 0.09583285
Moved 300.1121 482.0205 400 0.282455 0.09259272
Moved 300.1279 483.455 398.545 0.2857755 0.08136597
Moved 300.1436 484.898 398 0.2891157 0.0771605
Moved 300.1588 486.3367 396.6633 0.292446 0.06684668
Moved 300.1808 488.9108 396 0.2984046 0.0617284
Stationary 300.1921 488.9108 396 0.2984046 0.0617284
Moved 300.205 490.3122 394.6878 0.3016486 0.05160344
Moved 300.2208 490.7649 394.2351 0.3026965 0.04811063
Moved 300.2369 492.1854 394 0.3059846 0.04629641
Moved 300.2529 492.6906 393 0.3071542 0.03858013
Moved 300.2677 493 391.863 0.3078704 0.02980727
Moved 300.2827 494.5744 391.4257 0.3115147 0.02643256
Moved 300.2995 495.5 390.5 0.3136574 0.01929012
Moved 300.3138 496.0301 389.9698 0.3148845 0.01519957
Moved 300.3287 497.5 390 0.318287 0.0154321
Moved 300.3442 497.9607 389 0.3193536 0.007716286
Moved 300.3602 498 387.6032 0.3194444 -0.00306153
Moved 300.376 499 387.1647 0.3217593 -0.006444955
Moved 300.3908 500.2718 387 0.3247032 -0.007715932
Moved 300.4056 500 385.5 0.324074 -0.01929012
Moved 300.4216 501 385.1771 0.3263889 -0.0217818
Moved 300.4382 501 384.5 0.3263889 -0.02700594
Moved 300.4532 502 384.3029 0.3287037 -0.02852687
Moved 300.468 503.1372 384 0.3313361 -0.03086396
Moved 300.4838 503 382.5 0.3310186 -0.04243827
Stationary 300.4989 503 382.5 0.3310186 -0.04243827
Moved 300.5181 504.1505 383 0.3336818 -0.03858025
Stationary 300.5315 504.1505 383 0.3336818 -0.03858025
Stationary 300.5433 504.1505 383 0.3336818 -0.03858025
Stationary 300.559 504 383 0.3333333 -0.03858025
Stationary 300.5746 504 383 0.3333333 -0.03858025
Stationary 300.5896 504 383 0.3333333 -0.03858025
Moved 300.6055 504 394.1744 0.3333333 0.04764216
Moved 300.6218 504 399.6765 0.3333333 0.09009667
Moved 300.6381 504 402.7231 0.3333333 0.113604
Moved 300.6535 498.7314 405.5053 0.3211375 0.1350718
Moved 300.6681 495.8174 408.3653 0.3143921 0.1571396
Moved 300.6844 494.372 411.256 0.3110463 0.1794448
Moved 300.6992 492.9477 414.1046 0.3077493 0.2014239
Moved 300.7145 491.5 417 0.3043981 0.2237654
Moved 300.7315 490.0601 418.8798 0.3010651 0.2382703
Moved 300.7452 488.9698 421.0603 0.2985413 0.2550949
Moved 300.7625 487.5166 423.4834 0.2951773 0.2737917
Moved 300.7771 486.0764 424.9236 0.2918435 0.2849043
Moved 300.7923 484.6363 427.7275 0.2885098 0.3065392
Moved 300.8069 483.1955 428.8045 0.2851747 0.3148497
Moved 300.822 481.7559 431.4882 0.2818424 0.3355568
Moved 300.8441 478.2054 432.7946 0.2736237 0.3456371
Stationary 300.8549 478.2054 432.7946 0.2736237 0.3456371
Moved 300.8687 476.8394 435.3211 0.2704616 0.3651321
Moved 300.8842 474.4012 435.5988 0.2648177 0.367275
Moved 300.9001 472.9624 437.0376 0.2614871 0.3783764
Moved 300.915 471.5237 438.4763 0.2581567 0.3894773
Moved 300.9316 470.0849 438.9151 0.2548262 0.3928635
Moved 300.948 467.2848 440.3576 0.2483446 0.4039938
Stationary 300.9635 467.2848 440.3576 0.2483446 0.4039938
Moved 300.9776 466.0935 440.9065 0.2455868 0.4082291
Moved 300.9926 464.6509 441 0.2422474 0.4089505
Moved 301.0084 463.2132 442 0.2389195 0.4166667
Moved 301.0244 461.7744 442 0.2355888 0.4166667
Moved 301.0392 460.3405 442.6595 0.2322696 0.4217558
Moved 301.0538 458.9026 443 0.2289411 0.4243827
Moved 301.0695 457.5 443 0.2256945 0.4243827
Stationary 301.0843 457.5 443 0.2256945 0.4243827
Moved 301.0995 455.934 444.066 0.2220693 0.4326084
Moved 301.1149 454.4966 444 0.2187422 0.432099
Moved 301.131 453.0592 444 0.2154148 0.432099
Moved 301.1536 451.1819 444 0.2110691 0.432099
Stationary 301.1633 451.1819 444 0.2110691 0.432099
Moved 301.1759 450.5 444 0.2094908 0.432099
Moved 301.1933 449.8304 445.1696 0.2079407 0.4411236
Stationary 301.209 449.8304 445.1696 0.2079407 0.4411236
Moved 301.2221 447.7316 445 0.2030825 0.4398148
Stationary 301.2391 447.7316 445 0.2030825 0.4398148
Moved 301.2553 445.848 445 0.1987223 0.4398148
Stationary 301.2693 445.848 445 0.1987223 0.4398148
Moved 301.2845 444.6277 445 0.1958973 0.4398148
Moved 301.3005 443.9397 445 0.1943048 0.4398148
Stationary 301.3153 443.9397 445 0.1943048 0.4398148
Moved 301.3305 442.6271 445 0.1912664 0.4398148
Stationary 301.347 442.6271 445 0.1912664 0.4398148
Moved 301.3625 441.122 437.122 0.1877824 0.3790279
Moved 301.3779 441 435.6795 0.1875 0.3678975
Moved 301.3931 440.2466 434.2466 0.1857561 0.3568413
Moved 301.4081 440 433.1252 0.1851852 0.3481883
Moved 301.4237 440 431.7316 0.1851852 0.3374355
Moved 301.4389 439 429.2979 0.1828703 0.3186564
Moved 301.4608 438 425.8375 0.1805556 0.2919561
Stationary 301.4711 438 425.8375 0.1805556 0.2919561
