watch out for low flying objects
Basic
0.8 0.8
575.9999 518.4
Stationary 324.9234 542.3652 441 0.3166062 0.1022376
Moved 324.9354 549.9879 441 0.32984 0.1022376
Moved 324.9539 557.1412 441 0.342259 0.1022376
Moved 324.9673 562.4905 433.1274 0.351546 0.08705121
Moved 324.9822 566.9443 433 0.3592784 0.08680546
Moved 324.9986 568.7556 432 0.3624228 0.08487651
Moved 325.014 571.3806 432 0.3669801 0.08487651
Moved 325.0283 572.5 430.5 0.3689236 0.08198296
Stationary 325.0437 572.5 430.5 0.3689236 0.08198296
Moved 325.0599 573 431 0.3697917 0.08294743
Stationary 325.075 573 431 0.3697917 0.08294743
Stationary 325.0903 573 431 0.3697917 0.08294743
Moved 325.1065 557.7611 442.7222 0.3433353 0.1055598
Moved 325.1216 546.3389 448.8305 0.3235051 0.1173427
Moved 325.1368 529.2893 457.3553 0.293905 0.1337872
Moved 325.1538 515.23 463.7585 0.2694966 0.1461391
Moved 325.1688 494.0085 472.5847 0.2326536 0.1631649
Moved 325.1828 468.2404 485.3798 0.1879174 0.1878467
Moved 325.1989 447.6776 495.7505 0.152218 0.207852
Moved 325.2141 427.3628 507.0784 0.1169493 0.2297037
Moved 325.2295 410.6955 513.1015 0.08801296 0.2413223
Moved 325.2447 396.6311 519.6844 0.06359569 0.2540209
Moved 325.26 386 522 0.0451389 0.2584876
Moved 325.2753 379.7116 525.3154 0.03422149 0.264883
Moved 325.2907 374.7164 527.0945 0.02554931 0.268315
Moved 325.3058 373 528.5348 0.02256945 0.2710932
Moved 325.3283 372 531.4096 0.02083331 0.2766388
Stationary 325.3396 372 531.4096 0.02083331 0.2766388
Stationary 325.3516 372 531.4096 0.02083331 0.2766388
Moved 325.3671 381.0343 532 0.03651782 0.2777777
Moved 325.3831 388.155 532 0.04888028 0.2777777
Moved 325.3991 405.3178 519.9176 0.07867671 0.2544706
Moved 325.4147 421.1798 513.8437 0.1062149 0.242754
Moved 325.4289 433.8161 508.819 0.1281529 0.2330612
Moved 325.444 445.3259 504.5028 0.1481353 0.2247352
Moved 325.4639 456.466 502.7853 0.1674756 0.2214222
Moved 325.4794 470.4311 499.9138 0.1917207 0.2158829
Moved 325.4903 483.1693 500 0.2138355 0.2160493
Moved 325.5053 506.597 500 0.2545088 0.2160493
Moved 325.5209 528.2222 500 0.2920525 0.2160493
Moved 325.5364 541.0435 500 0.3143117 0.2160493
Moved 325.5518 551.4753 506.2655 0.3324225 0.2281355
Moved 325.5682 557.3351 507 0.3425956 0.2295524
Moved 325.5826 559.5408 507 0.346425 0.2295524
Moved 325.5978 560.9302 507 0.3488372 0.2295524
Moved 325.6132 562.3442 507 0.351292 0.2295524
Stationary 325.6285 562.3442 507 0.351292 0.2295524
Moved 325.6436 562 496.2637 0.3506944 0.2088419
Moved 325.6595 553.9597 479.6197 0.3367356 0.1767354
Moved 325.6746 541.0278 458.1771 0.3142843 0.1353724
Moved 325.6904 527.6178 438.7833 0.2910031 0.09796162
