watch out for low flying objects
Basic
0.4 0.4
288 259.2
Stationary 398.1756 316 294.751 -0.1527778 -0.3597568
Stationary 398.1885 316 294.751 -0.1527778 -0.3597568
Stationary 398.2041 316 295 -0.1527778 -0.3587964
Stationary 398.2194 316 295 -0.1527778 -0.3587964
Stationary 398.2344 316 295 -0.1527778 -0.3587964
Stationary 398.2509 316 295 -0.1527778 -0.3587964
Moved 398.2672 324.2911 305.3287 -0.1239893 -0.3189481
Moved 398.2826 326.4426 306.4426 -0.1165187 -0.3146507
Moved 398.2977 329.3135 311.627 -0.1065503 -0.2946489
Moved 398.3131 332.1976 315.7964 -0.0965362 -0.2785633
Moved 398.3281 336.1038 321.1384 -0.08297294 -0.2579538
Moved 398.3434 337.0797 324.2391 -0.07958442 -0.2459912
Moved 398.3596 341.5 330 -0.06423607 -0.2237654
Moved 398.3741 343.9725 335.9313 -0.055651 -0.2008824
Moved 398.3899 346.8499 338.8499 -0.04565999 -0.1896223
Moved 398.4064 349.7225 345.445 -0.03568575 -0.1641783
Moved 398.4208 353.9552 351.2736 -0.02098903 -0.1416915
Moved 398.436 356.481 355.962 -0.0122188 -0.1236035
Moved 398.4519 358.7813 359.6721 -0.004231483 -0.10929
Moved 398.4674 361.588 363.882 0.005513876 -0.09304811
Moved 398.4828 363.4653 368.198 0.01203239 -0.07639661
Moved 398.498 365.1715 372.5145 0.0179565 -0.05974369
Moved 398.5137 367.6056 376.2112 0.02640828 -0.04548167
Moved 398.5296 369.0462 379.0924 0.03141045 -0.03436583
Moved 398.5453 371.9612 383.4419 0.04153207 -0.0175854
Moved 398.5579 374.365 386.365 0.04987836 -0.006308084
Moved 398.5741 376.009 389.0181 0.05558699 0.003927607
Moved 398.5961 379.8868 394.8868 0.06905153 0.0265696
Stationary 398.6068 379.8868 394.8868 0.06905153 0.0265696
Moved 398.6203 381.3253 397.6507 0.0740464 0.03723244
Moved 398.6378 382.7669 399 0.0790517 0.04243821
Moved 398.6531 384.2056 400.2056 0.08404716 0.04708949
Moved 398.6678 384 401.5 0.0833334 0.05208333
Moved 398.6828 385.7811 402.7811 0.08951768 0.05702589
Moved 398.6989 387.2199 404.2199 0.09451374 0.06257669
Moved 398.7128 387.6595 405.6595 0.09604007 0.06813096
Moved 398.7292 388.5 406.5 0.09895831 0.07137339
Moved 398.745 389.2698 407.2698 0.1016314 0.07434332
Stationary 398.7587 389.2698 407.2698 0.1016314 0.07434332
Moved 398.775 390 408 0.1041667 0.07716037
Moved 398.7902 391.3893 409.3893 0.1089905 0.08252019
Moved 398.8055 392.955 409.9551 0.1144272 0.08470305
Moved 398.822 394.4138 410 0.1194924 0.08487642
Ended 398.8371 398 412 0.1319444 0.09259252
Began 400.2092 546 469 0.6458333 0.3125
Stationary 400.224 546 469 0.6458333 0.3125
Stationary 400.2384 546 469 0.6458333 0.3125
Stationary 400.2552 546 469 0.6458333 0.3125
Stationary 400.269 546 469 0.6458333 0.3125
Stationary 400.2844 546 469 0.6458333 0.3125
Stationary 400.3068 546 469 0.6458333 0.3125
Stationary 400.3167 546 469 0.6458333 0.3125
Stationary 400.3307 546 469 0.6458333 0.3125
Moved 400.3467 533.9025 469 0.6038283 0.3125
Moved 400.3627 535.2041 469 0.6083475 0.3125
Moved 400.378 532.5332 469 0.5990736 0.3125
Moved 400.3935 529.6675 469 0.5891232 0.3125
Moved 400.4088 527.8875 469 0.5829425 0.3125
Moved 400.4243 525.6594 469 0.5752062 0.3125
Moved 400.44 523.3376 469 0.5671445 0.3125
Moved 400.4565 520.7996 469 0.558332 0.3125
Moved 400.4699 518.4713 469 0.5502476 0.3125
Moved 400.4859 517.0283 469 0.545237 0.3125
Moved 400.501 515.5973 478.819 0.5402684 0.3503817
Moved 400.517 513.1533 476 0.5317823 0.339506
Moved 400.5321 511.0963 476 0.52464 0.339506
Moved 400.5477 508.2604 476 0.5147929 0.339506
Moved 400.5641 506.3704 476 0.5082304 0.339506
Moved 400.5797 503.4919 476 0.4982358 0.339506
Moved 400.5948 499.6087 476 0.4847524 0.339506
Moved 400.6097 495.6256 476 0.4709223 0.339506
Moved 400.625 492.2854 476 0.4593243 0.339506
Moved 400.641 489.4432 476 0.4494555 0.339506
Moved 400.66 485.5453 477.1516 0.4359213 0.3439488
Moved 400.6714 481.8239 477 0.4229997 0.3433641
Moved 400.6867 477.93 477 0.4094791 0.3433641
Moved 400.7028 473.5763 477 0.394362 0.3433641
Moved 400.7185 470.2713 477 0.3828864 0.3433641
Moved 400.7323 467.3192 477 0.3726362 0.3433641
Moved 400.7493 463.5 477 0.359375 0.3433641
Moved 400.7638 460.3403 477.8865 0.3484038 0.3467844
Moved 400.7795 456.0467 478 0.3334956 0.3472221
Moved 400.796 451.7038 478 0.3184161 0.3472221
Moved 400.8102 448.5807 478 0.3075719 0.3472221
Moved 400.8257 443.0609 479 0.2884058 0.3510802
Moved 400.8414 438.7505 479 0.2734393 0.3510802
Moved 400.8568 436 479 0.2638888 0.3510802
Moved 400.8712 432.2206 479 0.2507661 0.3510802
Moved 400.8882 426.837 480.0408 0.2320727 0.3550955
Moved 400.9037 424.0585 480 0.2224254 0.3549381
Moved 400.9182 418.2634 480 0.2023035 0.3549381
Moved 400.9331 413.9586 480 0.1873562 0.3549381
Moved 400.95 409.6243 480 0.1723064 0.3549381
Moved 400.9645 405.3167 480 0.1573495 0.3549381
Moved 400.9805 402.2165 480 0.1465851 0.3549381
Moved 400.9955 397.6224 480 0.1306334 0.3549381
Moved 401.0164 387.3501 480 0.09496569 0.3549381
Stationary 401.0279 387.3501 480 0.09496569 0.3549381
Moved 401.0415 381.6118 480 0.0750409 0.3549381
Moved 401.0569 376.3831 480 0.05688562 0.3549381
Moved 401.0723 372.0668 480 0.04189879 0.3549381
Moved 401.088 368.86 480 0.03076374 0.3549381
Moved 401.1037 364.4899 480 0.01558989 0.3549381
Moved 401.1183 361.1132 480 0.003865212 0.3549381
Moved 401.1348 356.8651 480 -0.01088492 0.3549381
Moved 401.1499 354.3729 480 -0.01953848 0.3549381
Moved 401.1651 351.4904 480 -0.02954729 0.3549381
Moved 401.1793 349.6092 480 -0.03607906 0.3549381
Moved 401.1973 347.2465 480 -0.04428312 0.3549381
Moved 401.2118 344.4622 480 -0.05395062 0.3549381
Moved 401.2261 342.5745 480 -0.06050534 0.3549381
Moved 401.2423 340.8452 480 -0.06650977 0.3549381
Moved 401.2571 339.5 480 -0.07118054 0.3549381
Moved 401.2722 338.9856 480 -0.07296681 0.3549381
Moved 401.2881 337.5309 480 -0.07801763 0.3549381
Moved 401.3041 336.318 480 -0.08222907 0.3549381
Moved 401.3232 335.5 480 -0.08506946 0.3549381
Moved 401.335 334.775 480 -0.08758672 0.3549381
Stationary 401.3499 334.775 480 -0.08758672 0.3549381
