did you have a good time
Basic
0.6 0.6
432 129.6
Began 321.5979 405 378 0.1041667 -0.0771605
Stationary 321.6153 405 378 0.1041667 -0.0771605
Stationary 321.63 405 378 0.1041667 -0.0771605
Stationary 321.6454 405 378 0.1041667 -0.0771605
Stationary 321.6618 405 378 0.1041667 -0.0771605
Stationary 321.6765 405 378 0.1041667 -0.0771605
Stationary 321.6923 405 378 0.1041667 -0.0771605
Stationary 321.7059 405 378 0.1041667 -0.0771605
Stationary 321.725 405 378 0.1041667 -0.0771605
Stationary 321.7379 405 378 0.1041667 -0.0771605
Stationary 321.753 405 378 0.1041667 -0.0771605
Stationary 321.7686 405 378 0.1041667 -0.0771605
Moved 321.7837 397.2312 378 0.08618344 -0.0771605
Moved 321.7995 391.5 378 0.07291664 -0.0771605
Stationary 321.815 391.5 378 0.07291664 -0.0771605
Moved 321.8304 395 378 0.08101851 -0.0771605
Stationary 321.8461 395 378 0.08101851 -0.0771605
Moved 321.8605 393.5 378 0.07754634 -0.0771605
Stationary 321.8773 393.5 378 0.07754634 -0.0771605
Moved 321.8935 392.7979 378 0.07592101 -0.0771605
Stationary 321.9082 392.7979 378 0.07592101 -0.0771605
Moved 321.9226 391.8398 378 0.07370322 -0.0771605
Stationary 321.9375 391.8398 378 0.07370322 -0.0771605
Stationary 321.9533 392 378 0.07407407 -0.0771605
Moved 321.9684 390.5535 378 0.07072558 -0.0771605
Stationary 321.9857 390.5535 378 0.07072558 -0.0771605
Moved 322.0006 389.8928 378 0.06919632 -0.0771605
Moved 322.0164 389 378 0.06712963 -0.0771605
Moved 322.0352 387.7959 378 0.06434232 -0.0771605
Moved 322.0464 388 388.5 0.06481478 0.003857907
Moved 322.062 386.2205 387.5591 0.06069551 -0.003402145
Moved 322.079 384.7845 389.2155 0.05737156 0.00937874
Moved 322.0935 383.347 390.653 0.05404413 0.02047044
Moved 322.1082 381.9062 392.0939 0.05070865 0.03158864
Moved 322.123 380.5 395 0.04745374 0.05401247
Moved 322.1399 379.0372 395 0.0440676 0.05401247
Moved 322.1551 377.5987 396.4013 0.04073769 0.06482489
Moved 322.1707 376.6229 397.3771 0.03847897 0.07235421
Moved 322.1857 375.0572 397.9427 0.03485471 0.07671875
Moved 322.2017 373.6187 398 0.0315247 0.0771605
Moved 322.216 371.1823 398 0.02588491 0.0771605
Moved 322.2321 368.4882 398 0.01964847 0.0771605
Moved 322.247 364.9159 398 0.01137932 0.0771605
Moved 322.2628 361.6275 398 0.003767411 0.0771605
Moved 322.278 358.4365 398 -0.003619144 0.0771605
Moved 322.2932 354.2174 398 -0.01338571 0.0771605
Moved 322.3127 350.7313 398 -0.02145534 0.0771605
Moved 322.3262 346.2805 398 -0.031758 0.0771605
Moved 322.34 339.9549 398 -0.04640077 0.0771605
Moved 322.3563 334.209 398 -0.0597014 0.0771605
Moved 322.3709 326.58 391.8121 -0.07736106 0.02941414
Moved 322.3867 320.9872 389.9974 -0.09030739 0.01541232
Moved 322.4027 313.7896 388.5579 -0.1069684 0.004305074
Moved 322.419 306.5833 387.1166 -0.1236497 -0.006816064
Moved 322.4328 299.4066 387 -0.1402624 -0.007715932
Moved 322.4475 292.2192 385.2438 -0.1569 -0.0212667
Moved 322.4641 283.8549 383.8091 -0.1762617 -0.03233686
Moved 322.4782 277.4825 382.3706 -0.1910128 -0.04343669
Moved 322.4936 272.8424 381.2106 -0.2017538 -0.05238757
Moved 322.5099 267.3956 379.8489 -0.214362 -0.06289447
Moved 322.5253 260.6275 380 -0.2300289 -0.06172816
Moved 322.5402 253.8553 378.9711 -0.2457054 -0.06966768
Moved 322.5555 248.1291 379 -0.2589604 -0.06944421
Moved 322.5714 243.2805 379 -0.2701841 -0.06944421
Moved 322.5909 237.6191 379 -0.2832891 -0.06944421
Moved 322.6034 234.5 379 -0.2905093 -0.06944421
Moved 322.6168 230.1586 379 -0.3005589 -0.06944421
Moved 322.6329 223.2219 379 -0.316616 -0.06944421
Moved 322.6482 218.8184 379 -0.3268092 -0.06944421
Moved 322.6634 214.2976 379 -0.337274 -0.06944421
Moved 322.6792 210.6561 379 -0.3457035 -0.06944421
Moved 322.6947 206.6748 379 -0.3549195 -0.06944421
Moved 322.7107 205.5 379 -0.3576389 -0.06944421
Moved 322.7251 203.3499 379 -0.3626159 -0.06944421
Moved 322.7414 201.9111 379 -0.3659464 -0.06944421
Moved 322.7554 200.5 379 -0.369213 -0.06944421
Moved 322.7711 200 379 -0.3703704 -0.06944421
Moved 322.7863 198.5926 379 -0.3736282 -0.06944421
Stationary 322.8022 198.5926 379 -0.3736282 -0.06944421
Stationary 322.8181 199 379 -0.3726852 -0.06944421
Moved 322.832 199 387.011 -0.3726852 -0.007631161
Stationary 322.848 199 387.011 -0.3726852 -0.007631161
Moved 322.8698 199 388 -0.3726852 1.177376E-07
Stationary 322.8807 199 388 -0.3726852 1.177376E-07
Moved 322.8943 199 389.1002 -0.3726852 0.00848935
