he is still on our team
Basic
0.8 0.8
575.9999 518.4
Moved 336.3065 213 425.3329 -0.2552083 0.07201565
Moved 336.3221 214 425.7656 -0.2534722 0.07285021
Moved 336.338 215.1988 427.1988 -0.251391 0.07561488
Moved 336.3551 216.6333 427 -0.2489006 0.07523145
Moved 336.3685 218.0689 428.0689 -0.2464081 0.07729338
Stationary 336.3842 218.0689 428.0689 -0.2464081 0.07729338
Moved 336.3985 219.692 429 -0.2435902 0.07908947
Moved 336.4146 221.0147 430.0147 -0.2412938 0.08104686
Stationary 336.4299 221 430 -0.2413194 0.08101846
Moved 336.4449 223.8894 431 -0.2363031 0.08294743
Moved 336.461 225.3282 432.3282 -0.2338052 0.08550958
Moved 336.4765 227.5281 433 -0.2299859 0.08680546
Moved 336.4919 229.2028 434.2028 -0.2270785 0.08912563
Moved 336.5064 232 435.5 -0.2222222 0.09162802
Moved 336.5223 233.7548 437.7548 -0.2191757 0.09597745
Moved 336.5383 236.3817 439.1909 -0.214615 0.09874773
Moved 336.5574 239.2639 442.2639 -0.2096113 0.1046756
Moved 336.5685 242.1496 445.1496 -0.2046014 0.1102422
Moved 336.5836 246.5 449.5 -0.1970486 0.1186342
Moved 336.5993 249.8396 453.8396 -0.1912506 0.1270054
Moved 336.6142 254.1203 459.4937 -0.1838189 0.1379122
Moved 336.6303 255.6829 462.0243 -0.1811061 0.1427937
Moved 336.6484 262.593 471.3894 -0.1691094 0.1608591
Moved 336.6623 268.3317 481.3304 -0.1591464 0.1800355
Moved 336.6765 273.3215 487.8692 -0.1504834 0.1926488
Moved 336.6924 277.6341 495.0569 -0.1429963 0.206514
Moved 336.7072 282.9447 504.2412 -0.1337765 0.2242307
Moved 336.7238 288.3438 511.4298 -0.124403 0.2380976
Moved 336.7388 292.6844 516.8555 -0.1168674 0.2485637
Moved 336.7538 298.9901 524.6535 -0.1059199 0.2636063
Moved 336.7688 304.3872 531.484 -0.09654994 0.2767823
Moved 336.7843 308.5 538.5 -0.08940972 0.2903162
Moved 336.8007 312.9164 544.8885 -0.08174233 0.3026398
Moved 336.8152 317.2323 550.643 -0.07424954 0.3137403
Moved 336.8301 320.5342 555.5342 -0.06851706 0.3231754
Moved 336.8473 323.0236 559.0354 -0.06419516 0.3299294
Moved 336.8683 328.8133 565.72 -0.05414359 0.342824
Stationary 336.8798 328.8133 565.72 -0.05414359 0.342824
Moved 336.8927 330.3452 568.6905 -0.05148396 0.3485541
Moved 336.9087 333.5755 571.5755 -0.04587587 0.3541193
Moved 336.924 335.2156 574.4312 -0.04302851 0.3596279
Moved 336.9391 337.6634 576.3268 -0.03877882 0.3632846
Moved 336.9547 338.8035 577.8035 -0.03679942 0.3661332
Moved 336.9702 340.1757 579.1757 -0.03441714 0.3687802
Moved 336.9851 341.6168 580.6168 -0.03191523 0.3715602
Moved 337.0002 343.0584 582.0584 -0.02941247 0.374341
Moved 337.0152 344.4986 584 -0.02691216 0.3780864
Moved 337.0307 345.9363 584.9363 -0.02441618 0.3798925
Moved 337.0472 347.3815 586.3815 -0.02190717 0.3826802
Moved 337.0624 348 587 -0.02083335 0.3838734
Moved 337.0768 348.8969 588.7939 -0.01927614 0.3873338
Moved 337.0923 350.3358 589 -0.01677815 0.3877314
