just in time for the party
Basic
0.4 0.4
288 259.2
Moved 492.6954 360.3794 477 0.001317412 0.3433641
Moved 492.7107 360.8182 478 0.002840906 0.3472221
Moved 492.7259 361 479.2569 0.003472269 0.3520712
Moved 492.7409 362.5 479 0.008680522 0.3510802
Stationary 492.7563 362.5 479 0.008680522 0.3510802
Moved 492.7758 364.2234 480 0.01466453 0.3549381
Stationary 492.7881 364.2234 480 0.01466453 0.3549381
Moved 492.8029 366.1002 481.1002 0.02118125 0.3591829
Moved 492.8185 367.5 481 0.02604171 0.3587961
Moved 492.8341 369.9778 481 0.03464505 0.3587961
Moved 492.8486 372.8329 481 0.04455849 0.3587961
Moved 492.8633 375.3137 481 0.0531724 0.3587961
Moved 492.8807 378.9844 481 0.06591812 0.3587961
Moved 492.8962 381.8671 481 0.07592737 0.3587961
Moved 492.911 387.6169 481.8723 0.09589209 0.3621617
Moved 492.9259 393.2441 482 0.115431 0.3626542
Moved 492.9412 398.2579 482 0.1328398 0.3626542
Moved 492.959 403.7657 482 0.1519644 0.3626542
Moved 492.9727 409 482 0.1701389 0.3626542
Moved 492.9866 413.1896 482 0.184686 0.3626542
Moved 493.0025 418.6612 482 0.2036847 0.3626542
Moved 493.0178 422.2021 482 0.2159795 0.3626542
Moved 493.0335 426.1214 482 0.2295883 0.3626542
Moved 493.0568 431.8415 482 0.2494496 0.3626542
Stationary 493.0687 431.8415 482 0.2494496 0.3626542
Moved 493.08 433.3595 482 0.2547203 0.3626542
Moved 493.0948 434.3177 482 0.2580476 0.3626542
Moved 493.1132 435.8727 482 0.2634468 0.3626542
Moved 493.1259 437.311 482 0.268441 0.3626542
Moved 493.1418 438.7484 482 0.2734318 0.3626542
Moved 493.1588 440.1959 482 0.278458 0.3626542
Moved 493.1725 441.6348 482 0.2834542 0.3626542
Moved 493.1908 442.5 482 0.2864583 0.3626542
Moved 493.2034 443.0825 482 0.2884808 0.3626542
Moved 493.217 444 482 0.2916667 0.3626542
Moved 493.233 445.0753 482 0.2954002 0.3626542
Moved 493.2477 446.5 482 0.3003472 0.3626542
Stationary 493.2652 446.5 482 0.3003472 0.3626542
Moved 493.2779 448.408 482 0.3069722 0.3626542
Stationary 493.2936 448.408 482 0.3069722 0.3626542
Moved 493.311 449.3713 482 0.310317 0.3626542
Moved 493.3296 450.1531 482 0.3130316 0.3626542
Stationary 493.3405 450.1531 482 0.3130316 0.3626542
Moved 493.3561 451.374 482 0.3172708 0.3626542
Moved 493.3716 452 477.2236 0.3194444 0.3442268
Moved 493.3869 453.1201 473.8798 0.3233339 0.3313262
Moved 493.4032 454.5617 470.3148 0.3283393 0.3175722
Moved 493.4182 455 466.6897 0.329861 0.3035866
Moved 493.4352 456.1533 462.5402 0.3338656 0.2875777
Moved 493.449 457 456.6368 0.3368056 0.2648025
Moved 493.4649 457 450.8961 0.3368056 0.2426545
Moved 493.4807 457 446.6178 0.3368056 0.2261488
Moved 493.4964 458 439.3855 0.3402778 0.1982464
Moved 493.5108 458 433.6151 0.3402778 0.1759841
Moved 493.5267 458 427.5 0.3402778 0.1523918
Moved 493.5424 458 418.7919 0.3402778 0.1187957
Moved 493.5606 458 411.3163 0.3402778 0.08995479
Moved 493.5735 458 404.8957 0.3402778 0.06518399
Moved 493.5946 458 396.0241 0.3402778 0.03095703
Stationary 493.6051 458 396.0241 0.3402778 0.03095703
Moved 493.619 458 392.799 0.3402778 0.01851435
Moved 493.6349 458 387 0.3402778 -0.003858083
Moved 493.6508 458 383.5706 0.3402778 -0.0170889
Moved 493.6667 458 378.8617 0.3402778 -0.0352558
Moved 493.6805 458 372.5544 0.3402778 -0.05958945
Moved 493.6967 451.495 366.2828 0.3176908 -0.08378534
Moved 493.7139 449.632 361.896 0.3112222 -0.10071
Moved 493.7274 449.1794 354.7178 0.3096509 -0.1284038
Moved 493.7425 447.7367 351.4734 0.3046412 -0.1409207
Moved 493.7589 448 348.1472 0.3055556 -0.1537534
Moved 493.7728 446.1743 343.5229 0.2992164 -0.1715937
Moved 493.7881 444.7309 339.1928 0.2942046 -0.1882994
Moved 493.8049 443.2909 336.5818 0.2892045 -0.1983726
Moved 493.8199 443 333.7026 0.2881944 -0.2094808
Moved 493.8352 441.4097 330.8195 0.2826726 -0.220604
Moved 493.8563 441 328.968 0.28125 -0.2277469
Moved 493.8664 441 326.8266 0.28125 -0.2360086
Moved 493.8818 439.4487 324.4487 0.2758634 -0.2451827
Moved 493.8972 439 322.0048 0.2743055 -0.2546111
Moved 493.9125 437.5758 320.5758 0.2693604 -0.2601243
Moved 493.9273 438 318.2561 0.2708333 -0.2690736
Moved 493.9431 436.689 316.689 0.2662812 -0.2751198
Moved 493.9582 436.2474 314.2474 0.2647479 -0.2845396
Moved 493.9742 436 313.085 0.2638888 -0.2890243
Moved 493.9899 436 311.668 0.2638888 -0.2944907
Moved 494.0042 436 310.5 0.2638888 -0.298997
Moved 494.02 434.8927 308.7855 0.2600442 -0.3056116
Stationary 494.0364 434.8927 308.7855 0.2600442 -0.3056116
Moved 494.051 435 306.9055 0.2604167 -0.3128646
Moved 494.0662 435 305.5 0.2604167 -0.3182871
Stationary 494.0824 435 305.5 0.2604167 -0.3182871
Moved 494.1007 434 303.9194 0.2569444 -0.3243849
Stationary 494.1116 434 303.9194 0.2569444 -0.3243849
Moved 494.127 434 302.0395 0.2569444 -0.3316379
Moved 494.1436 432.5966 300.5966 0.2520716 -0.3372045
Stationary 494.1607 432.5966 300.5966 0.2520716 -0.3372045
Moved 494.1738 433 299.9058 0.2534721 -0.3398697
Stationary 494.1895 433 300 0.2534721 -0.3395063
Moved 494.2044 432.1995 299 0.2506928 -0.3433642
Moved 494.2204 432 297.7601 0.25 -0.3481477
Stationary 494.2365 432 298 0.25 -0.3472223
Moved 494.2501 430.8802 296.8802 0.2461117 -0.3515426
Stationary 494.2659 430.8802 296.8802 0.2461117 -0.3515426
Moved 494.2816 429.9989 297 0.2430516 -0.3510802
Moved 494.2976 428.5538 297 0.238034 -0.3510802
Stationary 494.3136 428.5538 297 0.238034 -0.3510802
Moved 494.3344 426.9966 297 0.2326272 -0.3510802
Moved 494.3456 424.0741 297 0.2224794 -0.3510802
Moved 494.3596 420.2097 297 0.2090615 -0.3510802
Moved 494.3753 414.6948 297 0.1899126 -0.3510802
Moved 494.3908 409.8867 302.4482 0.1732179 -0.330061
Moved 494.4057 402.8977 307.6614 0.1489504 -0.3099485
Moved 494.4212 400.3229 309.4514 0.1400103 -0.3030426
Moved 494.4372 392.2547 314.2472 0.1119956 -0.2845401
Moved 494.4515 387.4242 318.5758 0.09522288 -0.2678404
Moved 494.4683 382.1011 321.8989 0.07673979 -0.2550197
Moved 494.4846 376.7009 325.1496 0.05798906 -0.2424784
Moved 494.4998 374 328 0.04861116 -0.2314816
Moved 494.5139 368.1513 331.8991 0.02830327 -0.2164387
Moved 494.5291 364.7807 335.2193 0.0165996 -0.2036292
Moved 494.5447 360.5 339.5 0.001736134 -0.1871143
Moved 494.5656 357.0917 341.9388 -0.01009814 -0.1777051
Moved 494.5776 354.1682 344.8318 -0.02024948 -0.1665439
Moved 494.5909 351.2953 347.7047 -0.03022469 -0.1554603
Moved 494.6065 348.3881 350.6119 -0.04031904 -0.1442444
Moved 494.6211 345.5076 353.4924 -0.05032085 -0.133131
Moved 494.6371 343.2215 355.7786 -0.05825877 -0.1243111
Moved 494.6523 340.4104 358.5897 -0.06801955 -0.1134658
Moved 494.6673 337.5289 362.4711 -0.07802478 -0.09849112
Moved 494.6834 335.8223 365.3553 -0.08395024 -0.08736374
Moved 494.7014 332.7625 368.2375 -0.09457468 -0.07624425
Moved 494.714 330.9395 371.121 -0.1009045 -0.06511959
Moved 494.7274 329.5009 373.9981 -0.1058995 -0.05401976
Moved 494.7433 327.6242 375.3758 -0.1124159 -0.04870461
Moved 494.7609 327 377.0177 -0.1145833 -0.04236998
Moved 494.7791 324.1039 379.8961 -0.1246393 -0.03126509
Moved 494.7905 324 381.8868 -0.125 -0.02358495
Moved 494.806 322.6785 383.3215 -0.1295885 -0.01804976
Moved 494.8215 321.2309 386.5381 -0.1346148 -0.005639923
Moved 494.8363 319.7881 388.2119 -0.1396247 0.0008174519
Moved 494.8513 318.5 391 -0.1440972 0.01157396
Moved 494.8672 317.2331 392.5338 -0.1484962 0.01749144
Moved 494.883 317 394.2091 -0.1493055 0.02395477
Moved 494.8974 315.3509 395.6491 -0.1550316 0.02951033
Moved 494.9144 315 397.092 -0.15625 0.03507702
Moved 494.9297 314 399.5319 -0.1597222 0.04449043
Moved 494.945 313.0252 400.9749 -0.163107 0.05005718
Moved 494.9597 311.5823 402.4177 -0.168117 0.05562375
Moved 494.9751 312 403.3709 -0.1666667 0.05930117
Moved 494.9953 311.0592 404.9408 -0.1699334 0.06535795
