did you have a good time
Basic
0.8 0.8
575.9999 518.4
Moved 283.7734 449.3371 266.8428 0.1550992 -0.2337136
Moved 283.7896 445.9364 255.788 0.1491951 -0.2550387
Moved 283.8032 441.6092 234.046 0.1416826 -0.2969792
Moved 283.8211 442 226.4415 0.1423611 -0.3116483
Moved 283.8345 440.6491 216.5437 0.1400158 -0.3307413
Moved 283.8493 441 210.7904 0.140625 -0.3418395
Moved 283.8644 439.718 203.5897 0.1383992 -0.3557297
Moved 283.8802 439.2777 203.2777 0.1376349 -0.3563316
Moved 283.8965 437.2337 202.1168 0.1340863 -0.358571
Moved 283.9115 424.2816 202 0.1115999 -0.3587963
Moved 283.928 397.2559 231.7441 0.06468035 -0.3014195
Moved 283.9433 356.0378 279.9226 -0.006878785 -0.2084827
Moved 283.9591 321.46 326.1228 -0.06690967 -0.1193619
Moved 283.9753 301.5441 351.5803 -0.101486 -0.07025412
Moved 283.9893 281.1408 376.329 -0.1369083 -0.0225136
Moved 284.0044 268.8266 393.2081 -0.1582872 0.01004649
Moved 284.0201 252.9686 414.0428 -0.1858184 0.05023691
Moved 284.0392 237.4429 435.3356 -0.2127727 0.09131087
Moved 284.051 226.7822 455.3239 -0.2312809 0.1298686
Moved 284.0656 220.7135 470.2162 -0.2418168 0.1585961
Moved 284.0811 217.4685 483.6577 -0.2474506 0.1845247
Moved 284.0968 214.6005 496.7977 -0.2524296 0.209872
Moved 284.1123 213.5 505.5 -0.2543403 0.2266589
Moved 284.1277 212.2157 516.4901 -0.25657 0.2478589
Moved 284.1423 210.7784 531.4379 -0.2590653 0.2766934
Moved 284.1585 211 539.0032 -0.2586805 0.2912869
Moved 284.1739 209.9012 546.4943 -0.2605882 0.3057373
Moved 284.1901 209.4601 552.1597 -0.261354 0.3166659
Moved 284.2049 209 555.9601 -0.2621528 0.323997
Moved 284.2216 209 558.8406 -0.2621528 0.3295535
Moved 284.2361 209 561.0485 -0.2621528 0.3338125
Moved 284.2512 208.0329 563.9343 -0.2638318 0.3393794
Moved 284.2672 208 565.4075 -0.2638888 0.3422212
Ended 284.2841 208 566.5 -0.2638888 0.3443286
PhraseEnd 287.5483
