my bare face in the wind
Basic
0.6 0.6
432 129.6
Moved 410.0512 384.6695 382 0.05710543 -0.04629629
Moved 410.066 387.3948 382 0.06341387 -0.04629629
Moved 410.0819 390.1175 380.9412 0.06971648 -0.05446564
Moved 410.0986 391.0895 381 0.07196654 -0.05401235
Moved 410.1133 392.4484 381 0.07511199 -0.05401235
Moved 410.1282 392.8082 380 0.07594486 -0.06172816
Moved 410.143 394.177 380 0.07911354 -0.06172816
Stationary 410.1596 394.177 380 0.07911354 -0.06172816
Moved 410.1732 394.9039 379 0.08079609 -0.06944421
Moved 410.1938 395.5 379 0.08217593 -0.06944421
Stationary 410.2058 395.5 379 0.08217593 -0.06944421
Stationary 410.2205 395.5 379 0.08217593 -0.06944421
Moved 410.2368 395 379 0.08101851 -0.06944421
Stationary 410.2517 395 379 0.08101851 -0.06944421
Stationary 410.2667 395 379 0.08101851 -0.06944421
Stationary 410.2816 395 379 0.08101851 -0.06944421
Stationary 410.2979 395 379 0.08101851 -0.06944421
Moved 410.3125 379.9105 384.9378 0.04608899 -0.02362793
Moved 410.3293 374.2898 387.8841 0.03307819 -0.0008943346
Moved 410.3449 366.2514 391.8743 0.01447082 0.02989451
Moved 410.361 358.0755 395.9622 -0.004454801 0.061437
Moved 410.3761 349.8729 399.0424 -0.02344236 0.08520338
Moved 410.3912 341.653 403.1735 -0.0424698 0.1170792
Moved 410.4064 332.4781 407.2609 -0.06370813 0.1486184
Moved 410.4217 323.1186 411.3777 -0.08537357 0.180384
Moved 410.4411 316.6027 413.9589 -0.1004567 0.2003003
Moved 410.4556 311.3349 415.533 -0.1126507 0.2124463
Moved 410.4675 305.4328 417.7836 -0.126313 0.229812
Moved 410.4834 299.928 420.536 -0.1390556 0.2510495
Moved 410.4981 295.112 422.6293 -0.1502036 0.2672017
Moved 410.5135 290.0287 424.9857 -0.1619707 0.2853833
Moved 410.5293 287.2892 426.3553 -0.168312 0.2959519
Moved 410.5457 282.8451 427.7183 -0.1785993 0.3064685
Moved 410.5599 281.1979 428.8021 -0.1824122 0.3148308
Moved 410.5753 278.7976 430.1012 -0.1879684 0.3248549
Moved 410.5913 276.0814 430 -0.194256 0.3240741
Moved 410.6079 273.3431 431 -0.2005947 0.33179
Moved 410.6221 271.8123 432.1877 -0.2041383 0.3409547
Moved 410.6375 269.4423 432.5577 -0.2096243 0.3438093
Moved 410.654 267.1621 433 -0.2149025 0.3472221
Moved 410.6721 264.4375 433 -0.2212095 0.3472221
Moved 410.6838 261.2122 434.2626 -0.2286755 0.3569648
Moved 410.6979 257.1638 434.709 -0.2380467 0.3604094
Moved 410.7144 252.7829 435 -0.2481876 0.3626544
Moved 410.7298 248.6953 435 -0.2576497 0.3626544
Moved 410.7456 245.6143 436 -0.2647818 0.3703703
Moved 410.7607 242.6792 436 -0.271576 0.3703703
Moved 410.7758 238.9414 436 -0.2802282 0.3703703
Moved 410.7915 235.9959 436 -0.2870465 0.3703703
Moved 410.8077 233.2149 436 -0.2934841 0.3703703
Moved 410.8225 229.2532 436 -0.3026546 0.3703703
Moved 410.8386 226.3781 436 -0.3093099 0.3703703
Moved 410.8536 224.0384 436 -0.3147259 0.3703703
Moved 410.8685 221.2917 436 -0.3210841 0.3703703
Moved 410.8843 220.2842 436 -0.3234162 0.3703703
Moved 410.9077 217.8743 436 -0.3289947 0.3703703
Stationary 410.9178 217.8743 436 -0.3289947 0.3703703
Moved 410.9293 216.5 437.5 -0.3321759 0.3819445
Stationary 410.9447 216.5 437.5 -0.3321759 0.3819445
Moved 410.9603 215.6453 437 -0.3341545 0.3780865
Moved 410.9753 215 437 -0.3356481 0.3780865
Moved 410.9919 214.0099 437 -0.3379402 0.3780865
