coming up with killer sound bites
Basic
0.4 0.4
288 259.2
Moved 139.5988 270.2803 439.4013 -0.3115268 0.1983074
Moved 139.6163 268.8438 429.9064 -0.3165146 0.1616758
Moved 139.6303 268 420.4112 -0.3194444 0.125043
Moved 139.6457 266.9604 412.8021 -0.3230541 0.09568708
Moved 139.6624 267 405.574 -0.3229167 0.0678007
Moved 139.6771 267 401.9844 -0.3229167 0.05395224
Moved 139.6919 267 397.9971 -0.3229167 0.03856906
Moved 139.7146 267 392.2488 -0.3229167 0.01639207
Stationary 139.7268 267 392.2488 -0.3229167 0.01639207
Moved 139.7392 267 389.3964 -0.3229167 0.005387141
Moved 139.7535 267 387.5037 -0.3229167 -0.001914648
Moved 139.7697 267 386 -0.3229167 -0.007716166
Stationary 139.7851 267 385.689 -0.3229167 -0.008915971
Moved 139.7993 267 384.2605 -0.3229167 -0.01442721
Moved 139.8169 267 382.8123 -0.3229167 -0.02001456
Moved 139.8325 267 381.5 -0.3229167 -0.02507728
Moved 139.8476 267 380.9725 -0.3229167 -0.02711225
Moved 139.8614 267 379.5033 -0.3229167 -0.03278061
Stationary 139.8767 267 379.5033 -0.3229167 -0.03278061
Moved 139.8926 267 377.6276 -0.3229167 -0.04001723
Moved 139.909 267 376.6547 -0.3229167 -0.0437707
Stationary 139.9272 267 376.6547 -0.3229167 -0.0437707
Moved 139.9389 267 375.6255 -0.3229167 -0.04774117
Stationary 139.9526 267 375.6255 -0.3229167 -0.04774117
Ended 139.9695 267 374.7505 -0.3229167 -0.05111682
PhraseEnd 140.431
