my bare face in the wind
Basic
0.4 0.4
288 86.39999
Moved 619.6674 308.3248 389.188 -0.1794278 0.01375057
Moved 619.6817 306.7227 397.6637 -0.1849905 0.1118483
Moved 619.6976 304.4127 401.1746 -0.1930114 0.1524833
Moved 619.7132 302.3627 408.2746 -0.2001295 0.2346599
Moved 619.7286 300.7412 415.2939 -0.2057597 0.3159023
Moved 619.7441 299.3047 421.4762 -0.2107474 0.3874561
Moved 619.761 297.8669 426.3992 -0.2157399 0.4444355
Moved 619.7751 298 429.5736 -0.2152777 0.481176
Moved 619.79 298 431.9716 -0.2152777 0.5089299
Moved 619.8055 298 433.0406 -0.2152777 0.5213031
Ended 619.8265 298 433.0406 -0.2152777 0.5213031
Began 620.0491 416 377 0.1944445 -0.1273148
Stationary 620.0769 416 377 0.1944445 -0.1273148
Stationary 620.0917 416 377 0.1944445 -0.1273148
Stationary 620.1016 416 377 0.1944445 -0.1273148
Stationary 620.1136 416 377 0.1944445 -0.1273148
Stationary 620.1289 416 377 0.1944445 -0.1273148
Stationary 620.1437 416 377 0.1944445 -0.1273148
Stationary 620.1581 416 377 0.1944445 -0.1273148
Stationary 620.1761 416 377 0.1944445 -0.1273148
Stationary 620.1918 416 377 0.1944445 -0.1273148
Stationary 620.2073 416 377 0.1944445 -0.1273148
Moved 620.2213 416 365.7651 0.1944445 -0.2573483
Moved 620.2369 411.4711 358.412 0.1787192 -0.3424528
Moved 620.2534 406.8238 350.4715 0.1625827 -0.4343577
Moved 620.2697 404 343.5 0.1527777 -0.5150463
Moved 620.2831 403.3875 337.9373 0.1506509 -0.5794292
Moved 620.2991 401.9591 331.8364 0.1456913 -0.6500421
Moved 620.3171 400.5185 324.5925 0.1406892 -0.7338828
Moved 620.3311 399.081 319.2429 0.1356977 -0.7958003
Moved 620.3462 397.6411 316.2821 0.1306981 -0.8300679
Moved 620.3615 396.2008 311.6025 0.1256974 -0.8842302
Moved 620.3769 396 308.5283 0.125 -0.9198108
Moved 620.3922 394.7123 307.7123 0.1205288 -0.9292557
Moved 620.4068 395 305.1852 0.1215278 -0.9585049
Moved 620.4232 393.745 303.7451 0.1171702 -0.9751733
Stationary 620.438 393.745 303.7451 0.1171702 -0.9751733
Ended 620.4535 394 302.9529 0.1180555 -0.9843417
Began 620.717 295 451 -0.2256945 0.7291667
Stationary 620.7308 295 451 -0.2256945 0.7291667
Stationary 620.7446 295 451 -0.2256945 0.7291667
Stationary 620.761 295 451 -0.2256945 0.7291667
Stationary 620.7759 295 451 -0.2256945 0.7291667
Stationary 620.7914 295 451 -0.2256945 0.7291667
Stationary 620.8073 295 451 -0.2256945 0.7291667
Moved 620.8225 308.9578 438.0316 -0.1772298 0.5790696
Moved 620.8391 313.244 434.817 -0.162347 0.5418631
Moved 620.855 319 430.5 -0.1423611 0.4918981
Moved 620.8723 325.8614 427.1039 -0.1185367 0.4525923
Moved 620.8848 330.2047 424.1969 -0.1034559 0.4189456
Moved 620.9006 334.6858 421.3142 -0.08789658 0.3855811
Moved 620.9174 337.5661 418.434 -0.0778956 0.3522447
Moved 620.9312 341.4423 414.5577 -0.06443656 0.3073811
Moved 620.9473 343.6973 412.3027 -0.05660661 0.2812809
Moved 620.9623 346.4663 410.7668 -0.04699185 0.263505
Moved 620.9785 347.6734 408.3267 -0.04280083 0.2352623
Moved 620.9937 349.1103 405.7794 -0.03781147 0.2057803
Stationary 621.0099 349.1103 405.7794 -0.03781147 0.2057803
Moved 621.024 349.991 404.009 -0.0347536 0.1852896
Moved 621.0401 350 402.5688 -0.03472224 0.16862
Moved 621.0553 350 400.3437 -0.03472224 0.1428671
Moved 621.0716 350 399.0189 -0.03472224 0.1275333
Moved 621.1006 350 395.1362 -0.03472224 0.08259491
Moved 621.1175 339.5944 392.3986 -0.07085271 0.05090978
Moved 621.132 337.7812 391.2604 -0.07714852 0.03773583
Moved 621.1519 334.6283 389.8141 -0.08809619 0.02099708
Moved 621.1654 330.5 388.5 -0.1024306 0.00578686
Moved 621.1782 326.8793 388.2931 -0.1150025 0.003392255
Moved 621.194 321.4018 388 -0.1340214 1.766063E-07
Moved 621.2109 316.6496 388 -0.1505221 1.766063E-07
Moved 621.2258 310.8934 388 -0.1705091 1.766063E-07
Moved 621.2405 306.7266 388 -0.1849772 1.766063E-07
Moved 621.256 300.5359 388 -0.2064725 1.766063E-07
Moved 621.272 294.794 388 -0.2264097 1.766063E-07
Moved 621.2861 292.0055 388 -0.2360921 1.766063E-07
Moved 621.3013 285.5245 395.8198 -0.2585953 0.09050705
Moved 621.3207 281.0756 398.3082 -0.2740431 0.1193078
Moved 621.3333 279.2611 400.7389 -0.2803434 0.1474412
Moved 621.348 276.6398 402.1801 -0.289445 0.1641217
Moved 621.3632 274.3776 404.6224 -0.2973 0.1923888
Moved 621.3792 272.9496 406.0504 -0.3022583 0.208917
Moved 621.3936 271.8873 407.1127 -0.3059468 0.2212113
Moved 621.4094 271 408.5843 -0.3090278 0.2382443
Moved 621.4249 269.9834 410.0167 -0.3125577 0.2548227
Moved 621.4396 270 411.4525 -0.3125 0.2714413
Moved 621.4548 270 412.8884 -0.3125 0.2880603
Moved 621.4718 270 414.3206 -0.3125 0.3046366
Moved 621.4852 270 415.7719 -0.3125 0.3214342
Moved 621.5005 270 417.7592 -0.3125 0.3444354
Ended 621.5197 270 419 -0.3125 0.3587967
Began 621.7765 192 390 -0.5833333 0.02314815
Stationary 621.7949 192 390 -0.5833333 0.02314815
Stationary 621.8091 192 390 -0.5833333 0.02314815
Stationary 621.8248 192 390 -0.5833333 0.02314815
Stationary 621.8397 192 390 -0.5833333 0.02314815
Stationary 621.8557 192 390 -0.5833333 0.02314815
Moved 621.8716 211.8979 390 -0.5142435 0.02314815
Moved 621.8866 220.3069 390 -0.4850455 0.02314815
Moved 621.9031 229.4984 390 -0.4531305 0.02314815
Moved 621.9208 242.3868 399.6342 -0.4083791 0.1346553
Moved 621.9337 255.2634 399.6141 -0.3636689 0.1344222
Moved 621.9495 265.7918 400 -0.3271118 0.1388891
Moved 621.9655 277.8629 401.6947 -0.2851981 0.1585037
Moved 621.9802 287.899 403.1284 -0.2503505 0.1750978
Moved 621.9958 297.5 403 -0.2170139 0.1736111
Moved 622.0112 305.5939 404.6563 -0.1889101 0.1927809
Moved 622.0272 314.5974 405 -0.1576478 0.1967594
Moved 622.0413 321.6906 405.5381 -0.1330187 0.2029876
Moved 622.0573 328.8982 406 -0.1079925 0.2083331
Moved 622.0731 337.4948 406 -0.0781431 0.2083331
Moved 622.0882 343.1256 406.8542 -0.05859151 0.2182206
Moved 622.1039 347.8832 407 -0.04207209 0.2199076
Moved 622.1243 352.3063 407.4354 -0.0267142 0.2249471
Moved 622.1362 359.2538 408 -0.00259079 0.2314815
Moved 622.1502 363.9474 409.3158 0.01370609 0.2467108
Moved 622.1663 371.794 409 0.04095137 0.2430559
Moved 622.1802 380.1528 410.1921 0.06997511 0.2568536
Moved 622.196 387.1905 410 0.09441151 0.2546296
Moved 622.2108 393.3051 410 0.1156425 0.2546296
Moved 622.2266 398.6875 410 0.1343317 0.2546296
Moved 622.2432 403.8704 410 0.1523277 0.2546296
Moved 622.2573 408.173 410 0.1672673 0.2546296
Moved 622.2731 412.4943 410 0.1822719 0.2546296
Moved 622.2881 413.9332 410 0.1872681 0.2546296
Moved 622.304 416.7612 410 0.1970876 0.2546296
Moved 622.3223 417.5 410 0.1996528 0.2546296
Stationary 622.3334 417.5 410 0.1996528 0.2546296
Moved 622.3489 418 399.596 0.2013889 0.1342134
Moved 622.3659 418 397.5062 0.2013889 0.1100252
Moved 622.3809 418 392.2571 0.2013889 0.04927176
Moved 622.3969 413.0609 387.1478 0.1842393 -0.009862935
Moved 622.4121 407.8963 381.7927 0.1663066 -0.07184382
Moved 622.4274 403.5325 377.0434 0.1511547 -0.1268125
Moved 622.4432 400.5983 372.1967 0.1409665 -0.1829087
Moved 622.4656 395.0444 363.5666 0.1216818 -0.2827941
Stationary 622.4775 395.0444 363.5666 0.1216818 -0.2827941
Moved 622.4897 393.0795 361.159 0.1148593 -0.3106598
Moved 622.5058 391.6406 359.6406 0.1098631 -0.3282339
Moved 622.5211 389.2041 357.204 0.101403 -0.3564344
Moved 622.5355 386.5247 354.5247 0.09209974 -0.387445
Moved 622.551 385.5 353.5 0.08854166 -0.3993056
Moved 622.5667 382.4819 353.2409 0.07806212 -0.4023043
Moved 622.582 379.5991 353 0.06805241 -0.4050926
Moved 622.5962 376.7226 353 0.05806461 -0.4050926
Moved 622.6127 372.7769 353 0.04436403 -0.4050926
Moved 622.6288 368.5 353 0.02951383 -0.4050926
Moved 622.6435 363.19 359.6674 0.01107648 -0.327923
Moved 622.6581 360.2419 362.7582 0.0008398294 -0.2921507
Moved 622.6753 356.7484 363.4172 -0.01129046 -0.2845224
Moved 622.69 353.1099 365.9634 -0.02392411 -0.2550535
Moved 622.7049 348.8052 368.7966 -0.03887095 -0.2222619
