coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Moved 484.2805 270.2609 528.1739 -0.2077295 0.3605295
Moved 484.2992 265.6987 531.6506 -0.21829 0.3694717
Moved 484.3127 259.9498 534.5251 -0.2315976 0.3768648
Moved 484.3276 254.1832 536.7042 -0.2449464 0.3824696
Moved 484.3431 249.5712 539.2859 -0.2556223 0.3891097
Moved 484.3582 245.5 542 -0.2650463 0.3960905
Moved 484.3737 243.6848 543 -0.2692482 0.3986624
Moved 484.3894 241.9058 544.0942 -0.2733663 0.4014768
Moved 484.4052 240.5 545.5 -0.2766204 0.4050925
Moved 484.419 239.0251 545.9749 -0.2800344 0.406314
Moved 484.4346 237.5824 547.4175 -0.283374 0.4100244
Moved 484.451 237.1448 547.8552 -0.284387 0.4111499
Moved 484.467 237 549.3051 -0.2847222 0.4148793
Moved 484.4821 237 550.3087 -0.2847222 0.4174606
Moved 484.5033 237 553.2911 -0.2847222 0.4251314
Stationary 484.5137 237 553.2911 -0.2847222 0.4251314
Moved 484.5278 242.4282 556.5509 -0.2721569 0.4335156
Moved 484.5428 250.0542 560.6325 -0.2545043 0.4440136
Moved 484.5591 259.9234 562.6539 -0.2316589 0.4492126
Moved 484.5746 269.6382 563 -0.2091708 0.4501028
Moved 484.59 274.6357 563 -0.1976026 0.4501028
Moved 484.605 282.0683 563 -0.1803975 0.4501028
Moved 484.6209 288.1756 563 -0.1662601 0.4501028
Moved 484.6362 292.4702 563 -0.1563191 0.4501028
Moved 484.6519 294.8443 563 -0.1508234 0.4501028
Moved 484.6667 297.7335 563 -0.1441354 0.4501028
Moved 484.6818 298.8048 563 -0.1416555 0.4501028
Moved 484.6992 299.952 563 -0.1390001 0.4501028
Moved 484.7136 301.3747 563 -0.1357067 0.4501028
Ended 484.7305 303 563 -0.1319445 0.4501028
Began 485.4645 264 365 -0.2222222 -0.05915646
Stationary 485.484 264 365 -0.2222222 -0.05915646
Stationary 485.5 264 365 -0.2222222 -0.05915646
Stationary 485.5147 264 365 -0.2222222 -0.05915646
Stationary 485.5286 264 365 -0.2222222 -0.05915646
Moved 485.5441 281.0892 376.3928 -0.1826639 -0.02985409
Moved 485.5605 289.7905 382.1937 -0.162522 -0.01493399
Moved 485.576 302.7403 388.8702 -0.1325455 0.002238034
Moved 485.592 318.5841 397.5004 -0.09587005 0.02443518
Moved 485.6078 332.8408 404.4204 -0.0628686 0.04223348
Moved 485.6243 348.2956 411.498 -0.02709359 0.06043716
Moved 485.6401 358.9966 414.4991 -0.002322793 0.06815612
Moved 485.6544 372.8039 418.5412 0.02963871 0.07855234
Moved 485.6683 382.9878 422.2469 0.05321254 0.0880836
Moved 485.6842 392.2568 424.5642 0.07466862 0.09404366
Moved 485.7006 405.4164 429.5665 0.1051305 0.1069098
Moved 485.7218 424.2177 436.0933 0.1486521 0.1236967
Stationary 485.7323 424.2177 436.0933 0.1486521 0.1236967
Moved 485.7465 435.912 441.456 0.1757222 0.1374896
Moved 485.7622 444.5372 445.7686 0.195688 0.1485818
Moved 485.777 454.1856 451.1061 0.2180223 0.1623098
Moved 485.7944 460.6797 456.5664 0.2330548 0.1763538
Moved 485.8072 469.513 462.9275 0.2535023 0.1927146
Moved 485.8233 476.0718 468.0538 0.2686847 0.2058997
Moved 485.8384 483.3045 472.3827 0.2854271 0.2170336
Moved 485.8541 485.7163 475.7163 0.2910099 0.2256077
Moved 485.8693 494.3907 484.043 0.3110896 0.2470242
Moved 485.8848 497.2483 490.4345 0.3177043 0.2634631
Moved 485.9006 501.5 496 0.3275463 0.2777777
Moved 485.9167 504.6571 503.3143 0.3348545 0.2965901
Moved 485.9312 506.067 507.1675 0.3381181 0.3065006
Moved 485.9519 508.1862 513.5584 0.3430235 0.3229383
Moved 485.9637 509 519.8747 0.3449074 0.3391838
Moved 485.9786 509 526.3337 0.3449074 0.3557965
Moved 485.9944 509 530.5 0.3449074 0.3665122
Moved 486.008 509 532.6738 0.3449074 0.3721032
Moved 486.0237 501.4145 536.0836 0.3273484 0.3808734
Moved 486.0387 497.424 538.5253 0.3181112 0.3871535
Moved 486.0539 495.2536 539.2488 0.313087 0.3890142
Moved 486.0699 486.3667 541.4083 0.2925155 0.3945686
Moved 486.0856 484.6264 541 0.288487 0.3935184
