parking lot is full of trucks
Basic
0.4 0.4
288 86.39999
Moved 1095.818 320 416.3029 -0.1388889 0.3275801
Stationary 1095.833 320 416.3029 -0.1388889 0.3275801
Moved 1095.85 321.3121 416 -0.1343331 0.3240739
Stationary 1095.865 321.3121 416 -0.1343331 0.3240739
Moved 1095.88 321 417.0389 -0.1354167 0.336099
Stationary 1095.896 321 417.0389 -0.1354167 0.336099
Moved 1095.91 322.2692 417 -0.1310097 0.3356481
Stationary 1095.925 322.2692 417 -0.1310097 0.3356481
Stationary 1095.942 322.2692 417 -0.1310097 0.3356481
Moved 1095.957 322 418.0371 -0.1319444 0.3476517
Moved 1095.973 323.3552 418 -0.1272389 0.3472222
Stationary 1095.988 323.3552 418 -0.1272389 0.3472222
Stationary 1096.002 323.3552 418 -0.1272389 0.3472222
Stationary 1096.018 323.3552 418 -0.1272389 0.3472222
Stationary 1096.038 323.3552 418 -0.1272389 0.3472222
Stationary 1096.049 323.3552 418 -0.1272389 0.3472222
Moved 1096.064 324.0453 418 -0.1248427 0.3472222
Stationary 1096.081 324.0453 418 -0.1248427 0.3472222
Moved 1096.095 324 419.3132 -0.125 0.362421
Stationary 1096.11 324 419.3132 -0.125 0.362421
Stationary 1096.126 324 419.3132 -0.125 0.362421
Stationary 1096.142 324 419.3132 -0.125 0.362421
Moved 1096.157 325.0536 419 -0.1213415 0.3587967
Stationary 1096.172 325.0536 419 -0.1213415 0.3587967
Stationary 1096.186 325.0536 419 -0.1213415 0.3587967
Stationary 1096.203 325.0536 419 -0.1213415 0.3587967
Moved 1096.219 326.1562 419 -0.1175131 0.3587967
Stationary 1096.235 326.1562 419 -0.1175131 0.3587967
Moved 1096.25 327.1707 419 -0.1139907 0.3587967
Stationary 1096.265 327.1707 419 -0.1139907 0.3587967
Moved 1096.281 328 419 -0.1111111 0.3587967
Moved 1096.297 328.8195 419 -0.1082658 0.3587967
Moved 1096.312 330.0235 419 -0.1040852 0.3587967
Moved 1096.327 331.227 419 -0.09990624 0.3587967
Moved 1096.343 332.434 419 -0.09571544 0.3587967
Moved 1096.362 333.6381 414.5336 -0.09153448 0.307102
Moved 1096.374 334.8405 411.1595 -0.0873594 0.2680505
Moved 1096.395 335.5 410.5 -0.08506946 0.2604167
Stationary 1096.407 335.5 410.5 -0.08506946 0.2604167
Moved 1096.421 337.1875 410 -0.07921018 0.2546296
Moved 1096.435 337 408.6099 -0.07986113 0.2385408
Moved 1096.45 338.5 409 -0.0746528 0.2430559
Moved 1096.466 338.8015 408 -0.07360577 0.2314815
Moved 1096.483 339 406.9944 -0.07291666 0.2198426
Moved 1096.498 340.212 407 -0.06870821 0.2199076
Moved 1096.512 340 405.585 -0.06944447 0.2035295
Moved 1096.528 341.252 406 -0.06509729 0.2083331
Moved 1096.544 341 405.4682 -0.06597221 0.2021784
Moved 1096.559 341.7371 405 -0.06341285 0.1967594
Stationary 1096.574 342 405 -0.06250001 0.1967594
Stationary 1096.59 342 405 -0.06250001 0.1967594
Moved 1096.608 343.3509 403.6492 -0.0578095 0.1811248
Moved 1096.622 343.5568 403.4432 -0.05709454 0.1787412
Moved 1096.636 344.7622 402.2378 -0.0529091 0.1647893
Moved 1096.652 345.773 401.2269 -0.04939913 0.1530894
Moved 1096.667 346.9198 400.0801 -0.04541725 0.1398166
Moved 1096.682 349.2469 398.8766 -0.03733717 0.1258864
Moved 1096.698 351.6603 397.6699 -0.02895727 0.11192
Moved 1096.721 359.2149 392.5234 -0.002725944 0.05235407
Stationary 1096.732 359.2149 392.5234 -0.002725944 0.05235407
Moved 1096.743 363.7791 389.1657 0.01312166 0.0134922
Moved 1096.76 367.4701 387.8433 0.02593785 -0.0018141
Moved 1096.775 372.4106 385.2947 0.04309252 -0.0313116
Moved 1096.79 375.847 384.7883 0.05502447 -0.03717263
Moved 1096.807 379.4276 382.0483 0.06745696 -0.06888566
Moved 1096.822 384.7331 382.3167 0.08587882 -0.0657788
Moved 1096.835 387.7707 381.1146 0.096426 -0.07969185
Moved 1096.853 392.387 379.9033 0.1124547 -0.09371228
Moved 1096.868 395.8805 378.7065 0.1245852 -0.1075639
Moved 1096.883 401 379 0.1423611 -0.1041663
Moved 1096.897 403.1284 378.2905 0.1497514 -0.1123782
Moved 1096.913 406.1002 378 0.1600702 -0.1157407
Moved 1096.93 409.458 378 0.171729 -0.1157407
Moved 1096.945 413.0665 376.9778 0.1842588 -0.1275712
Moved 1096.961 416.6775 377 0.1967969 -0.1273148
Moved 1096.976 420.3088 377 0.2094057 -0.1273148
Moved 1096.99 422.9132 376.3622 0.2184486 -0.1346963
Moved 1097.013 429.1343 376 0.2400495 -0.1388892
Stationary 1097.024 429.1343 376 0.2400495 -0.1388892
Moved 1097.036 431.4909 374.7545 0.2482325 -0.1533038
Moved 1097.052 434.4334 375 0.2584491 -0.150463
Moved 1097.07 436.773 373.6135 0.2665728 -0.1665105
Moved 1097.083 440.1791 374 0.2783997 -0.1620367
Moved 1097.098 442.5922 374 0.2867783 -0.1620367
Moved 1097.114 444.9897 374 0.2951033 -0.1620367
Moved 1097.13 446.2013 374 0.2993099 -0.1620367
Moved 1097.145 447.3977 374 0.3034644 -0.1620367
Moved 1097.161 449.6133 374 0.3111573 -0.1620367
Moved 1097.176 450.5 374 0.3142361 -0.1620367
Moved 1097.19 450.7216 374 0.3150055 -0.1620367
Moved 1097.206 451.9258 374 0.3191867 -0.1620367
Moved 1097.223 452.5 374 0.3211805 -0.1620367
Moved 1097.237 453.1679 374 0.3234996 -0.1620367
Stationary 1097.253 453.1679 374 0.3234996 -0.1620367
Stationary 1097.271 453.1679 374 0.3234996 -0.1620367
Stationary 1097.282 453.1679 374 0.3234996 -0.1620367
Moved 1097.306 454.1562 374 0.3269313 -0.1620367
Stationary 1097.317 454.1562 374 0.3269313 -0.1620367
Stationary 1097.33 454.1562 374 0.3269313 -0.1620367
Stationary 1097.345 454 374 0.3263889 -0.1620367
Stationary 1097.365 454 374 0.3263889 -0.1620367
Stationary 1097.379 454 374 0.3263889 -0.1620367
Stationary 1097.391 454 374 0.3263889 -0.1620367
Stationary 1097.406 454 374 0.3263889 -0.1620367
Stationary 1097.421 454 374 0.3263889 -0.1620367
Stationary 1097.437 454 374 0.3263889 -0.1620367
Stationary 1097.454 454 374 0.3263889 -0.1620367
Stationary 1097.472 454 374 0.3263889 -0.1620367
Stationary 1097.484 454 374 0.3263889 -0.1620367
Stationary 1097.498 454 374 0.3263889 -0.1620367
Moved 1097.515 454 384.4222 0.3263889 -0.04140925
Moved 1097.53 454 382.6913 0.3263889 -0.06144347
Moved 1097.546 454 383.8949 0.3263889 -0.04751311
Moved 1097.561 454 385.0984 0.3263889 -0.03358347
Stationary 1097.581 454 385.0984 0.3263889 -0.03358347
Moved 1097.593 445.8006 387.1994 0.2979187 -0.009266006
Moved 1097.609 444.5946 388.4053 0.2937314 0.004691548
Moved 1097.623 443.3896 389.6104 0.2895474 0.01863868
Moved 1097.638 442.1899 391.6201 0.2853816 0.04189933
Moved 1097.654 440.9849 393.0151 0.2811976 0.05804556
Moved 1097.671 439.7755 394.2245 0.2769981 0.07204267
Moved 1097.685 440 395.4271 0.2777778 0.08596138
Moved 1097.7 438.5 396.5 0.2725695 0.09837998
Moved 1097.716 438 398.1281 0.2708333 0.1172239
Moved 1097.73 437.2313 399.7687 0.2681643 0.1362115
Moved 1097.747 436.0278 400.9722 0.2639852 0.1501414
Moved 1097.764 436 402.1815 0.2638888 0.1641374
Moved 1097.778 434.6191 404.7617 0.2590942 0.1940016
Moved 1097.794 434.4151 405.585 0.2583857 0.2035295
Moved 1097.81 434 406.7865 0.2569444 0.2174363
Moved 1097.823 434 407.9901 0.2569444 0.231367
Moved 1097.839 433.0767 408.9233 0.2537386 0.2421676
Moved 1097.859 433 410.1044 0.2534721 0.2558387
Moved 1097.871 431.6921 411.3079 0.2489307 0.2697676
Moved 1097.885 432 414 0.25 0.3009261
Moved 1097.901 431 414.7175 0.2465278 0.3092307
Moved 1097.917 431 415.5 0.2465278 0.318287
Moved 1097.932 429.9364 416.0635 0.2428348 0.3248095
Moved 1097.947 430 417.3306 0.2430555 0.3394749
Moved 1097.963 430 418.5 0.2430555 0.3530091
Moved 1097.978 430 419.3868 0.2430555 0.3632731
Moved 1097.992 429.307 420 0.2406494 0.3703704
Moved 1098.009 429 420.8972 0.2395834 0.3807548
Moved 1098.025 429 422.1008 0.2395834 0.3946855
Moved 1098.038 429 423.3075 0.2395834 0.4086516
Stationary 1098.055 429 423.3075 0.2395834 0.4086516
Moved 1098.069 429 424.3132 0.2395834 0.4202912
Stationary 1098.086 429 424.3132 0.2395834 0.4202912
Moved 1098.1 429 425.3113 0.2395834 0.4318444
Moved 1098.125 429 426.0245 0.2395834 0.4400981
Stationary 1098.136 429 426.0245 0.2395834 0.4400981
Stationary 1098.148 429 426 0.2395834 0.4398148
Moved 1098.162 429 427.5 0.2395834 0.4571759
Stationary 1098.179 429 427.5 0.2395834 0.4571759
Moved 1098.193 429 428.0253 0.2395834 0.4632556
Stationary 1098.209 429 428 0.2395834 0.462963
Stationary 1098.224 429 428 0.2395834 0.462963
Stationary 1098.24 429 428 0.2395834 0.462963
Moved 1098.255 429 429.5 0.2395834 0.4803241
Moved 1098.271 429 429 0.2395834 0.4745372
Stationary 1098.286 429 429 0.2395834 0.4745372
Stationary 1098.301 429 429 0.2395834 0.4745372
Moved 1098.317 429 430.1349 0.2395834 0.4876723
Stationary 1098.332 429 430.1349 0.2395834 0.4876723
Stationary 1098.347 429 430.1349 0.2395834 0.4876723
Stationary 1098.362 429 430.1349 0.2395834 0.4876723
Stationary 1098.383 429 430 0.2395834 0.4861111
Stationary 1098.396 429 430 0.2395834 0.4861111
