the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 521.6138 276.7661 337.6377 -0.1445034 -0.2914484
Moved 521.6302 276.2486 338.5029 -0.1454018 -0.2864416
Moved 521.6464 274.8091 340.191 -0.1479009 -0.2766726
Moved 521.6609 273.3736 343.2528 -0.1503931 -0.2589537
Moved 521.6754 271.9375 346.1251 -0.1528863 -0.2423318
Moved 521.6924 270.5 347.5 -0.1553819 -0.234375
Moved 521.7051 269.0625 350.8751 -0.1578777 -0.2148434
Moved 521.7217 267.9948 353.0104 -0.1597313 -0.2024857
Moved 521.7372 266.547 355.906 -0.1622448 -0.1857291
Moved 521.7551 265.1218 358.7563 -0.164719 -0.1692341
Moved 521.7678 263.6647 360.3353 -0.1672488 -0.1600967
Moved 521.7839 263.2293 361.7707 -0.1680047 -0.1517898
Moved 521.7986 261.7995 363.2006 -0.170487 -0.1435151
Moved 521.8138 261 364.6443 -0.171875 -0.1351599
Moved 521.8289 260.1806 365.8194 -0.1732976 -0.12836
Moved 521.8461 258.7991 367.2009 -0.1756959 -0.1203654
Moved 521.861 257.3608 368.6392 -0.1781931 -0.1120415
Moved 521.8759 255.9216 370.0784 -0.1806917 -0.1037128
Moved 521.8911 254.4786 373.0428 -0.1831969 -0.08655778
Moved 521.908 252.0769 375.9231 -0.1873665 -0.06988949
Moved 521.9234 250.6022 377.3978 -0.1899267 -0.06135552
Moved 521.9378 249.3779 379.6221 -0.1920523 -0.04848304
Moved 521.9575 248.0712 380.9288 -0.1943208 -0.04092146
Moved 521.9684 248 382.3729 -0.1944444 -0.03256445
Moved 521.9836 246.5 383.5 -0.1970486 -0.02604167
Moved 521.999 245.8755 384.1245 -0.1981328 -0.02242751
Moved 522.0151 245.3105 384.6895 -0.1991137 -0.01915826
Stationary 522.0304 245 385 -0.1996528 -0.01736111
Stationary 522.0469 245 385 -0.1996528 -0.01736111
Moved 522.0607 244 386 -0.2013889 -0.01157407
Moved 522.0756 244 387.1413 -0.2013889 -0.004969173
Stationary 522.0926 244 387.1413 -0.2013889 -0.004969173
Moved 522.1066 244 388.0076 -0.2013889 4.423989E-05
Stationary 522.1217 244 388.0076 -0.2013889 4.423989E-05
Stationary 522.1375 244 388.0076 -0.2013889 4.423989E-05
Moved 522.153 244 389 -0.2013889 0.005787214
Stationary 522.1688 244 389 -0.2013889 0.005787214
Moved 522.1838 244 390 -0.2013889 0.01157407
Moved 522.201 244 391.3334 -0.2013889 0.01929071
Stationary 522.2178 244 391 -0.2013889 0.01736111
Moved 522.2296 244 392.1069 -0.2013889 0.02376653
Stationary 522.2458 244 392.1069 -0.2013889 0.02376653
Stationary 522.2618 244 392.1069 -0.2013889 0.02376653
Moved 522.2754 251.272 392 -0.188764 0.02314824
Moved 522.2928 252.6051 392 -0.1864494 0.02314824
Moved 522.3076 254.0325 392 -0.1839714 0.02314824
Moved 522.3234 256.9632 392 -0.1788833 0.02314824
Moved 522.3452 264.077 392 -0.166533 0.02314824
Stationary 522.3558 264.077 392 -0.166533 0.02314824
Moved 522.3693 268.1787 392 -0.159412 0.02314824
Moved 522.3845 272.7328 392 -0.1515056 0.02314824
Moved 522.4008 279.7786 392 -0.1392732 0.02314824
Moved 522.4152 288.9857 392 -0.1232887 0.02314824
Moved 522.4305 296.1547 392 -0.1108425 0.02314824
Moved 522.4465 302.3716 392 -0.1000493 0.02314824
Moved 522.4619 309.5769 392 -0.08754004 0.02314824
Moved 522.4773 316.7921 392 -0.07501379 0.02314824
Moved 522.4931 323.4276 392 -0.06349377 0.02314824
Moved 522.5115 332.5985 392 -0.04757199 0.02314824
Moved 522.5235 342.7113 392 -0.03001511 0.02314824
Moved 522.5408 352.725 392 -0.01263019 0.02314824
Moved 522.5549 362.8304 392 0.004913956 0.02314824
Moved 522.5701 372.7464 392 0.02212919 0.02314824
Moved 522.5852 383.0619 392 0.04003793 0.02314824
Moved 522.6017 394.5 392 0.05989581 0.02314824
Moved 522.616 406.6944 392.8549 0.08106671 0.0280956
Moved 522.6317 417.0802 394.2972 0.09909748 0.03644202
Moved 522.6487 426.4532 395.7422 0.1153701 0.04480433
Moved 522.6621 433.8952 397.179 0.1282903 0.05311948
Moved 522.678 442.1126 398.2451 0.1425566 0.05928852
Moved 522.7017 458 401.5 0.1701389 0.07812518
Stationary 522.7126 458 401.5 0.1701389 0.07812518
Moved 522.7233 462.4255 403.2128 0.1778221 0.08803695
Moved 522.7395 468.1996 405.0499 0.1878465 0.09866811
Moved 522.7559 475.4501 406.4901 0.2004342 0.1070027
Moved 522.7711 479.7535 408.9384 0.2079055 0.1211714
Moved 522.7865 486.895 410.379 0.2203038 0.1295079
Moved 522.8023 492.2557 412.8139 0.2296106 0.1435991
Moved 522.8176 498.0145 415.5073 0.2396086 0.1591857
Moved 522.8324 501.9336 416.2334 0.2464124 0.1633878
Moved 522.8488 509.7821 418.7564 0.2600384 0.1779885
Moved 522.8635 518.1304 422.5652 0.2745319 0.2000301
Moved 522.8789 523.5258 425.2629 0.283899 0.2156421
Moved 522.8939 529.3029 428.1514 0.2939287 0.2323579
Moved 522.9094 536.5 431 0.3064236 0.2488425
Moved 522.9258 542.7943 433.8766 0.3173512 0.2654895
Moved 522.9412 546.1678 435.0559 0.323208 0.2723144
Moved 522.9576 550.5 436.5 0.3307292 0.2806714
Moved 522.9721 554.8376 438.9459 0.3382597 0.2948255
Moved 522.9874 557.741 440.3705 0.3433004 0.3030699
Moved 523.0032 560.6282 441.8141 0.3483129 0.3114245
Moved 523.0172 564.7564 444.5043 0.3554799 0.3269924
Moved 523.0364 566.662 446.3239 0.3587881 0.3375228
Moved 523.0487 568.6392 447 0.3622208 0.3414353
Moved 523.0637 570.1841 448.1841 0.3649029 0.3482876
Moved 523.0791 571.6292 449 0.3674118 0.3530093
Moved 523.0947 573.0693 450.0693 0.369912 0.3591976
Moved 523.1108 574.5 451.5 0.3723958 0.3674769
Moved 523.1249 576.9583 452 0.3766636 0.3703704
Moved 523.1428 577 453.3984 0.3767361 0.3784628
Moved 523.1571 578.6391 453.6391 0.3795817 0.379856
Moved 523.1725 579.5 454.5 0.3810764 0.384838
Moved 523.1871 579 454 0.3802083 0.3819445
Stationary 523.2029 579 454 0.3802083 0.3819445
Stationary 523.2178 579 454 0.3802083 0.3819445
Stationary 523.2324 579 454 0.3802083 0.3819445
Moved 523.2491 564.1571 454 0.3544394 0.3819445
Moved 523.2642 551.5 454 0.3324652 0.3819445
Moved 523.2799 537.7805 445.5816 0.3086466 0.3332269
Moved 523.296 520.1491 441.5373 0.2780367 0.3098222
Moved 523.3109 501.4895 438.8163 0.2456415 0.2940758
Moved 523.3265 484.6992 435.9498 0.2164916 0.2774874
Moved 523.3474 454.0052 434 0.1632036 0.2662038
Stationary 523.358 454.0052 434 0.1632036 0.2662038
Moved 523.3716 439.5139 434 0.138045 0.2662038
Moved 523.3881 431.2282 434 0.12366 0.2662038
Moved 523.4026 417.244 434 0.09938195 0.2662038
Moved 523.4184 405.6468 434 0.07924787 0.2662038
Moved 523.4338 392.3995 434 0.05624912 0.2662038
Moved 523.4499 380.5826 434 0.03573358 0.2662038
Moved 523.464 370.0553 434 0.01745708 0.2662038
Moved 523.4805 360.6618 434 0.001149028 0.2662038
Moved 523.4959 353.0746 434 -0.01202334 0.2662038
Moved 523.5112 342.7751 434 -0.02990432 0.2662038
Moved 523.5264 331.6502 434 -0.04921835 0.2662038
Moved 523.5429 323.0969 434 -0.06406784 0.2662038
Moved 523.5571 312.5119 434 -0.08244455 0.2662038
Moved 523.5721 305.1841 434 -0.09516648 0.2662038
Moved 523.5878 297.9577 434 -0.1077123 0.2662038
Moved 523.6044 294.24 434 -0.1141667 0.2662038
Moved 523.6194 288.6892 434 -0.1238035 0.2662038
Moved 523.641 276.9697 434 -0.1441499 0.2662038
Stationary 523.6529 276.9697 434 -0.1441499 0.2662038
Moved 523.6651 270.7595 434 -0.1549314 0.2662038
Moved 523.6797 264.6305 434 -0.165572 0.2662038
Moved 523.6976 257.8823 434 -0.1772877 0.2662038
Moved 523.7113 253.7901 434 -0.1843922 0.2662038
Moved 523.7268 248.5752 434 -0.1934458 0.2662038
Moved 523.7421 244.3869 441 -0.2007171 0.3067129
Moved 523.7584 240.0782 441 -0.2081976 0.3067129
Moved 523.7735 237.1557 441 -0.2132714 0.3067129
Moved 523.79 232.4275 441 -0.22148 0.3067129
Moved 523.8052 228.108 441 -0.2289792 0.3067129
Moved 523.8196 223 442.5 -0.2378472 0.3153935
Moved 523.8362 219.6646 442 -0.2436378 0.3125
Moved 523.8503 215.1916 443.2695 -0.2514035 0.3198465
Moved 523.8661 209.147 443 -0.2618975 0.318287
