parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Moved 155.503 414 375.1219 0.1875 -0.04968419
Moved 155.5177 418.6413 369.0109 0.2036157 -0.07326066
Moved 155.534 422.0519 363.7923 0.215458 -0.09339391
Moved 155.5484 422 359.6869 0.2152778 -0.1092328
Moved 155.5666 423 356.3424 0.2187499 -0.1221359
Moved 155.5798 423 353.5696 0.2187499 -0.1328333
Moved 155.5953 423 351.3983 0.2187499 -0.1412107
Moved 155.6109 423.7491 350.2509 0.2213512 -0.1456372
Moved 155.6258 424 348.9426 0.2222222 -0.1506847
Moved 155.6413 424 347.5567 0.2222222 -0.1560313
Moved 155.6606 424 346.168 0.2222222 -0.1613889
Moved 155.6726 424 343.5437 0.2222222 -0.1715135
Moved 155.6877 424 341.3906 0.2222222 -0.1798205
Moved 155.7025 424 339.0146 0.2222222 -0.1889867
Moved 155.7184 424 336.2502 0.2222222 -0.1996519
Moved 155.7328 424 334.3983 0.2222222 -0.2067968
Moved 155.7489 424 331.4302 0.2222222 -0.2182475
Moved 155.7651 424 329.8282 0.2222222 -0.2244284
Moved 155.7796 424 327.4391 0.2222222 -0.2336456
Moved 155.7954 424 326.5 0.2222222 -0.2372685
Moved 155.8136 424 325.8306 0.2222222 -0.2398512
Moved 155.8251 416.289 326 0.1954479 -0.2391977
Moved 155.8414 413.4978 326 0.1857561 -0.2391977
Moved 155.8568 410.663 326 0.1759133 -0.2391977
Moved 155.8717 406.3364 326 0.1608902 -0.2391977
Moved 155.8876 402.1706 326 0.1464258 -0.2391977
Moved 155.9039 398.0124 326 0.1319876 -0.2391977
Moved 155.9181 393.8484 334.4344 0.1175292 -0.2066574
Moved 155.9332 389.6697 336.1101 0.1030198 -0.2001925
Moved 155.9489 385.5502 340.4498 0.08871614 -0.1834501
Moved 155.9657 382.9546 342.0455 0.07970332 -0.1772937
Moved 155.9794 380.2003 344.7997 0.07013976 -0.1666678
