players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Moved 339.774 289.0052 461.433 -0.1643398 0.1888709
Moved 339.7875 298.0142 471.0165 -0.1434858 0.2135198
Moved 339.8036 305.2061 478.2061 -0.1268378 0.2320115
Moved 339.8196 311.3535 485.2242 -0.1126077 0.2500621
Moved 339.8345 315.9444 489.9444 -0.1019806 0.2622025
Moved 339.8485 320.281 495.281 -0.09194204 0.2759284
Moved 339.8651 323.4105 499.6158 -0.08469785 0.2870775
Moved 339.8813 325.4598 502.6898 -0.07995407 0.2949838
Moved 339.8958 328.4862 504.7431 -0.07294858 0.3002651
Moved 339.9109 330.1852 506.1852 -0.06901562 0.3039743
Moved 339.9254 331.6253 508.6253 -0.06568218 0.3102502
Moved 339.9415 332.5 509.5 -0.06365741 0.3124999
Ended 339.9582 333 510 -0.06249999 0.3137859
Candidates 340.0926 12 must busy nude murder midst burst just murray most buddy mystery nurse
Began 340.569 373 348 0.0300926 -0.1028807
Stationary 340.5948 373 348 0.0300926 -0.1028807
Stationary 340.6059 373 348 0.0300926 -0.1028807
Moved 340.6196 373 371.5659 0.0300926 -0.04226873
Moved 340.6348 373 392.3646 0.0300926 0.01122573
Moved 340.6507 380.8473 413.8156 0.04825761 0.0663981
Moved 340.6665 384.1534 433.9207 0.05591075 0.1181087
Moved 340.6821 386.5348 445.9067 0.06142318 0.148937
Moved 340.697 389.2612 458.1752 0.06773422 0.1804918
Moved 340.7127 392.1259 469.0667 0.07436553 0.2085047
Moved 340.7286 394.9382 477.8455 0.08087546 0.2310839
Moved 340.7439 398.972 488.5919 0.09021282 0.2587238
Moved 340.7589 400.6915 495.3829 0.09419321 0.2761905
Moved 340.7757 402.285 499.855 0.09788195 0.2876927
Moved 340.7907 403.5 503.5 0.1006944 0.2970678
Ended 340.8062 406 506.5 0.1064815 0.3047839
Accept 340.8323 0 must
Began 341.2171 447 397 0.2013889 0.02314815
Stationary 341.2387 447 397 0.2013889 0.02314815
Stationary 341.2527 447 397 0.2013889 0.02314815
Stationary 341.2725 447 397 0.2013889 0.02314815
Stationary 341.2839 447 397 0.2013889 0.02314815
Stationary 341.2979 447 397 0.2013889 0.02314815
Stationary 341.3123 447 397 0.2013889 0.02314815
Stationary 341.3312 447 397 0.2013889 0.02314815
Moved 341.345 447 414.8713 0.2013889 0.06911332
Moved 341.3607 447 415.4515 0.2013889 0.07060576
Moved 341.3769 447 418.5156 0.2013889 0.07848661
Moved 341.3924 447 421.3961 0.2013889 0.08589524
Moved 341.4081 447 423.1067 0.2013889 0.0902949
Moved 341.4227 447 424.5465 0.2013889 0.09399814
Moved 341.4384 447 425.7385 0.2013889 0.09706382
Moved 341.4529 447 427.0907 0.2013889 0.1005418
Stationary 341.4699 447 427.0907 0.2013889 0.1005418
Moved 341.4844 447 427.9739 0.2013889 0.1028135
Stationary 341.4999 447 428 0.2013889 0.1028806
