good jobs for those with education
good jobs for those with education
Moved 111.7042 403 484.9261 0.09953707 0.2492955
Moved 111.7229 403 485.5 0.09953707 0.2507715
Moved 111.8182 343.5 359.5 -0.03819446 -0.07330247
Moved 111.8344 332.5488 323.8293 -0.06354447 -0.1650482
Moved 111.8512 324.1624 295.8745 -0.08295749 -0.2369485
Moved 111.8667 319.0247 278.0986 -0.09485031 -0.2826682
Moved 111.8803 315.9585 264.813 -0.101948 -0.3168389
Stationary 111.8928 315.9585 264.813 -0.101948 -0.3168389
Moved 111.908 313.9414 258.8242 -0.1066171 -0.3322422
Moved 111.9195 311.2053 252.0132 -0.1129507 -0.3497605
Moved 111.9347 310.2345 247.7035 -0.1151979 -0.360845
Moved 111.9503 310 244.7384 -0.1157407 -0.3684713
Moved 111.9647 308.5071 243.5072 -0.1191964 -0.3716379
Moved 111.9806 308.1415 242.1415 -0.1200427 -0.3751506
Moved 111.9968 306.779 240.7789 -0.1231968 -0.3786551
Moved 112.0117 304 241 -0.1296296 -0.3780865
Moved 112.0318 294.2092 248.0776 -0.1522936 -0.3598827
Moved 112.0436 277.8841 264.107 -0.1900831 -0.3186549
Moved 112.0589 260.0725 287.4437 -0.2313137 -0.2586326
Moved 112.074 231.3467 319.3167 -0.2978086 -0.1766549
Moved 112.0892 209.4592 345.8489 -0.348474 -0.1084133
