healthy food is good for you
healthy food is good for you
Basic
0.6 0.6
432 388.8
Moved 1857.821 243.3 391.3 -0.2701388 0.008487701
Moved 1857.838 240.8227 391 -0.2758734 0.007715971
Moved 1857.854 239.5403 391 -0.2788419 0.007715971
Ended 1857.868 234.2985 389.5746 -0.2909757 0.004049976
Candidates 1858.052 12 of odd oops ps opioid odds ups los loss kids pigs pa
Began 1858.698 346 439 -0.03240739 0.1311728
Stationary 1858.716 346 439 -0.03240739 0.1311728
Stationary 1858.731 346 439 -0.03240739 0.1311728
Stationary 1858.747 346 439 -0.03240739 0.1311728
Stationary 1858.761 346 439 -0.03240739 0.1311728
Ended 1858.777 346 439 -0.03240739 0.1311728
NextCandidatePanel 1858.822
Began 1859.393 343 429 -0.03935183 0.1054526
Stationary 1859.41 343 429 -0.03935183 0.1054526
Stationary 1859.425 343 429 -0.03935183 0.1054526
Stationary 1859.439 343 429 -0.03935183 0.1054526
Ended 1859.455 343 429 -0.03935183 0.1054526
NextCandidatePanel 1859.516
Began 1861.334 338 430 -0.05092591 0.1080246
Stationary 1861.354 338 430 -0.05092591 0.1080246
Stationary 1861.368 338 430 -0.05092591 0.1080246
Stationary 1861.383 338 430 -0.05092591 0.1080246
Ended 1861.399 338 430 -0.05092591 0.1080246
NextCandidatePanel 1861.461
Began 1861.507 337 428 -0.05324075 0.1028806
Stationary 1861.523 337 428 -0.05324075 0.1028806
Stationary 1861.537 337 428 -0.05324075 0.1028806
Stationary 1861.553 337 428 -0.05324075 0.1028806
Ended 1861.569 337 428 -0.05324075 0.1028806
Cancel 1861.628
Backspace 1862.675
Began 1863.384 373 463 0.0300926 0.1929011
Stationary 1863.406 373 463 0.0300926 0.1929011
Stationary 1863.418 373 463 0.0300926 0.1929011
Stationary 1863.433 373 463 0.0300926 0.1929011
Stationary 1863.449 373 463 0.0300926 0.1929011
Stationary 1863.464 373 463 0.0300926 0.1929011
Stationary 1863.479 373 463 0.0300926 0.1929011
Stationary 1863.495 373 463 0.0300926 0.1929011
Stationary 1863.511 373 463 0.0300926 0.1929011
Stationary 1863.526 373 463 0.0300926 0.1929011
Stationary 1863.549 373 463 0.0300926 0.1929011
Stationary 1863.563 373 463 0.0300926 0.1929011
Stationary 1863.573 373 463 0.0300926 0.1929011
Stationary 1863.587 373 463 0.0300926 0.1929011
Stationary 1863.602 373 463 0.0300926 0.1929011
Stationary 1863.618 373 463 0.0300926 0.1929011
Stationary 1863.632 373 463 0.0300926 0.1929011
Stationary 1863.656 373 463 0.0300926 0.1929011
Stationary 1863.665 373 463 0.0300926 0.1929011
Stationary 1863.68 373 463 0.0300926 0.1929011
Stationary 1863.698 373 463 0.0300926 0.1929011
Stationary 1863.715 373 463 0.0300926 0.1929011
Stationary 1863.729 373 463 0.0300926 0.1929011
Stationary 1863.743 373 463 0.0300926 0.1929011
Moved 1863.758 382.4152 463 0.05188704 0.1929011
Stationary 1863.773 382.4152 463 0.05188704 0.1929011
Stationary 1863.788 382.4152 463 0.05188704 0.1929011
Stationary 1863.804 382.4152 463 0.05188704 0.1929011
Stationary 1863.82 382 463 0.05092591 0.1929011
Stationary 1863.835 382 463 0.05092591 0.1929011
Stationary 1863.849 382 463 0.05092591 0.1929011
Stationary 1863.865 382 463 0.05092591 0.1929011
Moved 1863.881 382 450.8917 0.05092591 0.1617585
Moved 1863.897 382 448.2469 0.05092591 0.1549561
Moved 1863.912 374.1282 445.7509 0.03270407 0.1485362
Moved 1863.928 375 443 0.03472219 0.1414608
Moved 1863.944 374 440.1203 0.03240744 0.1340542
Moved 1863.959 374 436.2411 0.03240744 0.1240767
Moved 1863.974 374 431.7523 0.03240744 0.1125314
Moved 1863.996 374 420.5513 0.03240744 0.08372251
Stationary 1864.007 374 420.5513 0.03240744 0.08372251
Moved 1864.02 374 416.5 0.03240744 0.07330243
Moved 1864.035 374 412.252 0.03240744 0.06237638
Moved 1864.051 374 409.4255 0.03240744 0.05510679
Moved 1864.066 374 407.3392 0.03240744 0.04974063
Moved 1864.082 374 406.2172 0.03240744 0.04685472
Moved 1864.097 374 404.9152 0.03240744 0.04350623
Moved 1864.113 374 403.5403 0.03240744 0.03996998
Moved 1864.128 373.1475 402.1475 0.03043403 0.03638758
Moved 1864.144 371.7619 402 0.02722651 0.03600815
Moved 1864.159 369.7572 402 0.02258619 0.03600815
Moved 1864.174 367.0017 402 0.0162077 0.03600815
Moved 1864.19 364.2524 402 0.009843509 0.03600815
Moved 1864.206 350.8265 418.7505 -0.02123495 0.07909071
Moved 1864.22 323.6424 456.2566 -0.08416105 0.175557
Moved 1864.236 305.9921 483.0891 -0.1250182 0.2445706
Moved 1864.253 294.5 499.5 -0.1516204 0.2867798
Moved 1864.268 287.454 512.2736 -0.1679306 0.3196337
Moved 1864.283 280.5629 524.5868 -0.1838822 0.3513034
Moved 1864.297 278.6774 527.9838 -0.1882467 0.3600406
Moved 1864.313 277.208 531.3761 -0.1916482 0.3687656
Moved 1864.329 274.7947 534.2053 -0.1972345 0.3760422
Moved 1864.344 273.5307 536.9386 -0.2001604 0.3830724
Moved 1864.36 272.1422 537.8578 -0.2033745 0.3854366
Moved 1864.375 270.7645 539.2355 -0.2065636 0.38898
Moved 1864.397 267.0131 540 -0.2152474 0.3909464
Stationary 1864.408 267.0131 540 -0.2152474 0.3909464
Moved 1864.42 265.6422 540 -0.2184208 0.3909464
Moved 1864.437 264.6444 540 -0.2207305 0.3909464
Moved 1864.454 262.2794 540 -0.2262052 0.3909464
Moved 1864.467 260.7479 540 -0.2297502 0.3909464
Moved 1864.483 255.25 524.2499 -0.2424769 0.3504371
Moved 1864.499 246.9252 503.813 -0.2617472 0.297873
Moved 1864.513 237.2989 474.8967 -0.2840303 0.2234998
Moved 1864.528 230.926 457.0095 -0.2987824 0.1774934
Moved 1864.546 226.4398 439.7591 -0.3091672 0.1331252
Moved 1864.56 219.8551 418.3362 -0.3244095 0.07802531
Moved 1864.574 216.5256 405.8141 -0.3321166 0.04581808
Moved 1864.591 212.0041 389.0176 -0.3425832 0.002617149
Moved 1864.607 207.8719 379.3678 -0.3521483 -0.02220224
Moved 1864.623 205.4836 368.6926 -0.3576768 -0.0496592
Moved 1864.638 205 363.5913 -0.3587963 -0.06277964
Moved 1864.653 205 361 -0.3587963 -0.06944452
Moved 1864.669 205 360.425 -0.3587963 -0.07092331
Moved 1864.683 205 359.5 -0.3587963 -0.07330247
Stationary 1864.699 205 359.5 -0.3587963 -0.07330247
Moved 1864.714 221.3884 368.5178 -0.3208602 -0.05010856
Moved 1864.729 240.2644 387.1801 -0.2771658 -0.002108876
Moved 1864.745 259.5786 402.1689 -0.2324569 0.03644276
Moved 1864.759 284.4782 420.951 -0.1748189 0.08475056
Moved 1864.776 298.7526 434.7526 -0.1417764 0.1202483
Moved 1864.792 318.8744 452.3578 -0.0951981 0.1655294
Moved 1864.811 331.14 462.855 -0.06680558 0.1925282
Moved 1864.823 340.131 470.1091 -0.04599318 0.211186
Moved 1864.838 346.996 475.5968 -0.03010183 0.2253003
Moved 1864.853 349.5532 477.7766 -0.0241825 0.2309067
Moved 1864.868 352.2954 480.2954 -0.0178347 0.2373852
Moved 1864.884 355 480 -0.01157408 0.2366254
Moved 1864.904 355.603 481 -0.01017819 0.2391974
Moved 1864.916 356.9918 481 -0.006963362 0.2391974
Moved 1864.93 358.3805 481 -0.003748834 0.2391974
Moved 1864.946 359.5 481 -0.001157423 0.2391974
Moved 1864.96 360.0688 481 0.0001592437 0.2391974
Moved 1864.977 363 481 0.006944438 0.2391974
Moved 1864.992 368.64 464.54 0.01999994 0.1968621
Moved 1865.008 373.8463 455.2767 0.0320515 0.1730367
Moved 1865.023 381.8608 443.2088 0.05060374 0.1419979
Moved 1865.038 390.0739 427.5311 0.06961554 0.1016746
Moved 1865.054 397.3182 411.2363 0.08638481 0.05976402
Moved 1865.069 402.7726 403.3412 0.09901056 0.03945775
Moved 1865.084 407.4633 393.0734 0.1098687 0.0130487
Moved 1865.1 411.5899 380.0338 0.119421 -0.02048932
Moved 1865.115 415.5 373 0.1284723 -0.03858032
Moved 1865.13 416.6689 368.3242 0.1311781 -0.05060651
Moved 1865.147 418.0614 363.8159 0.1344014 -0.06220217
Moved 1865.161 419.4404 359.6788 0.1375935 -0.0728425
Moved 1865.183 420 358 0.1388889 -0.07716057
Stationary 1865.193 420 358 0.1388889 -0.07716057
Moved 1865.206 420 357 0.1388889 -0.07973259
