that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Accept 370.9145 0 a
Began 371.0355 288 335 -0.1666667 -0.1363169
Stationary 371.0555 288 335 -0.1666667 -0.1363169
Stationary 371.0739 288 335 -0.1666667 -0.1363169
Stationary 371.0846 288 335 -0.1666667 -0.1363169
Stationary 371.0997 288 335 -0.1666667 -0.1363169
Moved 371.1159 288 315.3558 -0.1666667 -0.1868421
Moved 371.1315 279.6471 299.4706 -0.1860022 -0.2276991
Moved 371.1467 275.7396 277.2779 -0.1950472 -0.2847792
Moved 371.1625 273.0263 265.6713 -0.2013279 -0.3146315
Moved 371.1784 271.1334 250.3339 -0.2057097 -0.3540795
Moved 371.194 268.5073 240.2756 -0.2117886 -0.3799495
Moved 371.2097 267.3729 230.61 -0.2144146 -0.4048097
Moved 371.2241 264.9881 222.9703 -0.2199349 -0.4244591
Moved 371.2396 263.6181 217.4723 -0.2231063 -0.4386001
Moved 371.2549 261.5334 212.8002 -0.2279319 -0.4506169
Moved 371.2702 259.334 210.334 -0.2330232 -0.45696
Moved 371.2861 254.375 208.8438 -0.2445023 -0.4607929
Moved 371.3015 246.2646 213.269 -0.2632764 -0.4494109
Moved 371.317 234.7333 228.0222 -0.2899691 -0.4114655
Moved 371.3319 223.6141 247.1753 -0.3157081 -0.3622034
Moved 371.3474 212.5752 278.2401 -0.3412611 -0.2823042
Moved 371.3628 202.5745 309.398 -0.3644109 -0.2021657
Moved 371.3836 194.3812 336.7294 -0.3833769 -0.131869
Moved 371.3947 189.3472 355.0806 -0.3950297 -0.08466917
Moved 371.4095 183.3685 376.7103 -0.4088692 -0.02903746
Moved 371.4242 179.138 394.7354 -0.418662 0.01732355
Moved 371.4384 178.3356 405.9798 -0.4205195 0.04624433
Moved 371.4571 178 415.2144 -0.4212963 0.06999565
Moved 371.4703 178 423.518 -0.4212963 0.09135278
Moved 371.4844 178 430.0026 -0.4212963 0.1080312
Moved 371.5008 178 434.5717 -0.4212963 0.1197832
Moved 371.5175 186.6676 442.4294 -0.4012323 0.1399932
Moved 371.5309 188.2226 446.4452 -0.3976329 0.1503219
Moved 371.5476 191.9686 451.9582 -0.3889615 0.1645015
Moved 371.564 196.1193 454.7462 -0.3793535 0.1716723
Moved 371.5786 204.5609 461.0406 -0.3598128 0.1878615
Moved 371.5948 212.8933 465.4467 -0.3405249 0.199194
Moved 371.6104 224 469.5 -0.3148148 0.2096193
Moved 371.6256 233.087 472.1304 -0.2937801 0.2163848
Moved 371.64 246.538 473.9538 -0.2626434 0.2210745
Moved 371.6561 257.7288 475.3411 -0.236739 0.2246427
Moved 371.6745 269.6242 475.736 -0.2092033 0.2256584
Moved 371.6863 282.062 476 -0.1804119 0.2263374
Moved 371.7013 291.427 476 -0.1587338 0.2263374
Moved 371.7166 299.4255 476 -0.1402187 0.2263374
Moved 371.7317 303.8761 476 -0.1299164 0.2263374
Moved 371.7472 309.3719 476 -0.1171946 0.2263374
Moved 371.7628 312.468 476 -0.1100278 0.2263374
Moved 371.7777 316.3641 476 -0.101009 0.2263374
Moved 371.7936 319 476 -0.09490739 0.2263374
Moved 371.8112 320.7922 476 -0.0907587 0.2263374
Ended 371.8251 322.2905 476 -0.0872905 0.2263374
Candidates 371.9289 12 very cry vary carry barry carey ceo betty battery bay vast bet
Began 372.288 284 257 -0.1759259 -0.3369342
Stationary 372.3022 284 257 -0.1759259 -0.3369342
Stationary 372.3164 284 257 -0.1759259 -0.3369342
Stationary 372.3318 284 257 -0.1759259 -0.3369342
Stationary 372.3485 284 257 -0.1759259 -0.3369342
Moved 372.3674 284 284.2385 -0.1759259 -0.2668763
Moved 372.3789 293.5514 309.6846 -0.1538162 -0.2014286
Moved 372.3943 295 340.5 -0.150463 -0.1221709
Moved 372.4093 297.7153 373.1671 -0.1441775 -0.03815043
Moved 372.4254 298 408.3958 -0.1435185 0.0524582
Ended 372.4416 298 447.3517 -0.1435185 0.1526536
Accept 372.4836 0 very
Began 372.6235 275 260 -0.1967592 -0.3292181
Stationary 372.6399 275 260 -0.1967592 -0.3292181
Stationary 372.657 275 260 -0.1967592 -0.3292181
