the facts get in the way
the facts get in the way
Basic
0.6 0.6
432 388.8
Moved 668.897 368.536 518.732 0.01975924 0.3362447
Moved 668.9128 373.2257 517.1935 0.03061513 0.3322878
Moved 668.9279 377.5659 514.6227 0.04066189 0.3256756
Moved 668.9418 380.1502 513.4249 0.04664401 0.3225947
Moved 668.9573 382.9169 513 0.05304843 0.321502
Moved 668.9742 383.9926 512.0074 0.05553842 0.3189489
Moved 668.9898 386.7444 510.6278 0.06190827 0.3154007
Moved 669.0045 387.7592 510 0.06425728 0.3137859
Moved 669.02 388 508.858 0.06481478 0.3108486
Stationary 669.035 388 509 0.06481478 0.3112139
Stationary 669.0502 388 509 0.06481478 0.3112139
Moved 669.0652 388 506.696 0.06481478 0.3052881
Moved 669.081 388 505.5 0.06481478 0.3022119
Moved 669.0972 377.9523 503.2381 0.04155626 0.2963942
Moved 669.1125 368.965 499.5564 0.02075225 0.2869248
Moved 669.1304 358.6848 496.3818 -0.003044556 0.2787596
Moved 669.1431 347.5764 492.2161 -0.02875835 0.2680455
Moved 669.1638 335.1403 488.0468 -0.05754555 0.2573218
Moved 669.1758 326.0744 485.5927 -0.07853155 0.2510098
Moved 669.1905 316.3779 482.8223 -0.1009771 0.2438843
Moved 669.2053 305.9541 479.6862 -0.1251063 0.2358183
Moved 669.2202 292.9439 474.2617 -0.1552225 0.2218663
Moved 669.2385 282.3489 469.1744 -0.1797479 0.2087819
Moved 669.2504 271.3801 463.6901 -0.2051386 0.194676
Moved 669.2662 260.5639 458.1395 -0.2301762 0.1804
Moved 669.2825 251.3799 452.5866 -0.2514354 0.1661177
Moved 669.2977 240.0882 445.5551 -0.2775736 0.1480326
Moved 669.3134 233.8868 442.2578 -0.2919288 0.1395519
Moved 669.3304 225.1155 437.066 -0.3122327 0.1261984
Moved 669.3433 218.1521 434.2608 -0.3283517 0.1189834
Moved 669.3595 212.2087 428.967 -0.3421094 0.1053677
Moved 669.3751 205.2631 424.5579 -0.3581872 0.09402738
