good jobs for those with education
good jobs for those with education
Basic
0.6 0.6
432 388.8
Moved 606.1428 319.8838 309.8216 -0.0928616 -0.2010762
Moved 606.159 308.6448 322.944 -0.1188778 -0.1673251
Moved 606.1747 300.3846 333.5055 -0.1379985 -0.1401608
Moved 606.1891 288.9055 349.2549 -0.1645706 -0.099653
Moved 606.2049 279.292 359.5234 -0.186824 -0.07324234
Moved 606.2196 268.032 372.214 -0.2128889 -0.04060196
Moved 606.235 258.9181 382.0819 -0.2339859 -0.0152215
Moved 606.2503 252.5088 388.4912 -0.2488223 0.001263324
Moved 606.2655 245.7872 396.2128 -0.2643815 0.02112353
Moved 606.288 236.6526 406.3474 -0.2855265 0.04718981
Stationary 606.2973 236.6526 406.3474 -0.2855265 0.04718981
Moved 606.3106 231.3859 410.6141 -0.2977178 0.05816377
Moved 606.3271 227.078 414.922 -0.3076898 0.06924374
Moved 606.3425 224.1826 416.4087 -0.3143921 0.07306758
Moved 606.3584 222.1538 418.8462 -0.3190883 0.07933687
Moved 606.3739 219.4237 420.2881 -0.3254082 0.0830456
Moved 606.3891 218.5 421.5 -0.3275463 0.08616251
Moved 606.4039 217.2027 422.7973 -0.3305493 0.08949919
Moved 606.4203 215.764 423 -0.3338796 0.09002049
Moved 606.4354 215 424 -0.3356481 0.09259254
Ended 606.4515 215 424 -0.3356481 0.09259254
Candidates 606.6027 12 give jobs juice topics live found love gonna five kinds kinda joyce
Began 607.436 345 382 -0.03472224 -0.01543218
Stationary 607.4546 345 382 -0.03472224 -0.01543218
Stationary 607.4686 345 382 -0.03472224 -0.01543218
Stationary 607.4844 345 382 -0.03472224 -0.01543218
Stationary 607.4995 345 382 -0.03472224 -0.01543218
Moved 607.5137 319.6287 382 -0.09345203 -0.01543218
Moved 607.5383 279.9925 390.2148 -0.1852025 0.005696575
Stationary 607.5497 279.9925 390.2148 -0.1852025 0.005696575
Moved 607.5616 266.8495 391.2424 -0.2156261 0.008339352
Moved 607.5772 250.6457 393.5298 -0.253135 0.01422266
Moved 607.5925 238.1494 395.2056 -0.2820616 0.01853291
Moved 607.6078 228.5219 395 -0.3043475 0.01800408
Moved 607.6232 220.6434 395 -0.3225848 0.01800408
Moved 607.6392 215 396.5 -0.3356481 0.02186214
Moved 607.6542 211.101 396 -0.3446737 0.02057605
Moved 607.6695 207.9295 396 -0.3520151 0.02057605
Moved 607.6857 206.5294 397.4706 -0.355256 0.02435845
Moved 607.7006 204.0963 397 -0.3608882 0.02314815
Moved 607.7156 202.6615 398.3385 -0.3642095 0.02659075
Ended 607.7304 201.5 398 -0.3668981 0.02572008
Accept 607.7728 1 jobs
Began 608.0663 261 410 -0.2291666 0.05658428
Stationary 608.0858 261 410 -0.2291666 0.05658428
Stationary 608.1008 261 410 -0.2291666 0.05658428
Stationary 608.1151 261 410 -0.2291666 0.05658428
Stationary 608.1349 261 410 -0.2291666 0.05658428
Stationary 608.1485 261 410 -0.2291666 0.05658428
Moved 608.1621 276.8413 417.3926 -0.1924969 0.07559831
Moved 608.1783 300 430.5 -0.1388889 0.1093106
Moved 608.1943 364.0931 461.3013 0.009474753 0.1885322
Moved 608.2091 407.1463 481.8982 0.1091349 0.2415076
Moved 608.2242 414.8968 484.1587 0.1270759 0.2473217
Moved 608.2428 431.5746 491.0728 0.1656819 0.2651048
Moved 608.2556 449.5675 498.627 0.2073321 0.2845344
Moved 608.271 465.0058 503.2743 0.2430689 0.2964874
Moved 608.2858 477.5 507.5 0.2719907 0.3073559
Moved 608.3018 486.1321 510.283 0.2919725 0.3145139
Moved 608.3162 497.6176 515.3088 0.3185593 0.3274401
Moved 608.3315 505.0475 517.5119 0.3357582 0.3331067
Moved 608.3475 511.7057 520.8234 0.3511706 0.341624
Moved 608.3627 516.1738 522.3913 0.3615135 0.3456565
Moved 608.3787 520.6476 524.8239 0.3718695 0.3519131
Moved 608.3945 524.8891 527.5927 0.3816877 0.3590346
Moved 608.4153 528.8196 529.8196 0.3907861 0.3647622
Stationary 608.4268 528.8196 529.8196 0.3907861 0.3647622
Moved 608.4393 530.2557 530 0.3941104 0.3652262
Moved 608.4551 531.5 531.5 0.3969907 0.3690843
Moved 608.472 532.067 532.067 0.3983032 0.3705425
Stationary 608.4871 532.067 532.067 0.3983032 0.3705425
Moved 608.5017 533 533.0086 0.4004629 0.3729644
Stationary 608.5165 533 533.0086 0.4004629 0.3729644
Stationary 608.5317 533 533.0086 0.4004629 0.3729644
Moved 608.5482 533 533.9957 0.4004629 0.3755034
Stationary 608.5634 533 534 0.4004629 0.3755144
Moved 608.579 518.9446 534 0.3679273 0.3755144
Moved 608.5941 501.036 522.2557 0.3264723 0.3453079
Moved 608.6094 472.4478 509.2239 0.2602959 0.3117897
Moved 608.6259 454.7362 499.926 0.2192968 0.2878753
Moved 608.6399 430.2223 486.3457 0.1625515 0.2529467
Moved 608.6556 405.2974 473.292 0.1048551 0.2193724
Moved 608.672 383.7195 460.6317 0.05490611 0.1868097
Moved 608.6918 364.4183 450.41 0.01022766 0.1605194
Moved 608.703 347.4696 441.7348 -0.02900546 0.1382068
Moved 608.7181 334.2165 435.1083 -0.05968397 0.1211631
Moved 608.7333 323.6744 429.4858 -0.08408695 0.106702
Moved 608.7492 313.642 423.7954 -0.1073101 0.09206626
Moved 608.7646 306.5845 419.5507 -0.1236471 0.08114886
Moved 608.78 296.3549 415.2129 -0.1473267 0.06999196
Moved 608.7949 290.5083 413.6271 -0.1608605 0.06591322
Moved 608.8111 287.376 411.188 -0.168111 0.05964
Moved 608.8264 284.4956 411 -0.1747787 0.05915629
Moved 608.8414 283.5 409.5 -0.1770833 0.05529835
Moved 608.8575 282.1979 409.1979 -0.1800974 0.05452136
Moved 608.8717 280.7648 409 -0.1834147 0.05401234
Stationary 608.8873 280.7648 409 -0.1834147 0.05401234
Moved 608.9024 278.8835 408 -0.1877697 0.05144025
Moved 608.9178 278 407.4382 -0.1898148 0.04999525
Stationary 608.9348 278 407 -0.1898148 0.04886827
Moved 608.9554 275.632 407 -0.1952963 0.04886827
Stationary 608.9668 275.632 407 -0.1952963 0.04886827
Stationary 608.9802 276 407 -0.1944444 0.04886827
Moved 608.9958 274.6125 405.6125 -0.1976561 0.04529976
Stationary 609.0093 274.6125 405.6125 -0.1976561 0.04529976
Stationary 609.0263 274.6125 405.6125 -0.1976561 0.04529976
Moved 609.0409 274 406 -0.199074 0.04629618
Stationary 609.0573 274 406 -0.199074 0.04629618
Stationary 609.0728 274 406 -0.199074 0.04629618
Moved 609.0871 273.2982 406 -0.2006985 0.04629618
Moved 609.103 272.5 406 -0.2025463 0.04629618
Stationary 609.1174 272.5 406 -0.2025463 0.04629618
Moved 609.1349 273 406 -0.2013889 0.04629618
Ended 609.1503 273 406 -0.2013889 0.04629618
Candidates 609.3625 12 did food stupid dod dos good sosa stood soda doug soft stops
Began 609.8584 340 421 -0.04629632 0.08487643
Stationary 609.8837 340 421 -0.04629632 0.08487643
Stationary 609.8966 340 421 -0.04629632 0.08487643
Stationary 609.9087 340 421 -0.04629632 0.08487643
Ended 609.9214 340 421 -0.04629632 0.08487643
NextCandidatePanel 609.9799
Began 610.0099 333 424 -0.06249999 0.09259254
Stationary 610.0296 333 424 -0.06249999 0.09259254
Stationary 610.0438 333 424 -0.06249999 0.09259254
Stationary 610.0604 333 424 -0.06249999 0.09259254
Ended 610.075 333 424 -0.06249999 0.09259254
Cancel 610.1342
Began 610.9818 270 409 -0.2083333 0.05401234
Stationary 611.0008 270 409 -0.2083333 0.05401234
Stationary 611.0141 270 409 -0.2083333 0.05401234
Stationary 611.0321 270 409 -0.2083333 0.05401234
Moved 611.046 279.9022 409 -0.1854116 0.05401234
