exercise is good for the mind
exercise is good for the mind
Basic
0.6 0.6
432 388.8
Moved 1591.904 271.2075 384.6038 -0.2055382 -0.008735185
Moved 1591.921 268.972 383.972 -0.2107129 -0.01035996
Moved 1591.938 267.5388 382.5388 -0.2140306 -0.01404648
Moved 1591.95 266.5 383 -0.2164352 -0.01286016
Moved 1591.966 265.8269 383 -0.2179932 -0.01286016
Ended 1591.981 266 383 -0.2175926 -0.01286016
Candidates 1592.145 12 kids kid his mid kiss miss joss good hood los loss god
Began 1592.611 408 427 0.1111111 0.1003086
Stationary 1592.627 408 427 0.1111111 0.1003086
Ended 1592.643 408 427 0.1111111 0.1003086
NextCandidatePanel 1592.686
Began 1593.211 421 419 0.1412037 0.07973251
Stationary 1593.229 421 419 0.1412037 0.07973251
Stationary 1593.243 421 419 0.1412037 0.07973251
Stationary 1593.259 421 419 0.1412037 0.07973251
Ended 1593.276 421 419 0.1412037 0.07973251
NextCandidatePanel 1593.334
Began 1593.828 430 393 0.162037 0.01285996
Stationary 1593.852 430 393 0.162037 0.01285996
Stationary 1593.863 430 393 0.162037 0.01285996
Stationary 1593.874 430 393 0.162037 0.01285996
Ended 1593.889 430 393 0.162037 0.01285996
NextCandidatePanel 1593.921
Began 1594.166 420 381 0.1388889 -0.01800419
Stationary 1594.184 420 381 0.1388889 -0.01800419
Stationary 1594.198 420 381 0.1388889 -0.01800419
Stationary 1594.214 420 381 0.1388889 -0.01800419
Stationary 1594.229 420 381 0.1388889 -0.01800419
Ended 1594.244 420 381 0.1388889 -0.01800419
NextCandidatePanel 1594.305
Began 1594.551 425 374 0.150463 -0.03600823
Stationary 1594.572 425 374 0.150463 -0.03600823
Stationary 1594.585 425 374 0.150463 -0.03600823
Stationary 1594.6 425 374 0.150463 -0.03600823
Moved 1594.623 421.1764 344.5378 0.1416121 -0.1117856
Stationary 1594.634 421.1764 344.5378 0.1416121 -0.1117856
Moved 1594.645 417.0081 331.073 0.1319632 -0.1464173
Moved 1594.661 417 320.4724 0.1319444 -0.173682
Moved 1594.677 416 310.4061 0.1296297 -0.1995728
Moved 1594.692 415.0451 302.2256 0.1274192 -0.2206133
Moved 1594.709 415 297.8188 0.1273148 -0.2319475
Moved 1594.724 415 296.1599 0.1273148 -0.2362144
Moved 1594.738 413.7018 294.7018 0.1243097 -0.2399646
Ended 1594.753 413.7018 294.7018 0.1243097 -0.2399646
Accept 1594.783 7 good
Began 1595.479 404 400 0.1018518 0.03086416
Stationary 1595.494 404 400 0.1018518 0.03086416
Stationary 1595.51 404 400 0.1018518 0.03086416
Stationary 1595.526 404 400 0.1018518 0.03086416
Stationary 1595.54 404 400 0.1018518 0.03086416
Stationary 1595.56 404 400 0.1018518 0.03086416
Stationary 1595.573 404 400 0.1018518 0.03086416
Stationary 1595.586 404 400 0.1018518 0.03086416
Moved 1595.601 394.4411 400 0.07972478 0.03086416
Moved 1595.617 393.0024 406.9832 0.07639448 0.0488251
Moved 1595.633 391.5717 408.4283 0.07308264 0.0525418
Moved 1595.648 391 409.878 0.07175922 0.05627051
Moved 1595.665 391 411.3205 0.07175922 0.05998066
Moved 1595.679 390 414.5096 0.06944448 0.068183
Moved 1595.694 390 416.1976 0.06944448 0.0725247
Moved 1595.71 390 418.4434 0.06944448 0.07830078
Moved 1595.726 390 421.4783 0.06944448 0.08610658
Moved 1595.74 390 425.5416 0.06944448 0.09655756
Moved 1595.756 398.2445 430.489 0.08852899 0.1092824
Moved 1595.771 401.1083 434.1083 0.09515811 0.1185914
Moved 1595.793 408.829 443.772 0.1130302 0.1434465
