my watch fell in the water
my watch fell in the water
Basic
0.6 0.6
432 388.8
Moved 215.4095 413.0357 425.0306 0.1227679 0.09524333
Moved 215.4312 419.5626 447.4692 0.1378765 0.1529556
Stationary 215.4424 419.5626 447.4692 0.1378765 0.1529556
Moved 215.4545 422.3289 457.1511 0.1442798 0.1778577
Moved 215.4723 425 465 0.150463 0.1980452
Moved 215.4859 426.8908 472.7269 0.1548398 0.217919
Moved 215.5015 429.6825 479.7062 0.161302 0.2358698
Moved 215.5163 430.5 484 0.1631944 0.2469135
Moved 215.5327 431.8063 489.4191 0.1662184 0.2608514
Moved 215.5479 432 493.5851 0.1666667 0.2715665
Moved 215.5633 433 496.1732 0.1689814 0.2782231
Moved 215.5783 433 497.9325 0.1689814 0.2827481
Moved 215.594 433 499.3173 0.1689814 0.2863099
Ended 215.6099 433 500 0.1689814 0.2880658
Accept 215.6364 0 watch
Began 216.4525 406 304 0.1064815 -0.2160494
Stationary 216.4795 406 304 0.1064815 -0.2160494
Stationary 216.4905 406 304 0.1064815 -0.2160494
Stationary 216.5009 406 304 0.1064815 -0.2160494
Stationary 216.5158 406 304 0.1064815 -0.2160494
Stationary 216.5322 406 304 0.1064815 -0.2160494
Stationary 216.5479 406 304 0.1064815 -0.2160494
Stationary 216.5629 406 304 0.1064815 -0.2160494
Stationary 216.5806 406 304 0.1064815 -0.2160494
Stationary 216.5958 406 304 0.1064815 -0.2160494
Stationary 216.6112 406 304 0.1064815 -0.2160494
Stationary 216.626 406 304 0.1064815 -0.2160494
Stationary 216.6405 406 304 0.1064815 -0.2160494
Moved 216.6563 394.8021 314.1979 0.08056034 -0.1898202
Moved 216.6729 390.5574 318.4426 0.07073472 -0.1789028
Moved 216.6881 387.7677 321.2323 0.06427705 -0.1717276
Moved 216.7028 384.1292 327.7417 0.05585452 -0.1549853
Moved 216.7239 375.8576 339.5706 0.03670752 -0.1245612
Stationary 216.7346 375.8576 339.5706 0.03670752 -0.1245612
Moved 216.7482 372.8207 345.3586 0.02967745 -0.1096743
Moved 216.7642 368.5743 352.3762 0.01984795 -0.0916251
Moved 216.7796 364.3904 359.3493 0.01016299 -0.07369014
Moved 216.7952 362.1439 364.6402 0.004962782 -0.06008187
Moved 216.811 358.1238 372.7524 -0.004343043 -0.03921721
Moved 216.8262 352.6047 383.7534 -0.01711875 -0.01092228
Moved 216.8412 346.7361 392.3958 -0.03070335 0.01130583
Moved 216.8571 341.2237 399.2203 -0.04346361 0.02885889
Moved 216.8718 334.102 408.7406 -0.05994916 0.05334516
Moved 216.887 326.8531 417.3762 -0.07672881 0.07555604
Moved 216.9023 320.5 426.5 -0.09143516 0.09902258
Moved 216.9188 314.5735 434.7971 -0.1051539 0.1203628
Moved 216.9353 304.474 446.5918 -0.1285325 0.150699
Moved 216.9554 290.7711 462.0747 -0.1602522 0.1905213
Stationary 216.9666 290.7711 462.0747 -0.1602522 0.1905213
Moved 216.9798 283.8221 469.1779 -0.1763378 0.2087909
Moved 216.9951 276.2147 478.0471 -0.1939474 0.2316025
Moved 217.0106 269.9173 485.0827 -0.2085247 0.2496982
Moved 217.0264 266.8329 489.2227 -0.2156644 0.2603464
Moved 217.0416 262.6553 496.2411 -0.225335 0.278398
Moved 217.0567 260.326 499.674 -0.2307268 0.2872272
Moved 217.0717 258.7755 502.4491 -0.2343161 0.2943649
Moved 217.088 257.3917 506.8248 -0.2375191 0.3056194
Moved 217.1033 255.9986 509.0014 -0.240744 0.3112175
Moved 217.1187 254.6127 511.7747 -0.2439522 0.3183504
Moved 217.1348 254.3981 513.6019 -0.2444489 0.3230501
Moved 217.1491 254 515.7528 -0.2453704 0.3285822
Moved 217.1645 252.7376 517.2625 -0.2482927 0.3324651
Moved 217.1857 251.9684 520.0316 -0.2500732 0.3395874
Stationary 217.1973 251.9684 520.0316 -0.2500732 0.3395874
Stationary 217.2097 252 520 -0.25 0.3395061
Moved 217.2264 252 521.8118 -0.25 0.3441661
Stationary 217.2416 252 522 -0.25 0.3446501
Moved 217.2557 252 523.2036 -0.25 0.3477457
Stationary 217.2706 252 523.2036 -0.25 0.3477457
Moved 217.2873 252 524.3611 -0.25 0.3507228
Stationary 217.3019 252 524 -0.25 0.3497942
Moved 217.3182 276.924 524 -0.1923057 0.3497942
Moved 217.3339 303.2321 513.0956 -0.1314073 0.3217478
Moved 217.349 325.7462 504.2239 -0.07929121 0.2989298
Moved 217.3656 347.5418 495.9104 -0.02883841 0.2775473
Moved 217.3804 375.6425 485.7664 0.03620942 0.2514567
Moved 217.4015 411.3824 471.0068 0.1189407 0.2134947
Stationary 217.4122 411.3824 471.0068 0.1189407 0.2134947
Moved 217.4253 423.4986 465.2507 0.1469875 0.1986899
Moved 217.4409 436.5056 459.2473 0.1770962 0.183249
Moved 217.4561 444.8036 454.1309 0.1963047 0.1700898
Moved 217.4738 457.2111 448.5728 0.2250257 0.1557942
Moved 217.4897 462.0251 444.6499 0.2361693 0.1457044
Moved 217.5038 471.931 439.7126 0.2590995 0.1330057
Moved 217.5185 480.2135 436.5955 0.2782719 0.1249884
Moved 217.5336 485.8778 432.8489 0.2913839 0.115352
Moved 217.5487 491.8781 429.0914 0.3052732 0.1056878
Moved 217.565 498.798 424.9212 0.3212916 0.09496186
Moved 217.5806 504.2336 419.7664 0.3338742 0.08170351
Moved 217.5961 509.225 415.62 0.3454283 0.07103904
