if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Moved 3262.848 486 220.1106 0.2916667 -0.4318144
Moved 3262.863 486 219.5 0.2916667 -0.4333848
Moved 3262.878 486 218.625 0.2916667 -0.4356353
Stationary 3262.894 486 218.625 0.2916667 -0.4356353
Moved 3262.909 486 228.7767 0.2916667 -0.4095249
Moved 3262.924 486 242.9346 0.2916667 -0.3731107
Moved 3262.94 486 278.4838 0.2916667 -0.2816775
Moved 3262.96 488.2397 302.7773 0.2968512 -0.2191942
Moved 3262.972 492.1997 329.198 0.3060178 -0.1512398
Moved 3262.988 497.0022 353.5103 0.3171347 -0.08870827
Moved 3263.001 503.7437 381.0262 0.3327401 -0.01793677
Moved 3263.017 509.4895 401.2134 0.3460406 0.03398499
Moved 3263.032 515.5 414 0.3599537 0.06687239
Moved 3263.048 520.5562 428.8904 0.3716578 0.1051708
Moved 3263.063 527.6033 443.2066 0.3879705 0.1419922
Moved 3263.079 530.5303 451.8259 0.3947462 0.1641611
Moved 3263.094 535.8134 462.6268 0.4069753 0.1919412
Moved 3263.11 538.9357 472.1618 0.4142029 0.2164654
Moved 3263.125 542.1658 478.2487 0.4216802 0.2321211
Moved 3263.14 545 487 0.4282407 0.2546296
Moved 3263.156 546.6348 490.1741 0.4320251 0.2627933
Moved 3263.172 549.1492 494.1492 0.4378453 0.2730174
Moved 3263.189 550 498.0295 0.4398148 0.2829977
Moved 3263.201 550.9522 499.9522 0.442019 0.2879428
Moved 3263.217 552.3948 502.7896 0.4453585 0.2952407
Moved 3263.233 552 504.8329 0.4444444 0.3004962
Moved 3263.248 553.2712 506.2712 0.447387 0.3041953
Stationary 3263.263 553.2712 506.2712 0.447387 0.3041953
Moved 3263.278 553 507 0.4467593 0.3060699
Moved 3263.298 553 508.2398 0.4467593 0.3092587
Moved 3263.31 553 508.6757 0.4467593 0.3103797
Moved 3263.325 553 510.118 0.4467593 0.3140894
Moved 3263.341 547.3948 510 0.4337842 0.3137859
Moved 3263.357 537.031 510 0.409794 0.3137859
Moved 3263.371 527.0689 510 0.3867336 0.3137859
Moved 3263.389 512.2476 510 0.3524249 0.3137859
Moved 3263.403 496.8699 510 0.3168284 0.3137859
Moved 3263.419 479.5423 510 0.2767182 0.3137859
Moved 3263.433 457.4755 496.454 0.2256378 0.2789453
Moved 3263.449 444.0385 493.3419 0.1945337 0.270941
