travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Moved 2679.324 452.45 270.1 0.2140046 -0.3032409
Moved 2679.34 453.5789 264.1057 0.2166177 -0.3186581
Moved 2679.355 456.0293 256.9267 0.2222902 -0.3371228
Moved 2679.371 458.8987 248.304 0.2289321 -0.3593006
Moved 2679.386 462.7737 239.679 0.237902 -0.3814842
Moved 2679.401 464.3253 235.024 0.2414938 -0.3934568
Moved 2679.42 465 231.4662 0.2430555 -0.4026076
Moved 2679.433 465 228.5818 0.2430555 -0.4100264
Moved 2679.447 466.2301 226.5398 0.245903 -0.4152783
Moved 2679.462 466 225 0.2453704 -0.4192387
Moved 2679.477 466 223.8143 0.2453704 -0.4222883
Moved 2679.493 456.6326 232.6982 0.2236866 -0.3994386
Moved 2679.511 439.8069 248.0846 0.1847381 -0.3598648
Moved 2679.526 423.0199 266.611 0.1458794 -0.3122145
Moved 2679.541 406.1648 286.8077 0.106863 -0.2602682
Moved 2679.556 391.412 301.588 0.0727129 -0.2222531
Moved 2679.572 368.587 329.8929 0.01987735 -0.1494523
Moved 2679.587 352.6488 348.2863 -0.01701673 -0.1021442
Moved 2679.603 335.6552 365.3448 -0.05635366 -0.05826973
Moved 2679.619 322.7596 380.0449 -0.08620451 -0.02046083
Moved 2679.633 312.3015 390.6985 -0.1104131 0.006940433
Moved 2679.647 304.8999 398.1001 -0.1275464 0.02597754
Moved 2679.664 299.602 403.398 -0.1398101 0.03960393
Moved 2679.679 295.2485 407.7515 -0.1498877 0.05080105
Moved 2679.694 292.312 411.376 -0.1566852 0.06012347
Moved 2679.71 292 413.1291 -0.1574074 0.06463235
Moved 2679.725 292 415.7035 -0.1574074 0.07125379
Ended 2679.742 292 418.5 -0.1574074 0.07844638
Candidates 2679.921 12 the gene tube turned tune rubber turner there returned termed fitness tenet
Began 2680.357 402 245 0.09722222 -0.3677984
Stationary 2680.373 402 245 0.09722222 -0.3677984
Moved 2680.389 402 255.405 0.09722222 -0.3410364
Moved 2680.405 402 283.0241 0.09722222 -0.2699998
Moved 2680.419 402 322.5992 0.09722222 -0.1682121
Moved 2680.434 402 367.9531 0.09722222 -0.05156113
Ended 2680.451 411 433 0.1180555 0.1157406
Accept 2680.494 0 the
Began 2680.879 366 309 0.01388888 -0.2031893
Stationary 2680.897 366 309 0.01388888 -0.2031893
Stationary 2680.912 366 309 0.01388888 -0.2031893
Stationary 2680.927 366 309 0.01388888 -0.2031893
Stationary 2680.942 366 309 0.01388888 -0.2031893
Stationary 2680.959 366 309 0.01388888 -0.2031893
Moved 2680.973 355.0055 309 -0.01156126 -0.2031893
Moved 2680.989 343.9505 309 -0.03715167 -0.2031893
Moved 2681.006 334.0428 309 -0.060086 -0.2031893
Moved 2681.021 315.1858 316.2095 -0.1037367 -0.1846464
Moved 2681.036 293.8777 319.683 -0.1530608 -0.1757125
Moved 2681.051 281.4602 320 -0.1818051 -0.1748972
Moved 2681.067 268.0892 321.2123 -0.2127566 -0.171779
Moved 2681.082 253.4912 321.6509 -0.2465481 -0.170651
Moved 2681.099 234.9577 322 -0.2894498 -0.1697531
Moved 2681.114 223.2681 322 -0.3165091 -0.1697531
Moved 2681.128 207.5 322 -0.3530093 -0.1697531
Moved 2681.144 197.331 322 -0.3765487 -0.1697531
Moved 2681.159 190.4715 322 -0.3924271 -0.1697531
Moved 2681.175 184.7162 322 -0.4057495 -0.1697531
Moved 2681.19 181.477 322 -0.4132476 -0.1697531
Moved 2681.206 179.3054 322 -0.4182746 -0.1697531
Moved 2681.221 178.174 322 -0.4208936 -0.1697531
Moved 2681.236 176.8019 322 -0.4240696 -0.1697531
Stationary 2681.251 176.8019 322 -0.4240696 -0.1697531
Moved 2681.266 175.9301 322 -0.4260876 -0.1697531
Stationary 2681.283 175.9301 322 -0.4260876 -0.1697531
Moved 2681.297 176 323.9475 -0.4259259 -0.164744
Moved 2681.313 176 326.7664 -0.4259259 -0.1574938
Moved 2681.329 182.7279 332.0184 -0.4103522 -0.1439857
Moved 2681.349 195.0863 339.0576 -0.3817446 -0.1258808
Moved 2681.361 209.2558 345.681 -0.348945 -0.1088452
Moved 2681.375 229.5258 354.3682 -0.3020236 -0.08650155
Moved 2681.39 256.3789 363.0144 -0.2398636 -0.06426336
Moved 2681.408 297.502 370.6556 -0.1446712 -0.04461021
Moved 2681.421 338.7697 381.5916 -0.04914433 -0.01648255
Moved 2681.437 360 390.5 0 0.006429962
Moved 2681.454 379.1477 399.8434 0.0443234 0.03046145
Moved 2681.467 399.2414 407.8621 0.09083648 0.05108543
Moved 2681.482 421.1053 412.8705 0.1414476 0.06396721
Moved 2681.499 441.9102 417.182 0.1896069 0.07505652
Moved 2681.516 458.8583 419.9764 0.2288387 0.08224373
Moved 2681.529 479.2249 421.9354 0.2759835 0.08728243
Moved 2681.544 495.1323 423.3757 0.3128062 0.09098673
Moved 2681.56 504.8852 424.3885 0.3353823 0.09359175
Moved 2681.575 522.5108 424 0.3761824 0.09259254
Moved 2681.591 535.522 424 0.406301 0.09259254
Moved 2681.606 544.8234 424 0.427832 0.09259254
Moved 2681.621 554.9017 424 0.4511614 0.09259254
Moved 2681.636 562.283 424 0.4682478 0.09259254
Moved 2681.651 569.774 424 0.4855879 0.09259254
Moved 2681.667 572.5887 424 0.4921036 0.09259254
Moved 2681.683 578.0876 424 0.5048324 0.09259254
Moved 2681.698 582.4002 424 0.5148153 0.09259254
Moved 2681.714 585.7358 424 0.5225366 0.09259254
Moved 2681.729 589.0273 424 0.5301557 0.09259254
Moved 2681.745 591.9415 424 0.5369017 0.09259254
Moved 2681.76 593.8979 424 0.5414304 0.09259254
Moved 2681.78 594.9819 424 0.5439397 0.09259254
Moved 2681.791 596.4034 424 0.5472301 0.09259254
Moved 2681.806 597.85 424 0.5505788 0.09259254
Moved 2681.821 599.3012 424 0.553938 0.09259254
Stationary 2681.839 599.3012 424 0.553938 0.09259254
Moved 2681.853 600.374 424 0.5564212 0.09259254
Stationary 2681.869 600.374 424 0.5564212 0.09259254
Stationary 2681.886 600.374 424 0.5564212 0.09259254
Stationary 2681.899 600 424 0.5555555 0.09259254
Moved 2681.913 594.1711 424 0.5420627 0.09259254
Moved 2681.929 583.8774 424 0.5182348 0.09259254
Moved 2681.945 570.8666 426.9185 0.4881172 0.100099
Moved 2681.96 550.3456 428.8078 0.4406148 0.1049583
Moved 2681.976 530.3658 430.331 0.3943653 0.108876
Moved 2681.992 512.5 433 0.3530093 0.1157406
Moved 2682.009 472.9388 435.7007 0.2614325 0.1226869
Moved 2682.023 431.7208 438.5914 0.1660203 0.1301218
Moved 2682.037 403.7602 440.7355 0.1012967 0.1356366
Moved 2682.054 377.8017 441 0.04120767 0.1363167
Moved 2682.069 357.4019 441.6141 -0.006014059 0.1378964
Moved 2682.083 339.3788 442 -0.04773438 0.1388888
Moved 2682.099 322.0624 442 -0.0878185 0.1388888
Moved 2682.115 310.08 442 -0.1155556 0.1388888
Moved 2682.131 298.5603 442 -0.1422215 0.1388888
Moved 2682.146 288.5 442 -0.1655093 0.1388888
Moved 2682.162 283.1775 442 -0.1778298 0.1388888
Moved 2682.183 277.1818 442 -0.1917088 0.1388888
Stationary 2682.194 277.1818 442 -0.1917088 0.1388888
Stationary 2682.208 277 442 -0.1921296 0.1388888
Moved 2682.223 275.7331 442 -0.1950622 0.1388888
Stationary 2682.239 275.7331 442 -0.1950622 0.1388888
Moved 2682.254 275 442 -0.1967592 0.1388888
Stationary 2682.269 275 442 -0.1967592 0.1388888
Stationary 2682.284 275 442 -0.1967592 0.1388888
Moved 2682.3 275 426.97 -0.1967592 0.1002314
Moved 2682.314 283.0499 412.9376 -0.1781252 0.0641399
Moved 2682.33 286.1632 404.5648 -0.1709185 0.04260475
Moved 2682.346 292 390 -0.1574074 0.005143954
Moved 2682.361 297.8071 369.6269 -0.143965 -0.04725601
Moved 2682.379 302.1726 355.0912 -0.1338596 -0.08464208
Moved 2682.392 305.6507 341.572 -0.1258087 -0.1194138
Moved 2682.408 309.788 328.6359 -0.1162314 -0.1526854
Moved 2682.422 311.7099 316.3207 -0.1117827 -0.1843604
Moved 2682.44 313.7267 307.9567 -0.1071142 -0.2058728
Moved 2682.462 318.3799 288.1702 -0.09634271 -0.2567641
Stationary 2682.472 318.3799 288.1702 -0.09634271 -0.2567641
Moved 2682.485 321.2574 275.8419 -0.08968205 -0.2884725
Moved 2682.501 322.5724 265.9933 -0.08663798 -0.3138034
Moved 2682.517 325.0411 255.856 -0.08092329 -0.3398767
Moved 2682.531 326.4507 249.1974 -0.07766053 -0.3570027
Moved 2682.553 328.9749 240.0753 -0.07181739 -0.3804648
Stationary 2682.564 328.9749 240.0753 -0.07181739 -0.3804648
Moved 2682.578 330.4258 237.1484 -0.06845882 -0.3879927
Ended 2682.593 331.5 236.5 -0.06597221 -0.3896605
Candidates 2682.782 12 happen supported stopped adopted speed applied supporters supports sports spotted spots superb
Began 2683.914 394 296 0.07870366 -0.2366256
Stationary 2683.935 394 296 0.07870366 -0.2366256
Stationary 2683.95 394 296 0.07870366 -0.2366256
Stationary 2683.963 394 296 0.07870366 -0.2366256
Stationary 2683.979 394 296 0.07870366 -0.2366256
Ended 2683.996 394 296 0.07870366 -0.2366256
NextCandidatePanel 2684.056
Began 2684.546 394 272 0.07870366 -0.2983539
Stationary 2684.566 394 272 0.07870366 -0.2983539
Moved 2684.581 394 282.5547 0.07870366 -0.2712071
Moved 2684.597 394 308.6393 0.07870366 -0.204117
Moved 2684.612 410.8499 357.2492 0.117708 -0.07909162
Moved 2684.628 419.6569 410.1601 0.1380946 0.05699609
Ended 2684.643 434 473.5 0.1712963 0.2199073
Accept 2684.702 4 speed
Began 2685.29 377 313 0.03935188 -0.1929013
Stationary 2685.308 377 313 0.03935188 -0.1929013
Stationary 2685.332 377 313 0.03935188 -0.1929013
Stationary 2685.345 377 313 0.03935188 -0.1929013
Stationary 2685.356 377 313 0.03935188 -0.1929013
Stationary 2685.367 377 313 0.03935188 -0.1929013
Moved 2685.383 388.3927 330.722 0.06572396 -0.1473199
Moved 2685.399 400.8134 345.7512 0.09447545 -0.1086648
Moved 2685.414 415.8077 360.8077 0.1291844 -0.06993909
Moved 2685.43 441.4455 388.4456 0.1885313 0.00114594
Moved 2685.446 456.6498 403.6498 0.2237265 0.04025157
Moved 2685.461 473.6662 417.8885 0.2631163 0.0768738
Moved 2685.476 482.7049 425.1906 0.2840391 0.09565459
Moved 2685.491 494.2556 433.6917 0.3107767 0.1175196
Moved 2685.507 503.0493 440.3279 0.3311325 0.1345883
Moved 2685.522 510.9453 445.3973 0.3494102 0.1476266
Moved 2685.538 518.1354 449.6812 0.3660541 0.158645
Moved 2685.553 523.6744 453.0058 0.3788758 0.1671959
Moved 2685.569 528.355 455.1183 0.3897106 0.1726294
Moved 2685.584 532.1086 457.5543 0.3983996 0.1788948
Moved 2685.6 534.9727 459.9727 0.4050294 0.185115
Moved 2685.615 537.8857 461.4428 0.4117724 0.188896
Moved 2685.63 538.6642 461.6642 0.4135745 0.1894654
