good jobs for those with education
good jobs for those with education
FixStart
0.6 0.6
432 388.8
Moved 1196.091 323.6516 264 -0.08413995 -0.31893
Moved 1196.106 312.8167 280.3785 -0.1092206 -0.2768042
Moved 1196.121 302.7369 293.3382 -0.1325534 -0.2434717
Moved 1196.137 294.1175 306.3238 -0.1525059 -0.2100727
Moved 1196.154 283.5096 323.2356 -0.1770611 -0.1665752
Moved 1196.172 276.2311 334.8302 -0.1939094 -0.1367536
Moved 1196.183 269.0547 344.5234 -0.2105216 -0.1118225
Moved 1196.199 263.2722 351.6733 -0.2239069 -0.09343276
Moved 1196.214 256.1209 361.6307 -0.2404608 -0.06782241
Moved 1196.23 249.1421 368.8579 -0.2566155 -0.04923385
Moved 1196.245 241.7762 377.4686 -0.2736663 -0.02708702
Moved 1196.26 236.2401 383.4498 -0.2864811 -0.01170319
Moved 1196.276 230.4979 389.5021 -0.2997732 0.003863283
Moved 1196.29 224.3024 394.6976 -0.3141149 0.01722642
Moved 1196.306 219.2375 399.01 -0.3258392 0.02831788
Moved 1196.323 212.456 403.3264 -0.3415371 0.03941975
Moved 1196.337 205.248 408.6512 -0.3582221 0.05311514
Moved 1196.353 198.0825 412.9505 -0.374809 0.06417306
Moved 1196.367 192.2951 415.8525 -0.3882058 0.07163695
Moved 1196.383 182.8196 420.5902 -0.4101397 0.08382247
Moved 1196.398 176.7602 424.9299 -0.4241662 0.0949842
Moved 1196.413 172 425.5 -0.4351852 0.09645053
Moved 1196.429 167.5471 428.6353 -0.4454928 0.1045145
Moved 1196.45 163.24 430.2534 -0.455463 0.1086763
Ended 1196.465 161 432 -0.4606481 0.1131687
Candidates 1196.667 12 jobs pond pbs kind gonna kinds pounds kinda hong one gone going
Began 1197.367 378 405 0.04166663 0.04372424
Moved 1197.387 378 419.1629 0.04166663 0.08015145
Moved 1197.402 378 452.3635 0.04166663 0.1655438
Moved 1197.418 378 505.7966 0.04166663 0.3029747
Moved 1197.432 378 568.4299 0.04166663 0.4640685
Moved 1197.447 378 630.3428 0.04166663 0.6233097
Moved 1197.462 402 695.5 0.09722222 0.790895
Ended 1197.478 402 695.5 0.09722222 0.790895
Accept 1197.537 0 jobs
Began 1197.874 409 452 0.113426 0.164609
Stationary 1197.9 409 452 0.113426 0.164609
Stationary 1197.911 409 452 0.113426 0.164609
Moved 1197.925 399.1364 452 0.09059359 0.164609
Moved 1197.94 387.9086 452 0.06460328 0.164609
Moved 1197.955 374.324 452 0.03315746 0.164609
Moved 1197.97 362.158 452 0.004995366 0.164609
Moved 1197.988 353.5824 452 -0.01485551 0.164609
Moved 1198.002 344.1108 459.8892 -0.03678049 0.1849
Moved 1198.024 333.9756 460 -0.06024172 0.1851851
Stationary 1198.036 333.9756 460 -0.06024172 0.1851851
Moved 1198.047 331.1063 461.4468 -0.06688352 0.1889064
Moved 1198.064 329.1144 461.8856 -0.07149448 0.1900349
Moved 1198.08 327.6757 462 -0.07482483 0.1903292
Moved 1198.096 326.5 462 -0.07754628 0.1903292
Moved 1198.11 327 463.8922 -0.07638887 0.1951958
Moved 1198.125 327 465.3377 -0.07638887 0.1989138
Moved 1198.142 339.4373 481.1053 -0.04759873 0.2394684
Moved 1198.157 366.1718 508.3913 0.01428644 0.3096483
Moved 1198.172 425.6548 559.8038 0.1519787 0.441882
Moved 1198.188 469.5399 592.8814 0.2535645 0.5269582
Moved 1198.203 507.5 618 0.3414352 0.5915637
Moved 1198.219 526.9046 627.0975 0.3863532 0.6149627
Moved 1198.233 549.0198 637.437 0.4375458 0.641556
Moved 1198.25 564.5 643 0.4733796 0.6558642
Moved 1198.265 579.7422 645.9678 0.5086626 0.6634973
Moved 1198.28 589.8486 647.4069 0.532057 0.6671988
Moved 1198.294 597.3448 648.8362 0.5494092 0.6708749
Moved 1198.309 603.1655 649 0.5628831 0.6712963
Moved 1198.326 604.4982 650.2491 0.5659682 0.6745091
Moved 1198.345 606.7973 650 0.57129 0.6738682
Moved 1198.357 608.2325 650 0.5746124 0.6738682
Moved 1198.372 609.6719 650 0.5779441 0.6738682
Moved 1198.386 611.1043 650 0.5812598 0.6738682
Stationary 1198.402 611.1043 650 0.5812598 0.6738682
Stationary 1198.417 611.1043 650 0.5812598 0.6738682
Moved 1198.432 612 650 0.5833334 0.6738682
Stationary 1198.448 612 650 0.5833334 0.6738682
Stationary 1198.463 612 650 0.5833334 0.6738682
Stationary 1198.479 612 650 0.5833334 0.6738682
Moved 1198.494 596.1861 650 0.5467271 0.6738682
Moved 1198.51 582.3983 638.6584 0.5148108 0.6446975
Moved 1198.528 565.8205 632.4694 0.4764363 0.6287792
Moved 1198.541 553.5581 627.6232 0.4480512 0.6163147
Moved 1198.556 529.9047 617.1799 0.3932978 0.5894543
Moved 1198.572 511.3514 609.6736 0.3503505 0.5701482
Moved 1198.588 489.3664 601.3874 0.2994592 0.5488358
Moved 1198.604 470.9659 595.8357 0.2568655 0.5345567
Moved 1198.618 453.1426 591.0356 0.2156078 0.5222109
Moved 1198.633 437.3931 588.1624 0.1791507 0.5148208
Moved 1198.656 414.081 584.009 0.1251874 0.5041382
Stationary 1198.666 414.081 584.009 0.1251874 0.5041382
Moved 1198.679 401.1327 582.5703 0.09521455 0.5004379
Moved 1198.695 393.8629 583 0.07838626 0.5015431
Moved 1198.711 386.4211 583 0.06115983 0.5015431
Moved 1198.727 379.2272 583 0.04450739 0.5015431
Moved 1198.741 372.0508 583 0.02789537 0.5015431
Moved 1198.757 362.5 583 0.005787015 0.5015431
Moved 1198.771 355.8779 583 -0.009541809 0.5015431
Moved 1198.788 346.9571 583 -0.03019199 0.5015431
Moved 1198.803 339.931 583 -0.04645601 0.5015431
Moved 1198.82 332.7314 583 -0.06312171 0.5015431
Moved 1198.834 325.5379 583 -0.07977331 0.5015431
Moved 1198.849 321.2308 583 -0.08974344 0.5015431
Moved 1198.868 315.5075 583 -0.1029918 0.5015431
Moved 1198.882 313.0405 583 -0.1087025 0.5015431
Moved 1198.895 307.3688 583 -0.1218314 0.5015431
Moved 1198.91 303.0527 583 -0.1318225 0.5015431
Moved 1198.928 298.73 583 -0.1418288 0.5015431
Moved 1198.949 292.3651 587.4441 -0.1565622 0.5129734
Stationary 1198.961 292.3651 587.4441 -0.1565622 0.5129734
Moved 1198.973 290.9264 590 -0.1598925 0.5195472
Ended 1198.989 289.8584 590 -0.1623648 0.5195472
Candidates 1199.093 12 type super support your for dow tour route door grow row rope
Began 1200.542 304 478 -0.1296296 0.2314814
Stationary 1200.561 304 478 -0.1296296 0.2314814
Stationary 1200.575 304 478 -0.1296296 0.2314814
Stationary 1200.589 304 478 -0.1296296 0.2314814
Stationary 1200.606 304 478 -0.1296296 0.2314814
Ended 1200.622 304 478 -0.1296296 0.2314814
NextCandidatePanel 1200.68
Began 1201.173 374 389 0.03240744 0.002572016
Stationary 1201.194 374 389 0.03240744 0.002572016
Stationary 1201.207 374 389 0.03240744 0.002572016
Stationary 1201.222 374 389 0.03240744 0.002572016
Moved 1201.238 374 430.8339 0.03240744 0.1101693
Moved 1201.26 374 546.366 0.03240744 0.40732
Stationary 1201.273 374 546.366 0.03240744 0.40732
Ended 1201.285 386 599 0.06018519 0.5426954
Accept 1201.329 4 for
Began 1201.775 367 409 0.01620372 0.05401234
Stationary 1201.794 367 409 0.01620372 0.05401234
Stationary 1201.808 367 409 0.01620372 0.05401234
Moved 1201.824 367 432.3103 0.01620372 0.1139667
Moved 1201.84 358.6635 452.6309 -0.00309363 0.1662315
Moved 1201.855 356.0294 480.2206 -0.009191135 0.2371928
Moved 1201.872 353.1499 501.9507 -0.01585672 0.2930831
Moved 1201.886 353 516.3005 -0.01620372 0.329991
Moved 1201.901 353 548.3326 -0.01620372 0.412378
Moved 1201.916 353 558.1237 -0.01620372 0.4375608
Moved 1201.932 353 572.4146 -0.01620372 0.4743172
Moved 1201.947 353 579.4897 -0.01620372 0.4925147
Moved 1201.963 353 584.6549 -0.01620372 0.5057996
Moved 1201.984 353 591.6144 -0.01620372 0.5236996
Stationary 1201.995 353 591.6144 -0.01620372 0.5236996
Moved 1202.008 353 593.1761 -0.01620372 0.5277163
Moved 1202.024 353 593.6143 -0.01620372 0.5288432
