do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Moved 1314.591 363.9569 354.8086 0.009159545 -0.085369
Moved 1314.606 370.5393 351.7303 0.02439648 -0.09328622
Moved 1314.62 376.3104 348.8448 0.03775547 -0.1007078
Moved 1314.635 380.4909 347.8773 0.04743268 -0.1031964
Moved 1314.651 384.8306 345.3898 0.05747835 -0.1095942
Moved 1314.668 389.138 342.908 0.06744901 -0.1159774
Moved 1314.684 391.9866 341.5067 0.07404317 -0.1195816
Moved 1314.699 396.8134 337.1866 0.08521627 -0.130693
Moved 1314.714 401.118 332.882 0.09518047 -0.1417644
Moved 1314.729 405.4391 326.9349 0.105183 -0.1570605
Moved 1314.744 407.9347 320.1958 0.11096 -0.1743936
Moved 1314.76 412.1895 310.2245 0.120809 -0.2000398
Moved 1314.775 415.5471 299.0567 0.1285813 -0.2287636
Moved 1314.791 417.2738 290.3572 0.1325782 -0.2511389
Moved 1314.807 418.7184 283.4077 0.1359223 -0.2690132
Moved 1314.821 420.1638 273.8533 0.1392681 -0.2935872
Moved 1314.837 420.6016 261.3902 0.1402815 -0.3256426
Moved 1314.853 421 253.4907 0.1412037 -0.3459601
Moved 1314.867 421 246.2307 0.1412037 -0.364633
Moved 1314.884 421 237.6389 0.1412037 -0.3867312
Moved 1314.899 421 230.8406 0.1412037 -0.4042167
Moved 1314.92 421 220.3618 0.1412037 -0.4311681
Stationary 1314.931 421 220.3618 0.1412037 -0.4311681
Moved 1314.943 421 215.9442 0.1412037 -0.4425304
Moved 1314.959 421 212.5 0.1412037 -0.451389
Moved 1314.975 421 210.2611 0.1412037 -0.4571474
Moved 1314.99 411.8164 207.3761 0.1199453 -0.4645677
Moved 1315.007 411.2502 203.5004 0.1186347 -0.4745362
Moved 1315.021 409.8081 201.8081 0.1152966 -0.4788887
Moved 1315.036 408.3652 200.3652 0.1119566 -0.4825999
Moved 1315.053 406.9255 198.9254 0.1086238 -0.486303
Moved 1315.068 405.5 197.5 0.1053241 -0.4899692
Moved 1315.083 404.3662 198 0.1026996 -0.4886832
Moved 1315.099 402.9223 196.9224 0.09935726 -0.4914548
Stationary 1315.115 403 197 0.09953707 -0.4912551
Moved 1315.129 400.0284 197 0.09265831 -0.4912551
Moved 1315.143 398.6052 197 0.08936385 -0.4912551
Moved 1315.159 393.4786 214.7238 0.07749676 -0.4456695
Moved 1315.175 389.1608 226.238 0.06750176 -0.4160546
Moved 1315.19 386.1826 232.9073 0.06060779 -0.3989009
Moved 1315.208 382.5642 246.1193 0.05223204 -0.3649197
Moved 1315.222 379.5046 256.7337 0.04514962 -0.3376191
Moved 1315.241 376.6104 268.253 0.03845006 -0.3079914
Moved 1315.253 374.8656 278.9406 0.03441115 -0.2805028
Moved 1315.269 370.8448 288.4658 0.02510359 -0.2560037
Moved 1315.284 367.959 296.1025 0.0184236 -0.2363618
Moved 1315.299 365.7536 301.616 0.01331856 -0.2221811
Moved 1315.314 360.2036 308.994 0.0004712741 -0.2032047
Moved 1315.33 355.8874 317.2253 -0.009520005 -0.1820338
Moved 1315.345 350.0779 324.4026 -0.02296785 -0.1635735
Moved 1315.36 345.2534 329.6621 -0.03413553 -0.1500462
Moved 1315.375 340.9036 334.0964 -0.04420464 -0.1386409
Moved 1315.391 336.5798 339.4202 -0.05421335 -0.1249482
Moved 1315.408 334.1277 341.8723 -0.05988955 -0.1186412
Moved 1315.422 332.6539 344.6922 -0.06330118 -0.1113884
Moved 1315.437 330.2099 347.5803 -0.06895865 -0.1039603
Moved 1315.453 328.7757 349.2243 -0.07227843 -0.09973172
Moved 1315.469 328 351.6662 -0.07407407 -0.09345121
Moved 1315.483 328 354.2181 -0.07407407 -0.08688758
Moved 1315.501 328 357.0981 -0.07407407 -0.07948023
Moved 1315.515 328 359.4466 -0.07407407 -0.07343983
Moved 1315.53 328 362.1451 -0.07407407 -0.06649936
Moved 1315.552 349.5947 370.848 -0.02408634 -0.04411525
Stationary 1315.564 349.5947 370.848 -0.02408634 -0.04411525
Moved 1315.576 359.7435 372.3919 -0.0005937616 -0.04014435
Moved 1315.592 371.8436 374 0.02741585 -0.03600823
Moved 1315.607 381.969 375.2813 0.05085408 -0.03271283
Moved 1315.623 389 375 0.06712963 -0.03343629
Moved 1315.638 395.1455 376 0.08135537 -0.03086435
Moved 1315.653 401.1317 376 0.09521216 -0.03086435
Moved 1315.669 405.8852 376 0.1062157 -0.03086435
Moved 1315.683 409.3069 376 0.1141362 -0.03086435
Moved 1315.701 413.1998 376 0.1231477 -0.03086435
Moved 1315.715 416.075 376 0.1298032 -0.03086435
Moved 1315.73 417.4805 376 0.1330566 -0.03086435
Ended 1315.746 419 376 0.1365741 -0.03086435
Candidates 1315.883 12 other forget order prefer however forever urge further operate perjury owner force
Began 1316.19 419 256 0.1365741 -0.3395062
Stationary 1316.207 419 256 0.1365741 -0.3395062
Stationary 1316.221 419 256 0.1365741 -0.3395062
Stationary 1316.237 419 256 0.1365741 -0.3395062
