travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Stationary 557.2927 430 333 0.162037 -0.141461
Moved 557.3119 417.0378 333 0.1320319 -0.141461
Stationary 557.3228 417.0378 333 0.1320319 -0.141461
Moved 557.3346 402.4512 333 0.0982667 -0.141461
Moved 557.3508 386.6261 333 0.06163458 -0.141461
Moved 557.3666 376.1335 333 0.03734608 -0.141461
Moved 557.3835 366.0618 333 0.01403183 -0.141461
Moved 557.3977 361.5387 333 0.003561874 -0.141461
Moved 557.4117 354.8521 333 -0.01191636 -0.141461
Moved 557.4291 348.941 333 -0.0255995 -0.141461
Moved 557.4448 344.1751 333 -0.03663177 -0.141461
Moved 557.4586 337.2871 333 -0.05257621 -0.141461
Moved 557.4747 332.6665 333 -0.06327197 -0.141461
Moved 557.49 325.8836 333 -0.07897323 -0.141461
Moved 557.5058 321.6786 333 -0.08870696 -0.141461
Moved 557.5208 316.7923 333 -0.1000179 -0.141461
Moved 557.5361 311.0657 333 -0.1132738 -0.141461
Moved 557.5516 306.7092 333 -0.1233584 -0.141461
Moved 557.5668 302.4077 333 -0.1333156 -0.141461
Moved 557.5903 294.7401 333 -0.1510646 -0.141461
Moved 557.6039 292.1819 333 -0.1569864 -0.141461
Stationary 557.6143 292.1819 333 -0.1569864 -0.141461
Moved 557.6281 289.3381 333 -0.1635692 -0.141461
Moved 557.6426 288.2375 333 -0.166117 -0.141461
Moved 557.6587 286.7966 333 -0.1694523 -0.141461
Moved 557.6745 285.5 333 -0.1724537 -0.141461
Stationary 557.6893 285.5 333 -0.1724537 -0.141461
Moved 557.7043 284.8286 333 -0.174008 -0.141461
Stationary 557.7195 284.8286 333 -0.174008 -0.141461
Stationary 557.7363 285 333 -0.1736111 -0.141461
Moved 557.7523 285 343.4741 -0.1736111 -0.1145215
Moved 557.7674 296.7619 346.7619 -0.1463845 -0.1060651
Moved 557.7821 301.115 351.115 -0.1363079 -0.09486893
Moved 557.7977 307.2571 356.4428 -0.1220901 -0.08116577
Moved 557.813 314.3061 362.0449 -0.1057729 -0.06675696
Moved 557.8286 322 367 -0.08796295 -0.05401234
Moved 557.8478 328.6182 370.3091 -0.07264301 -0.04550117
Moved 557.8589 338.4597 374.6255 -0.04986191 -0.03439939
Moved 557.8743 346.8893 377.9446 -0.0303488 -0.02586255
Moved 557.8908 355.5343 382.2672 -0.01033718 -0.01474506
Moved 557.9057 367.2432 385.5912 0.01676659 -0.006195508
Moved 557.9205 380.6919 390.8768 0.04789779 0.00739906
Moved 557.9368 395.0789 395.2237 0.0812012 0.01857942
Moved 557.9527 412.3804 396.5571 0.1212509 0.02200888
Moved 557.9673 436.4494 399.9266 0.1769663 0.03067527
Moved 557.9853 463.5651 404.1945 0.2397341 0.04165257
Moved 557.9979 485.5712 409.5446 0.290674 0.05541299
Moved 558.0139 503.4584 412.5764 0.3320797 0.06321087
Moved 558.0293 521.3665 416.441 0.3735335 0.07315055
Moved 558.0443 538.92 418.16 0.4141668 0.07757202
Moved 558.0594 549.9962 420.3629 0.4398059 0.08323791
Moved 558.0745 567.5486 423.3725 0.4804367 0.09097856
Moved 558.0966 581.2205 426.2712 0.5120844 0.09843402
Moved 558.1078 591.9124 429.5589 0.5368342 0.1068901
Moved 558.1208 603.0044 433.0016 0.5625102 0.1157449
Moved 558.1366 614.514 435.8785 0.5891528 0.1231442
Moved 558.1527 622.2703 439.7568 0.6071072 0.1331192
Moved 558.168 627.0453 442.0226 0.6181603 0.138947
Moved 558.1829 632.8138 443.4534 0.6315134 0.1426271
Moved 558.1978 636.6786 445.8929 0.6404597 0.1489014
Moved 558.2129 639.6696 447.3348 0.6473833 0.1526101
Moved 558.2308 642.5451 448.7725 0.6540396 0.1563078
Moved 558.2452 645.409 450.2045 0.660669 0.159991
Moved 558.2598 646.65 451 0.6635417 0.162037
Moved 558.2758 647.8166 451.8166 0.6662421 0.1641373
Stationary 558.2911 648 452 0.6666666 0.164609
Moved 558.3064 648 453 0.6666666 0.167181
Stationary 558.3218 648 453 0.6666666 0.167181
Moved 558.3418 648 454.5 0.6666666 0.171039
Moved 558.3538 639.429 455.9523 0.6468263 0.1747745
Moved 558.3666 622.2623 460.1844 0.6070887 0.1856594
Moved 558.3829 604.5 463.5 0.5659723 0.1941872
Moved 558.3983 549.2742 468.7272 0.4381348 0.2076316
Moved 558.4138 477.4032 469 0.2717667 0.2083333
Moved 558.4312 424.3814 461.1089 0.1490311 0.1880373
Moved 558.4447 394.8885 454.0864 0.08076042 0.1699752
Moved 558.4602 381.9938 452.6656 0.0509117 0.166321
Moved 558.4763 367.9898 449.7755 0.01849483 0.1588875
Moved 558.4919 352.5 448.5 -0.0173611 0.1556069
Moved 558.5076 345.021 446.3357 -0.03467356 0.1500402
Moved 558.5228 334.2788 446 -0.05953987 0.1491768
Moved 558.5385 325.2766 446 -0.08037821 0.1491768
Moved 558.5535 319.0663 446 -0.0947539 0.1491768
Moved 558.5741 313.295 446 -0.1081135 0.1491768
Moved 558.5853 309.2733 446 -0.1174229 0.1491768
Moved 558.5998 303.8049 446 -0.1300813 0.1491768
Moved 558.6144 302.4145 446 -0.1332998 0.1491768
Moved 558.6306 298.5386 446 -0.1422718 0.1491768
Moved 558.6458 295.4804 446 -0.1493509 0.1491768
Moved 558.6614 292.5996 446 -0.1560193 0.1491768
Moved 558.6763 290.8562 446 -0.1600551 0.1491768
Moved 558.6927 288.4154 446 -0.165705 0.1491768
Moved 558.7064 286.9767 446 -0.1690353 0.1491768
Moved 558.7222 285.877 446 -0.1715809 0.1491768
Moved 558.7388 284.3983 446 -0.1750038 0.1491768
Moved 558.7535 282.9566 446 -0.1783411 0.1491768
Stationary 558.7678 283 446 -0.1782407 0.1491768
Moved 558.7858 281.5 446 -0.181713 0.1491768
Moved 558.8046 280.8222 446 -0.183282 0.1491768
Stationary 558.8154 280.8222 446 -0.183282 0.1491768
Moved 558.8291 281 452.27 -0.1828704 0.1653033
Moved 558.8451 281 454.2997 -0.1828704 0.1705239
Moved 558.8613 281 455.7434 -0.1828704 0.1742371
Moved 558.8771 281 456.5 -0.1828704 0.1761831
Moved 558.8948 281 457.6152 -0.1828704 0.1790515
Moved 558.9146 289.7419 458 -0.1626345 0.180041
Stationary 558.9252 289.7419 458 -0.1626345 0.180041
Moved 558.9372 302.8696 447.7659 -0.1322463 0.1537188
Moved 558.9548 332.0128 416.9866 -0.06478509 0.07455402
Moved 558.9683 354.237 394.3266 -0.01334026 0.01627204
Moved 558.9844 375.0019 372.123 0.03472656 -0.04083602
Moved 558.9997 388.9617 356.7092 0.06704102 -0.08048053
Moved 559.0153 403.0152 342.9848 0.09957223 -0.1157799
Moved 559.0378 421 322.5 0.1412037 -0.1684671
Stationary 559.0478 421 322.5 0.1412037 -0.1684671
Moved 559.0604 426.9877 316.0123 0.1550642 -0.1851536
Moved 559.077 433.9282 309.0718 0.1711301 -0.2030045
Moved 559.0927 436.8819 305.7454 0.1779673 -0.2115601
Moved 559.1077 439.066 303.934 0.1830232 -0.2162193
Moved 559.1236 441.5091 301.4909 0.1886785 -0.2225029
Moved 559.1397 442.952 300.048 0.1920184 -0.226214
Moved 559.1551 443 298.6132 0.1921296 -0.2299043
Moved 559.1694 445.7227 297.6387 0.1984322 -0.2324109
Stationary 559.1859 445.7227 297.6387 0.1984322 -0.2324109
Moved 559.1999 447.3498 295.6502 0.2021986 -0.2375252
Stationary 559.2155 447.3498 295.6502 0.2021986 -0.2375252
Moved 559.2325 448.3734 294.6266 0.2045681 -0.240158
Moved 559.2504 448.6757 294 0.2052679 -0.2417696
Moved 559.2624 449 292.8887 0.2060185 -0.244628
