experience is hard to come by
experience is hard to come by
FixStart
0.6 0.6
432 388.8
Began 596.1895 401 378 0.09490739 -0.02572024
Stationary 596.2145 401 378 0.09490739 -0.02572024
Stationary 596.2248 401 378 0.09490739 -0.02572024
Stationary 596.2376 401 378 0.09490739 -0.02572024
Stationary 596.2536 401 378 0.09490739 -0.02572024
Stationary 596.2691 401 378 0.09490739 -0.02572024
Stationary 596.2874 401 378 0.09490739 -0.02572024
Ended 596.2997 401 378 0.09490739 -0.02572024
NextCandidatePanel 596.3595
Began 596.9098 392 378 0.07407407 -0.02572024
Stationary 596.9208 392 378 0.07407407 -0.02572024
Stationary 596.9323 392 378 0.07407407 -0.02572024
Stationary 596.9463 392 378 0.07407407 -0.02572024
Stationary 596.9616 392 378 0.07407407 -0.02572024
Stationary 596.9781 392 378 0.07407407 -0.02572024
Stationary 596.9937 392 378 0.07407407 -0.02572024
Ended 597.0097 392 378 0.07407407 -0.02572024
NextCandidatePanel 597.068
Began 597.4217 398 360 0.08796295 -0.07201654
Stationary 597.4578 398 360 0.08796295 -0.07201654
Stationary 597.472 398 360 0.08796295 -0.07201654
Ended 597.4868 398 360 0.08796295 -0.07201654
NextCandidatePanel 597.5147
Began 597.5911 388 352 0.06481478 -0.09259266
Stationary 597.6188 388 352 0.06481478 -0.09259266
Stationary 597.6285 388 352 0.06481478 -0.09259266
Stationary 597.6396 388 352 0.06481478 -0.09259266
Stationary 597.6554 388 352 0.06481478 -0.09259266
Stationary 597.6707 388 352 0.06481478 -0.09259266
Ended 597.6862 388 352 0.06481478 -0.09259266
Cancel 597.7324
Began 597.8392 315 289 -0.1041667 -0.2546296
Stationary 597.8594 315 289 -0.1041667 -0.2546296
Stationary 597.8735 315 289 -0.1041667 -0.2546296
Stationary 597.8876 315 289 -0.1041667 -0.2546296
Stationary 597.9031 315 289 -0.1041667 -0.2546296
Moved 597.9172 315 294.7977 -0.1041667 -0.239718
Moved 597.9338 315 299.0829 -0.1041667 -0.2286964
Moved 597.9504 315 303.5 -0.1041667 -0.2173355
Moved 597.9653 324.3839 307.3839 -0.08244459 -0.2073459
Moved 597.9802 331.1745 314.1745 -0.06672561 -0.1898805
Moved 597.9955 338.367 322.8405 -0.0500763 -0.1675915
Moved 598.0123 345.561 333.3854 -0.03342365 -0.1404697
Moved 598.0259 355.5105 344.8691 -0.01039242 -0.1109333
Moved 598.0413 366.39 353.5913 0.01479179 -0.0884998
Moved 598.0555 380.4048 363.6834 0.0472334 -0.06254274
Moved 598.0723 391.8482 374.5893 0.07372271 -0.03449263
Moved 598.0878 409.84 390.272 0.1153703 0.005843511
Moved 598.1035 422.4257 400.1088 0.1445038 0.03114406
Moved 598.1193 431.4942 406.4958 0.1654959 0.04757159
Moved 598.1337 440.8821 412.9017 0.1872271 0.06404759
Moved 598.1519 448.0366 417.222 0.2037885 0.07515939
Moved 598.1645 453.527 422.527 0.2164977 0.08880387
Moved 598.1805 455.8952 424.8952 0.2219796 0.09489503
Moved 598.195 458.7361 426.3681 0.2285559 0.09868335
Moved 598.2112 459.8096 426.8096 0.2310408 0.09981889
Moved 598.2264 460.5 427.5 0.2326389 0.1015946
Moved 598.2416 460.688 428 0.2330741 0.1028806
Moved 598.2562 461 429.1259 0.2337964 0.1057763
Stationary 598.277 461 429.1259 0.2337964 0.1057763
Moved 598.2883 461 429.775 0.2337964 0.1074459
Moved 598.3034 451.7277 431.1591 0.2123326 0.1110057
Moved 598.3182 442.6671 431.5925 0.1913591 0.1121206
Moved 598.3347 426.6518 433.029 0.1542865 0.1158152
Moved 598.3508 404.9203 434.472 0.1039822 0.1195266
Moved 598.3652 381.3565 434 0.04943629 0.1183127
Moved 598.3801 348.8151 434 -0.02589092 0.1183127
Moved 598.3959 330 420.5 -0.06944443 0.08359041
Moved 598.4112 307.0417 417.5373 -0.1225888 0.07597036
Moved 598.4263 287.4984 411.6149 -0.1678278 0.06073778
Moved 598.4425 271.2231 404.1116 -0.205502 0.04143915
Moved 598.4586 255.6127 398.1319 -0.2416374 0.02605932
Moved 598.4729 242.7992 393.0497 -0.2712981 0.01298787
Moved 598.4895 232.3345 387.6197 -0.2955219 -0.0009781637
Moved 598.5056 224 385 -0.3148148 -0.007716127
Moved 598.5195 219.9775 381.1865 -0.3241261 -0.01752445
Moved 598.5356 214.8433 378.9478 -0.3360109 -0.0232826
Moved 598.5497 210.5285 376.019 -0.3459988 -0.0308153
Moved 598.5651 208.1468 374.0734 -0.351512 -0.03581946
Moved 598.5812 206.6387 372.6387 -0.355003 -0.03950951
Moved 598.5964 206 372.2007 -0.3564815 -0.0406361
Moved 598.6135 204.7595 372 -0.3593529 -0.04115226
Moved 598.6263 203.7357 370.7357 -0.361723 -0.04440417
Stationary 598.6422 203.7357 370.7357 -0.361723 -0.04440417
Moved 598.6594 202.7716 370 -0.3639546 -0.04629637
Stationary 598.6729 202.7716 370 -0.3639546 -0.04629637
Stationary 598.6881 203 370 -0.3634259 -0.04629637
Ended 598.7032 203 370 -0.3634259 -0.04629637
Candidates 598.9162 12 or our how gore its it hours outer per ford upper hope
Began 599.4872 366 354 0.01388888 -0.08744855
Stationary 599.5058 366 354 0.01388888 -0.08744855
