this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Moved 988.8838 256.9303 422.062 -0.2385874 0.08760794
Moved 988.9002 239.5086 422 -0.2789152 0.08744851
Moved 988.915 225.7003 421 -0.3108788 0.08487643
Moved 988.9317 215.3355 421 -0.3348716 0.08487643
Moved 988.9536 196.6351 419.2044 -0.3781594 0.08025817
Stationary 988.965 196.6351 419.2044 -0.3781594 0.08025817
Moved 988.9767 186.4063 419 -0.4018372 0.07973251
Moved 988.9928 177.6096 418.3219 -0.4221999 0.07798838
Moved 989.0085 170.4631 416.8926 -0.4387429 0.07431222
Moved 989.0222 165 417 -0.4513889 0.0745884
Moved 989.0392 161.0356 416 -0.4605657 0.07201634
Moved 989.0551 156.7353 416 -0.47052 0.07201634
Moved 989.0688 154.9954 416 -0.4745476 0.07201634
Moved 989.0849 152.0941 416 -0.4812636 0.07201634
Moved 989.1013 150.6188 416 -0.4846787 0.07201634
Ended 989.1152 150 416 -0.4861112 0.07201634
Candidates 989.2531 12 a as faa gas s ass has aa da fda ga aaa
Began 989.5734 373 401 0.0300926 0.03343609
Stationary 989.5937 373 401 0.0300926 0.03343609
Stationary 989.6086 373 401 0.0300926 0.03343609
Moved 989.6238 373 445.0778 0.0300926 0.146805
Moved 989.6396 373 506.9248 0.0300926 0.3058765
Moved 989.6547 373 566.1932 0.0300926 0.4583156
Moved 989.6703 373 613.8275 0.0300926 0.5808319
Ended 989.6865 373 641 0.0300926 0.65072
Accept 989.7153 0 a
Began 990.1921 354 462 -0.01388888 0.1903292
Stationary 990.2115 354 462 -0.01388888 0.1903292
Stationary 990.2264 354 462 -0.01388888 0.1903292
Stationary 990.2411 354 462 -0.01388888 0.1903292
Stationary 990.2559 354 462 -0.01388888 0.1903292
Moved 990.2727 354 445.5 -0.01388888 0.1478908
Moved 990.2894 354 438.0441 -0.01388888 0.1287143
Moved 990.3112 354 403.7549 -0.01388888 0.04052178
Stationary 990.3226 354 403.7549 -0.01388888 0.04052178
Moved 990.3344 354 376.5535 -0.01388888 -0.02944075
Moved 990.3506 342.7167 359.0751 -0.04000753 -0.07439539
Moved 990.3658 342.3115 347.4016 -0.04094571 -0.10442
Moved 990.3809 339.4375 337.0313 -0.04759838 -0.1310925
Moved 990.3965 336.5597 326.6791 -0.05425999 -0.1577185
Moved 990.4118 333.6788 319.1971 -0.06092862 -0.1769623
Moved 990.4276 332.8322 314.1613 -0.06288832 -0.1899145
Moved 990.4432 330.3304 308.9913 -0.06867955 -0.2032117
Moved 990.4577 328.8908 304.6724 -0.0720121 -0.2143201
Moved 990.4733 327.5 302 -0.07523149 -0.2211935
Moved 990.4893 326.0143 300.0287 -0.07867048 -0.2262637
Moved 990.5031 324.5746 300 -0.08200328 -0.2263375
Moved 990.5183 323.1391 300 -0.08532608 -0.2263375
Stationary 990.5342 323 300 -0.08564815 -0.2263375
Moved 990.5517 321.5891 300 -0.08891424 -0.2263375
Moved 990.5661 320.1424 300 -0.09226302 -0.2263375
Moved 990.5811 318.7158 308.9898 -0.09556537 -0.2032156
Moved 990.5964 315.5456 320.7262 -0.1029036 -0.1730293
Moved 990.6122 312.653 336.9086 -0.1095996 -0.1314078
Moved 990.6276 306.5645 372.0486 -0.1236933 -0.04102738
Moved 990.6429 301.9168 409.9779 -0.1344519 0.05652749
Moved 990.6569 295.3815 455.0819 -0.1495798 0.1725357
Moved 990.6736 292.8573 489.2847 -0.155423 0.2605058
Moved 990.6895 289.9933 511.0468 -0.1620525 0.3164782
Moved 990.7106 288.1202 543.9184 -0.1663885 0.4010245
Stationary 990.7213 288.1202 543.9184 -0.1663885 0.4010245
Moved 990.7336 288 556.943 -0.1666667 0.434524
Moved 990.7507 288 564.5 -0.1666667 0.4539608
Moved 990.7661 287 572.2375 -0.1689815 0.4738619
Moved 990.7811 285.6767 582.2631 -0.1720447 0.4996477
Moved 990.7966 284.2346 590.827 -0.1753829 0.5216743
Moved 990.812 282.7955 595.6133 -0.1787141 0.5339848
Moved 990.8275 282.3577 602.569 -0.1797275 0.5518751
Moved 990.8439 280.9129 606.1741 -0.1830719 0.5611474
Moved 990.8581 281 609 -0.1828704 0.5684156
Moved 990.8736 280 612.2367 -0.1851852 0.5767404
Moved 990.8898 278.945 615.11 -0.1876274 0.5841307
Moved 990.9059 279 616.4949 -0.1875 0.5876925
Moved 990.9196 279 617.9292 -0.1875 0.5913816
Moved 990.9358 279 619.3684 -0.1875 0.5950832
Stationary 990.9515 279 619 -0.1875 0.5941358
Stationary 990.9672 279 619 -0.1875 0.5941358
Stationary 990.9811 279 619 -0.1875 0.5941358
Stationary 990.9971 279 619 -0.1875 0.5941358
Stationary 991.0129 279 619 -0.1875 0.5941358
Moved 991.027 288.5174 619 -0.165469 0.5941358
Moved 991.0439 295.3502 619 -0.1496524 0.5941358
Moved 991.0587 305.0321 610.488 -0.1272405 0.5722426
Moved 991.0739 316.5284 607.1179 -0.1006288 0.5635748
Moved 991.0936 324.2632 604.9248 -0.08272405 0.5579341
Moved 991.1049 338.8965 599.0414 -0.04885067 0.5428017
Moved 991.1209 345.6628 598.1349 -0.03318806 0.5404703
Moved 991.1363 354.1849 595.2717 -0.01346091 0.5331062
Moved 991.1525 361.1984 593.2004 0.002774 0.5277787
Moved 991.1665 368.2201 590.512 0.01902799 0.520864
Moved 991.1818 372.0469 589.3177 0.02788643 0.5177923
Moved 991.1987 374.6443 588.1779 0.03389895 0.5148607
Moved 991.213 376.197 588 0.03749301 0.5144032
Stationary 991.2281 376.197 588 0.03749301 0.5144032
Ended 991.2438 378.0735 587 0.0418368 0.5118312
Candidates 991.382 12 very cry bet betty better beer ct vary net cherry ccr battery
Began 991.7355 396 426 0.08333336 0.09773654
Stationary 991.7555 396 426 0.08333336 0.09773654
Stationary 991.7669 396 426 0.08333336 0.09773654
