a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Stationary 2132.263 404 209 0.1018518 -0.4603909
Stationary 2132.277 404 209 0.1018518 -0.4603909
Moved 2132.293 404 222.0256 0.1018518 -0.4268888
Moved 2132.309 393.8864 236.7499 0.0784407 -0.3890179
Moved 2132.325 390.7278 250.2251 0.07112911 -0.3543594
Moved 2132.339 387.8537 271.3046 0.06447613 -0.3001426
Moved 2132.354 385.5077 282.7153 0.05904556 -0.2707939
Moved 2132.37 382.8356 297.9866 0.05286008 -0.2315159
Moved 2132.384 379.4766 316.2336 0.04508475 -0.1845843
Moved 2132.399 378.0366 332.5614 0.04175127 -0.142589
Moved 2132.415 376.5978 349.8258 0.03842095 -0.09818473
Moved 2132.431 376 367.0005 0.03703703 -0.05401101
Moved 2132.447 374.7145 383.1401 0.03406147 -0.01249988
Moved 2132.462 375 393.5 0.03472219 0.01414597
Moved 2132.478 375 407.2195 0.03472219 0.0494329
Moved 2132.493 375 424.3654 0.03472219 0.09353221
Moved 2132.509 375 439.2673 0.03472219 0.1318604
Moved 2132.524 375 452.3985 0.03472219 0.1656339
Moved 2132.54 375 462.1717 0.03472219 0.1907708
Moved 2132.562 375 476.9221 0.03472219 0.2287091
Stationary 2132.572 375 476.9221 0.03472219 0.2287091
Moved 2132.584 375 479.6938 0.03472219 0.2358378
Moved 2132.6 375 483.0125 0.03472219 0.2443735
Moved 2132.616 375 484.4449 0.03472219 0.2480578
Ended 2132.631 375 485 0.03472219 0.2494856
Accept 2132.674 0 very
Began 2133.693 467 435 0.2476852 0.1208847
Stationary 2133.712 467 435 0.2476852 0.1208847
Stationary 2133.726 467 435 0.2476852 0.1208847
Stationary 2133.74 467 435 0.2476852 0.1208847
Stationary 2133.755 467 435 0.2476852 0.1208847
Stationary 2133.771 467 435 0.2476852 0.1208847
Stationary 2133.786 467 435 0.2476852 0.1208847
Stationary 2133.802 467 435 0.2476852 0.1208847
Stationary 2133.817 467 435 0.2476852 0.1208847
Stationary 2133.833 467 435 0.2476852 0.1208847
Stationary 2133.848 467 435 0.2476852 0.1208847
Moved 2133.866 456.3452 435 0.2230214 0.1208847
Moved 2133.88 454.9117 435 0.2197029 0.1208847
Moved 2133.896 452 435 0.2129629 0.1208847
Moved 2133.912 449.7304 435 0.2077093 0.1208847
Moved 2133.928 447.9284 435 0.203538 0.1208847
Moved 2133.941 445 435 0.1967593 0.1208847
Moved 2133.956 444.045 435 0.1945487 0.1208847
Moved 2133.972 442.6024 435 0.1912094 0.1208847
Moved 2133.987 441.3286 435 0.1882606 0.1208847
Moved 2134.002 439.7224 435 0.1845424 0.1208847
Moved 2134.018 438.7455 435 0.1822812 0.1208847
Moved 2134.033 437.2103 435 0.1787276 0.1208847
Moved 2134.054 435.7716 435 0.1753972 0.1208847
Moved 2134.066 434.3281 435 0.1720557 0.1208847
Moved 2134.08 432.8947 435 0.1687377 0.1208847
Moved 2134.095 430.4481 438.8633 0.1630742 0.1308212
Moved 2134.112 428.0162 442.9919 0.1574449 0.1414399
Moved 2134.126 425.8401 444.08 0.1524076 0.1442385
Moved 2134.141 422.9667 446.0333 0.1457562 0.1492626
Moved 2134.159 419.1382 447.9539 0.136894 0.1542024
Moved 2134.174 414.826 450.7827 0.1269119 0.1614781
Moved 2134.187 409.676 453.662 0.1149908 0.1688837
Moved 2134.204 405.1937 456.5375 0.1046151 0.1762796
Moved 2134.219 400.1803 459.1147 0.09301007 0.1829083
Moved 2134.234 396.4555 461.6964 0.08438766 0.1895482
Moved 2134.249 391.0675 464.4662 0.07191549 0.1966724
Moved 2134.268 385.9799 467.3467 0.06013871 0.204081
Moved 2134.28 381.6964 470.2025 0.05022307 0.2114259
Moved 2134.296 376.8005 472.0997 0.03889005 0.2163058
Moved 2134.312 373.018 474.9821 0.03013422 0.2237192
Moved 2134.327 368.7151 476.4283 0.02017389 0.2274389
Moved 2134.342 365.0054 478.6649 0.01158655 0.2331914
Moved 2134.358 360.9885 481.0077 0.002288123 0.2392172
Moved 2134.373 355.2355 483.8822 -0.01102885 0.2466106
Moved 2134.39 348.6076 486.757 -0.02637138 0.2540045
Moved 2134.405 342.7217 488.3196 -0.03999611 0.2580235
Moved 2134.421 335.9616 489.7596 -0.05564436 0.2617273
Moved 2134.435 328.9881 491.2024 -0.07178689 0.2654382
Moved 2134.45 324 492.5 -0.08333336 0.2687756
Moved 2134.471 314.2782 495.1805 -0.1058376 0.2756699
Stationary 2134.482 314.2782 495.1805 -0.1058376 0.2756699
Moved 2134.494 309.1414 496.6195 -0.1177282 0.279371
Moved 2134.512 303.768 497 -0.1301667 0.2803498
Moved 2134.526 298.0075 499.4981 -0.1435012 0.2867749
Moved 2134.542 292.2582 501.8709 -0.1568097 0.2928778
Moved 2134.558 287.8818 503.3727 -0.1669402 0.2967405
Moved 2134.574 285.0291 504.3237 -0.1735438 0.2991863
Moved 2134.589 281.2345 505.8828 -0.1823275 0.3031963
Moved 2134.603 278.36 507.32 -0.1889815 0.306893
Moved 2134.618 274.4795 507.7603 -0.1979642 0.3080252
Moved 2134.634 272.7991 509.2009 -0.201854 0.3117307
Moved 2134.649 270.3613 509.6387 -0.2074971 0.3128568
Moved 2134.668 268.9219 510 -0.210829 0.3137859
Moved 2134.681 267.8563 510 -0.2132957 0.3137859
Moved 2134.697 266.3676 511 -0.2167417 0.3163579
Moved 2134.712 264.9293 511 -0.2200712 0.3163579
Moved 2134.727 263.4875 511 -0.2234086 0.3163579
Moved 2134.743 262.0488 511 -0.2267389 0.3163579
Moved 2134.759 262 512.3885 -0.2268519 0.3199292
Moved 2134.772 261 512 -0.2291666 0.31893
Moved 2134.788 260.0647 512 -0.2313318 0.31893
Moved 2134.804 259.5 512 -0.2326389 0.31893
