if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Stationary 1246.991 415.9202 387.4967 0.1294449 -0.001294525
Moved 1247.002 430 451.5 0.162037 0.163323
Ended 1247.018 438 477 0.1805556 0.2289094
Accept 1247.078 0 not
Began 1247.704 430 320 0.162037 -0.1748972
Stationary 1247.714 430 320 0.162037 -0.1748972
Stationary 1247.726 430 320 0.162037 -0.1748972
Stationary 1247.742 430 320 0.162037 -0.1748972
Stationary 1247.757 430 320 0.162037 -0.1748972
Stationary 1247.772 430 320 0.162037 -0.1748972
Moved 1247.791 412.6211 320 0.1218081 -0.1748972
Moved 1247.804 397.1473 320 0.08598914 -0.1748972
Moved 1247.82 383.3151 320 0.05397002 -0.1748972
Moved 1247.835 364.2138 320 0.009754201 -0.1748972
Moved 1247.851 347.2338 320 -0.02955134 -0.1748972
Moved 1247.867 331.8185 320 -0.06523494 -0.1748972
Moved 1247.884 318.7904 329.4963 -0.09539255 -0.1504724
Moved 1247.896 310.4678 327.7903 -0.1146578 -0.1548604
Moved 1247.918 298 328 -0.1435185 -0.1543211
Stationary 1247.928 298 328 -0.1435185 -0.1543211
Moved 1247.944 295.4877 329.7562 -0.1493341 -0.1498042
Moved 1247.959 293.8024 332.3953 -0.1532352 -0.1430164
Moved 1247.974 293 334.9044 -0.1550926 -0.1365628
Moved 1247.99 293 340.2863 -0.1550926 -0.1227206
Moved 1248.005 303.4542 350.4542 -0.130893 -0.09656843
Moved 1248.021 322.1559 365.3248 -0.08760199 -0.05832106
Moved 1248.036 346.5646 382.6339 -0.03110036 -0.01380183
Moved 1248.051 373.6205 396.2111 0.03152887 0.0211189
Moved 1248.067 433.7806 418.6066 0.1707884 0.07872071
Moved 1248.082 464.3867 425.9968 0.241636 0.09772838
Moved 1248.097 487.1996 435.0116 0.2944435 0.1209145
Moved 1248.112 510.3267 443.6225 0.3479784 0.1430619
Moved 1248.129 526.5532 449.5638 0.3855398 0.1583431
Moved 1248.144 541.4825 455.593 0.4200985 0.1738503
Moved 1248.159 549.5247 458.5718 0.4387145 0.1815117
Moved 1248.174 562.215 464.1075 0.4680902 0.1957496
Moved 1248.196 578.8495 471.1398 0.5065961 0.2138369
Stationary 1248.207 578.8495 471.1398 0.5065961 0.2138369
Moved 1248.221 586.0598 474.0239 0.5232865 0.2212549
Moved 1248.24 591.7695 476.8848 0.5365036 0.228613
Moved 1248.251 595.6234 479.7489 0.5454244 0.2359796
Moved 1248.267 598.876 480.9587 0.5529538 0.2390912
Moved 1248.285 603.1586 483.7724 0.562867 0.2463281
Moved 1248.299 605.643 484.8215 0.5686181 0.2490264
Moved 1248.313 607.2634 486.2634 0.5723689 0.2527349
Ended 1248.329 610 486 0.5787036 0.2520575
Candidates 1248.402 12 stop so gao atp strip atop drop gap auto deep step do
Began 1249.056 468 387 0.25 -0.002572055
Stationary 1249.069 468 387 0.25 -0.002572055
Moved 1249.084 460.3417 387 0.2322723 -0.002572055
Moved 1249.1 443.5124 387 0.1933157 -0.002572055
Moved 1249.115 400.7894 387 0.09442001 -0.002572055
Moved 1249.131 354.0063 387 -0.01387427 -0.002572055
Moved 1249.153 303.1405 377.9523 -0.1316192 -0.02584292
Ended 1249.165 303.1405 377.9523 -0.1316192 -0.02584292
Accept 1249.189 1 so
Began 1249.976 420 363 0.1388889 -0.06430049
Stationary 1249.995 420 363 0.1388889 -0.06430049
Stationary 1250.007 420 363 0.1388889 -0.06430049
Stationary 1250.024 420 363 0.1388889 -0.06430049
Stationary 1250.04 420 363 0.1388889 -0.06430049
Moved 1250.054 404.0168 363 0.1018907 -0.06430049
Moved 1250.071 392.2002 363 0.0745376 -0.06430049
Moved 1250.086 379.5 363 0.0451389 -0.06430049
Moved 1250.101 365.2729 363 0.01220594 -0.06430049
Moved 1250.117 350.4445 363 -0.02211933 -0.06430049
Moved 1250.134 334.009 363 -0.06016433 -0.06430049
Moved 1250.148 318.7582 363 -0.09546717 -0.06430049
Moved 1250.163 308.0045 363 -0.1203599 -0.06430049
Moved 1250.184 291.1509 363 -0.1593728 -0.06430049
Stationary 1250.196 291.1509 363 -0.1593728 -0.06430049
Moved 1250.209 286.335 363 -0.1705208 -0.06430049
