want to join us for lunch
want to join us for lunch
Basic
0.6 0.6
432 388.8
Stationary 459.6689 305 331 -0.1273148 -0.146605
Stationary 459.6842 305 331 -0.1273148 -0.146605
Stationary 459.6996 305 331 -0.1273148 -0.146605
Stationary 459.7148 305 331 -0.1273148 -0.146605
Stationary 459.7304 305 331 -0.1273148 -0.146605
Moved 459.7461 312.3856 340.4958 -0.1102185 -0.1221816
Moved 459.7679 365.7047 379.6151 0.01320521 -0.0215663
Stationary 459.7784 365.7047 379.6151 0.01320521 -0.0215663
Moved 459.7946 385.9543 395.6362 0.0600795 0.01964039
Moved 459.8081 405.2495 408.8651 0.1047443 0.05366521
Moved 459.8234 423.1953 419.614 0.1462855 0.08131152
Moved 459.8406 437.8363 429.7972 0.1801767 0.1075029
Moved 459.8545 451.9305 440.9445 0.2128022 0.1361739
Moved 459.869 466.3467 452.4774 0.2461728 0.1658367
Moved 459.8846 476.0961 457.4351 0.2687411 0.1785881
Moved 459.9012 483.5715 461.9429 0.2860451 0.1901821
Moved 459.9165 488.2741 466.2741 0.2969308 0.2013222
Moved 459.9314 491.4035 469.4036 0.3041748 0.2093713
Moved 459.9474 494 470.5 0.3101851 0.2121912
Moved 459.9629 494 471.7437 0.3101851 0.2153901
Moved 459.9774 495.1727 473.1727 0.3128997 0.2190656
Moved 459.9957 495 474.6252 0.3125 0.2228013
Moved 460.0076 495 476.0576 0.3125 0.2264854
Moved 460.0231 495 477.5067 0.3125 0.2302125
Moved 460.0391 481.8564 480.8165 0.2820751 0.2387254
Moved 460.0544 464.6276 485.0931 0.2421935 0.2497249
Moved 460.0699 443.8179 489.3015 0.1940229 0.2605491
Moved 460.0899 385.7604 498.5442 0.05963067 0.2843214
Moved 460.1017 344.8244 504.3108 -0.03512869 0.2991532
Moved 460.1176 315.6404 508.825 -0.1026843 0.3107637
Moved 460.1319 285.7556 512.4244 -0.171862 0.3200216
Moved 460.1464 265.6927 515.9326 -0.2183041 0.3290447
Moved 460.162 248.0892 519.1656 -0.2590527 0.33736
Moved 460.1776 237.4512 520.1549 -0.2836778 0.3399045
Moved 460.1922 224.4773 525.5844 -0.3137099 0.3538693
Ended 460.2085 218.5 529 -0.3275463 0.3626543
Candidates 460.3292 12 show view core cow gore shorter vote shower for shore fire court
Began 461.054 368 388 0.01851857 -3.924585E-08
Stationary 461.073 368 388 0.01851857 -3.924585E-08
Stationary 461.0864 368 388 0.01851857 -3.924585E-08
Stationary 461.1018 368 388 0.01851857 -3.924585E-08
Stationary 461.1174 368 388 0.01851857 -3.924585E-08
Stationary 461.1331 368 388 0.01851857 -3.924585E-08
Stationary 461.1476 368 388 0.01851857 -3.924585E-08
Ended 461.1636 368 388 0.01851857 -3.924585E-08
NextCandidatePanel 461.2092
Began 461.6686 377 392 0.03935188 0.01028803
Stationary 461.6892 377 392 0.03935188 0.01028803
Stationary 461.7045 377 392 0.03935188 0.01028803
Stationary 461.7206 377 392 0.03935188 0.01028803
Ended 461.7335 377 392 0.03935188 0.01028803
NextCandidatePanel 461.7945
Began 462.3184 382 383 0.05092591 -0.01286016
Stationary 462.3369 382 383 0.05092591 -0.01286016
Stationary 462.3538 382 383 0.05092591 -0.01286016
Stationary 462.3669 382 383 0.05092591 -0.01286016
Stationary 462.3835 382 383 0.05092591 -0.01286016
Stationary 462.3951 382 383 0.05092591 -0.01286016
Stationary 462.41 382 383 0.05092591 -0.01286016
Moved 462.4271 382 400.8406 0.05092591 0.03302633
Moved 462.4428 391.7652 408.5446 0.07353057 0.05284085
Moved 462.4581 397.1802 425.0872 0.08606533 0.09538881
Moved 462.474 401.5058 436.3487 0.09607812 0.1243536
Moved 462.4894 404.2239 443.6717 0.1023702 0.1431884
Moved 462.5046 407.1035 449.1553 0.109036 0.1572925
Moved 462.5269 408.9295 455.8589 0.1132626 0.1745343
Stationary 462.5379 408.9295 455.8589 0.1132626 0.1745343
Moved 462.5505 409 458.0564 0.113426 0.1801862
Ended 462.567 411.9696 462.4544 0.1203 0.1914979
Accept 462.6248 8 for
Began 462.9328 588 418 0.5277778 0.07716041
Stationary 462.9511 588 418 0.5277778 0.07716041
Stationary 462.9668 588 418 0.5277778 0.07716041
Stationary 462.9815 588 418 0.5277778 0.07716041
Stationary 462.9974 588 418 0.5277778 0.07716041
Moved 463.0122 568.1678 425.7281 0.4818698 0.09703734
Moved 463.0282 557.6193 429.6428 0.4574521 0.1071058
Moved 463.0442 546.0363 435.3439 0.4306395 0.1217691
Moved 463.0606 532.4619 441.2152 0.3992174 0.1368703
Moved 463.0754 517.551 449.4717 0.3647014 0.158106
Moved 463.0905 505.5258 455.7371 0.3368652 0.1742209
Moved 463.1064 485.6839 465.658 0.290935 0.1997377
Moved 463.1277 452.535 480.986 0.2142014 0.2391615
Stationary 463.1401 452.535 480.986 0.2142014 0.2391615
Moved 463.1508 438.5 489 0.181713 0.2597736
Moved 463.1669 430.5882 492.2059 0.1633987 0.2680192
Moved 463.1826 422.8034 495.4786 0.1453782 0.2764367
Moved 463.1974 414.631 499.0214 0.1264607 0.2855488
Moved 463.2131 406.2947 502.2351 0.1071638 0.2938145
Moved 463.229 399.6463 504.559 0.09177387 0.2997914
Moved 463.244 393 506 0.07638882 0.3034978
Moved 463.2594 387.2669 507.4333 0.06311784 0.3071843
Moved 463.2754 384.833 508.389 0.05748371 0.3096426
Moved 463.291 381.0714 508 0.04877647 0.3086419
Moved 463.305 378.1964 508 0.04212131 0.3086419
Moved 463.3209 375.2968 508 0.03540913 0.3086419
Moved 463.3367 371.1282 498.9659 0.02575983 0.285406
Moved 463.3519 362.4031 492.1225 0.005562802 0.2678047
Moved 463.3672 356.373 484.0594 -0.00839596 0.2470664
Moved 463.3833 353.3271 478.8785 -0.01544639 0.2337411
Moved 463.4081 347.7585 469.2757 -0.02833669 0.2090424
Moved 463.4201 345.3069 465.6138 -0.03401175 0.199624
Stationary 463.4301 345.3069 465.6138 -0.03401175 0.199624
Moved 463.4452 343.8586 462.7172 -0.03736442 0.1921737
Moved 463.4607 343.4157 460.4157 -0.03838957 0.1862544
Moved 463.4746 341.9787 457.9574 -0.041716 0.1799314
Moved 463.4907 342 455.9501 -0.04166668 0.1747688
Moved 463.5061 342 453.0454 -0.04166668 0.1672979
Moved 463.522 341 450.1566 -0.04398147 0.1598678
Moved 463.5373 341 447.2656 -0.04398147 0.1524321
Moved 463.5531 341 439.9844 -0.04398147 0.1337047
Moved 463.5688 341 429.0508 -0.04398147 0.1055832
Moved 463.5822 345.5307 412.5275 -0.03349369 0.06308516
Moved 463.5984 350.3874 401.0419 -0.02225136 0.03354402
Moved 463.6146 356.8165 380.3871 -0.00736917 -0.01958062
Moved 463.6293 362.3795 365.2667 0.005508065 -0.05847044
Moved 463.6513 374.8764 326.4942 0.03443618 -0.1581939
Stationary 463.6615 374.8764 326.4942 0.03443618 -0.1581939
Moved 463.6749 380.6898 306.0083 0.04789293 -0.2108841
Moved 463.6933 385.0523 284.7385 0.05799145 -0.2655902
Moved 463.7066 389.1999 272.0004 0.06759236 -0.298353
Moved 463.722 393.6784 256.0452 0.07795931 -0.3393901
Moved 463.7376 396.7268 242.7294 0.0850158 -0.3736384
Moved 463.7518 398.7971 234.2175 0.08980811 -0.395531
Moved 463.769 400.2405 229.2783 0.09314944 -0.4082348
Moved 463.7844 401 223.9558 0.09490739 -0.4219244
Moved 463.7997 401 221.8799 0.09490739 -0.4272637
Moved 463.8147 402.5 220.5 0.09837966 -0.4308128
Moved 463.8305 402 218.7056 0.09722222 -0.4354281
Moved 463.8457 402 216.9141 0.09722222 -0.4400358
Moved 463.861 402 215.5 0.09722222 -0.4436729
Stationary 463.8752 402 215.5 0.09722222 -0.4436729
Moved 463.8973 347.9131 251.0068 -0.02797882 -0.3523487
Stationary 463.9086 347.9131 251.0068 -0.02797882 -0.3523487
Moved 463.9218 329.7054 260.6473 -0.07012641 -0.3275532
Moved 463.9375 309.2293 270.8853 -0.1175247 -0.301221
Moved 463.953 290.8086 277.3044 -0.1601654 -0.284711
Moved 463.9682 275.9665 281.91 -0.1945221 -0.2728652
Moved 463.9835 266.2974 283.7405 -0.2169042 -0.2681571
Moved 463.9989 259.1001 285.18 -0.2335645 -0.2644548
Moved 464.0134 254.1364 285.6212 -0.2450547 -0.26332
Moved 464.0289 251.9368 287.0632 -0.2501462 -0.2596112
Moved 464.0451 249.7471 288.1265 -0.2552151 -0.2568764
Moved 464.0608 249.3892 290.2217 -0.2560436 -0.2514875
Moved 464.076 249 294.1827 -0.2569445 -0.2412998
Moved 464.091 259.4936 304.4935 -0.2326538 -0.2147801
Moved 464.1068 284.2221 330.2221 -0.1754119 -0.1486058
Moved 464.1237 305.6906 350.3113 -0.1257161 -0.09693608
Moved 464.146 341.0415 378.1287 -0.04388541 -0.02538932
Stationary 464.1559 341.0415 378.1287 -0.04388541 -0.02538932
Moved 464.169 358.064 392.3867 -0.004481425 0.01128263
Moved 464.1834 369.9535 400.6356 0.02304037 0.03249894
Moved 464.1997 379.268 406.8453 0.04460176 0.0484704
Moved 464.2148 386.2496 411.9498 0.06076296 0.06159911
Moved 464.2302 392.3792 415.1896 0.07495184 0.06993199
Moved 464.2455 397.6806 418.6083 0.08722365 0.07872503
Ended 464.2613 402.5 421.5 0.09837966 0.08616251
Candidates 464.369 12 lynch lunch lucy punch luck lindh inch pitch kick oct loci pick
