this is a very good idea
this is very good idea
Basic
0.6 0.6
432 388.8
Moved 1988.438 283.1346 545.1926 -0.1779293 0.404302
Moved 1988.455 281.7094 552.453 -0.1812282 0.4229757
Moved 1988.471 281.2644 557.2067 -0.1822582 0.4352024
Moved 1988.485 281 560.3552 -0.1828704 0.4433002
Moved 1988.501 281 563 -0.1828704 0.4501028
Moved 1988.516 281 564.6862 -0.1828704 0.4544398
Stationary 1988.531 281 565 -0.1828704 0.4552468
Moved 1988.546 281 566.5662 -0.1828704 0.4592752
Moved 1988.562 281 567.5 -0.1828704 0.4616768
Stationary 1988.578 281 567.5 -0.1828704 0.4616768
Moved 1988.593 288.4583 567 -0.1656059 0.4603909
Moved 1988.608 295.8546 567 -0.1484848 0.4603909
Moved 1988.626 308.3789 557.066 -0.1194933 0.4348406
Moved 1988.64 321.4799 550.26 -0.08916685 0.4173353
Moved 1988.655 332.9895 545.8789 -0.06252423 0.406067
Moved 1988.676 348.2524 539.7495 -0.02719343 0.3903022
Stationary 1988.688 348.2524 539.7495 -0.02719343 0.3903022
Moved 1988.7 353.7443 537.3139 -0.01448075 0.3840378
Moved 1988.716 359.4666 535.8834 -0.00123481 0.3803583
Moved 1988.732 362.4788 534.8404 0.005737841 0.3776758
Moved 1988.748 369.2647 533.347 0.02144605 0.3738349
Moved 1988.763 378.6415 530.8167 0.04315158 0.3673269
Ended 1988.776 378.6415 530.8167 0.04315158 0.3673269
Candidates 1989.146 12 very cry bet betty better net beer cherry newt battery ct be
Began 1989.577 380 330 0.04629632 -0.149177
Stationary 1989.596 380 330 0.04629632 -0.149177
Stationary 1989.61 380 330 0.04629632 -0.149177
Stationary 1989.626 380 330 0.04629632 -0.149177
Moved 1989.641 380 340.6906 0.04629632 -0.1216806
Moved 1989.656 380 352.9789 0.04629632 -0.09007481
Moved 1989.671 380 373.2121 0.04629632 -0.03803481
Moved 1989.688 380 389.5 0.04629632 0.003857946
Moved 1989.704 380 413.9514 0.04629632 0.06674739
Moved 1989.718 380 437.4786 0.04629632 0.1272598
Moved 1989.734 384.6174 448.277 0.05698463 0.1550335
Moved 1989.75 388.0914 460.8226 0.06502639 0.1873008
Moved 1989.765 390.0696 472.2088 0.06960551 0.2165863
Ended 1989.781 393 483 0.07638891 0.2443414
Accept 1989.825 0 very
Began 1990.349 334 341 -0.06018519 -0.1208849
Stationary 1990.366 334 341 -0.06018519 -0.1208849
Stationary 1990.38 334 341 -0.06018519 -0.1208849
Stationary 1990.396 334 341 -0.06018519 -0.1208849
Stationary 1990.418 334 341 -0.06018519 -0.1208849
Stationary 1990.429 334 341 -0.06018519 -0.1208849
Stationary 1990.442 334 341 -0.06018519 -0.1208849
Moved 1990.458 350.0168 356.0168 -0.02310922 -0.08226143
Moved 1990.475 359.7808 363.3851 -0.0005074342 -0.06331
Moved 1990.489 377.3122 379.3121 0.04007449 -0.02234541
Moved 1990.505 392.6862 391.2264 0.07566264 0.008298262
Moved 1990.521 409.0565 403.8804 0.1135568 0.04084465
Moved 1990.536 424.3211 415.2248 0.1488914 0.07002257
Moved 1990.551 437.1327 427.1327 0.1785479 0.1006498
Moved 1990.566 450.1746 440.1746 0.2087374 0.1341937
Moved 1990.582 459.1404 447.1053 0.2294918 0.1520198
Moved 1990.597 468.749 456.749 0.2517337 0.1768234
Moved 1990.613 477.3994 465.3994 0.2717579 0.1990724
Moved 1990.628 483.328 469.996 0.2854814 0.2108949
Moved 1990.643 488.2986 474.2986 0.2969874 0.2219613
Moved 1990.658 492.617 478.617 0.3069839 0.2330684
Moved 1990.673 497.5889 484.5889 0.3184929 0.248428
Moved 1990.69 502.2099 489.2099 0.3291897 0.2603135
Moved 1990.706 507.6856 494.6857 0.3418649 0.2743972
Moved 1990.721 511.8648 498.8648 0.3515388 0.2851461
Moved 1990.736 516.1809 504.2412 0.3615299 0.2989742
Moved 1990.751 520.4844 506.9896 0.3714917 0.3060432
Moved 1990.766 524.7897 511.7897 0.3814576 0.318389
Moved 1990.782 527.7516 514.7516 0.388314 0.3260073
Moved 1990.797 531.2426 517.2426 0.3963948 0.3324139
Moved 1990.82 535.3762 521.7524 0.4059635 0.3440134
Stationary 1990.831 535.3762 521.7524 0.4059635 0.3440134
Moved 1990.843 536.8197 522.8197 0.4093049 0.3467584
Moved 1990.859 538.2606 524.2606 0.4126402 0.3504643
Moved 1990.874 539 524.6985 0.4143518 0.3515907
Moved 1990.89 540.1373 526.1373 0.4169846 0.3552914
Stationary 1990.905 540 526 0.4166667 0.3549381
Stationary 1990.921 540 526 0.4166667 0.3549381
Moved 1990.935 540 527.0387 0.4166667 0.3576097
Stationary 1990.951 540 527 0.4166667 0.3575102
Stationary 1990.967 540 527 0.4166667 0.3575102
Stationary 1990.982 540 527 0.4166667 0.3575102
Moved 1990.997 524.0446 527 0.3797328 0.3575102
Moved 1991.013 508.5688 511.2569 0.3439092 0.3170187
Moved 1991.028 493.9741 503.4119 0.3101253 0.2968413
Moved 1991.043 459.5024 482.9263 0.2303296 0.244152
Moved 1991.059 435.7986 464.5864 0.1754598 0.1969813
Moved 1991.074 420.5014 454.3343 0.1400497 0.1706128
Moved 1991.09 406.6328 445.0885 0.1079463 0.1468325
Moved 1991.106 393.2329 438.796 0.07692794 0.1306481
Moved 1991.121 382.4445 432.6826 0.05195478 0.1149243
Moved 1991.137 373.8357 428.4178 0.03202697 0.1039553
Moved 1991.152 359.5487 422.4564 -0.001044572 0.08862244
Moved 1991.167 348.3636 416.6818 -0.02693613 0.07377008
Moved 1991.19 330.2076 408.1038 -0.06896401 0.05170712
Stationary 1991.202 330.2076 408.1038 -0.06896401 0.05170712
Moved 1991.214 321.5582 403.7791 -0.08898556 0.0405841
Moved 1991.228 313.7592 400.3036 -0.107039 0.03164515
Moved 1991.245 309.1865 398.0933 -0.1176239 0.02595995
Moved 1991.262 300.7531 395.251 -0.1371456 0.01864971
Moved 1991.275 294.9139 392.3656 -0.1506622 0.01122832
Moved 1991.291 288.965 389.4825 -0.164433 0.00381297
Moved 1991.307 285.5895 388.2947 -0.1722465 0.0007580337
Moved 1991.322 282.698 386.849 -0.1789397 -0.002960511
Moved 1991.336 281.5 385.5 -0.181713 -0.006430119
Ended 1991.354 280 385 -0.1851852 -0.007716127
Candidates 1991.521 12 good god food goods hood shops gods cops foods chips ships flood
Began 1991.967 353 301 -0.01620372 -0.2237656
Stationary 1991.985 353 301 -0.01620372 -0.2237656
Stationary 1991.999 353 301 -0.01620372 -0.2237656
Stationary 1992.014 353 301 -0.01620372 -0.2237656
Stationary 1992.03 353 301 -0.01620372 -0.2237656
Moved 1992.046 353 328.387 -0.01620372 -0.1533258
Moved 1992.061 353 351.9371 -0.01620372 -0.09275436
Moved 1992.077 363.5 382 0.008101861 -0.01543218
Moved 1992.092 363.1626 402.8588 0.007320742 0.03821694
Moved 1992.108 368.6688 435.8458 0.0200667 0.1230602
Ended 1992.128 378 466 0.04166663 0.2006171
Accept 1992.167 0 good
Began 1992.689 504 567 0.3333333 0.4603909
Stationary 1992.711 504 567 0.3333333 0.4603909
Stationary 1992.724 504 567 0.3333333 0.4603909
Stationary 1992.74 504 567 0.3333333 0.4603909
Stationary 1992.755 504 567 0.3333333 0.4603909
Stationary 1992.77 504 567 0.3333333 0.4603909
Stationary 1992.785 504 567 0.3333333 0.4603909
Stationary 1992.8 504 567 0.3333333 0.4603909
Moved 1992.816 492.849 567 0.307521 0.4603909
Moved 1992.832 485.1596 567 0.2897213 0.4603909
Moved 1992.848 468.9326 567 0.2521587 0.4603909
Moved 1992.863 448.0476 551.8381 0.2038139 0.4213941
Moved 1992.879 416.7733 533.9749 0.1314198 0.3754498
Moved 1992.894 387.7462 513.6973 0.06422738 0.3232955
Moved 1992.91 351.7631 488.6821 -0.01906693 0.258956
Moved 1992.924 337.8499 475.85 -0.05127326 0.2259515
Moved 1992.94 327.1386 465.1385 -0.07606809 0.1984015
Moved 1992.956 318.2072 457.2072 -0.09674271 0.1780019
Moved 1992.972 311.9978 451.9984 -0.1111162 0.1646048
Moved 1992.992 304.8445 446.2756 -0.1276748 0.1498856
Moved 1993.003 301.3964 443.0472 -0.1356566 0.1415824
Moved 1993.017 297.0927 440.0618 -0.1456188 0.1339036
Moved 1993.033 292.7763 435.7763 -0.1556104 0.1228814
Moved 1993.048 288.4515 432.4515 -0.1656214 0.11433
Moved 1993.064 282.8467 429.4234 -0.1785955 0.1065416
Moved 1993.079 279.8089 425.8089 -0.1856275 0.09724502
Moved 1993.094 275.4855 420.314 -0.1956354 0.08311213
Moved 1993.11 271.5 416.5 -0.2048611 0.07330243
Moved 1993.124 268.7507 412.0009 -0.2112253 0.06173047
Moved 1993.141 264.4342 406.2456 -0.221217 0.04692796
Moved 1993.156 260.1267 401.5023 -0.2311882 0.03472799
Moved 1993.171 256.8737 395.7473 -0.2387184 0.01992614
Moved 1993.186 253.9791 391.4686 -0.2454188 0.008921172
Moved 1993.203 251.1015 387.1522 -0.2520799 -0.002180578
Moved 1993.22 249.612 384.2241 -0.2555277 -0.009711858
Moved 1993.234 249 383.5052 -0.2569445 -0.01156081
Moved 1993.248 249 382.0703 -0.2569445 -0.01525133
Moved 1993.264 249 381.5 -0.2569445 -0.01671818
Moved 1993.28 247.6261 382 -0.2601249 -0.01543218
Stationary 1993.295 247.6261 382 -0.2601249 -0.01543218
Stationary 1993.315 248 382 -0.2592593 -0.01543218
Stationary 1993.326 248 382 -0.2592593 -0.01543218
Moved 1993.34 248 390.0378 -0.2592593 0.005241323
Moved 1993.357 248 399.8735 -0.2592593 0.03053888
Moved 1993.372 258.8025 412.8026 -0.2342534 0.06379249
Moved 1993.386 264 427 -0.2222222 0.1003086
Moved 1993.403 268.8816 439.6053 -0.2109222 0.1327296
Moved 1993.418 273.2464 447.0773 -0.2008185 0.1519478
Moved 1993.432 274.8423 456.0537 -0.1971243 0.1750352
Moved 1993.449 276.9278 461.8195 -0.1922967 0.1898648
Moved 1993.464 278.3987 474.5886 -0.1888918 0.2227073
Moved 1993.48 279.8353 480.1763 -0.1855665 0.2370789
Moved 1993.494 281.274 487.3698 -0.1822362 0.2555807
Moved 1993.51 281 492.1469 -0.1828704 0.2678673
Moved 1993.526 281 496.4531 -0.1828704 0.278943
Moved 1993.54 281 500.1873 -0.1828704 0.2885474
Moved 1993.557 281 501.7646 -0.1828704 0.2926044
Moved 1993.572 281 504.2404 -0.1828704 0.2989722
Moved 1993.587 281 506.6035 -0.1828704 0.3050501
Moved 1993.609 281 509.4753 -0.1828704 0.3124364
Stationary 1993.62 281 509.4753 -0.1828704 0.3124364
Moved 1993.634 272.1775 509 -0.2032929 0.3112139
Moved 1993.649 269.2903 509 -0.2099761 0.3112139
Moved 1993.665 267 509 -0.2152778 0.3112139
Moved 1993.68 260.4984 500.7476 -0.2303278 0.2899885
Moved 1993.695 250.503 489.1463 -0.2534653 0.2601499
Moved 1993.712 236.3107 471.941 -0.2863177 0.2158975
Moved 1993.727 224.1749 455.4904 -0.3144101 0.1735864
Moved 1993.742 213.6473 437.9709 -0.3387795 0.1285259
Moved 1993.758 204.4077 419.7166 -0.3601674 0.08157557
Moved 1993.772 197.5 407.5 -0.3761574 0.05015428
Moved 1993.787 192.4345 395.5863 -0.387883 0.0195121
Moved 1993.806 188.8475 385.5425 -0.3961863 -0.00632082
Moved 1993.82 185.4862 375.4312 -0.4039671 -0.03232736
Moved 1993.834 183.087 368.2176 -0.4095208 -0.05088076
Moved 1993.849 181.6073 361.0364 -0.4129461 -0.0693508
