id,scale,size,word,algorithm,sampleNum,coor,distance,firstKeyDistance,lastKeyDistance
2,1x1,0.5,cannot,Standard,128,pixel,22.5636,6.48318,8.54725,
2,1x1,0.5,cannot,Standard,128,keyWidth,0.783458,0.22511,0.296779,
2,1x1,0.5,cannot,DTW,128,pixel,17.8428,6.48318,8.54725,
2,1x1,0.5,cannot,DTW,128,keyWidth,0.619543,0.22511,0.296779,
2,1x1,0.5,cannot,Standard,256,pixel,22.6296,6.48318,8.54725,
2,1x1,0.5,cannot,Standard,256,keyWidth,0.785751,0.22511,0.296779,
2,1x1,0.5,cannot,DTW,256,pixel,17.8243,6.48318,8.54725,
2,1x1,0.5,cannot,DTW,256,keyWidth,0.6189,0.22511,0.296779,
2,1x1,0.5,refuse,Standard,16,pixel,9.3102,8.05873,7.39875,
2,1x1,0.5,refuse,Standard,16,keyWidth,0.323271,0.279817,0.256901,
2,1x1,0.5,refuse,DTW,16,pixel,9.3102,8.05873,7.39875,
2,1x1,0.5,refuse,DTW,16,keyWidth,0.323271,0.279817,0.256901,
2,1x1,0.5,refuse,Standard,32,pixel,9.17519,8.05873,7.39875,
2,1x1,0.5,refuse,Standard,32,keyWidth,0.318583,0.279817,0.256901,
2,1x1,0.5,refuse,DTW,32,pixel,7.82143,8.05873,7.39875,
2,1x1,0.5,refuse,DTW,32,keyWidth,0.271578,0.279817,0.256901,
2,1x1,0.5,refuse,Standard,64,pixel,9.16582,8.05873,7.39875,
2,1x1,0.5,refuse,Standard,64,keyWidth,0.318258,0.279817,0.256901,
2,1x1,0.5,refuse,DTW,64,pixel,7.17322,8.05873,7.39875,
2,1x1,0.5,refuse,DTW,64,keyWidth,0.24907,0.279817,0.256901,
2,1x1,0.5,refuse,Standard,128,pixel,9.17971,8.05873,7.39875,
2,1x1,0.5,refuse,Standard,128,keyWidth,0.31874,0.279817,0.256901,
2,1x1,0.5,refuse,DTW,128,pixel,6.74302,8.05873,7.39875,
2,1x1,0.5,refuse,DTW,128,keyWidth,0.234133,0.279817,0.256901,
2,1x1,0.5,refuse,Standard,256,pixel,9.18792,8.05873,7.39875,
2,1x1,0.5,refuse,Standard,256,keyWidth,0.319025,0.279817,0.256901,
2,1x1,0.5,refuse,DTW,256,pixel,6.68319,8.05873,7.39875,
2,1x1,0.5,refuse,DTW,256,keyWidth,0.232055,0.279817,0.256901,
2,1x1,0.5,time,Standard,16,pixel,16.768,14.9335,15.3699,
2,1x1,0.5,time,Standard,16,keyWidth,0.582222,0.518524,0.533677,
2,1x1,0.5,time,DTW,16,pixel,16.4573,14.9335,15.3699,
