the bathroom is good for reading
the bathroom is good for reading
Basic
List

0.6 0.6
432 388.8
Moved 3032.863 568.1243 465.4995 0.4817693 0.1993298
Moved 3032.894 577.1641 474.1641 0.5026945 0.2216153
Moved 3032.924 584.3072 482.4608 0.5192296 0.2429547
Moved 3032.955 587.6727 487.6727 0.5270201 0.2563596
Moved 3032.986 589.3303 491.3303 0.5308572 0.2657672
Moved 3033.017 589 494.084 0.5300926 0.2728499
Moved 3033.047 589 496.8457 0.5300926 0.2799529
Moved 3033.078 573.055 499.2266 0.4931828 0.2860765
Moved 3033.109 546.4501 499 0.4315974 0.2854938
Moved 3033.139 522.5854 499 0.3763553 0.2854938
Moved 3033.17 497.7027 499 0.3187562 0.2854938
Moved 3033.201 468.7958 486.9456 0.2518421 0.2544895
Moved 3033.232 438.1649 478.6495 0.1809371 0.2331519
Moved 3033.262 413.018 470.8929 0.1227269 0.2132018
Moved 3033.293 391.4458 461.7229 0.07279127 0.1896165
Moved 3033.324 372.6848 453.6318 0.02936304 0.1688059
Moved 3033.355 350.5657 442.7828 -0.02183864 0.1409022
Moved 3033.385 328.4912 432.7456 -0.07293706 0.1150863
Moved 3033.416 310.3367 423.5729 -0.1149614 0.09149398
Moved 3033.447 292.9358 414.4679 -0.1552412 0.06807578
Moved 3033.478 277.3501 404.9 -0.1913193 0.04346706
Moved 3033.508 261.813 395.8754 -0.2272847 0.02025549
Moved 3033.539 253.6894 391.3447 -0.2460894 0.008602495
Moved 3033.57 244.398 384.5986 -0.2675972 -0.00874845
Moved 3033.601 239.0771 381.0386 -0.2799141 -0.0179049
Moved 3033.631 235.2762 379.2762 -0.2887125 -0.0224378
Moved 3033.662 232.8257 377.8257 -0.294385 -0.02616858
Moved 3033.693 231.5 378 -0.2974537 -0.02572024
Moved 3033.724 231 377 -0.2986111 -0.02829226
Ended 3033.754 231 377 -0.2986111 -0.02829226
Accept 3033.846 0 is
Candidates 3033.846 13 flood clips good chips ships cops clouds shops goods boys god cloud floyd
Began 3034.799 353 393 -0.01620372 0.01285996
Stationary 3034.83 353 393 -0.01620372 0.01285996
Moved 3034.861 353 408.1901 -0.01620372 0.05192921
Moved 3034.892 353 425.5771 -0.01620372 0.0966488
Moved 3034.922 353 452.3579 -0.01620372 0.1655295
Moved 3034.953 362.4295 481.1649 0.005623897 0.2396216
Moved 3034.984 363.1065 504.7455 0.007191003 0.3002712
Moved 3035.015 364.5502 522.4019 0.01053294 0.3456839
Moved 3035.045 367.3149 537.5745 0.01693259 0.3847079
Moved 3035.076 369 550.3126 0.02083332 0.4174705
Moved 3035.107 370.8366 560.5099 0.02508481 0.4436983
Moved 3035.137 371 567.7323 0.025463 0.4622744
Moved 3035.168 373.0104 574.0314 0.03011674 0.4784756
Moved 3035.199 374 578.7747 0.03240744 0.4906756
Moved 3035.23 375 584 0.03472219 0.5041152
Moved 3035.26 376.9862 586.9724 0.03931989 0.5117602
Moved 3035.291 378 589.7507 0.04166663 0.5189062
Moved 3035.322 380.5 593.5 0.04745374 0.5285493
Moved 3035.353 382.9513 596.9026 0.0531281 0.5373009
Moved 3035.384 385.7046 599.7047 0.05950143 0.5445077
Moved 3035.414 388.4596 602.4597 0.06587873 0.5515937
Moved 3035.445 391.2236 605.2236 0.07227679 0.5587025
Moved 3035.476 395.3854 606.6927 0.08191069 0.5624811
Moved 3035.506 398.4519 609.4519 0.08900901 0.5695779
Moved 3035.537 401.2201 610 0.0954169 0.5709876
Moved 3035.568 402.3596 611.3596 0.09805461 0.5744843
Moved 3035.599 403.017 611 0.09957642 0.5735595
Moved 3035.629 404.2407 611 0.1024091 0.5735595
Moved 3035.66 404 612 0.1018518 0.5761316
Ended 3035.691 404 612 0.1018518 0.5761316
Expand 3035.691
Accept 3035.783 2 good
Began 3036.06 265 394 -0.2199074 0.01543206
Stationary 3036.091 265 394 -0.2199074 0.01543206
Stationary 3036.121 265 394 -0.2199074 0.01543206
Moved 3036.152 271.7828 394 -0.2042066 0.01543206
Moved 3036.183 282.5955 403.1909 -0.1791772 0.03907125
Moved 3036.213 307.4533 414.795 -0.1216359 0.0689171
Moved 3036.244 331.5003 425.7501 -0.06597157 0.09709389
Moved 3036.275 358.9604 439.7057 -0.002406389 0.1329878
Moved 3036.306 378.9535 447.4767 0.04387378 0.1529751
Moved 3036.336 401.0362 457.5181 0.09499121 0.1788016
Moved 3036.367 419.278 465.139 0.1372176 0.1984028
Moved 3036.398 437.9077 472.4539 0.1803419 0.2172166
Moved 3036.428 451.4922 479.2462 0.2117876 0.2346865
Moved 3036.459 464.8785 485.7514 0.2427743 0.2514182
Moved 3036.49 480.8761 494.438 0.2798057 0.2737603
Moved 3036.521 492.7469 501.3734 0.3072844 0.2915982
Moved 3036.552 506.7729 509.0637 0.3397519 0.3113778
Moved 3036.582 520.5274 516.3164 0.3715912 0.3300318
Moved 3036.613 537.9888 525.4944 0.412011 0.3536377
Moved 3036.644 541.8221 527.4111 0.4208845 0.3585675
Moved 3036.675 552.127 532.0846 0.4447383 0.3705878
Moved 3036.705 557.8052 535 0.4578825 0.3780863
Moved 3036.736 560.5 537.5 0.4641204 0.3845164
Moved 3036.767 560 538 0.462963 0.3858024
Moved 3036.797 560 539 0.462963 0.3883744
Moved 3036.828 547.2717 540 0.4334995 0.3909464
Moved 3036.859 530.8415 540 0.3954664 0.3909464
Moved 3036.89 509.5838 540 0.3462588 0.3909464
Moved 3036.92 493.5 531.5 0.3090277 0.3690843
Moved 3036.951 477.1616 529.7374 0.2712075 0.3645507
Moved 3036.982 461.9969 527.1994 0.2361039 0.358023
Moved 3037.012 448.53 525.506 0.2049305 0.3536676
Moved 3037.043 439.2294 525 0.1834014 0.3523662
Moved 3037.073 428.9089 524 0.1595113 0.3497942
Moved 3037.105 420.598 523 0.1402732 0.3472221
Moved 3037.135 408.0535 522 0.1112349 0.3446501
Moved 3037.166 396.0056 520.0014 0.08334637 0.3395097
Moved 3037.197 382.2634 518 0.05153566 0.3343621
Moved 3037.228 368.0296 515.8614 0.01858711 0.3288615
Moved 3037.259 344.9007 513.1001 -0.03495201 0.3217594
Moved 3037.289 326.4864 509.3552 -0.07757773 0.3121276
Moved 3037.32 313.4358 507 -0.1077876 0.3060699
Moved 3037.351 296.1801 504 -0.1477312 0.2983539
Moved 3037.381 292.2323 503.4108 -0.1568697 0.2968383
Moved 3037.412 285.2958 503 -0.1729264 0.2957818
Moved 3037.443 280.3224 502 -0.1844389 0.2932098
Moved 3037.474 275.4602 501 -0.195694 0.2906378
Moved 3037.504 271.6945 501 -0.204411 0.2906378
Moved 3037.535 269.9708 501 -0.208401 0.2906378
Stationary 3037.566 270 501 -0.2083333 0.2906378
Stationary 3037.596 270 501 -0.2083333 0.2906378
Ended 3037.627 270 509 -0.2083333 0.3112139
Candidates 3037.75 13 for sport door sort support super spite spot fort sorry show site got
Began 3038.949 492 470 0.3055556 0.2109053
Stationary 3038.98 492 470 0.3055556 0.2109053
Stationary 3039.01 492 470 0.3055556 0.2109053
