players must know all the rules
players must know all the rules
Basic
List

0.6 0.6
432 388.8
Moved 747.3945 169 440 -0.4421296 0.1337448
Stationary 747.4253 169 440 -0.4421296 0.1337448
Moved 747.456 169 441.5 -0.4421296 0.1376028
Moved 747.4868 169 441 -0.4421296 0.1363167
Stationary 747.5175 169 441 -0.4421296 0.1363167
Stationary 747.5482 169 441 -0.4421296 0.1363167
Moved 747.5789 176.3981 441 -0.4250043 0.1363167
Moved 747.6096 178.9625 434.2623 -0.4190682 0.1189872
Moved 747.6404 181.8327 426.6693 -0.4124244 0.09945782
Moved 747.6711 183.7059 416.8821 -0.4080881 0.07428522
Moved 747.7018 184 409.6735 -0.4074074 0.05574461
Moved 747.7325 186.0977 401.707 -0.4025517 0.03525451
Moved 747.7632 189.9232 398.0384 -0.3936962 0.0258189
Moved 747.794 219.6278 397 -0.3249356 0.02314815
Moved 747.8247 265.9027 411.0797 -0.2178178 0.05936112
Moved 747.8555 312.174 418.5565 -0.1107083 0.07859179
Moved 747.8862 361.2275 424.3397 0.002841353 0.09346628
Moved 747.9169 407.5722 427 0.1101208 0.1003086
Moved 747.9476 443.6949 428 0.193738 0.1028806
Moved 747.9783 471.3224 428 0.2576908 0.1028806
Moved 748.009 498.1124 418.8214 0.3197045 0.0792729
Moved 748.0397 516.0582 414.3767 0.3612458 0.06784129
Moved 748.0705 529.0591 409.3136 0.3913407 0.05481884
Moved 748.1012 537.1166 406.4417 0.409992 0.04743234
Moved 748.132 542.8667 405 0.4233025 0.04372424
Moved 748.1627 547.9518 403.0241 0.4350736 0.03864218
Moved 748.1934 550.851 402 0.4417847 0.03600815
Moved 748.2242 554.7261 400.2739 0.4507548 0.0315687
Moved 748.2549 559.37 398.815 0.4615047 0.02781628
Moved 748.2856 564.2612 395.8694 0.4728268 0.02024011
Moved 748.3163 568.0004 393.9996 0.4814824 0.01543092
Moved 748.347 571.8746 392.1254 0.4904506 0.01061043
Moved 748.3777 575.8956 389.5522 0.4997582 0.003992246
Moved 748.4085 578.3146 386.6854 0.5053578 -0.003381227
Moved 748.4393 580.1893 386 0.5096974 -0.005144111
Moved 748.47 580 383.6791 0.5092593 -0.01111341
Moved 748.5007 580 382.697 0.5092593 -0.01363935
Moved 748.5314 580 381.5221 0.5092593 -0.01666128
Moved 748.5621 580 380.8251 0.5092593 -0.01845395
Moved 748.5928 581.5 381 0.5127315 -0.01800419
Moved 748.6236 581 380 0.511574 -0.02057613
Moved 748.6543 581 379 0.511574 -0.02314815
Stationary 748.6851 581 379 0.511574 -0.02314815
Moved 748.7157 581 378 0.511574 -0.02572024
Stationary 748.7464 581 378 0.511574 -0.02572024
Moved 748.7772 581 376.8504 0.511574 -0.02867703
Stationary 748.808 581 377 0.511574 -0.02829226
Stationary 748.8387 581 377 0.511574 -0.02829226
Stationary 748.8693 581 377 0.511574 -0.02829226
Stationary 748.9001 581 377 0.511574 -0.02829226
Moved 748.9308 573.5289 377 0.4942798 -0.02829226
Moved 748.9615 570.6591 377 0.4876368 -0.02829226
Moved 748.9923 565.7906 377 0.4763673 -0.02829226
Moved 749.023 563.1876 377 0.4703417 -0.02829226
Moved 749.0537 559.3798 381.3415 0.4615272 -0.01712587
Moved 749.0845 556.507 385 0.4548773 -0.007716127
Moved 749.1152 553.6373 387.3627 0.4482344 -0.001639064
Moved 749.1459 552.6838 388.3162 0.4460272 0.000813331
Moved 749.1765 551.8482 388 0.444093 -3.924585E-08
Moved 749.2073 552 389 0.4444444 0.002572016
Ended 749.238 552 390 0.4444444 0.005143954
Accept 749.2995 0 know
Candidates 749.2995 13 fall all talk walk wall fail sell real rail wal al feel deal
Began 750.1291 437 415 0.1782407 0.06944436
Stationary 750.1598 437 415 0.1782407 0.06944436
Moved 750.1906 415.6006 426.3994 0.1287052 0.09876369
Moved 750.2213 388.2558 446.7442 0.06540696 0.151091
Moved 750.2521 363.1085 471.7158 0.007195473 0.2153184
Moved 750.2827 341.1353 492.8647 -0.0436683 0.2697138
Moved 750.3135 329.3083 506.2556 -0.07104556 0.3041552
Moved 750.3442 318.1974 518.8026 -0.09676525 0.3364264
Moved 750.3749 308.653 532.347 -0.1188588 0.3712627
Moved 750.4056 307.1167 536.6498 -0.122415 0.3823296
Moved 750.4363 302.4842 545.2737 -0.1331384 0.4045104
Moved 750.4671 297.55 552.675 -0.1445602 0.4235467
Moved 750.4979 293.645 560.5325 -0.1535996 0.4437564
Moved 750.5286 291 565.043 -0.1597222 0.4553575
Moved 750.5593 288.0901 568.9099 -0.1664581 0.4653032
Moved 750.59 286.5839 571.4161 -0.1699448 0.4717492
Moved 750.6208 287 574.2863 -0.1689815 0.4791313
Moved 750.6515 287 577.1624 -0.1689815 0.4865286
Moved 750.6822 287 579.7793 -0.1689815 0.4932594
Moved 750.713 287 581.5806 -0.1689815 0.4978923
Moved 750.7437 287 584.4545 -0.1689815 0.505284
Moved 750.7744 287 587.327 -0.1689815 0.5126723
Moved 750.8051 287 590.8439 -0.1689815 0.5217178
Moved 750.8358 287 593.539 -0.1689815 0.5286496
Moved 750.8666 287 596.1508 -0.1689815 0.5353671
Moved 750.8973 294 598.2363 -0.1527778 0.540731
Moved 750.928 295.2368 600.2368 -0.1499147 0.5458765
Stationary 750.9587 295.2368 600.2368 -0.1499147 0.5458765
Moved 750.9894 295 601.1871 -0.150463 0.5483207
Stationary 751.0202 295 601.1871 -0.150463 0.5483207
Ended 751.0509 295 602 -0.150463 0.5504114
Accept 751.1124 1 all
Began 751.5425 377 481 0.03935188 0.2391974
Stationary 751.5733 377 481 0.03935188 0.2391974
Stationary 751.604 377 481 0.03935188 0.2391974
Moved 751.6346 361.8358 481 0.004249612 0.2391974
Moved 751.6654 355.2568 481 -0.01097952 0.2391974
Moved 751.6961 349.0716 481 -0.0252973 0.2391974
Moved 751.7269 346.6614 481 -0.03087635 0.2391974
Moved 751.7576 343.0891 481 -0.0391456 0.2391974
Moved 751.7883 337.4874 481 -0.05211249 0.2391974
Moved 751.819 333.7449 485.3928 -0.06077568 0.2504957
Moved 751.8498 329.4984 490.5016 -0.07060568 0.2636358
Moved 751.8805 324.9488 493.0513 -0.08113711 0.2701935
Moved 751.9112 322.1089 495 -0.08771092 0.2752057
Moved 751.942 319.2341 497.7659 -0.09436557 0.2823196
Moved 751.9727 317.5 500.5 -0.09837966 0.2893518
Moved 752.0034 316 503.217 -0.1018519 0.2963399
Moved 752.0341 315 506.0894 -0.1041667 0.3037277
Moved 752.0649 315 507.5 -0.1041667 0.3073559
Moved 752.0956 315 509.3959 -0.1041667 0.3122323
Moved 752.1263 329.8716 510 -0.06974155 0.3137859
Moved 752.157 347.5449 496.7126 -0.02883121 0.2796104
Moved 752.1878 359.3424 485.5434 -0.001522154 0.2508832
Moved 752.2185 366.8495 470.6846 0.01585523 0.212666
Moved 752.2492 371.9694 453.0918 0.02770692 0.1674171
Moved 752.28 373 438.1748 0.0300926 0.1290504
Moved 752.3107 374 422.5079 0.03240744 0.08875489
Moved 752.3414 374 406.0498 0.03240744 0.04642435
Moved 752.3721 374.6632 395.3472 0.03394266 0.01889711
Moved 752.4028 375 385.4177 0.03472219 -0.006641851
Moved 752.4335 375 378.9095 0.03472219 -0.02338095
Moved 752.4643 376 371.2374 0.03703703 -0.04311369
Moved 752.4951 376 364.4256 0.03703703 -0.06063382
Moved 752.5258 376 359 0.03703703 -0.07458848
Moved 752.5561 376 355.7659 0.03703703 -0.08290679
Moved 752.5872 368.2366 355 0.01906614 -0.08487654
Moved 752.6179 359.0735 355 -0.002144625 -0.08487654
Moved 752.6487 348.9326 359.1349 -0.02561907 -0.07424154
Moved 752.6794 332.2447 370.5745 -0.06424839 -0.04481884
Moved 752.7101 318.6754 381.0597 -0.09565885 -0.01785066
Moved 752.7408 308.4422 391.6972 -0.1193467 0.009509231
Moved 752.7715 297.4384 405.202 -0.1448185 0.04424362
Moved 752.8022 288.4528 417.0629 -0.1656185 0.07475013
Moved 752.8329 278.4146 430.9818 -0.1888552 0.1105499
Moved 752.8637 274.0899 441.7751 -0.1988659 0.1383104
Moved 752.8945 270.3717 451.4424 -0.2074728 0.1631748
Moved 752.9252 268.3183 459.3634 -0.2122262 0.1835478
Moved 752.9559 267 466.6812 -0.2152778 0.2023693
Moved 752.9866 266 474.325 -0.2175926 0.2220293
Moved 753.0173 266 480.8656 -0.2175926 0.2388518
Moved 753.048 266 484.826 -0.2175926 0.2490382
Moved 753.0788 266 488.5 -0.2175926 0.2584876
Moved 753.1095 266 491.2686 -0.2175926 0.2656083
Moved 753.1403 266 494.1433 -0.2175926 0.2730022
Moved 753.171 266 497.0156 -0.2175926 0.2803898
Moved 753.2017 265 498.5522 -0.2199074 0.2843419
Moved 753.2324 265 500.5 -0.2199074 0.2893518
Moved 753.2632 264 501.5 -0.2222222 0.2919238
Moved 753.2939 263 501 -0.2245371 0.2906378
Ended 753.3246 263 501 -0.2245371 0.2906378
Candidates 753.4782 13 the rights other urge rubber river driver that there turner prices guide reduce
Began 754.5844 393 468 0.07638891 0.2057612
Stationary 754.6151 393 468 0.07638891 0.2057612
Stationary 754.6459 393 468 0.07638891 0.2057612
Moved 754.6766 382.7379 468 0.05263418 0.2057612
Moved 754.7073 368.3829 477.8085 0.01940489 0.230989
Moved 754.738 357.1656 485.5563 -0.00656108 0.2509162
Moved 754.7687 348.5535 491.2977 -0.02649655 0.2656833
Moved 754.7994 340.6569 496.3431 -0.04477565 0.2786601
Moved 754.8303 332.3639 502.0908 -0.06397252 0.2934432
Moved 754.861 322.2847 507.8576 -0.08730386 0.3082756
Moved 754.8917 319.4126 509.2937 -0.09395237 0.3119693
Moved 754.9224 316.1382 511.8618 -0.1015319 0.3185745
Moved 754.9531 312.2664 514.7336 -0.1104944 0.3259608
Moved 754.9838 306.794 517.603 -0.123162 0.3333409
Moved 755.0146 301.7911 521.2089 -0.1347429 0.3426155
Moved 755.0453 295.9702 524.0149 -0.1482171 0.3498324
Moved 755.076 290.2221 526.889 -0.161523 0.3572246
Moved 755.1068 287.2392 528.7608 -0.1684277 0.362039
Moved 755.1375 286 530.264 -0.1712963 0.3659052
Moved 755.1682 285 531.1312 -0.1736111 0.3681357
Moved 755.1989 285 532.0015 -0.1736111 0.370374
Moved 755.2297 314.6378 534 -0.105005 0.3755144
Moved 755.2604 347.212 534 -0.0296019 0.3755144
Moved 755.2911 391.837 522.7908 0.07369687 0.3466839
Moved 755.3218 417.5 517 0.1331019 0.33179
Moved 755.3525 430.6279 512.7488 0.1634905 0.320856
Moved 755.3832 435.6968 511.4344 0.175224 0.3174752
Moved 755.414 444.3223 509 0.1951905 0.3112139
Moved 755.4447 451.9129 507.6957 0.2127613 0.3078592
Moved 755.4755 457.6324 507 0.226001 0.3060699
