what goes up must come down
what goes up must come down
Basic
List

0.6 0.6
432 388.8
Ended 1441.198 342 545 -0.04166668 0.4038065
Accept 1441.291 0 up
Candidates 1441.291 13 must just mystery busy murray murder burst least boat nurse bureau midst budget
Began 1442.458 266 259 -0.2175926 -0.3317901
Stationary 1442.488 266 259 -0.2175926 -0.3317901
Stationary 1442.519 266 259 -0.2175926 -0.3317901
Moved 1442.55 279.6704 286.9363 -0.1859481 -0.2599375
Moved 1442.581 296.7335 321.7203 -0.1464502 -0.1704724
Moved 1442.611 310.9899 348.9799 -0.1134492 -0.1003604
Moved 1442.642 323.6991 372.7817 -0.08402978 -0.03914162
Moved 1442.673 337.5 396 -0.05208333 0.02057605
Moved 1442.703 351.3295 416.5272 -0.02007052 0.0733724
Moved 1442.734 372.4947 445.3684 0.02892296 0.1475524
Moved 1442.765 390.0722 464.8866 0.06961147 0.1977535
Moved 1442.796 402.3096 479.5715 0.09793887 0.2355234
Moved 1442.826 424.3628 501.1357 0.148988 0.2909867
Moved 1442.857 434.318 512.318 0.1720323 0.3197479
Moved 1442.888 443.9508 519.9672 0.1943305 0.3394216
Moved 1442.918 449.9547 525.9547 0.2082285 0.3548217
Moved 1442.949 455.7049 529.3524 0.2215391 0.3635606
Moved 1442.98 458.2281 531 0.2273799 0.3677982
Moved 1443.01 461 533.8323 0.2337964 0.375083
Moved 1443.041 463.6577 534 0.2399485 0.3755144
Moved 1443.072 468.0368 534 0.2500851 0.3755144
Moved 1443.103 482.0224 512.7642 0.2824592 0.3208954
Moved 1443.133 491.7843 468.1503 0.3050564 0.2061477
Moved 1443.164 499.3948 420.2279 0.3226731 0.08289058
Moved 1443.195 504.6598 385.083 0.3348606 -0.00750259
Moved 1443.226 507.5 353 0.3414352 -0.09002065
Moved 1443.256 507 330.0406 0.3402778 -0.1490724
Moved 1443.287 499.266 305.2327 0.322375 -0.2128788
Moved 1443.318 496 292.6274 0.3148148 -0.2453
Moved 1443.348 492.709 282.836 0.3071968 -0.2704836
Moved 1443.379 489.744 271.9758 0.3003332 -0.2984161
Moved 1443.41 485.7464 257.366 0.2910797 -0.3359928
Moved 1443.441 482.9925 244.9701 0.284705 -0.3678753
Moved 1443.471 480.5 238.5 0.2789353 -0.3845166
Moved 1443.502 477.6161 233.2322 0.2722595 -0.3980654
Moved 1443.533 474.7499 230.75 0.2656248 -0.4044496
Moved 1443.563 467.618 229 0.2491157 -0.4089506
Moved 1443.594 450.3396 239.9946 0.2091194 -0.3806723
Moved 1443.625 427.7528 263.309 0.1568351 -0.3207073
Moved 1443.656 406.071 292.1843 0.1066458 -0.2464397
Moved 1443.686 387.6809 322.7138 0.06407619 -0.1679172
Moved 1443.717 372.0222 354.9555 0.02782931 -0.08499099
Moved 1443.748 360.9725 383.4067 0.002251069 -0.01181394
Moved 1443.778 355 399.5 -0.01157408 0.02957815
Moved 1443.809 349.8899 413.5508 -0.02340312 0.06571699
Moved 1443.84 343.0264 431.8944 -0.03929073 0.1128971
Moved 1443.87 339.1364 444.4545 -0.04829541 0.1452017
Moved 1443.901 336.7031 451.8906 -0.05392795 0.1643277
