the union will go on strike
the union will go on strike
FixStart
List

0.6 0.6
432 388.8
Moved 3593.476 415 355.8541 0.1273148 -0.08267995
Moved 3593.506 426.1488 318.5041 0.1531222 -0.1787447
Moved 3593.537 433.6316 301.921 0.1704434 -0.2213966
Moved 3593.568 437.5831 293.2507 0.1795905 -0.2436967
Ended 3593.599 441 289 0.1875 -0.2546296
Candidates 3593.66 13 on in job john pin inn him join jon ion ibm pb pm
Began 3594.582 392 427 0.07407407 0.1003086
Stationary 3594.612 392 427 0.07407407 0.1003086
Stationary 3594.643 392 427 0.07407407 0.1003086
Moved 3594.674 380.6453 427 0.04779001 0.1003086
Moved 3594.705 369.933 427 0.02299309 0.1003086
Moved 3594.735 352.6082 427 -0.01711076 0.1003086
Moved 3594.766 334 439.5 -0.06018519 0.1324588
Moved 3594.797 316.6373 445.8176 -0.1003766 0.1487079
Moved 3594.827 303.3581 452.1851 -0.1311155 0.1650851
Moved 3594.858 289.6248 458.9501 -0.1629055 0.1824847
Moved 3594.889 278.0168 465.4916 -0.189776 0.1993097
Moved 3594.919 271.7076 469.5283 -0.2043806 0.2096921
Moved 3594.95 266.0874 472.4563 -0.2173902 0.2172229
Moved 3594.981 262.7852 475.2148 -0.2250343 0.2243179
Moved 3595.012 259.0173 477 -0.2337563 0.2289094
Moved 3595.042 258 478.288 -0.2361111 0.2322223
Moved 3595.073 256 479.1577 -0.2407407 0.234459
Moved 3595.104 254 479 -0.2453704 0.2340534
Moved 3595.135 251.3155 479 -0.2515845 0.2340534
Moved 3595.165 248.7434 479 -0.2575385 0.2340534
Moved 3595.196 247.106 479 -0.2613288 0.2340534
Moved 3595.227 245.3409 479 -0.2654145 0.2340534
Moved 3595.257 243.7904 479 -0.2690037 0.2340534
Stationary 3595.288 243.7904 479 -0.2690037 0.2340534
Stationary 3595.319 244 479 -0.2685185 0.2340534
Stationary 3595.35 244 479 -0.2685185 0.2340534
Stationary 3595.38 244 479 -0.2685185 0.2340534
Stationary 3595.411 244 479 -0.2685185 0.2340534
Moved 3595.442 244 482.385 -0.2685185 0.2427598
Moved 3595.472 254.3133 487.3134 -0.244645 0.2554355
Moved 3595.503 260.8045 492.8046 -0.2296192 0.269559
Moved 3595.534 267.7188 498.7188 -0.213614 0.2847705
Moved 3595.565 276.3993 506.2662 -0.1935202 0.3041825
Moved 3595.595 282.7768 512.7768 -0.1787575 0.3209279
Moved 3595.626 287.6026 517.6026 -0.1675866 0.33334
Moved 3595.657 295.1147 524.1147 -0.1501975 0.3500891
Moved 3595.688 304.5034 530.6689 -0.1284642 0.3669468
Moved 3595.718 313 536 -0.1087963 0.3806583
Moved 3595.749 320.1346 542.1346 -0.09228091 0.3964367
Moved 3595.78 332.2245 550.2245 -0.06429523 0.417244
Moved 3595.81 345.2798 558.1399 -0.03407459 0.4376025
Moved 3595.841 355.9841 562.996 -0.009295991 0.4500926
Moved 3595.872 370.0208 568.7552 0.02319634 0.4649052
Moved 3595.903 383.0968 573.0484 0.05346486 0.4759474
Moved 3595.933 394.1041 577.5521 0.07894477 0.4875309
Moved 3595.964 403.03 579.7575 0.09960641 0.4932033
Moved 3595.995 416.1225 581.5306 0.1299132 0.4977639
Moved 3596.025 426.179 583 0.153192 0.5015431
Moved 3596.056 433.0921 584 0.1691946 0.5041152
Moved 3596.087 436.4876 584 0.1770546 0.5041152
Moved 3596.117 439.2611 584 0.1834747 0.5041152
Moved 3596.148 440.3601 584 0.1860187 0.5041152
Stationary 3596.179 440 584 0.1851852 0.5041152
Stationary 3596.21 440 584 0.1851852 0.5041152
Moved 3596.24 428.1143 576.0286 0.1576721 0.4836124
Moved 3596.271 414.5938 570.5313 0.1263745 0.4694732
Moved 3596.302 400.0559 565.5954 0.09272198 0.4567782
Moved 3596.333 383.3479 560.1392 0.05404612 0.4427446
Moved 3596.363 370.303 557.3257 0.02384961 0.4355085
Moved 3596.394 358.2506 553.5627 -0.00404944 0.4258299
Moved 3596.425 348.4176 551.1392 -0.02681116 0.4195965
Moved 3596.455 340.7563 549.3782 -0.04454558 0.4150672
Moved 3596.486 335.2222 547.6111 -0.05735611 0.4105222
Moved 3596.517 331.8511 547 -0.0651595 0.4089505
Moved 3596.548 330.8148 547 -0.06755824 0.4089505
Moved 3596.578 329.6404 547 -0.0702768 0.4089505
Stationary 3596.609 330 547 -0.06944443 0.4089505
Moved 3596.64 334.8552 551.8552 -0.05820548 0.4214383
Moved 3596.67 345.0002 559.6667 -0.03472189 0.4415296
Moved 3596.701 360.6672 566.2224 0.001544555 0.4583909
Moved 3596.732 380.8987 570.7552 0.04837672 0.4700494
Moved 3596.763 400.9801 574.198 0.09486128 0.4789042
Moved 3596.793 426.4288 578.0477 0.1537703 0.4888056
Moved 3596.824 444.8511 578.8085 0.1964145 0.4907625
Moved 3596.855 458.298 579 0.2275416 0.4912551
Moved 3596.885 469.1267 579 0.2526081 0.4912551
Moved 3596.916 477.5736 579 0.2721612 0.4912551
Moved 3596.947 484.0961 579 0.2872595 0.4912551
Moved 3596.978 487.3164 579 0.2947139 0.4912551
Moved 3597.008 489 579 0.2986111 0.4912551
Moved 3597.039 491.5 579 0.3043981 0.4912551
Moved 3597.07 493.2658 568.2027 0.3084856 0.4634842
Moved 3597.101 494 560.7729 0.3101851 0.4443747
