why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Moved 1640.341 568.71 485 0.483125 0.2494856
Moved 1640.371 545.5023 480.9507 0.4294034 0.2390707
Moved 1640.402 512.5957 457.3297 0.3532308 0.1783171
Moved 1640.433 474.7094 415.358 0.265531 0.07036527
Moved 1640.464 436.0945 353.6264 0.1761447 -0.08840953
Moved 1640.494 416.0957 305.7712 0.1298512 -0.211494
Moved 1640.525 412.4345 290.6505 0.1213761 -0.2503846
Moved 1640.556 410 261.2313 0.1157407 -0.3260512
Moved 1640.587 410 232.757 0.1157407 -0.3992877
Moved 1640.617 419.7861 215.6417 0.1383936 -0.4433084
Ended 1640.648 421 212 0.1412037 -0.4526749
Began 1640.679 419 221 0.1365741 -0.4295268
Stationary 1640.709 419 221 0.1365741 -0.4295268
Moved 1640.74 404 273.5 0.1018518 -0.2944959
Candidates 1640.74 13 question quotation questions reputation within rotation wisdom situation repression equation depression suppression duration
Moved 1640.771 387.1722 319.5122 0.06289859 -0.1761518
Moved 1640.802 365.4881 373.3309 0.01270394 -0.03772916
Moved 1640.832 360.0529 391.3281 0.0001223882 0.008559757
Moved 1640.863 349.4274 416.7177 -0.02447357 0.07386234
Moved 1640.894 336.7516 446.4968 -0.05381579 0.1504547
Moved 1640.925 323.0156 470.5719 -0.08561199 0.2123762
Moved 1640.955 308.1143 493.3286 -0.1201059 0.2709069
Moved 1640.986 294.8432 510.1567 -0.1508259 0.3141891
Ended 1641.017 268 540 -0.212963 0.3909464
Accept 1641.109 2 questions
Began 1642.215 565 358 0.474537 -0.07716057
Stationary 1642.246 565 358 0.474537 -0.07716057
Moved 1642.276 613.6833 358 0.5872298 -0.07716057
Moved 1642.307 671.5 358 0.7210647 -0.07716057
Ended 1642.338 668 358 0.7129629 -0.07716057
PhraseEnd 1642.461
