the back yard of our house
the back yard of our house
FixStart
List

0.6 0.6
432 388.8
Moved 2131.461 414 346 0.125 -0.1080248
Stationary 2131.492 414 346 0.125 -0.1080248
Stationary 2131.523 414 346 0.125 -0.1080248
Moved 2131.553 426.1568 346 0.1531407 -0.1080248
Moved 2131.584 440.3511 358.6755 0.1859979 -0.07542308
Moved 2131.615 457.0824 363.5206 0.2247277 -0.06296158
Moved 2131.646 476.438 368.634 0.2695323 -0.04980982
Moved 2131.676 494.485 373.497 0.3113079 -0.03730201
Moved 2131.707 512.267 378.6335 0.35247 -0.02409083
Moved 2131.738 522.8991 380 0.3770812 -0.02057613
Moved 2131.769 527.1724 383.1724 0.3869732 -0.01241668
Moved 2131.799 529.6086 384 0.3926126 -0.01028807
Moved 2131.83 532.1162 387.2324 0.3984171 -0.001974459
Moved 2131.861 537.0223 394.067 0.4097739 0.01560439
Moved 2131.891 542.7021 404.6028 0.4229214 0.04270251
Moved 2131.922 550.3096 414.0794 0.4405314 0.06707659
Moved 2131.953 561.1581 424.1581 0.4656438 0.09299926
Moved 2131.984 580.2256 437.766 0.5097814 0.1279989
Moved 2132.014 598.1545 450.0927 0.5512836 0.1597034
Moved 2132.045 611.7723 459.0792 0.5828063 0.1828168
Moved 2132.076 618.9478 465.9478 0.5994162 0.2004829
Moved 2132.106 622.3356 469.3356 0.6072583 0.2091963
Moved 2132.137 622 472.2095 0.6064814 0.2165882
Moved 2132.168 607.3242 474.7418 0.5725098 0.2231011
Moved 2132.199 581.5709 476 0.5128955 0.2263374
Moved 2132.229 554.1765 472.1412 0.4494827 0.2164126
Moved 2132.26 525.8513 458.6005 0.3839149 0.1815857
Moved 2132.291 501.3337 449.5928 0.3271613 0.1584176
Moved 2132.322 478.9218 438.8237 0.2752821 0.1307192
Moved 2132.353 456.5707 427.587 0.2235434 0.1018183
Moved 2132.383 439.2174 418.6646 0.1833736 0.07886984
Moved 2132.414 404.4554 399.2277 0.102906 0.02887769
Moved 2132.445 380.143 386.4128 0.04662722 -0.004082472
Moved 2132.475 360.0544 374.7029 0.0001257658 -0.03420049
Moved 2132.506 343.6459 365.0435 -0.03785669 -0.05904468
Moved 2132.537 319.5565 345.9895 -0.09361932 -0.1080518
Moved 2132.568 298.8533 326.8533 -0.1415432 -0.1572703
Moved 2132.598 282.5771 309.8925 -0.1792198 -0.2008939
Moved 2132.629 269.6341 295.6341 -0.2091803 -0.2375667
Moved 2132.66 262.3438 286.0157 -0.2260561 -0.2623053
Moved 2132.69 258.8038 282.8038 -0.2342505 -0.2705665
Moved 2132.721 257.5 282 -0.2372685 -0.2726338
Moved 2132.752 258 292.028 -0.2361111 -0.2468417
Moved 2132.783 270.4195 311.7853 -0.2073622 -0.1960253
Moved 2132.813 281.3821 336.4553 -0.1819859 -0.1325739
Moved 2132.844 287.5388 353.7702 -0.1677342 -0.08803968
Moved 2132.875 295.4364 379.1818 -0.1494528 -0.02268057
Moved 2132.906 301.7889 399.7704 -0.134748 0.03027358
Moved 2132.936 308.2986 416.5972 -0.1196792 0.07355231
Moved 2132.967 316.0248 443.0992 -0.1017945 0.1417159
Moved 2132.998 320.8639 457.3195 -0.09059276 0.1782909
Moved 2133.029 324.7379 470.6895 -0.08162528 0.2126787
Moved 2133.059 326 479.0297 -0.07870371 0.2341299
Moved 2133.09 327 490.5683 -0.07638887 0.2638074
Ended 2133.121 327 491.5 -0.07638887 0.2662036
Accept 2133.274 0 our
Candidates 2133.274 13 part house past jose par passed list host pat page passes please post
Began 2134.135 440 333 0.1851852 -0.141461
Stationary 2134.166 440 333 0.1851852 -0.141461
Moved 2134.196 440 350.9404 0.1851852 -0.09531806
Moved 2134.227 429.3952 385.4192 0.160637 -0.006637926
Moved 2134.258 420.7017 421.4917 0.1405131 0.08614112
Moved 2134.289 415.6997 453.7029 0.1289345 0.1689889
Moved 2134.319 411.8285 480.3718 0.1199734 0.2375818
Moved 2134.35 409.2119 499.5165 0.1139165 0.2868221
Moved 2134.381 407.4225 513.8876 0.1097743 0.323785
Moved 2134.411 404.553 525.788 0.1031319 0.354393
Moved 2134.442 402.6875 539.5627 0.09881358 0.3898216
Moved 2134.473 400.1823 548.2709 0.09301454 0.4122194
Moved 2134.504 397.3063 557.0811 0.0863572 0.4348793
Moved 2134.534 394.4417 563.5583 0.07972617 0.4515387
Moved 2134.565 391.5753 568.4247 0.07309099 0.4640552
Moved 2134.596 390.0368 572.9633 0.06952961 0.4757285
Moved 2134.626 387.1691 576.8309 0.06289144 0.485676
Moved 2134.657 384 581.1257 0.0555556 0.4967224
Moved 2134.688 382.5 581 0.05208333 0.496399
Ended 2134.719 382.5 581 0.05208333 0.496399
Accept 2134.78 1 house
Began 2135.456 476 448 0.2685185 0.1543209
Stationary 2135.487 476 448 0.2685185 0.1543209
Moved 2135.518 497.2051 448 0.3176044 0.1543209
Moved 2135.549 571.4161 436.7644 0.4893892 0.1254228
Moved 2135.579 611.3431 434.3047 0.5818129 0.1190965
Moved 2135.61 636.704 433 0.6405185 0.1157406
Moved 2135.641 663.5488 430.6057 0.7026592 0.1095825
Moved 2135.671 681.3657 429 0.7439021 0.1054526
Moved 2135.702 686.6165 429 0.7560567 0.1054526
Moved 2135.733 691.6812 429 0.7677805 0.1054526
Moved 2135.764 695.5516 429 0.7767398 0.1054526
Ended 2135.794 697 429 0.7800925 0.1054526
PhraseEnd 2135.856
