electric cars need big fuel cells
electric cars need big fuel cells
Basic
Radial

0.6 0.6
432 388.8
Moved 1487.628 191 436.284 -0.3912037 0.1241871
Moved 1487.659 191 449.6985 -0.3912037 0.1586894
Moved 1487.69 191 460.186 -0.3912037 0.1856636
Moved 1487.721 191 469.1543 -0.3912037 0.2087301
Moved 1487.751 191 476.4362 -0.3912037 0.2274594
Moved 1487.782 191 482.6838 -0.3912037 0.2435283
Moved 1487.813 191 486.6735 -0.3912037 0.2537898
Moved 1487.843 191 490.0849 -0.3912037 0.262564
Moved 1487.874 191 491.4643 -0.3912037 0.2661118
Moved 1487.905 191 493 -0.3912037 0.2700616
Ended 1487.936 191 494 -0.3912037 0.2726337
Accept 1487.997 2 need
Began 1488.427 275 274 -0.1967592 -0.2932099
Stationary 1488.458 275 274 -0.1967592 -0.2932099
Stationary 1488.489 275 274 -0.1967592 -0.2932099
Moved 1488.519 291.0426 274 -0.1596237 -0.2932099
Moved 1488.55 310.7611 301.4372 -0.113979 -0.222641
Moved 1488.581 336.3408 332.209 -0.05476663 -0.1434955
Moved 1488.612 351.1599 351.3533 -0.02046317 -0.09425607
Moved 1488.642 367.658 374.4869 0.01772672 -0.03475589
Moved 1488.673 378.5571 391.725 0.04295627 0.00958062
Moved 1488.704 389.6146 405.6146 0.0685522 0.04530486
Moved 1488.734 398.7038 422.5063 0.08959203 0.0887507
Moved 1488.765 405 438 0.1041667 0.1286007
Moved 1488.796 411.1202 450.3607 0.1183339 0.1603927
Moved 1488.827 416.6382 460.2764 0.131107 0.185896
Moved 1488.857 419.5824 469.1647 0.1379222 0.2087569
Moved 1488.888 421 473.0282 0.1412037 0.2186938
Moved 1488.919 422.7743 478.5486 0.1453109 0.2328924
Moved 1488.95 423.5222 483.0443 0.1470421 0.2444555
Moved 1488.98 424 492 0.1481481 0.2674896
Moved 1489.011 424 494.3574 0.1481481 0.2735528
Moved 1489.042 424 497.4253 0.1481481 0.2814436
Moved 1489.073 424 500.1702 0.1481481 0.2885036
Stationary 1489.103 424 500.1702 0.1481481 0.2885036
Moved 1489.134 424 501 0.1481481 0.2906378
Moved 1489.165 409.5224 501 0.1146352 0.2906378
Moved 1489.195 393.7454 482.6212 0.07811428 0.2433671
Moved 1489.226 376.5 465.5 0.03819446 0.1993312
Moved 1489.257 362.781 450.7372 0.0064376 0.1613611
Moved 1489.288 350.8418 438.6313 -0.02119949 0.1302246
Moved 1489.318 340.3589 425.8118 -0.04546553 0.0972526
Moved 1489.349 334.0802 418.1204 -0.05999948 0.07746998
Moved 1489.38 328.3101 407.9304 -0.07335618 0.05126121
Moved 1489.411 324.5621 402.1241 -0.08203223 0.03632746
Moved 1489.441 323 396.7939 -0.08564815 0.02261809
Moved 1489.472 321 392.3519 -0.09027779 0.011193
Moved 1489.503 319.5976 388.5976 -0.09352411 0.001536985
Moved 1489.533 320 384.4697 -0.09259259 -0.009080078
Moved 1489.564 320 383.5 -0.09259259 -0.01157415
Moved 1489.595 320 381.6727 -0.09259259 -0.01627408
Ended 1489.626 320 382 -0.09259259 -0.01543218
Candidates 1489.748 13 cis bug cuts cod bid acid bus bud did chief chris acids cos
Began 1491.316 359 358 -0.002314796 -0.07716057
Stationary 1491.346 359 358 -0.002314796 -0.07716057
Stationary 1491.377 359 358 -0.002314796 -0.07716057
Stationary 1491.408 359 358 -0.002314796 -0.07716057
Stationary 1491.438 359 358 -0.002314796 -0.07716057
Stationary 1491.469 359 358 -0.002314796 -0.07716057
Stationary 1491.5 359 358 -0.002314796 -0.07716057
Stationary 1491.531 359 358 -0.002314796 -0.07716057
Moved 1491.561 350 351 -0.02314816 -0.09516476
Moved 1491.592 344.5959 349.298 -0.03565769 -0.09954225
Moved 1491.623 341.5264 349 -0.04276296 -0.1003086
Moved 1491.654 336.4071 349 -0.0546131 -0.1003086
Moved 1491.684 325.9576 349 -0.07880195 -0.1003086
Moved 1491.715 312.2168 349 -0.1106093 -0.1003086
Moved 1491.746 297.3543 359.3229 -0.1450132 -0.07375811
Moved 1491.776 283.7003 364.0999 -0.1766196 -0.06147164
Moved 1491.807 270.7422 368.3145 -0.2066152 -0.05063162
Moved 1491.838 260.831 371.0563 -0.2295579 -0.04357946
Moved 1491.869 253.5 372.5 -0.2465278 -0.03986633
Moved 1491.899 250.7778 374.2222 -0.252829 -0.03543681
Moved 1491.93 248.0213 374.9786 -0.2592098 -0.03349124
Ended 1491.961 248 375 -0.2592593 -0.03343629
Cancel 1492.022
Began 1492.422 383 215 0.05324075 -0.4449589
Stationary 1492.453 383 215 0.05324075 -0.4449589
Stationary 1492.483 383 215 0.05324075 -0.4449589
Moved 1492.514 383 229.7004 0.05324075 -0.4071491
Moved 1492.545 391.6169 256.6169 0.07318725 -0.3379194
Moved 1492.575 411.0108 301.0216 0.1180806 -0.2237099
Moved 1492.606 415.1215 311.9905 0.127596 -0.1954976
Moved 1492.637 426.1772 336.3544 0.153188 -0.1328332
Moved 1492.668 436.3735 356.747 0.1767906 -0.08038328
Moved 1492.698 444.6577 375.3155 0.195967 -0.03262484
Moved 1492.729 450.9434 390.8868 0.2105171 0.007424924
Moved 1492.76 455.2752 401.1008 0.2205444 0.03369531
Moved 1492.791 462.2381 414.4761 0.2366622 0.06809697
Moved 1492.821 469.6167 431.1057 0.2537425 0.1108686
Moved 1492.852 474.2072 445.0181 0.2643686 0.1466514
Moved 1492.883 476.8376 453.3503 0.2704572 0.168082
Moved 1492.913 479.719 461.1571 0.2771273 0.1881612
Moved 1492.944 482 466.9554 0.2824074 0.2030744
Moved 1492.973 484.2355 472.471 0.2875822 0.2172608
Moved 1493.005 485.6496 478.9489 0.2908557 0.233922
Moved 1493.036 487 485.2142 0.2939814 0.2500365
Moved 1493.067 488 488.5 0.2962963 0.2584876
Moved 1493.098 488 489.5 0.2962963 0.2610596
Moved 1493.128 488 491.3503 0.2962963 0.2658186
Stationary 1493.159 488 491 0.2962963 0.2649176
Moved 1493.19 472.7208 491 0.2609279 0.2649176
Moved 1493.221 455.3314 479.1657 0.2206745 0.2344797
Moved 1493.251 431.7481 462.8201 0.1660835 0.1924383
Moved 1493.282 411.2997 448.6498 0.1187492 0.1559923
Moved 1493.313 395.2583 436.7928 0.08161654 0.1254959
Moved 1493.344 381.4666 425.3889 0.0496912 0.09616475
Moved 1493.374 369.3163 413.9872 0.02156566 0.06683954
Moved 1493.405 360.3301 404.7476 0.0007640322 0.04307488
Moved 1493.436 353.6609 397.6609 -0.01467372 0.02484804
Moved 1493.466 348.7803 392.7803 -0.02597143 0.01229506
