I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Moved 2680.441 270.8741 304.521 -0.2063099 -0.2147094
Moved 2680.472 250.3372 307.3804 -0.253849 -0.207355
Moved 2680.503 225.2964 308 -0.3118138 -0.2057614
Moved 2680.533 197.1826 300.637 -0.3768921 -0.2246992
Moved 2680.564 177.1092 293.6027 -0.4233583 -0.2427915
Moved 2680.595 160.2124 285.8849 -0.4624713 -0.2626417
Moved 2680.625 148.5451 278.7271 -0.4894789 -0.2810519
Moved 2680.656 134.803 269.202 -0.5212894 -0.3055505
Moved 2680.687 132.3193 267.1597 -0.5270386 -0.3108034
Moved 2680.718 128 263 -0.5370371 -0.3215021
Moved 2680.749 125.7863 260.7863 -0.5421613 -0.3271957
Moved 2680.779 124 258.9161 -0.5462962 -0.3320059
Moved 2680.81 122.5 259 -0.5497685 -0.3317901
Moved 2680.841 121.6057 257.6057 -0.5518387 -0.3353763
Moved 2680.871 122 258 -0.550926 -0.3343622
Moved 2680.902 150.9252 281.4377 -0.4839694 -0.2740801
Moved 2680.933 179.0912 304.8729 -0.4187704 -0.2138043
Moved 2680.964 206.9934 327.3692 -0.354182 -0.1559435
Moved 2680.994 231.5 348.5 -0.2974537 -0.1015947
Moved 2681.025 254.1743 366.1162 -0.2449669 -0.05628546
Moved 2681.056 270.6114 381.6669 -0.2069182 -0.01628899
Moved 2681.086 285.195 394.195 -0.1731596 0.01593362
Moved 2681.117 297.6602 404.9951 -0.1443052 0.04371164
Moved 2681.148 306.6353 412.0902 -0.1235293 0.06196037
Moved 2681.179 313.2369 416.158 -0.1082478 0.07242265
Moved 2681.209 318.8753 419.9376 -0.09519612 0.08214404
Moved 2681.24 323.8084 422.8084 -0.08377682 0.08952776
Moved 2681.271 327.5 425.5 -0.07523149 0.09645053
Ended 2681.302 329 426 -0.07175927 0.09773654
Candidates 2681.394 13 are art at say eat rate gary east harry set dare see war
Began 2681.947 210 312 -0.3472222 -0.1954732
Stationary 2681.978 210 312 -0.3472222 -0.1954732
Stationary 2682.008 210 312 -0.3472222 -0.1954732
Stationary 2682.039 210 312 -0.3472222 -0.1954732
Moved 2682.07 222.7653 324.574 -0.3176729 -0.1631328
Moved 2682.101 236.3051 340.3661 -0.2863307 -0.1225152
Moved 2682.131 250.6964 355.6964 -0.2530177 -0.08308543
Moved 2682.162 262.9829 366.6524 -0.2245766 -0.05490636
Moved 2682.193 276.2947 379.2947 -0.1937623 -0.02239031
Moved 2682.223 283.3777 386.5665 -0.1773665 -0.003686913
Moved 2682.254 286.5 390 -0.1701389 0.005143954
Moved 2682.285 288 390.6286 -0.1666667 0.006760687
Moved 2682.316 288 391 -0.1666667 0.007715971
Moved 2682.346 289.5 391 -0.1631944 0.007715971
Stationary 2682.377 289.5 391 -0.1631944 0.007715971
Moved 2682.408 289 391 -0.1643519 0.007715971
Stationary 2682.438 289 391 -0.1643519 0.007715971
Moved 2682.469 279.4567 392 -0.1864429 0.01028803
Moved 2682.5 269.9153 393.017 -0.2085295 0.01290364
Moved 2682.531 256.4532 394.8867 -0.2396915 0.01771268
Moved 2682.562 242.1883 397.7623 -0.2727122 0.02510883
Moved 2682.592 228.5 401.5 -0.3043981 0.03472222
Moved 2682.623 216.1685 403.1663 -0.3329432 0.03900795
Moved 2682.654 203.815 404 -0.3615392 0.04115226
Moved 2682.684 194.2963 405 -0.3835734 0.04372424
Moved 2682.715 187.3898 406.3051 -0.3995605 0.04708082
