I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Moved 3533.17 258 435.4954 -0.2361111 0.1221588
Moved 3533.2 257 424.4973 -0.2384259 0.09387157
Moved 3533.231 257 416.6276 -0.2384259 0.07363052
Moved 3533.262 257 412.2278 -0.2384259 0.06231438
Moved 3533.293 257 407.7234 -0.2384259 0.05072899
Moved 3533.323 257 403.9692 -0.2384259 0.04107299
Moved 3533.354 257 400.4316 -0.2384259 0.03197419
Moved 3533.385 267.6542 396.5638 -0.2137634 0.02202627
Moved 3533.416 277.8701 392.0325 -0.1901156 0.0103715
Moved 3533.446 290.8853 386.2787 -0.1599876 -0.004427325
Moved 3533.477 302.9312 382.5172 -0.1321037 -0.0141019
Moved 3533.508 319.083 375.3439 -0.0947152 -0.03255193
Moved 3533.538 336.4251 369.1035 -0.05457152 -0.04860215
Moved 3533.569 353.1991 361.9005 -0.01574278 -0.06712855
Moved 3533.6 373.0811 352.3446 0.03028025 -0.09170634
Moved 3533.63 397.9808 340.1322 0.08791864 -0.1231168
Moved 3533.661 422.785 328.1075 0.1453357 -0.1540446
Moved 3533.692 445.093 320.5901 0.1969747 -0.1733794
Moved 3533.722 462.3934 310.7377 0.2370217 -0.1987199
Moved 3533.753 475.3615 299.6385 0.2670405 -0.2272673
Moved 3533.784 486.3716 291.7213 0.2925268 -0.2476304
Moved 3533.815 494.5568 285.4432 0.311474 -0.2637777
Moved 3533.845 500.7541 280.4973 0.3258197 -0.2764989
Moved 3533.876 506.0129 275.9871 0.3379928 -0.288099
Moved 3533.907 509.5172 273.2414 0.3461047 -0.2951611
Moved 3533.938 512.5 270.5 0.3530093 -0.302212
Moved 3533.968 515.9141 268.043 0.3609122 -0.3085314
Moved 3533.999 518 265.2912 0.3657407 -0.315609
Moved 3534.03 521.9067 262.5466 0.374784 -0.3226682
Moved 3534.06 522.9028 261.0972 0.3770899 -0.3263962
Moved 3534.091 524.2536 261 0.3802166 -0.3266461
Moved 3534.122 525.4024 261 0.3828759 -0.3266461
Moved 3534.153 525 270.2449 0.3819444 -0.3028682
Moved 3534.183 509.657 299.0656 0.3464282 -0.2287407
Moved 3534.214 495.0301 330.9398 0.3125697 -0.1467599
Moved 3534.245 484.3039 359.8099 0.2877404 -0.0725053
Moved 3534.275 466.5701 394.9548 0.24669 0.01788787
Moved 3534.306 450.968 427.08 0.2105741 0.1005143
Moved 3534.337 440.6571 450.8 0.1867063 0.1615225
Moved 3534.367 430.4055 474.9186 0.1629757 0.2235561
Moved 3534.398 422.5 493.5 0.144676 0.2713476
Moved 3534.429 416.9723 510.0832 0.1318802 0.3139999
Moved 3534.46 413.2376 526.3366 0.1232353 0.3558039
Moved 3534.49 409 539 0.113426 0.3883744
Moved 3534.521 407.0477 549.8091 0.1089067 0.4161757
Moved 3534.552 405.2995 558.4011 0.1048599 0.4382742
Moved 3534.583 403.5353 563.9294 0.1007762 0.4524932
Moved 3534.613 402.7902 566.2098 0.0990514 0.4583584
Moved 3534.644 403 568 0.09953707 0.4629629
Ended 3534.675 401.9823 568 0.0971812 0.4629629
Accept 3534.736 0 I
