I want to hold your hand
I want to hold your hand
FixStart
Radial

0.6 0.6
432 388.8
Stationary 557.5066 124 364 -0.5462962 -0.06172839
Moved 557.5373 135.2649 364 -0.52022 -0.06172839
Moved 557.568 164.0834 372.5513 -0.4535108 -0.03973446
Moved 557.5986 249.2238 395.3098 -0.2564265 0.01880077
Moved 557.6294 334.0912 412.7746 -0.05997419 0.06372055
Moved 557.6602 430.0501 425.3 0.1621529 0.09593613
Moved 557.6909 529.3456 443.7225 0.3920037 0.1433192
Moved 557.7216 605.5188 456.7243 0.5683305 0.17676
Moved 557.7523 632.9033 458 0.6317205 0.180041
Ended 557.783 647.0455 458 0.6644573 0.180041
Accept 557.8444 0 your
Began 558.2438 473 450 0.2615741 0.1594649
Stationary 558.2745 473 450 0.2615741 0.1594649
Stationary 558.3052 473 450 0.2615741 0.1594649
Moved 558.3358 462.9424 450 0.2382926 0.1594649
Moved 558.3666 455.2211 450 0.2204192 0.1594649
Moved 558.3973 447.7411 450 0.2031044 0.1594649
Moved 558.428 439.9967 443 0.1851775 0.1414608
Moved 558.4587 434.9599 442 0.1735183 0.1388888
Moved 558.4895 432.5 442 0.167824 0.1388888
Moved 558.5202 430.8694 442 0.1640495 0.1388888
Stationary 558.551 431 442 0.1643519 0.1388888
Stationary 558.5817 431 442 0.1643519 0.1388888
Stationary 558.6123 431 442 0.1643519 0.1388888
Moved 558.6431 458.3913 442 0.2277577 0.1388888
Moved 558.6738 465.8916 442 0.2451193 0.1388888
Moved 558.7045 487.1565 440.1406 0.2943437 0.1341063
Moved 558.7352 502.6542 439 0.330218 0.1311728
Moved 558.7659 516.3868 439 0.3620064 0.1311728
Moved 558.7966 526.2985 439 0.3849502 0.1311728
Moved 558.8273 534.9214 439 0.4049106 0.1311728
Moved 558.8581 540.7 439 0.4182869 0.1311728
Moved 558.8888 545 439 0.4282407 0.1311728
Moved 558.9195 547.2554 439 0.4334615 0.1311728
Moved 558.9502 549.5 439 0.4386574 0.1311728
Moved 558.981 550.2776 439 0.4404574 0.1311728
Moved 559.0117 551.1418 439 0.4424578 0.1311728
Stationary 559.0424 551 439 0.4421297 0.1311728
Moved 559.0731 525.357 437.7398 0.3827708 0.1279315
Moved 559.1038 456.2324 429.4051 0.2227602 0.1064945
Moved 559.1345 413.4227 428 0.1236635 0.1028806
Moved 559.1653 396.2076 428 0.08381386 0.1028806
Moved 559.196 360.8892 428 0.002058347 0.1028806
Moved 559.2267 341.1101 428 -0.04372666 0.1028806
Moved 559.2574 317.3663 428 -0.0986892 0.1028806
Moved 559.2881 294.9276 428 -0.1506305 0.1028806
Moved 559.3188 278.6542 436 -0.1883004 0.1234567
Moved 559.3495 267.6452 438.0887 -0.2137843 0.1288288
Moved 559.3802 261.0728 439 -0.2289983 0.1311728
Moved 559.411 258 439.8279 -0.2361111 0.1333023
Moved 559.4417 256.727 440 -0.2390578 0.1337448
Moved 559.4724 255.5 441.5 -0.2418981 0.1376028
Moved 559.5031 278.2146 441 -0.1893181 0.1363167
Moved 559.5339 325.7254 421.103 -0.07933939 0.08514133
Moved 559.5646 363.7157 402.8985 0.008601149 0.0383191
Moved 559.5953 405.7026 385.7189 0.1057932 -0.00586702
Moved 559.626 437.3921 373.9368 0.1791483 -0.03617071
Moved 559.6567 462.9967 363.5016 0.2384182 -0.06301016
Moved 559.6874 488.6339 353.183 0.2977636 -0.08954978
Moved 559.7181 509.3709 344.8763 0.3457659 -0.1109148
Moved 559.7489 525.2017 340.5597 0.3824113 -0.1220173
Moved 559.7796 536.8958 335.0208 0.409481 -0.1362633
Moved 559.8103 552.2779 328.2888 0.4450877 -0.1535783
Moved 559.8411 560.4391 324.2805 0.4639793 -0.1638877
Moved 559.8717 564.5824 322 0.4735703 -0.1697531
Moved 559.9025 568.1913 319.9044 0.4819243 -0.1751432
Moved 559.9332 569.9611 319.0389 0.4860211 -0.1773691
Moved 559.9639 571.3734 319 0.4892904 -0.1774692
Moved 559.9946 572 318 0.4907407 -0.1800412
Stationary 560.0253 572 318 0.4907407 -0.1800412
Stationary 560.056 572 318 0.4907407 -0.1800412
Moved 560.0868 572 327.9175 0.4907407 -0.1545333
Moved 560.1174 554.831 339.169 0.4509977 -0.1255941
Moved 560.1481 535.3976 355.2306 0.4060131 -0.08428346
Moved 560.1789 508.9075 380.325 0.3446933 -0.01974019
Moved 560.2096 488.2341 401.7659 0.2968382 0.03540616
Moved 560.2402 471.3324 415.334 0.2577138 0.07030357
Moved 560.2711 454.3006 428.6994 0.2182884 0.1046795
Moved 560.3018 437.58 442.0167 0.1795832 0.1389318
Moved 560.3325 425.2088 451.8329 0.1509462 0.1641793
Moved 560.3632 407.894 463.4636 0.1108657 0.1940936
Moved 560.3939 394.5836 473.0498 0.0800547 0.2187494
Moved 560.4246 384.3338 481.1108 0.05632827 0.2394823
Moved 560.4552 376.828 486.1146 0.03895382 0.2523524
Moved 560.486 369.2307 491.8462 0.02136737 0.267094
Moved 560.5168 363.4055 495.7972 0.007883012 0.2772562
Moved 560.5475 359 500 -0.002314796 0.2880658
Ended 560.5782 358 503 -0.004629641 0.2957818
Candidates 560.701 13 hands hand name jane kansas hang came band shame changed chance changes gang
