this is a very good idea
this is a very good idea
FixStart
Radial

0.6 0.6
432 388.8
Moved 367.3624 308.7145 731 -0.1187164 0.8822014
Moved 367.3931 315.8928 732 -0.1020999 0.8847734
Moved 367.4238 328.2716 732 -0.07344534 0.8847734
Moved 367.4546 335.5654 732 -0.05656163 0.8847734
Moved 367.4853 339.0774 732 -0.04843195 0.8847734
Moved 367.516 346.1292 732 -0.03210833 0.8847734
Moved 367.5467 351.8667 732 -0.01882717 0.8847734
Moved 367.5774 355.9731 732 -0.009321472 0.8847734
Moved 367.6082 359.7063 726.0281 -0.0006799399 0.8694136
Ended 367.6389 360 725 0 0.8667694
Candidates 367.7925 13 very cry vary vast cat car ct cast ccr career carry cy bay
Began 368.3455 328 574 -0.07407407 0.478395
Stationary 368.3762 328 574 -0.07407407 0.478395
Stationary 368.4069 328 574 -0.07407407 0.478395
Moved 368.4377 345.2531 574 -0.03413622 0.478395
Moved 368.4683 357.185 574 -0.006516278 0.478395
Moved 368.4991 368.8498 574 0.02048562 0.478395
Moved 368.5298 379.3474 574 0.04478564 0.478395
Moved 368.5605 388.3551 574 0.06563684 0.478395
Moved 368.5913 402.1402 574 0.09754678 0.478395
Moved 368.622 432.9279 574 0.1688147 0.478395
Ended 368.6527 480.3015 591.3212 0.2784757 0.5229453
Accept 368.7448 0 very
Began 369.4207 377 554 0.03935188 0.4269547
Stationary 369.4514 377 554 0.03935188 0.4269547
Stationary 369.4822 377 554 0.03935188 0.4269547
Moved 369.5129 360.6122 554 0.0014171 0.4269547
Moved 369.5436 348.8218 554 -0.02587537 0.4269547
Moved 369.5743 333.442 554 -0.06147682 0.4269547
Moved 369.605 320.4658 554 -0.09151439 0.4269547
Moved 369.6358 308.9611 554 -0.1181456 0.4269547
Moved 369.6665 300.5816 554 -0.1375426 0.4269547
Moved 369.6972 293.6378 554 -0.1536162 0.4269547
Moved 369.728 288.8969 554 -0.1645904 0.4269547
Moved 369.7587 285.9446 554 -0.1714245 0.4269547
Moved 369.7894 283.05 554 -0.1781249 0.4269547
Moved 369.8201 281.6173 554 -0.1814414 0.4269547
Moved 369.8508 279.6521 554 -0.1859905 0.4269547
Stationary 369.8816 279.6521 554 -0.1859905 0.4269547
Moved 369.9123 278.8379 554 -0.1878753 0.4269547
Moved 369.943 277.998 554 -0.1898195 0.4269547
Stationary 369.9738 277.998 554 -0.1898195 0.4269547
Moved 370.0045 275.7825 554 -0.194948 0.4269547
Moved 370.0352 272.7116 554 -0.2020565 0.4269547
Moved 370.0659 270.8452 554 -0.2063769 0.4269547
Moved 370.0966 269.5 554 -0.2094908 0.4269547
Moved 370.1273 269 569.8859 -0.2106481 0.4678133
Moved 370.1581 278.8391 574.2167 -0.1878726 0.4789524
Moved 370.1888 286.1077 586.3847 -0.171047 0.5102486
Moved 370.2195 297.2814 600.1017 -0.1451819 0.5455291
Moved 370.2502 316.5879 617.1909 -0.100491 0.5894828
Moved 370.2809 338.5461 635.9778 -0.0496618 0.637803
Moved 370.3117 362.514 656.3998 0.005819499 0.6903285
Moved 370.3424 386.6681 673.7629 0.06173174 0.7349869
Moved 370.3731 406.006 683.503 0.1064953 0.7600384
Moved 370.4038 425.5217 689.7043 0.1516707 0.7759885
Moved 370.4345 439.6798 691 0.184444 0.7793208
Moved 370.4653 454.8548 691 0.2195712 0.7793208
Moved 370.496 468.0476 691 0.2501102 0.7793208
Moved 370.5267 480.6864 679.3137 0.2793666 0.7492634
Moved 370.5574 494.1744 669.2605 0.3105889 0.7234064
Moved 370.5881 508.8271 657.782 0.3445071 0.6938836
Moved 370.6189 519.5625 646.4375 0.3693576 0.6647055
Moved 370.6496 528.0677 640.3108 0.3890456 0.6489475
Moved 370.6803 535.1138 634.8862 0.405356 0.6349954
