the union will go on strike
the union will go on strike
FixStart
Radial

0.6 0.6
432 388.8
Moved 2330.66 365.1196 339 0.01185089 -0.1260288
Moved 2330.691 373.1645 339 0.03047327 -0.1260288
Moved 2330.721 382.2516 339 0.05150835 -0.1260288
Moved 2330.752 389.8567 339 0.06911267 -0.1260288
Moved 2330.783 394.3089 339 0.07941873 -0.1260288
Ended 2330.814 396 339 0.08333336 -0.1260288
Accept 2330.875 0 will
Began 2331.336 375 276 0.03472219 -0.288066
Stationary 2331.367 375 276 0.03472219 -0.288066
Stationary 2331.397 375 276 0.03472219 -0.288066
Stationary 2331.428 375 276 0.03472219 -0.288066
Stationary 2331.459 375 276 0.03472219 -0.288066
Stationary 2331.49 375 276 0.03472219 -0.288066
Stationary 2331.521 375 276 0.03472219 -0.288066
Moved 2331.551 362.5 276 0.005787015 -0.288066
Moved 2331.582 356.8446 276 -0.007304102 -0.288066
Moved 2331.613 351.1023 276 -0.02059663 -0.288066
Moved 2331.643 348.1802 276 -0.02736057 -0.288066
Moved 2331.674 346.7469 276 -0.03067851 -0.288066
Moved 2331.705 343.7742 276 -0.03755967 -0.288066
Moved 2331.736 341.9092 276 -0.04187688 -0.288066
Stationary 2331.766 341.9092 276 -0.04187688 -0.288066
Moved 2331.797 340.7506 276 -0.04455884 -0.288066
Stationary 2331.828 340.7506 276 -0.04455884 -0.288066
Stationary 2331.858 341 276 -0.04398147 -0.288066
Moved 2331.889 355.549 293.7303 -0.01030336 -0.2424631
Moved 2331.92 398.0811 333.4511 0.0881508 -0.1403007
Moved 2331.951 427.5 360 0.15625 -0.07201654
Moved 2331.981 452.9223 381.557 0.215098 -0.01657156
Moved 2332.012 471.1419 394.4637 0.2572728 0.01662462
Moved 2332.043 487.819 406.0552 0.2958773 0.04643825
Moved 2332.073 498.536 413.268 0.3206852 0.06498969
Moved 2332.104 506.9999 417.4999 0.3402774 0.07587421
Moved 2332.135 516.1918 423.0639 0.361555 0.09018482
Moved 2332.166 522.8049 426.9349 0.3768631 0.1001412
Moved 2332.196 528.6201 430 0.3903242 0.1080246
Moved 2332.227 531.2568 432.2568 0.3964277 0.1138291
Moved 2332.258 534 434.2166 0.4027778 0.1188698
Moved 2332.289 537.0829 435.0829 0.409914 0.1210979
Moved 2332.319 538.3724 435 0.412899 0.1208847
Ended 2332.35 538.3724 435 0.412899 0.1208847
Candidates 2332.411 13 i go do you ip ii iii to ship dip up hip gi
Began 2333.118 321 291 -0.09027779 -0.2494857
Stationary 2333.149 321 291 -0.09027779 -0.2494857
Stationary 2333.18 321 291 -0.09027779 -0.2494857
Moved 2333.21 335.1956 314.2739 -0.05741755 -0.1896249
Moved 2333.241 353.6642 341.4628 -0.01466612 -0.1196944
Moved 2333.272 368.1599 360.7398 0.01888861 -0.07011367
