if you were not so stupid
if you were not so stupid
FixStart
Radial

0.6 0.6
432 388.8
Moved 944.2925 444.297 504.5941 0.195132 0.2998817
Moved 944.3233 440.5 498 0.1863426 0.2829217
Moved 944.354 437.0139 493.0139 0.1782729 0.2700975
Moved 944.3846 426.8706 477.3383 0.1547932 0.2297794
Moved 944.4154 412.3922 457.5882 0.1212782 0.1789819
Moved 944.4462 397.8859 442.8859 0.08769889 0.1411675
Moved 944.4768 388.4552 432.607 0.06586859 0.1147299
Moved 944.5076 379.8457 423.8457 0.04593908 0.0921957
Moved 944.5383 372.8157 415.8157 0.02966603 0.07154244
Moved 944.569 368.9026 410.8052 0.02060791 0.0586554
Moved 944.5997 363.9981 407.9982 0.009254913 0.05143558
Moved 944.6305 361.1277 405.1276 0.002610286 0.04405253
Moved 944.6612 358.2563 403.2563 -0.004036327 0.0392395
Moved 944.6919 355.7487 402 -0.009841074 0.03600815
Moved 944.7227 350.7571 401 -0.02139558 0.03343609
Moved 944.7534 343.0249 401 -0.03929412 0.03343609
Moved 944.7841 332.7431 401 -0.06309474 0.03343609
Moved 944.8148 318.9768 401 -0.09496103 0.03343609
Moved 944.8455 305.6009 411.2798 -0.1259239 0.05987602
Moved 944.8762 294.3417 415.1646 -0.1519868 0.06986763
Ended 944.9069 287.5 416.5 -0.1678241 0.07330243
Candidates 945.0298 13 stupid steps stood stops serious strong drops sox africa around epic wood stopping
Began 945.675 229 431 -0.3032407 0.1105966
Moved 945.7057 256.7426 431 -0.2390219 0.1105966
Moved 945.7365 377.6764 431 0.04091749 0.1105966
Ended 945.7672 471 445 0.2569444 0.1466049
Accept 945.8594 0 stupid
Began 946.2894 166 427 -0.4490741 0.1003086
Moved 946.3201 217.5868 430.3541 -0.3296602 0.1089353
Moved 946.3509 340.0409 442.3574 -0.04620165 0.139808
Moved 946.3816 441.7227 450 0.1891729 0.1594649
Moved 946.4123 517.2861 439.218 0.3640881 0.1317335
Moved 946.4431 560.0563 431.0591 0.4630933 0.1107488
Ended 946.4738 594.1639 427.653 0.5420461 0.1019881
PhraseEnd 946.5352
