where can my little dog be
where can my little dog be
Basic
Radial

0.6 0.6
432 388.8
Moved 1605.574 481 259.5449 0.2800926 -0.3303887
Moved 1605.604 466.3283 295.9158 0.2461302 -0.2368421
Moved 1605.635 455.4604 335.7537 0.2209732 -0.1343785
Moved 1605.666 436.9095 377.2068 0.1780313 -0.02776032
Moved 1605.697 425.3781 408.7397 0.1513382 0.05334293
Moved 1605.727 418 432 0.1342593 0.1131687
Moved 1605.758 412.4135 447.4662 0.1213275 0.1529481
Moved 1605.789 405.6771 459.6458 0.1057341 0.184274
Moved 1605.819 398.9366 473.1057 0.09013096 0.2188932
Moved 1605.85 392.3936 491.7484 0.07498513 0.2668424
Moved 1605.881 387.2 504.6 0.06296296 0.299897
Moved 1605.911 385 510.2702 0.05787035 0.3144809
Moved 1605.942 383 514.1393 0.05324075 0.3244323
Moved 1605.973 381.8086 515.1913 0.05048295 0.3271382
Moved 1606.004 381 517.5631 0.04861106 0.3332383
Moved 1606.034 379.5578 518 0.0452727 0.3343621
Moved 1606.065 380 519.5 0.04629632 0.3382201
Moved 1606.096 380 520.1718 0.04629632 0.339948
Stationary 1606.126 380 520.1718 0.04629632 0.339948
Ended 1606.157 380 520 0.04629632 0.3395061
Candidates 1606.249 13 my not mt ny buy mi mit nyt mr nmt by but might
Began 1606.649 438 461 0.1805556 0.1877571
Stationary 1606.679 438 461 0.1805556 0.1877571
Moved 1606.71 446.1244 461 0.199362 0.1877571
Moved 1606.741 465.7836 461 0.2448694 0.1877571
Moved 1606.771 499.2492 455.7508 0.3223362 0.1742561
Moved 1606.802 509.3232 451.6219 0.3456555 0.1636366
Moved 1606.833 520.1698 448.8868 0.3707635 0.1566019
Moved 1606.864 528.3632 448 0.3897295 0.1543209
Moved 1606.894 533.8668 447 0.4024695 0.1517489
Moved 1606.925 536.3043 445.6957 0.4081118 0.1483942
Moved 1606.956 539.174 444.826 0.4147547 0.1461572
Ended 1606.986 540 445 0.4166667 0.1466049
Accept 1607.048 0 my
Began 1607.294 588 395 0.5277778 0.01800408
Stationary 1607.324 588 395 0.5277778 0.01800408
Stationary 1607.355 588 395 0.5277778 0.01800408
Stationary 1607.386 588 395 0.5277778 0.01800408
Stationary 1607.416 588 395 0.5277778 0.01800408
Stationary 1607.447 588 395 0.5277778 0.01800408
Stationary 1607.478 588 395 0.5277778 0.01800408
Stationary 1607.509 588 395 0.5277778 0.01800408
Stationary 1607.539 588 395 0.5277778 0.01800408
Stationary 1607.57 588 395 0.5277778 0.01800408
Stationary 1607.601 588 395 0.5277778 0.01800408
Stationary 1607.631 588 395 0.5277778 0.01800408
Stationary 1607.662 588 395 0.5277778 0.01800408
Moved 1607.693 549.4019 418.2656 0.4384304 0.07784349
Moved 1607.724 527.2482 434.8015 0.3871486 0.120374
Moved 1607.754 504.0207 454.1251 0.3333812 0.1700749
Moved 1607.785 488.3869 466.8905 0.2971919 0.2029076
Moved 1607.816 477.2576 478.3232 0.2714296 0.2323126
Moved 1607.846 469.6366 488.4845 0.2537885 0.2584477
Moved 1607.877 463.0002 499.9997 0.2384264 0.288065
Moved 1607.908 458.1187 508.6437 0.2271267 0.3102975
Moved 1607.938 455.5 514 0.2210648 0.324074
Moved 1607.969 451.7427 521.5146 0.2123674 0.3434016
Moved 1608 449.8702 530.5192 0.2080329 0.3665617
Moved 1608.031 449 538.0017 0.2060185 0.3858068
Moved 1608.061 448.4267 544.7199 0.2046914 0.4030861
Moved 1608.092 448 549.894 0.2037037 0.416394
Moved 1608.123 448 553.3194 0.2037037 0.4252041
Moved 1608.153 446.8018 555.1981 0.2009302 0.4300362
Moved 1608.184 440.6568 557.1716 0.1867056 0.4351119
Moved 1608.215 437.1708 557 0.1786362 0.4346707
Moved 1608.246 415.1814 557 0.1277347 0.4346707
Moved 1608.276 387.1347 549.0898 0.06281177 0.4143255
Moved 1608.307 353.5044 540.4103 -0.01503607 0.3920017
Moved 1608.338 330.8032 534.5152 -0.06758526 0.3768394
Moved 1608.368 315.5405 529.3851 -0.1029155 0.3636448
Moved 1608.399 306.3685 525.8421 -0.124147 0.3545321
Moved 1608.43 301.9402 525 -0.1343978 0.3523662
Moved 1608.461 299.5 523.5 -0.1400463 0.3485081
Moved 1608.491 298.8338 524 -0.1415884 0.3497942
Stationary 1608.522 299 524 -0.1412037 0.3497942
Stationary 1608.553 299 524 -0.1412037 0.3497942
Moved 1608.583 299 521.9014 -0.1412037 0.3443964
Moved 1608.614 322.2201 507.6459 -0.08745357 0.3077313
Moved 1608.645 360.3174 481.6264 0.0007348259 0.2408086
Moved 1608.676 401.6374 451.8659 0.09638289 0.1642642
Moved 1608.706 427.3436 435.5938 0.155888 0.1224119
Moved 1608.737 449.1978 419.1263 0.2064764 0.08005743
Moved 1608.768 471.8979 402.0681 0.2590228 0.03618331
Moved 1608.798 498.688 386.8926 0.321037 -0.002848307
Moved 1608.829 514.1283 378.9359 0.3567785 -0.02331322
Moved 1608.86 524.6777 372.2148 0.3811985 -0.04059976
Moved 1608.891 531.5216 367.4784 0.3970407 -0.05278191
Moved 1608.921 535.6335 363.3665 0.4065591 -0.06335796
Moved 1608.952 538.1825 360.8175 0.4124595 -0.06991398
Moved 1608.983 539.5 358.5 0.4155093 -0.07587456
Moved 1609.013 540 358 0.4166667 -0.07716057
Stationary 1609.044 540 358 0.4166667 -0.07716057
Moved 1609.075 508.3529 371.3235 0.3434094 -0.04289219
Moved 1609.106 484.1117 387.5107 0.2872955 -0.001258575
Moved 1609.136 443.9867 420.8782 0.1944136 0.08456324
Moved 1609.167 419.6122 444.1102 0.1379912 0.1443164
Moved 1609.198 394.3563 460.5798 0.07952839 0.1866765
Moved 1609.228 359.8708 475.6517 -0.0002991657 0.2254415
Moved 1609.259 351.4337 478.5221 -0.01982942 0.2328243
Moved 1609.29 337.0009 482.5996 -0.05323857 0.2433117
Moved 1609.321 318.6359 485 -0.09575029 0.2494856
Moved 1609.351 305.2601 486.548 -0.1267127 0.2534669
Moved 1609.382 296.8826 487 -0.1461051 0.2546296
Moved 1609.413 285.3687 489.9263 -0.1727576 0.262156
Moved 1609.443 275.5993 491 -0.195372 0.2649176
Moved 1609.474 270.3328 492 -0.207563 0.2674896
Moved 1609.505 267.7913 493 -0.2134461 0.2700616
Moved 1609.536 265.5 493 -0.21875 0.2700616
Moved 1609.566 263.5 493 -0.2233796 0.2700616
Moved 1609.597 263 493 -0.2245371 0.2700616
Stationary 1609.628 263 493 -0.2245371 0.2700616
Moved 1609.658 261.7851 493 -0.2273493 0.2700616
Ended 1609.689 262 493 -0.2268519 0.2700616
Candidates 1609.843 13 little hitler like title people poorly girls other hotels purely yorker pellet profile
Began 1610.211 366 483 0.01388888 0.2443414
Stationary 1610.242 366 483 0.01388888 0.2443414
Moved 1610.273 379.9147 483 0.04609893 0.2443414
Moved 1610.303 402.7901 483 0.0990512 0.2443414
