a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 1221.228 213.3384 416.7744 -0.3394945 0.07400819
Stationary 1221.239 213.3384 416.7744 -0.3394945 0.07400819
Moved 1221.251 210.3568 420.9647 -0.3463962 0.08478577
Moved 1221.268 208.2359 422.764 -0.3513057 0.08941364
Moved 1221.283 208 424.2028 -0.3518518 0.09311405
Moved 1221.299 222.8637 429.2313 -0.3174451 0.1060474
Moved 1221.314 266.5352 435.3073 -0.2163536 0.1216751
Moved 1221.33 324 435 -0.08333336 0.1208847
Moved 1221.346 380.0438 425.6868 0.04639775 0.09693106
Moved 1221.361 445.3965 407.3464 0.1976771 0.04975915
Moved 1221.376 478.465 399.507 0.2742246 0.02959624
Moved 1221.391 499.0523 395.2031 0.3218803 0.01852632
Moved 1221.407 516.6882 390.8279 0.3627041 0.007273473
Moved 1221.422 536.2761 389.1816 0.4080465 0.003039042
Moved 1221.437 559.1572 389 0.4610119 0.002572016
Ended 1221.453 559.1572 389 0.4610119 0.002572016
Candidates 1221.51 12 traditional historical seasonal festival rational radical personal institutional hysterical statistical approval cardinal
Began 1222.143 421 381 0.1412037 -0.01800419
Moved 1222.163 421 394.5 0.1412037 0.01671807
Moved 1222.178 421 426.1933 0.1412037 0.09823375
Moved 1222.193 431.8223 475.3477 0.1662554 0.2246596
Moved 1222.208 449.1675 540.2888 0.2064063 0.3916891
Ended 1222.224 459 574 0.2291666 0.478395
Accept 1222.267 0 traditional
Began 1222.728 208 541 -0.3518518 0.3935184
Stationary 1222.748 208 541 -0.3518518 0.3935184
Stationary 1222.765 208 541 -0.3518518 0.3935184
Stationary 1222.779 208 541 -0.3518518 0.3935184
Stationary 1222.801 208 541 -0.3518518 0.3935184
Stationary 1222.811 208 541 -0.3518518 0.3935184
Stationary 1222.823 208 541 -0.3518518 0.3935184
Stationary 1222.839 208 541 -0.3518518 0.3935184
Stationary 1222.856 208 541 -0.3518518 0.3935184
Stationary 1222.87 208 541 -0.3518518 0.3935184
Moved 1222.886 208 531.6082 -0.3518518 0.3693626
Moved 1222.902 208 521.6849 -0.3518518 0.3438396
Moved 1222.918 200.6762 505.8453 -0.368805 0.3030998
Moved 1222.932 194.5383 483.1533 -0.3830131 0.2447357
Moved 1222.948 191.5 474 -0.3900463 0.2211934
Moved 1222.964 187.3649 458.2162 -0.3996184 0.1805973
Moved 1222.979 183.0272 447.73 -0.4096593 0.1536266
Moved 1222.995 180.482 437.4459 -0.4155509 0.1271756
Moved 1223.01 177.6059 430.0148 -0.4222085 0.1080628
Moved 1223.026 177 424.7267 -0.4236111 0.09446175
Moved 1223.04 177 421.8514 -0.4236111 0.08706626
Moved 1223.058 177 419 -0.4236111 0.07973251
Stationary 1223.071 177 419 -0.4236111 0.07973251
Stationary 1223.086 177 419 -0.4236111 0.07973251
Moved 1223.103 196.5 419 -0.3784722 0.07973251
Moved 1223.117 221.2383 442.4175 -0.3212077 0.1399626
Moved 1223.133 251.2664 461.1173 -0.251698 0.1880589
Moved 1223.148 270.0519 477.3766 -0.2082132 0.229878
Moved 1223.166 293.5233 499.2572 -0.1538813 0.2861553
Moved 1223.178 300.5222 506.5222 -0.13768 0.304841
Moved 1223.195 338.1249 542.301 -0.05063677 0.3968647
