the postal service is very slow
the postal service is very show
Basic
0.6 0.6
432 388.8
Moved 3610.633 444.4019 531 0.1953748 0.3677982
Moved 3610.648 434.7032 522.6043 0.1729241 0.3462044
Moved 3610.663 421.8257 511.0867 0.143115 0.3165808
Moved 3610.679 414.9451 507.3972 0.1271878 0.3070916
Moved 3610.694 400.148 498.0987 0.09293516 0.2831755
Moved 3610.71 388.2123 490.5077 0.06530622 0.2636514
Moved 3610.727 381.3689 486.4213 0.049465 0.2531412
Moved 3610.741 371.2916 480.1823 0.02613793 0.2370942
Moved 3610.756 361.184 474.3909 0.00274082 0.2221987
Moved 3610.773 357.4685 471.3124 -0.005859882 0.2142807
Moved 3610.787 353.1525 468.1144 -0.01585076 0.2060554
Moved 3610.802 340.4728 459.6486 -0.04520178 0.1842812
Moved 3610.818 337.6702 456.3351 -0.0516893 0.1757588
Moved 3610.832 333.1975 452.1975 -0.06204282 0.1651169
Moved 3610.848 327.1392 447.8544 -0.07606674 0.1539464
Moved 3610.864 321.3714 443.5285 -0.08941814 0.1428202
Moved 3610.888 307.4533 432.2111 -0.1216358 0.1137116
Moved 3610.9 299.3681 425.4734 -0.1403517 0.09638213
Stationary 3610.911 299.3681 425.4734 -0.1403517 0.09638213
Moved 3610.926 295.5 421.5 -0.1493056 0.08616251
Moved 3610.941 286.8271 412.827 -0.1693818 0.06385548
Moved 3610.957 281.0722 407.0722 -0.1827031 0.04905398
Moved 3610.973 274.3963 402.3171 -0.1981567 0.03682372
Moved 3610.988 268.5623 397.9217 -0.2116614 0.02551867
Moved 3611.005 265.5 394.5 -0.21875 0.01671807
Moved 3611.019 258.2985 391.1194 -0.2354201 0.008023069
Moved 3611.034 251.1417 386.8851 -0.2519867 -0.002867655
Moved 3611.05 244.9492 385.1898 -0.2663214 -0.00722787
Moved 3611.066 240.255 383.7516 -0.2771875 -0.01092691
Moved 3611.081 234.2217 383 -0.2911534 -0.01286016
Moved 3611.095 229.6246 381.8749 -0.3017948 -0.01575399
Moved 3611.111 225.5 382 -0.3113426 -0.01543218
Moved 3611.127 223.6541 382 -0.3156155 -0.01543218
Moved 3611.142 221.8823 382 -0.3197169 -0.01543218
Ended 3611.156 221.8823 382 -0.3197169 -0.01543218
Candidates 3611.309 12 is us usa its id oa odds orfs ita pass irs pa
Began 3611.97 356 349 -0.009259283 -0.1003086
Stationary 3611.991 356 349 -0.009259283 -0.1003086
Stationary 3612.003 356 349 -0.009259283 -0.1003086
Stationary 3612.02 356 349 -0.009259283 -0.1003086
Moved 3612.035 356 365.4935 -0.009259283 -0.05788708
Moved 3612.051 356 381.7607 -0.009259283 -0.01604771
Moved 3612.067 356 399.0408 -0.009259283 0.02839693
Moved 3612.083 368 423.5 0.01851857 0.09130646
Ended 3612.098 368 455 0.01851857 0.172325
Accept 3612.157 0 is
Began 3612.792 345 322 -0.03472224 -0.1697531
Stationary 3612.808 345 322 -0.03472224 -0.1697531
Stationary 3612.822 345 322 -0.03472224 -0.1697531
Stationary 3612.837 345 322 -0.03472224 -0.1697531
Stationary 3612.852 345 322 -0.03472224 -0.1697531
Stationary 3612.866 345 322 -0.03472224 -0.1697531
Stationary 3612.883 345 322 -0.03472224 -0.1697531
Moved 3612.898 345 337.5557 -0.03472224 -0.1297437
Moved 3612.915 345 344.1052 -0.03472224 -0.1128983
Moved 3612.929 345 354.1194 -0.03472224 -0.08714142
Moved 3612.945 338.7744 371.8937 -0.04913335 -0.04142565
Moved 3612.96 335.313 385.0916 -0.05714586 -0.007480652
Moved 3612.977 331.6634 396.7888 -0.06559407 0.02260494
Moved 3612.992 327.3899 411.0337 -0.07548635 0.05924303
Moved 3613.006 323.0529 421.1924 -0.08552581 0.08537131
Moved 3613.024 319.5913 429.6203 -0.09353866 0.107048
Moved 3613.038 315.4857 438.0285 -0.1030422 0.128674
Moved 3613.053 311.5682 445.0397 -0.1121106 0.1467071
Moved 3613.068 307.8961 452.2598 -0.1206109 0.1652772
Moved 3613.083 304.0162 456.9676 -0.1295921 0.1773857
Moved 3613.1 301.13 460.87 -0.1362732 0.1874227
Moved 3613.114 296.9136 465.0864 -0.1460333 0.1982675
Moved 3613.131 295 468.5 -0.150463 0.2070472
Moved 3613.146 291.1779 472.7628 -0.1593105 0.2180113
Moved 3613.161 286.8737 477.1263 -0.1692738 0.2292342
Moved 3613.177 282.537 482.2841 -0.1793125 0.2425001
Moved 3613.191 278.1989 486.8011 -0.1893544 0.2541181
Moved 3613.207 274.6127 491.3873 -0.1976558 0.2659138
Moved 3613.223 271.7304 493.1348 -0.2043277 0.2704085
Moved 3613.238 269 497.5 -0.2106481 0.2816358
Moved 3613.26 263.7773 504.334 -0.2227377 0.2992129
Stationary 3613.272 263.7773 504.334 -0.2227377 0.2992129
Moved 3613.284 261 507 -0.2291666 0.3060699
Moved 3613.3 259.0389 507.9805 -0.2337062 0.3085918
Moved 3613.316 257.5766 509.4234 -0.2370912 0.3123029
Moved 3613.333 257.1443 510.8557 -0.2380918 0.3159867
