this is a very good idea
this is a very good idea
Basic
0.6 0.6
432 388.8
Moved 662.6841 369.6397 280.6396 0.02231409 -0.2761326
Moved 662.7007 369.0705 280 0.02099653 -0.2777778
Moved 662.7145 367.6201 278.6201 0.0176392 -0.2813269
Moved 662.7292 367.1811 278 0.01662284 -0.2829219
Moved 662.7469 366.5 278 0.0150463 -0.2829219
Stationary 662.7609 366.5 278 0.0150463 -0.2829219
Moved 662.7764 365.7513 276.7513 0.01331319 -0.2861336
Stationary 662.7972 366 277 0.01388888 -0.2854939
Moved 662.808 363.2795 282.0433 0.007591446 -0.2725223
Moved 662.8229 360.6531 292.2142 0.001511773 -0.2463626
Moved 662.8385 357.7898 308.6814 -0.005116164 -0.2040087
Moved 662.8531 353.8618 328.5989 -0.01420885 -0.1527806
Moved 662.8705 349.5327 345.869 -0.02422974 -0.1083616
Moved 662.8843 344.2829 369.939 -0.03638213 -0.04645312
Moved 662.8995 338.8257 387.5579 -0.04901464 -0.001137188
Moved 662.9158 330.1663 410.5565 -0.06905943 0.05801569
Moved 662.9295 321.4117 433.9708 -0.0893248 0.1182375
Moved 662.9464 312.7516 451.4967 -0.1093712 0.1633144
Moved 662.9659 305.9716 463.0567 -0.1250656 0.1930471
Moved 662.9785 294.9791 478.7787 -0.1505114 0.2334844
Moved 662.9943 287.8535 487.8375 -0.1670057 0.2567837
Moved 663.007 281.854 494.9752 -0.1808936 0.2751419
Moved 663.022 273.6829 503.3171 -0.1998081 0.2965975
Moved 663.0375 268.3956 508.6044 -0.2120472 0.3101963
Moved 663.0532 263.7052 514.393 -0.2229046 0.3250848
Moved 663.0685 260.9368 517.0632 -0.229313 0.3319525
Moved 663.0844 258.0674 519.9326 -0.2359552 0.3393328
Moved 663.1003 256.5909 522.8182 -0.2393729 0.3467545
Moved 663.1152 255.3595 523.6404 -0.2422233 0.3488694
Moved 663.1302 255 524.9689 -0.2430556 0.3522863
Moved 663.1459 254 525.4113 -0.2453704 0.3534239
Moved 663.1613 254 526.8491 -0.2453704 0.357122
Moved 663.1768 254 528.292 -0.2453704 0.3608333
Moved 663.194 254 529 -0.2453704 0.3626543
Moved 663.207 254 530.181 -0.2453704 0.3656919
Moved 663.2233 254 533 -0.2453704 0.3729423
Moved 663.2397 269.9893 533.7128 -0.2083582 0.3747755
Moved 663.2543 280.0836 535.1548 -0.1849917 0.3784845
Moved 663.2704 293.6291 535 -0.1536364 0.3780863
Moved 663.2855 308.0719 535 -0.120204 0.3780863
Moved 663.3004 325.2349 535 -0.08047472 0.3780863
Moved 663.3159 337.0387 535 -0.05315125 0.3780863
Moved 663.3304 349.8733 535 -0.02344146 0.3780863
Moved 663.347 356.4583 535 -0.00819837 0.3780863
Moved 663.3618 369.3401 535 0.02162069 0.3780863
Moved 663.3839 385.9916 535 0.06016572 0.3780863
Stationary 663.3948 385.9916 535 0.06016572 0.3780863
Moved 663.4076 393.1895 535 0.07682761 0.3780863
Moved 663.424 398.6707 535 0.08951546 0.3780863
Moved 663.4388 403.3494 535 0.1003457 0.3780863
Moved 663.4544 406.4787 535 0.1075896 0.3780863
Moved 663.4699 409.99 535 0.1157174 0.3780863
Ended 663.4859 412.5 535 0.1215278 0.3780863
Candidates 663.5901 12 net betty bet very better newt meet met neo cherry beer newer
Began 664.3444 428 465 0.1574074 0.1980452
Stationary 664.3637 428 465 0.1574074 0.1980452
Stationary 664.3775 428 465 0.1574074 0.1980452
Stationary 664.3935 428 465 0.1574074 0.1980452
Moved 664.4088 428 444.3491 0.1574074 0.1449307
Moved 664.4255 417.8723 405.9032 0.1339637 0.04604724
Moved 664.4406 410.1833 365.8263 0.116165 -0.05703113
Moved 664.4559 407.5 346 0.1099537 -0.1080248
Moved 664.4708 403.3585 329.9119 0.1003669 -0.1494036
Moved 664.4863 401.6729 316.056 0.09646506 -0.1850411
Moved 664.5018 401 307.1654 0.09490739 -0.2079079
Moved 664.5175 399.791 301.1639 0.09210875 -0.223344
Moved 664.5328 400 297.6981 0.09259263 -0.2322579
Ended 664.5499 400 294.7916 0.09259263 -0.2397337
Accept 664.5914 3 very
Began 665.0558 361 386 0.002314846 -0.005144111
Stationary 665.0786 361 386 0.002314846 -0.005144111
Stationary 665.0891 361 386 0.002314846 -0.005144111
Stationary 665.1031 361 386 0.002314846 -0.005144111
Stationary 665.1186 361 386 0.002314846 -0.005144111
Stationary 665.1338 361 386 0.002314846 -0.005144111
Stationary 665.1479 361 386 0.002314846 -0.005144111
Stationary 665.1639 361 386 0.002314846 -0.005144111
Stationary 665.179 361 386 0.002314846 -0.005144111
Stationary 665.1942 361 386 0.002314846 -0.005144111
Moved 665.2096 372.9118 398.9294 0.02988835 0.02811063
Moved 665.2252 382.9413 406.101 0.05310496 0.04655591
Moved 665.2421 397.3029 415.1514 0.08634926 0.06983387
Moved 665.257 414.4647 425.0211 0.1260757 0.09521869
Moved 665.2717 435.833 438.8887 0.1755393 0.1308864
Moved 665.2874 449.8038 447.3022 0.2078791 0.1525263
Moved 665.3027 475.851 459.7715 0.2681735 0.1845974
Moved 665.319 490.282 467.7645 0.3015786 0.2051556
Moved 665.3333 503.7055 474.9475 0.3326516 0.2236304
Moved 665.3486 513.8094 479.9047 0.3560402 0.2363804
Moved 665.3641 520.3079 484.2309 0.371083 0.2475073
Moved 665.3793 524.5 487 0.3807871 0.2546296
Moved 665.397 526.715 488.715 0.3859145 0.2590406
Moved 665.4102 529.1204 491.1204 0.3914824 0.2652273
Moved 665.4325 531 493.9388 0.3958333 0.2724763
Stationary 665.4427 531 493.9388 0.3958333 0.2724763
Moved 665.4556 532.3885 495.3885 0.3990474 0.2762049
Stationary 665.4705 532.3885 495.3885 0.3990474 0.2762049
Moved 665.4866 532 496.3755 0.3981481 0.2787436
Moved 665.5027 532 497.3552 0.3981481 0.2812634
Moved 665.5186 532 498 0.3981481 0.2829217
Moved 665.5338 522.1655 499.2293 0.3753832 0.2860836
Moved 665.5491 512.3096 499 0.3525686 0.2854938
Moved 665.564 496.6974 499 0.3164293 0.2854938
Moved 665.5803 456.3694 480.9022 0.2230774 0.2389458
Moved 665.5979 412.2082 464.0806 0.1208522 0.1956805
Moved 665.6109 370.3761 442.4704 0.02401868 0.1400987
Moved 665.627 346.6244 430.1535 -0.03096198 0.1084194
Moved 665.6423 315.0698 411.0419 -0.1040052 0.05926399
Moved 665.6578 293.4837 396.6558 -0.1539729 0.0222628
Moved 665.6727 277.3167 386.7182 -0.1913964 -0.003296848
Moved 665.6882 264.0621 379.3679 -0.2220784 -0.02220209
Moved 665.7044 253.412 372.9413 -0.2467316 -0.03873126
Moved 665.7192 244.8214 368.4107 -0.2666171 -0.05038399
Moved 665.7334 239.9444 365.3666 -0.2779064 -0.05821345
Moved 665.749 234.8053 363.5369 -0.2898025 -0.06291966
Moved 665.7714 228.7794 360.3897 -0.3037513 -0.0710142
Stationary 665.7822 228.7794 360.3897 -0.3037513 -0.0710142
Moved 665.7957 226.9577 360 -0.3079682 -0.07201654
Moved 665.8113 225.5111 360 -0.3113168 -0.07201654
Moved 665.8266 224.5 358.5 -0.3136574 -0.07587456
Moved 665.8418 223.9752 359 -0.3148722 -0.07458848
Stationary 665.8572 223.9752 359 -0.3148722 -0.07458848
Stationary 665.8716 224 359 -0.3148148 -0.07458848
Ended 665.8886 224 359 -0.3148148 -0.07458848
Candidates 666.0237 12 good god goods gods his food foods hood joss kids dogs dos
Began 666.4263 405 334 0.1041667 -0.1388889
Stationary 666.4451 405 334 0.1041667 -0.1388889
Stationary 666.459 405 334 0.1041667 -0.1388889
Stationary 666.4721 405 334 0.1041667 -0.1388889
Stationary 666.489 405 334 0.1041667 -0.1388889
Moved 666.5044 405 366.166 0.1041667 -0.0561576
Moved 666.5207 405 394.7664 0.1041667 0.0174033
Moved 666.5355 405 420.8817 0.1041667 0.08457226
Moved 666.5503 405 441.0189 0.1041667 0.1363654
Moved 666.5662 405 458.1079 0.1041667 0.1803187
Moved 666.5815 405 471.2804 0.1041667 0.2141985
Moved 666.6009 413.1889 481.9724 0.1231225 0.2416984
Moved 666.613 415.0365 487.1096 0.1273994 0.2549115
Ended 666.628 416.4828 491.4483 0.1307472 0.2660706
Accept 666.6556 0 good
Began 666.979 526 531 0.3842592 0.3677982
Stationary 666.9992 526 531 0.3842592 0.3677982
Stationary 667.0125 526 531 0.3842592 0.3677982
Stationary 667.0278 526 531 0.3842592 0.3677982
Stationary 667.0426 526 531 0.3842592 0.3677982
Stationary 667.0579 526 531 0.3842592 0.3677982
Stationary 667.0737 526 531 0.3842592 0.3677982
Stationary 667.0892 526 531 0.3842592 0.3677982
Stationary 667.1047 526 531 0.3842592 0.3677982
Stationary 667.1204 526 531 0.3842592 0.3677982
Stationary 667.1355 526 531 0.3842592 0.3677982
Stationary 667.151 526 531 0.3842592 0.3677982
Stationary 667.1663 526 531 0.3842592 0.3677982
Moved 667.1813 510.3381 531 0.3480049 0.3677982
Moved 667.1985 497.5976 531 0.3185129 0.3677982
Moved 667.2138 484.6055 517.3379 0.2884387 0.3326591
Moved 667.235 427.5855 474.0948 0.156448 0.2214373
Stationary 667.2466 427.5855 474.0948 0.156448 0.2214373
Moved 667.259 405.5036 452.9671 0.1053324 0.1670964
Moved 667.2752 386.6107 435.8715 0.06159892 0.1231261
Moved 667.2905 369.8553 419.5587 0.02281318 0.08116946
