if you were not so stupid
if you were not so stupid
Basic
0.6 0.6
432 388.8
Stationary 429.0125 398 414 0.08796295 0.06687239
Stationary 429.0294 398 414 0.08796295 0.06687239
Ended 429.045 398 414 0.08796295 0.06687239
Cancel 429.1032
Began 429.9834 190 513 -0.3935185 0.321502
Stationary 430.0011 190 513 -0.3935185 0.321502
Stationary 430.016 190 513 -0.3935185 0.321502
Stationary 430.0302 190 513 -0.3935185 0.321502
Stationary 430.0443 190 513 -0.3935185 0.321502
Stationary 430.0604 190 513 -0.3935185 0.321502
Stationary 430.0782 190 513 -0.3935185 0.321502
Moved 430.0929 202.1327 513 -0.3654336 0.321502
Moved 430.108 204.8588 513 -0.3591232 0.321502
Moved 430.1234 210.6054 513 -0.3458208 0.321502
Moved 430.1384 216.3887 513 -0.3324336 0.321502
Moved 430.1537 223.9086 518.472 -0.3150263 0.3355762
Moved 430.1693 231.065 521.213 -0.2984606 0.3426259
Moved 430.1944 246.4585 523 -0.2628276 0.3472221
Moved 430.2075 250.533 524.1332 -0.2533959 0.3501368
Stationary 430.2176 250.533 524.1332 -0.2533959 0.3501368
Moved 430.2331 256.8648 524 -0.2387389 0.3497942
Moved 430.2466 262.2291 525.0573 -0.2263215 0.3525134
Moved 430.2614 266.5 525 -0.2164352 0.3523662
Moved 430.2763 270.8219 525 -0.2064308 0.3523662
Moved 430.2928 275.1384 525 -0.1964389 0.3523662
Moved 430.3082 278.6328 525 -0.1883501 0.3523662
Moved 430.3238 282.8782 525 -0.1785226 0.3523662
Moved 430.3391 285.7908 525 -0.1717805 0.3523662
Moved 430.3546 291.3525 525 -0.1589063 0.3523662
Moved 430.3694 295.8305 525 -0.1485406 0.3523662
Moved 430.3888 302.5781 525 -0.1329211 0.3523662
Moved 430.4013 309.7716 525 -0.1162694 0.3523662
Moved 430.4161 315.3792 525 -0.103289 0.3523662
Moved 430.4325 320.104 525 -0.09235184 0.3523662
Moved 430.4478 325.5606 525 -0.07972077 0.3523662
Moved 430.4636 332.3201 525 -0.06407385 0.3523662
Moved 430.4822 337.0704 525 -0.05307769 0.3523662
Moved 430.4926 341.3861 525 -0.0430877 0.3523662
Moved 430.5088 344.8011 525 -0.03518268 0.3523662
