that is a very odd question
that is a very odd question
FixStart
0.6 0.6
432 388.8
Stationary 3213.158 269 409 -0.2106481 0.05401234
Moved 3213.172 269 410.211 -0.2106481 0.05712697
Stationary 3213.188 269 410.211 -0.2106481 0.05712697
Moved 3213.205 280.5887 411 -0.1838224 0.05915629
Moved 3213.221 286.5343 411 -0.1700594 0.05915629
Moved 3213.235 295.3036 411 -0.1497602 0.05915629
Moved 3213.26 308.77 411 -0.118588 0.05915629
Stationary 3213.272 308.77 411 -0.118588 0.05915629
Moved 3213.282 313.0986 411 -0.1085681 0.05915629
Moved 3213.296 315.6135 411 -0.1027466 0.05915629
Moved 3213.312 318.4981 411 -0.09606918 0.05915629
Moved 3213.328 319.5 411 -0.09375001 0.05915629
Moved 3213.342 320.8291 411 -0.09067332 0.05915629
Moved 3213.359 322.2683 411 -0.08734187 0.05915629
Moved 3213.374 323.7091 411 -0.08400679 0.05915629
Moved 3213.389 325.1486 411 -0.08067448 0.05915629
Moved 3213.406 326.5903 411 -0.07733732 0.05915629
Moved 3213.42 329.0521 411 -0.07163872 0.05915629
Moved 3213.436 333.4072 411 -0.06155739 0.05915629
Moved 3213.452 338.874 411 -0.04890273 0.05915629
Moved 3213.467 345.0707 411 -0.03455848 0.05915629
Moved 3213.483 349.3814 411 -0.02458006 0.05915629
Moved 3213.497 352.8016 411 -0.01666288 0.05915629
Ended 3213.512 355.6868 411 -0.009984176 0.05915629
Candidates 3213.634 12 very cry ccr ct bet carry carey betty better vary cherry career
Began 3214.019 363 224 0.006944438 -0.4218107
Stationary 3214.037 363 224 0.006944438 -0.4218107
Stationary 3214.055 363 224 0.006944438 -0.4218107
Stationary 3214.067 363 224 0.006944438 -0.4218107
Moved 3214.082 363 239.2267 0.006944438 -0.3826475
Moved 3214.098 363 259.7667 0.006944438 -0.3298182
Moved 3214.114 371.0294 281.2058 0.02553095 -0.2746764
Moved 3214.13 371.5 297 0.02662033 -0.2340535
Moved 3214.145 373.9643 309.8571 0.03232469 -0.2009849
Moved 3214.159 377.1891 327.1347 0.03978958 -0.1565466
Moved 3214.176 378.5377 335.6883 0.04291127 -0.1345466
Moved 3214.19 380.9722 342.9306 0.04854679 -0.1159193
Moved 3214.209 382.4129 348.6517 0.05188177 -0.1012045
Ended 3214.221 384 351 0.0555556 -0.09516476
Accept 3214.265 0 very
Began 3214.576 394 271 0.07870366 -0.300926
Stationary 3214.592 394 271 0.07870366 -0.300926
Stationary 3214.607 394 271 0.07870366 -0.300926
Stationary 3214.621 394 271 0.07870366 -0.300926
Stationary 3214.636 394 271 0.07870366 -0.300926
Stationary 3214.653 394 271 0.07870366 -0.300926
Moved 3214.667 403.409 280.409 0.1004838 -0.2767259
Moved 3214.683 420.8618 294.6268 0.1408839 -0.2401573
Moved 3214.703 434.5649 302.963 0.172604 -0.2187166
Moved 3214.717 449.7723 315.5792 0.2078062 -0.1862675
Moved 3214.731 463.2893 326.2314 0.2390956 -0.1588697
Moved 3214.746 471.8661 334.3884 0.2589494 -0.1378898
Moved 3214.762 480.5074 341.5895 0.2789523 -0.1193687
Moved 3214.776 486.4734 347.4734 0.2927625 -0.1042352
Moved 3214.791 490.41 352.2134 0.3018751 -0.09204385
Moved 3214.806 492.9047 354.9047 0.3076496 -0.08512175
Moved 3214.822 497.1065 359.1065 0.3173762 -0.07431454
Moved 3214.838 498.8177 363.6353 0.3213372 -0.06266637
Moved 3214.854 501.5138 366.5138 0.3275782 -0.05526295
Moved 3214.87 503.6862 371.6862 0.3326069 -0.04195939
Moved 3214.885 506.2777 376.5555 0.3386058 -0.02943557
