a subject one can really enjoy
a subject one can really enjoy
FixStart
0.6 0.6
432 388.8
Moved 579.9489 454.9184 351.7618 0.2197186 -0.09320514
Moved 579.9683 446.2747 360.7253 0.1997099 -0.07015102
Moved 579.9799 436.5061 377.3026 0.1770974 -0.02751385
Moved 579.9946 428.4688 389.7969 0.1584925 0.004621513
Moved 580.01 418.1096 407.5582 0.134513 0.05030388
Moved 580.0257 410 424 0.1157407 0.09259254
Moved 580.0419 401.0312 438.9376 0.09497961 0.1310123
Moved 580.0563 392.4714 451.7928 0.07516533 0.1640761
Moved 580.0712 383.6349 465.9841 0.05471041 0.2005764
Moved 580.0872 376.3882 478.9012 0.03793567 0.2337992
Moved 580.1034 370.5 489.5 0.02430558 0.2610596
Moved 580.1182 363.7408 498.9628 0.008659263 0.2853981
Moved 580.1337 356.6032 508.9555 -0.007862945 0.3110995
Moved 580.1489 349.3935 519.0491 -0.02455215 0.3370605
Moved 580.1643 341.0398 529.1202 -0.04388938 0.3629636
Moved 580.1793 334.5726 538.0342 -0.05885964 0.3858905
Moved 580.1946 329.8532 544.1957 -0.06978417 0.4017377
Moved 580.2143 324.0322 551.4597 -0.08325875 0.420421
Moved 580.2261 319.1353 557.1079 -0.09459431 0.4349483
Moved 580.2411 314.837 563.2173 -0.1045439 0.4506617
Moved 580.2571 310.5113 568.4886 -0.1145571 0.4642197
Moved 580.272 306.1792 574.7014 -0.1245853 0.480199
Moved 580.2879 301.85 580.5333 -0.1346065 0.4951988
Moved 580.3029 297.5283 585.2955 -0.1446103 0.5074473
Moved 580.3194 293.2231 589.7769 -0.1545761 0.5189735
Moved 580.3347 291.4467 594.1066 -0.1586882 0.5301094
Moved 580.3494 287.3865 598.4202 -0.1680868 0.5412042
Moved 580.3646 284.523 602.7155 -0.1747153 0.5522518
Moved 580.38 281.6357 606.3643 -0.1813989 0.5616365
Moved 580.395 279.8795 609.241 -0.1854641 0.5690353
Moved 580.4114 278.4358 611.1284 -0.1888061 0.5738899
Moved 580.4264 278 613.0091 -0.1898148 0.578727
Moved 580.45 276.9413 615.1174 -0.1922656 0.5841496
Stationary 580.46 276.9413 615.1174 -0.1922656 0.5841496
Moved 580.4707 276 616.9604 -0.1944444 0.5888897
Stationary 580.4863 276 617 -0.1944444 0.5889916
Ended 580.5018 276 617 -0.1944444 0.5889916
Candidates 580.6714 12 home one gone homer longer point time pine honey lone inner fine
Began 581.6256 467 523 0.2476852 0.3472221
Stationary 581.6461 467 523 0.2476852 0.3472221
Stationary 581.66 467 523 0.2476852 0.3472221
Moved 581.6749 453.2675 523 0.2158969 0.3472221
Moved 581.6914 437.2289 523 0.1787705 0.3472221
Moved 581.7062 413.2507 523 0.1232655 0.3472221
Moved 581.7217 381.5283 523 0.04983405 0.3472221
Moved 581.7374 349.5 523 -0.02430553 0.3472221
Moved 581.7585 289.9461 523 -0.1621619 0.3472221
Stationary 581.7699 289.9461 523 -0.1621619 0.3472221
Moved 581.7819 269.6778 523 -0.2090792 0.3472221
Ended 581.7974 263 523 -0.2245371 0.3472221
Accept 581.8573 1 one
Began 582.5222 467 518 0.2476852 0.3343621
Stationary 582.5376 467 518 0.2476852 0.3343621
Stationary 582.5538 467 518 0.2476852 0.3343621
Stationary 582.5674 467 518 0.2476852 0.3343621
Stationary 582.5825 467 518 0.2476852 0.3343621
Moved 582.5987 457.7365 509.7657 0.2262418 0.3131834
Moved 582.6157 453.5 505.5 0.2164352 0.3022119
Moved 582.6293 448.0589 500.0589 0.20384 0.2882173
Moved 582.6463 444.863 496.863 0.1964421 0.2799974
Moved 582.663 437.5 489.5 0.1793981 0.2610596
Moved 582.6809 433.2297 478.5168 0.1695132 0.2328105
Moved 582.6923 428.8441 471.0735 0.1593615 0.2136664
Moved 582.707 423.497 461.1596 0.1469838 0.1881676
Moved 582.7234 420.4467 454.8934 0.139923 0.1720509
Moved 582.7379 416.8523 447.4205 0.1316025 0.1528303
Moved 582.7556 414.2239 441.5597 0.1255182 0.1377563
Moved 582.7692 410.1538 433.3076 0.1160967 0.1165319
Moved 582.7847 406.5312 425.5934 0.107711 0.09669092
Moved 582.8013 403.6477 418.1193 0.1010363 0.0774672
Moved 582.8157 400.784 411.5679 0.09440729 0.06061699
Moved 582.8305 397.9035 405.8071 0.08773962 0.04579999
Moved 582.8475 396.5259 401.5776 0.08455069 0.0349219
Moved 582.8615 393.3052 396.9156 0.07709543 0.02293116
Moved 582.8771 391.972 392.916 0.07400919 0.01264407
Moved 582.8997 388.0939 385.1878 0.06503214 -0.00723305
Stationary 582.9106 388.0939 385.1878 0.06503214 -0.00723305
Moved 582.9233 386.6519 382.3039 0.06169428 -0.01465056
Moved 582.9388 386.2112 379.4225 0.06067415 -0.02206151
Moved 582.9539 384.7725 376.545 0.05734384 -0.02946241
Moved 582.9695 383.5 374 0.05439818 -0.03600823
Moved 582.9856 383.269 372.269 0.05386353 -0.04046028
Moved 583.001 383 369.6523 0.05324075 -0.04719063
Moved 583.0161 382 367.3873 0.05092591 -0.05301628
Moved 583.0313 380.9464 365.9464 0.04848689 -0.05672242
Moved 583.0478 380.509 365 0.0474746 -0.05915646
Moved 583.062 379.0689 365 0.04414091 -0.05915646
Moved 583.0777 377.6183 365 0.04078309 -0.05915646
Moved 583.0933 374.531 365 0.03363669 -0.05915646
Moved 583.1125 369.3085 375.1516 0.02154758 -0.03304642
