did you have a good time
did you have a good time
Basic
0.6 0.6
432 388.8
Moved 1685.484 448 314.259 0.2037037 -0.1896632
Moved 1685.5 448 314.8604 0.2037037 -0.1881162
Moved 1685.516 448 316.2922 0.2037037 -0.1844337
Moved 1685.531 442.1768 317.7279 0.1902241 -0.1807411
Moved 1685.553 437.4491 319.7006 0.1792803 -0.1756672
Moved 1685.565 433.298 322.468 0.1696713 -0.1685493
Moved 1685.578 428.3167 325.3417 0.1581405 -0.1611582
Moved 1685.592 421.457 329.3258 0.1422615 -0.1509111
Moved 1685.609 413.7326 333.6337 0.1243811 -0.1398312
Moved 1685.624 403.1336 339.9165 0.09984621 -0.1236716
Moved 1685.639 394.468 344.266 0.07978697 -0.1124847
Moved 1685.654 388.0841 348.9579 0.06500959 -0.1004169
Moved 1685.67 379.1567 352.9329 0.04434416 -0.09019333
Moved 1685.686 370.5258 357.2371 0.02436529 -0.07912263
Moved 1685.702 358.5583 361.5325 -0.003337165 -0.06807492
Moved 1685.718 348.023 365.8473 -0.0277246 -0.05697721
Moved 1685.732 334.7156 370.1853 -0.05852878 -0.04581969
Moved 1685.747 323.8406 375.6625 -0.08370221 -0.0317324
Moved 1685.763 314.5 378 -0.1053241 -0.02572024
Moved 1685.779 305.1912 382.0609 -0.1268723 -0.01527543
Moved 1685.793 295.1195 385.2516 -0.1501863 -0.007069081
Moved 1685.809 285.579 388.1403 -0.1722709 0.0003608656
Moved 1685.826 276.9462 392.0269 -0.1922542 0.01035722
Moved 1685.84 269.7617 394.8953 -0.2088851 0.01773481
Moved 1685.859 263.5822 396.7672 -0.2231894 0.02254922
Moved 1685.87 256.3886 399.6445 -0.2398411 0.02994992
Moved 1685.886 252.6015 401.6992 -0.2486075 0.03523454
Moved 1685.902 244.5521 404.7792 -0.2672406 0.04315623
Moved 1685.918 238.6727 408.9955 -0.2808503 0.05400065
Moved 1685.932 233.9303 410.5349 -0.291828 0.05795996
Moved 1685.948 229.3836 412.2055 -0.3023528 0.06225688
Moved 1685.964 225.0647 415.2902 -0.3123503 0.07019086
Moved 1685.981 220.7332 417.0889 -0.3223768 0.07481712
Moved 1685.995 218.7186 418.1407 -0.3270403 0.07752226
Moved 1686.009 214.74 419.63 -0.33625 0.08135285
Moved 1686.026 210.7936 421.0688 -0.3453852 0.08505342
Moved 1686.041 209.5 422.5 -0.3483796 0.08873452
Moved 1686.056 205.1611 423 -0.3584233 0.09002049
Moved 1686.073 202.23 424.385 -0.3652083 0.09358272
Moved 1686.085 199.3572 424 -0.3718583 0.09259254
Moved 1686.102 197.1577 424.9211 -0.3769497 0.09496174
Moved 1686.118 193.0189 425 -0.3865303 0.09516452
Moved 1686.132 189.7061 425 -0.3941988 0.09516452
Moved 1686.155 181.0757 425 -0.4141765 0.09516452
Stationary 1686.166 181.0757 425 -0.4141765 0.09516452
Moved 1686.178 176.7595 425 -0.4241678 0.09516452
Moved 1686.194 173.4433 425 -0.4318443 0.09516452
Moved 1686.21 170.5574 425 -0.4385246 0.09516452
Moved 1686.225 167.8624 417.5185 -0.4447629 0.07592201
Moved 1686.241 166.5 418 -0.4479167 0.07716041
Moved 1686.256 164.0482 416.0482 -0.4535923 0.07214028
Moved 1686.271 162.6172 416 -0.4569046 0.07201634
Moved 1686.287 161.1747 414.1747 -0.4602436 0.06732175
Moved 1686.303 159.7192 412.7192 -0.4636129 0.0635782
Moved 1686.318 158.5 411.5 -0.4664352 0.06044234
Moved 1686.332 157.207 411.207 -0.4694282 0.05968863
Moved 1686.349 155.7689 409.7689 -0.4727572 0.05598982
Moved 1686.364 154.3462 407.3462 -0.4760505 0.04975864
Moved 1686.379 152.9085 404.8169 -0.4793786 0.04325329
Moved 1686.395 153 400.5 -0.4791667 0.03215016
Moved 1686.41 152 394.1688 -0.4814814 0.0158662
Moved 1686.432 167.0526 370.2968 -0.4466376 -0.04553312
Stationary 1686.445 167.0526 370.2968 -0.4466376 -0.04553312
Moved 1686.457 181.8343 352.1989 -0.4124207 -0.09208106
Moved 1686.472 196.3422 339.092 -0.3788376 -0.1257922
Moved 1686.488 214.3346 322.3878 -0.3371883 -0.1687557
Moved 1686.504 230.335 307.9682 -0.3001505 -0.2058431
Moved 1686.522 246.4537 294.037 -0.2628386 -0.2416742
Moved 1686.534 264.282 281.4202 -0.2215695 -0.2741252
Moved 1686.549 274.0923 275.7446 -0.1988604 -0.2887227
Moved 1686.565 290.4464 265.4187 -0.1610038 -0.3152811
Moved 1686.58 303.4177 258.2124 -0.1309776 -0.3338159
Moved 1686.596 311.9791 253.2125 -0.1111595 -0.3466758
Moved 1686.611 322.3482 246.7823 -0.08715699 -0.3632142
Moved 1686.626 332.373 239.5907 -0.06395151 -0.3817112
Moved 1686.641 340.446 236.277 -0.04526377 -0.3902342
Moved 1686.656 345.9078 233.0553 -0.03262083 -0.3985203
Moved 1686.673 351.6537 230.1731 -0.01932005 -0.4059334
Moved 1686.687 355.5496 228.1501 -0.01030197 -0.4111365
Moved 1686.709 360.4594 225.2703 0.001063546 -0.4185435
Stationary 1686.719 360.4594 225.2703 0.001063546 -0.4185435
Moved 1686.733 363.3303 223.8348 0.007709066 -0.4222356
Moved 1686.749 366.2144 222.3928 0.01438528 -0.4259445
Moved 1686.765 368.579 221.2104 0.01985888 -0.4289855
Moved 1686.78 370.1566 219.8434 0.02351066 -0.4325016
Moved 1686.795 371.5963 220 0.02684335 -0.4320988
Moved 1686.812 373.0345 220 0.03017237 -0.4320988
Moved 1686.828 373 218.5309 0.0300926 -0.4358774
Moved 1686.842 374.9118 219 0.03451804 -0.4346708
Moved 1686.857 376.3509 219 0.03784925 -0.4346708
Stationary 1686.871 376.3509 219 0.03784925 -0.4346708
Moved 1686.887 377.3177 219 0.0400874 -0.4346708
Stationary 1686.902 377.3177 219 0.0400874 -0.4346708
Stationary 1686.917 377.3177 219 0.0400874 -0.4346708
Moved 1686.933 377 233.4111 0.03935188 -0.3976051
Moved 1686.951 366.2011 243.9646 0.01435449 -0.3704614
Moved 1686.972 344 281 -0.03703703 -0.2752058
Stationary 1686.982 344 281 -0.03703703 -0.2752058
Moved 1686.995 332.2017 299.0196 -0.06434794 -0.2288591
Moved 1687.011 321.4191 315.9129 -0.08930773 -0.1854093
Moved 1687.027 312.3789 332.6902 -0.110234 -0.1422577
Moved 1687.042 305.1702 346.6169 -0.1269208 -0.106438
Moved 1687.058 298.0181 360.9639 -0.1434767 -0.06953745
Moved 1687.074 291.6499 378.3751 -0.1582177 -0.02475534
Moved 1687.089 285.9507 390.0985 -0.1714103 0.005397325
Moved 1687.103 283.1739 400.7538 -0.1778383 0.0328029
Moved 1687.12 278.5785 411.4573 -0.1884757 0.06033257
Moved 1687.135 274.2532 422.9916 -0.198488 0.08999879
Moved 1687.151 269.9363 433.8152 -0.2084807 0.1178374
Moved 1687.166 266.7613 442.7161 -0.2158304 0.1407307
Moved 1687.181 262.8767 451.8081 -0.2248224 0.1641154
