players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Moved 771.9084 546.3616 266.1922 0.4313925 -0.3132917
Moved 771.924 547 260.5941 0.4328704 -0.3276902
Moved 771.9399 548.2371 256.2889 0.4357339 -0.3387632
Moved 771.9539 548 252.9467 0.4351853 -0.3473594
Moved 771.9705 548 247.5023 0.4351853 -0.3613623
Moved 771.9859 549 245.8754 0.4375 -0.365547
Moved 772.0013 549 243.5056 0.4375 -0.371642
Moved 772.0166 549 241.9001 0.4375 -0.3757713
Moved 772.0329 549 239.4625 0.4375 -0.3820409
Moved 772.0478 549 238.0192 0.4375 -0.3857532
Moved 772.0618 549 236.58 0.4375 -0.3894548
Moved 772.0795 549 235.5 0.4375 -0.3922326
Moved 772.0939 549 234.8478 0.4375 -0.3939101
Moved 772.1151 549 232.5 0.4375 -0.3999486
Stationary 772.1272 549 232.5 0.4375 -0.3999486
Moved 772.1398 549 231.8389 0.4375 -0.401649
Moved 772.1545 543.7007 230.2429 0.425233 -0.4057539
Moved 772.1696 537.2211 228.8053 0.4102339 -0.4094514
Moved 772.1841 532.4459 227.3615 0.3991802 -0.4131651
Moved 772.2005 525.6218 227 0.3833837 -0.4140947
Moved 772.2161 520 227 0.3703704 -0.4140947
Moved 772.2314 515.5057 227 0.3599669 -0.4140947
Moved 772.2476 509.7611 227 0.3466693 -0.4140947
Moved 772.2625 505.5 227 0.3368056 -0.4140947
Moved 772.2776 499.2254 235.8873 0.322281 -0.3912363
Moved 772.2929 494.8513 238.7657 0.3121559 -0.383833
Moved 772.309 489.5255 242.4745 0.2998275 -0.3742941
Moved 772.3243 483.9005 246.8246 0.2868068 -0.3631056
Moved 772.3393 479.9831 249.7627 0.2777386 -0.3555487
Moved 772.3547 471.1266 262.9722 0.2572373 -0.3215736
Moved 772.3702 462.6756 277.2073 0.237675 -0.2849606
Moved 772.3855 454.4031 298.164 0.2185256 -0.2310597
Moved 772.4008 447.5699 325.0431 0.202708 -0.1619262
Moved 772.4191 439.2823 349.871 0.1835237 -0.09806848
Moved 772.4325 432.0639 378.7444 0.1668146 -0.02380559
Moved 772.4517 427.6932 398.3807 0.1566971 0.02669939
Moved 772.4626 423.5 425.5 0.1469907 0.09645053
Moved 772.4794 423 442.7918 0.1458333 0.1409254
