are you sure you want this
are you sure you want this
FixStart
List

0.6 0.6
432 388.8
Moved 3011.46 525.5981 311.6028 0.383329 -0.196495
Moved 3011.491 534.7647 300.9803 0.4045479 -0.223816
Moved 3011.522 541.402 295.3986 0.4199121 -0.2381722
Moved 3011.552 546.3281 293 0.431315 -0.2443416
Moved 3011.583 553.1635 299.4905 0.4471377 -0.227648
Moved 3011.614 566.6429 339.3396 0.4783402 -0.1251554
Moved 3011.645 575.7793 389.6024 0.4994891 0.004121246
Moved 3011.675 586.4487 445.6921 0.5241867 0.1483848
Moved 3011.706 589.321 462.5864 0.5308356 0.1918375
Moved 3011.737 596.5395 496.1578 0.5475451 0.2781836
Moved 3011.768 599 529.8502 0.5532407 0.364841
Moved 3011.798 599 545.8446 0.5532407 0.4059788
Moved 3011.829 588.4943 551.8353 0.5289219 0.4213869
Moved 3011.86 571.2808 553 0.489076 0.4243826
Moved 3011.89 526.2042 523.6429 0.384732 0.3488759
Moved 3011.921 435.6624 458.468 0.1751444 0.1812449
Moved 3011.952 388.0545 419.4929 0.06494095 0.08100019
Moved 3011.983 342.5961 387.0641 -0.04028673 -0.002407223
Moved 3012.013 303.8399 363.0514 -0.1300002 -0.06416839
Moved 3012.044 275.4774 348.8533 -0.1956543 -0.1006859
Moved 3012.075 257.8642 338.9321 -0.2364255 -0.1262036
Moved 3012.105 241.1662 331.0831 -0.2750781 -0.1463911
Moved 3012.136 225.944 323.472 -0.3103147 -0.1659669
Moved 3012.167 212.1087 314.8652 -0.342341 -0.1881039
Moved 3012.198 198.5468 305.4375 -0.3737341 -0.2123522
Moved 3012.229 180.4197 291.6131 -0.4156952 -0.2479088
Moved 3012.259 176.1117 287.7411 -0.4256672 -0.2578674
Moved 3012.29 168.5518 282.7012 -0.4431672 -0.2708303
Moved 3012.321 162.862 277.931 -0.4563381 -0.2830994
Moved 3012.351 158.0539 274.0539 -0.4674678 -0.2930713
Ended 3012.382 156.6125 272.6125 -0.4708043 -0.2967786
Accept 3012.536 0 want
Candidates 3012.536 13 this buzz rodriguez holtz oz plotz quiz lopez cruz jazz aziz katz gonzalez
Began 3013.949 307 399 -0.1226852 0.02829214
Stationary 3013.98 307 399 -0.1226852 0.02829214
Moved 3014.011 383.4135 399 0.0541979 0.02829214
Moved 3014.042 489.8289 399 0.3005298 0.02829214
Moved 3014.072 557.5082 399 0.4571951 0.02829214
Moved 3014.103 610.0353 389.731 0.5787854 0.004451972
Moved 3014.134 647.3915 380.7391 0.665258 -0.0186753
Ended 3014.165 668 375 0.7129629 -0.03343629
Accept 3014.226 0 this
PhraseEnd 3014.226
